A,P,AFinal,PFinal,AGen,PGen,count,run
AddXD,DeleteTerminalR,AddXD,AddTreeWithSub,0,0,0,2
MultXD,MutateTerminalR,MultXD,MutateTerminalR,0,0,1,2
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,2,2
AddXD,AddToLeafR,AddXD,AddToLeafR,0,0,3,2
MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,ReplaceBranchXR,0,0,4,2
,SubXD,,AddToLeafR,0,0,5,2
,DeleteMaliciousR,,DeleteMaliciousR,0,0,6,2
,AddRandomSubTreeR,,AddRandomSubTreeR,0,0,7,2
,MutateNonTerminalR,,MutateNonTerminalR,0,0,8,2
,MutateNonTerminalR,,AddTreeWithDiv,0,0,9,2
,AddXD,,AddXD,0,0,10,2
,AddTreeWithAdd,,AddTreeWithAdd,0,0,11,2
,ReplaceBranchR,,ReplaceBranchR,0,0,12,2
,SkipD,,AddTreeWithSub,0,0,13,2
,AddTreeWithAdd,,AddTreeWithAdd,0,0,14,2
,MultXD,,ReplaceBranchXR,0,0,15,2
,ReplaceBranchR,,ReplaceBranchR,0,0,16,2
,AddToLeafR,,AddToLeafR,0,0,17,2
,AddXD,,AddXD,0,0,18,2
,AddTreeWithAdd,,AddTreeWithAdd,0,0,19,2
