A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,0,0,0,4
AddTreeWithMult,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd,0,0,1,4
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,2,4
MultXD,AddTreeWithAdd,MultXD,AddTreeWithAdd,0,0,3,4
AddTreeWithAdd,SkipD,AddTreeWithAdd,SkipD,0,0,4,4
,DeleteTerminalR,,DeleteTerminalR,0,0,5,4
,AddToLeafR,,AddToLeafR,0,0,6,4
,AddToLeafR,,AddToLeafR,0,0,7,4
,MutateTerminalR,,MutateTerminalR,0,0,8,4
,SubXD,,SubXD,0,0,9,4
,AddTreeWithDiv,,AddTreeWithDiv,0,0,10,4
,AddTreeWithAdd,,AddTreeWithAdd,0,0,11,4
,ReplaceBranchR,,ReplaceBranchR,0,0,12,4
,AddTreeWithAdd,,AddTreeWithAdd,0,0,13,4
,ReplaceBranchXR,,ReplaceBranchXR,0,0,14,4
,ReplaceBranchR,,ReplaceBranchR,0,0,15,4
,SkipD,,DeleteMaliciousR,0,0,16,4
,AddRandomSubTreeR,,AddRandomSubTreeR,0,0,17,4
,ReplaceBranchR,,ReplaceBranchR,0,0,18,4
,DeleteNonTerminalR,,DeleteNonTerminalR,0,0,19,4
