A,P,AFinal,PFinal,AGen,PGen,count,run
FellTreeD,AddRandomSubTreeR,FellTreeD,AddRandomSubTreeR,0,0,0,4
AddXD,AddTreeWithAdd,AddXD,AddTreeWithAdd,0,0,1,4
AddTreeWithDiv,AddXD,AddTreeWithDiv,AddXD,0,0,2,4
MutateTerminalR,SkipD,MutateTerminalR,SkipD,0,0,3,4
AddXD,FellTreeD,AddXD,FellTreeD,0,0,4,4
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,0,0,5,4
FellTreeD,AddTreeWithMult,FellTreeD,AddTreeWithMult,0,0,6,4
AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,AddTreeWithMult,0,0,7,4
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,8,4
ReplaceBranchR,MutateNonTerminalR,ReplaceBranchR,MutateNonTerminalR,0,0,9,4
AddToLeafX,AddRandomSubTreeR,AddToLeafX,AddRandomSubTreeR,0,0,10,4
DivXD,MultXD,DivXD,MultXD,0,0,11,4
AddTreeWithMult,SubXD,AddTreeWithMult,SubXD,0,0,12,4
MultXD,MultXD,MultXD,MultXD,0,0,13,4
AddRandomSubTreeR,FellTreeD,AddRandomSubTreeR,FellTreeD,0,0,14,4
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,15,4
