A,P,AFinal,PFinal,AGen,PGen,count,run
MutateTerminalR,AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,0,0,0,3
AddTreeWithSub,DivXD,AddRandomSubTreeR,DivXD,0,0,1,3
AddXD,AddToLeafR,AddToLeafX,AddToLeafR,0,0,2,3
AddTreeWithMult,SkipD,MultXD,SkipD,0,0,3,3
AddXD,SkipD,AddToLeafX,SkipD,0,0,4,3
DeleteNonTerminalR,DeleteNonTerminalR,DivXD,DeleteNonTerminalR,0,0,5,3
SubXD,AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,0,0,6,3
AddTreeWithMult,AddToLeafR,AddTreeWithMult,AddToLeafR,0,0,7,3
ReplaceBranchR,FellTreeD,DivXD,FellTreeD,0,0,8,3
MutateNonTerminalR,SubXD,MutateTerminalR,SubXD,0,0,9,3
DeleteNonTerminalR,ReplaceBranchXR,FellTreeD,ReplaceBranchXR,0,0,10,3
AddTreeWithSub,AddToLeafX,DivXD,AddToLeafX,0,0,11,3
DivXD,ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,0,0,12,3
SkipD,SubXD,SkipD,SubXD,0,0,13,3
DeleteTerminalR,AddTreeWithDiv,AddToLeafR,AddTreeWithDiv,0,0,14,3
DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchXR,DeleteTerminalR,0,0,15,3
