gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
278,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((3)*(8))*((9)*(9)))*((5)/((x)+((x)/(x))))),((x)+(0)),-0.24105887681312335,-0.0000004534235461746718,-0.9544911327167998,0.005532478116019354,0.04149659543267238,0.003247650882112945,0.000013286979663613384,0.00000026627819888327066,-0.2694309704505786,-0.45301387011716787,-0.023991319391411192,0.2387438886016242,-0.9452804410511435,0.006707499879822372,-0.6816061729070682,0.008255384467473688,560.505904052148,635.9087151182546,3261.3863000274882,634.9177549537858,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,5,2
279,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((2)*((7)*(x)))+(((6)*(4))*((8)+(5))))*(((x)+((0)+(7)))+((7)+((x)-((x)/(x)))))),(((x)*((9)*(8)))+((0)/((1)+(x)))),0.009524238065269069,0.000003429706668229711,-0.944098107349611,-0.19931055105319023,0.19132698787381014,0.2940140870386667,0.00004271855454971343,0.003035546721374894,2.7354915644707685,-0.32277423200949074,8.480116908105234,0.4496755537353385,-0.917578477490641,-0.0734203034530525,0.5843221634799547,0.521158104952591,NaN,3194.1107825609342,29203.575118205423,306.55595827769446,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,4,1,2
280,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((0)/((x)+(x)))*((2)-((8)+(7)))),((((x)*(x))*((1)+(8)))*((7)+((x)*((x)+(x))))),0.04425891707962144,0.0000006006446988805263,-0.9380184728912224,-0.018936691236590576,0.0025441617200874463,0.18377825123815383,0.0000004195964603512863,0.00043893672008527094,-0.8428294156319377,-0.26354170936422383,-0.477178715148491,-0.38470235992997104,-0.937223701794009,0.024052129222260035,-0.9307228505436621,0.7648717136726989,643.0330663279509,644.1497087376025,709.6228849810925,150.5298050959418,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,2,7,2
281,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(5))*((x)+(2)))*(((x)*(x))*((1)*((0)+(6)))))*(((1)*((9)+(6)))-(((5)+(5))+((x)-((x)*(x)))))),((0)+(x)),0.06054145446822025,0.000003933218273934938,-0.7687962161759447,0.00010482761186930978,0.7673974568369919,0.006916208511883312,0.004381009313340121,0.0000009634212457356556,1.0366272582771578,-0.2607909923453935,2.2314572728942905,0.11775694064870335,-0.5361634413640111,0.0022064216646429913,0.9977887629206101,0.008255384467473688,361813.5894052268,638.8011718968116,4632359.916884668,634.9177549537858,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,3,6,2
282,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(0))/((6)-((8)-(7))))+(((2)*(x))*((x)-((5)*(3)))))*((((x)*(x))+((5)+(x)))*(((x)-(x))-((0)*((x)*(x)))))),((((9)+(4))*((0)-(5)))*((3)*((9)*((x)-(0))))),0.15602657461670819,0.0007833577353884332,-0.6070093054440409,-0.40783065697787235,0.7735602499866487,0.4505732429731855,0.005953415718659102,0.004234059087889407,0.21133228395044937,-0.28697846306149044,-0.36907729030463354,-0.519077401904311,-0.41013530573665147,-0.28207150002513126,0.998442181703943,0.5892321546922037,NaN,NaN,6575379.19487926,262.9747558649351,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,4,2,2
283,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)+((x)*(x))),((((x)+((x)-(5)))*((x)*((1)*(9))))/(((5)*(3))+((0)-((x)*((x)+(x)))))),0.043599963816717296,0.00000035037740732184415,-0.9387677343062991,-0.14137287625693673,0.0009659093768645711,0.2990052400855273,0.00000003182160096605986,0.002029447897836881,0.24199538619792813,-0.12209579509140782,-0.15329430227470908,-0.295078727118276,-0.9383615221206132,-0.05092707971522545,-0.9361150957943566,0.6659539171736001,631.3780928036156,1027.8053164420426,654.3887903142052,213.8572628855258,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,3,2
284,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((0)+(x)))*(((8)*(x))*((5)+((5)-(5)))))*(((0)+((8)-(5)))*(((0)/(x))-((x)-((x)/(x)))))),(((0)+((x)-(7)))*((x)+((x)/(x)))),-0.11497366066864534,-0.00000012964904517643204,-0.9600197006288496,0.00003244832506109406,0.1562837212507299,0.0022421597101119025,0.000023979609189568983,0.000000053027338037674064,1.4737466719833188,-0.08442820467580478,5.604453508353201,-0.708086992727504,-0.9391415047054144,0.0005589537201369301,0.2695168294159441,0.008431259809629495,648.6701210793588,639.8006241769523,14621.99443551468,634.205412745394,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,5,4,2
285,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(3))*((5)*(3)))*(((x)+(0))*((3)/(4))))/(((1)+((1)-(x)))*((x)*((x)-((x)*(x)))))),((0)/(x)),-0.3497735230274776,-0.00000000010907618989329734,-0.8388269741481142,0.000001428340273002192,0.502902993026296,0.00000007684839891551817,0.0019001845985323793,0.000000000000000051178819266404154,-0.04107348805946988,0.35881983465414896,-0.5396960373011637,-0.2319576550605018,-0.7463470354988627,0.0000014486674843106214,0.9855616468935695,0.0000015249131413796015,14959.6677785602,640.2018995771741,709446.98039925,640.2018995771741,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,1,2
286,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)*((x)/(x)))*((x)+((x)-(x)))),((((4)+((0)/(7)))+((7)*((5)-(1))))+(((0)*(x))-((2)*((x)+((x)*(x)))))),-0.22069439237671548,-0.00003695973848906622,-0.9576820547632467,-0.2156175657663404,0.025051897161426258,0.3623649468675661,0.000010885236846653765,0.0025765424354291036,0.08022789315032158,-0.14049314237249266,-0.7598782231681414,-0.4936147916062579,-0.9508102089604755,-0.11153402029126033,-0.9361151890353473,0.6979863240084179,NaN,3482.4311551243245,654.3878352237981,193.3500239100884,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,5,2
287,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*(0))+((0)+(6)))*((x)-((2)/((x)+(x))))),((x)*((x)*(x))),-0.15894841642244917,-0.000003194733105374375,-0.9434200236198421,0.02496085015678415,0.011101252841092106,0.12170576759605932,0.000004469300306108897,0.00009038934017446918,-0.8537777720338823,0.7561614353323767,1.690467377603532,0.28015075875141937,-0.9394425559119886,0.050602445626624575,-0.9260402043273469,0.6005462915314183,620.3047977298731,607.9725391525859,757.5883821680354,255.73141292292496,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,3,2,2
