A,P,AFinal,PFinal,AGen,PGen,count,run
DeleteTerminalR,DeleteNonTerminalR,DeleteTerminalR,DeleteNonTerminalR,0,0,0,0
AddRandomSubTreeR,AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,0,0,1,0
DeleteTerminalR,AddToLeafX,DeleteTerminalR,AddToLeafX,0,0,2,0
DivXD,DeleteTerminalR,DivXD,DeleteTerminalR,0,0,3,0
AddXD,AddTreeWithSub,AddXD,AddTreeWithSub,0,0,4,0
SubXD,SubXD,SubXD,SubXD,0,0,5,0
MutateTerminalR,MultXD,MutateTerminalR,MultXD,0,0,6,0
AddRandomSubTreeR,ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,0,0,7,0
AddTreeWithSub,ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,0,0,8,0
AddToLeafX,SubXD,AddToLeafX,SubXD,0,0,9,0
SkipD,AddRandomSubTreeR,SkipD,AddRandomSubTreeR,0,0,10,0
MutateNonTerminalR,FellTreeD,MutateNonTerminalR,FellTreeD,0,0,11,0
AddTreeWithDiv,AddToLeafR,AddTreeWithDiv,AddToLeafR,0,0,12,0
MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,0,0,13,0
AddTreeWithDiv,ReplaceBranchXR,AddTreeWithDiv,ReplaceBranchXR,0,0,14,0
AddTreeWithAdd,AddTreeWithDiv,AddTreeWithAdd,AddTreeWithDiv,0,0,15,0
