gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((4)*(9))*((5)*(7)))*(((4)+(2))-((5)*((8)*(x)))))/((((3)*(4))-((8)+(2)))-(((2)*(x))*((x)*((2)+(x)))))),((x)*((x)*(x))),0.12389436466830736,0.0007631683370936654,-0.932477692879428,-0.124833487478342,0.5256947448721361,0.119256043577935,0.001493957321989809,0.02539799248932757,3.32884431726235,-1.7633659510478603,12.751786980098096,3.6548820184188693,-0.7356813601162088,0.059812304519535106,0.9933446084224654,0.6005462915314183,46641.574469835476,603.0610053934462,1539089.9083791547,255.73141292292496,MultXD|DivXD|DeleteTerminalR|MutateTerminalR|AddToLeafX|DivXD|SkipD|MutateTerminalR|AddTreeWithDiv|SubXD|AddXD|AddTreeWithAdd|AddTreeWithSub|SkipD|SubXD|AddToLeafX,AddXD|SubXD|SkipD|ReplaceBranchXR|AddToLeafX|AddToLeafX|AddToLeafX|ReplaceBranchXR|MultXD|MultXD|AddToLeafR|AddXD|MultXD|AddXD|SubXD|SubXD,DivXD,MultXD,0,0,1,1,1
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((8)*(x))*((8)*((x)*(2))))-(((x)-(4))*((x)-((x)-(x))))),((8)*((9)*(x))),0.05202516961932218,0.00011825126443501623,-0.9293893098214969,-0.06948955284423558,0.42323250840772486,0.14129765494666033,0.0005992597445193425,0.008621234775173535,2.4443445796363243,-0.982534076350378,7.613560804712922,0.4540008289773696,-0.8136723325462357,0.06091381351296524,0.9666434606097258,0.5163035069400439,7476.357954282067,602.9037907941961,307083.594417528,309.6638858863303,MultXD|DivXD|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|DivXD|AddToLeafR|ReplaceBranchR|AddXD|AddToLeafX|ReplaceBranchR|DivXD|MutateTerminalR|AddToLeafX|DivXD|AddToLeafX,AddXD|SubXD|SkipD|ReplaceBranchXR|AddToLeafX|AddToLeafX|AddToLeafX|ReplaceBranchXR|MultXD|MultXD|AddToLeafR|AddXD|MultXD|AddXD|SubXD|SubXD,DivXD,AddXD,0,0,2,2,1
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((3)-(4))-((9)*((x)+(7))))*(((2)*(x))*((x)/((1)/(7))))),((x)*((9)*(9))),-0.06075927073421756,-0.000041037366794423136,-0.9316941326597026,-0.009214122926905693,0.43557864743300945,0.041584974272588136,0.0005952832491583369,0.0007663200788167081,4.08990329354501,-3.012860282724301,18.613416968431554,9.510535064738287,-0.793131830212196,0.019643340753173096,0.8276383480164549,0.555261194414619,4818.436658613075,627.6504481232823,59428.79924516583,284.7230623293839,MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddXD|DivXD|MutateNonTerminalR|MultXD|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR,AddXD|SubXD|SkipD|ReplaceBranchXR|AddToLeafX|AddToLeafX|AddToLeafX|ReplaceBranchXR|MultXD|MultXD|AddToLeafR|AddXD|MultXD|AddXD|SubXD|SubXD,MutateNonTerminalR,AddXD,0,0,3,3,1
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)-((6)*(x)))*(((6)*(7))+((2)*(8))))/(((8)*((8)*(x)))*((x)*((x)*((x)*(x)))))),(((x)+((x)*(x)))*((x)+((7)-(3)))),-0.46571396589594527,-0.007101711219703872,-0.8336313742375745,-0.12049160932429688,0.8276828322420459,0.11196220093967509,0.03837286088074483,0.006059870090914516,1.6296274276778564,-0.31224714523050584,1.0527861215761383,-0.6287867610008875,-0.32461617509574375,0.02314713419510691,0.9972523181212255,0.6783147588410166,NaN,627.7415927598947,3727959.2271663817,205.94381650235474,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddToLeafX|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|MutateTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MultXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchXR,0,0,4,2,1
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)-(2))*((1)-(x)))-(((9)*(3))*((x)*(4))))*(((8)+((5)-(6)))-(((8)-(1))+((6)-((0)*(x)))))),((((x)*((x)+(0)))+((5)*((8)+(2))))*(((x)-(x))*((5)-((1)-((x)-(x)))))),-0.20672460974140272,-0.0007493471318239834,-0.912310095542051,-0.10150688868649563,0.47923380681224004,0.22052968084449592,0.0016288000790929114,0.008067035265719046,1.2013643480799536,-0.8931527682752218,0.7747840356363369,-0.03816132819214113,-0.7782915683586054,0.017057497583123894,0.9850258933527354,0.8307087285272389,NaN,1126.4479638197197,684063.9147689265,108.3807588499402,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddToLeafX|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|MutateTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MultXD|DeleteNonTerminalR,DivXD,SkipD,0,0,5,1,1
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((8)*((8)*(9)))/((x)/(x))),(((x)*((x)*(x)))-((2)+(6))),-0.09382333529330988,-0.000019081448127711445,-0.9574463201573499,-0.0128485199200533,0.02537554736743191,0.09810674356030429,0.00001432803016567924,0.002886784999963709,0.08167558930316476,-2.809377160323884,-0.5155996341928857,7.948688247760403,-0.9501381070594244,0.031086813439559605,-0.9348153572533591,0.6017370884611822,510.74763607890577,620.7954280013766,667.702331942605,254.96906130395945,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddToLeafX|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|MutateTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MultXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchXR,0,0,6,2,1
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((4)*((9)*(x))),NaN,0,-0.9374999999999999,-0.00007242029546621214,0,0.042096440520208965,0,0.000001431083331944085,NaN,-1.214374715284277,NaN,19.603337292057496,-0.9374999999999999,0.0055777668588186825,-0.9374999999999999,0.28512083318071835,640.2028758309526,636.6505895983526,640.2028758309526,457.6676984693394,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddXD|SubXD|SkipD|ReplaceBranchXR|AddToLeafX|AddToLeafX|AddToLeafX|ReplaceBranchXR|MultXD|MultXD|AddToLeafR|AddXD|MultXD|AddXD|SubXD|SubXD,DivXD,SubXD,0,0,1,2,1
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((1)/(7))-((x)*(x)))+((x)*((7)+((x)/(x))))),(((x)+((7)*(7)))*((2)*((x)-(x)))),0.15267343930188304,0.000004983761234032756,-0.9454327601652316,-0.0011256551374540268,0.013302098765084001,0.09677089441273323,0.000006735234524304174,0.0001582103000942768,-0.2572918856314444,-0.020650692450916244,-0.3951944362958617,-0.5846874146572825,-0.9404959023691131,0.02942461054757624,-0.936884312868405,0.5930613435140839,609.5151108323137,621.6864923313638,646.5095105870998,260.52329816906763,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddToLeafX|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|MutateTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MultXD|DeleteNonTerminalR,AddToLeafR,DeleteNonTerminalR,0,0,8,4,1
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)-(0))*((x)-(x))),(((2)*((x)+(0)))*((x)*(x))),-0.09286610045202806,-0.0000003358559803046816,-0.9372248338223537,0.006664775121235784,0.0006728384092969436,0.24962997131385448,0.000000013737232652448641,0.0009521217787585957,-0.1854202635523988,-0.04070786436224658,0.5216441900484172,-0.41685993424180445,-0.9369723607121768,0.08942253675659521,-0.9356020063426314,0.7986383143367062,645.6076148624059,620.7126587744357,659.6444917950544,128.91233024380907,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddToLeafX|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|MutateTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MultXD|DeleteNonTerminalR,SubXD,ReplaceBranchXR,0,0,2,3,1
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*(x)),((((8)/(3))+((x)*(x)))*((x)*((2)/((x)/(x))))),0.17959433426517543,0.00000089177666595496,-0.9375311752165968,-0.3468309417026034,0.00039890078412625535,0.4167567830293943,0.000000007960597098128802,0.0030972859443282185,-0.0050004452314032334,0.07749548771139214,0.07167735332076841,-0.4890601194738542,-0.937313861096065,-0.21858515787595034,-0.9361150957943566,0.015103095752387868,642.109542416604,7667.815528178123,654.3887903142052,629.4594921258093,MutateTerminalR|AddTreeWithAdd|SubXD|DeleteNonTerminalR|SubXD|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DivXD|DivXD|FellTreeD|AddTreeWithSub|AddTreeWithMult,AddToLeafX|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|MutateTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MultXD|DeleteNonTerminalR,DivXD,DeleteNonTerminalR,0,0,4,1,1
