stratNum,runTopAStrategy,runTopPStrategy,runFinAStrategy,runFinPStrategy
1,AddTreeWithAdd,AddTreeWithSub,AddTreeWithAdd,AddTreeWithSub
2,AddTreeWithAdd,DivXD,AddTreeWithAdd,DivXD
3,SubXD,AddXD,SubXD,AddXD
4,ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,ReplaceBranchR
5,AddTreeWithAdd,DivXD,AddTreeWithAdd,DivXD
6,DivXD,AddXD,DivXD,AddXD
7,AddToLeafR,MutateTerminalR,AddToLeafR,MutateTerminalR
8,AddTreeWithMult,AddTreeWithDiv,AddTreeWithMult,AddTreeWithDiv
9,MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv
10,AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv
11,AddTreeWithSub,SkipD,AddTreeWithSub,SkipD
12,AddXD,AddToLeafR,AddXD,AddToLeafR
13,AddToLeafR,SubXD,AddToLeafR,SubXD
14,ReplaceBranchR,DivXD,ReplaceBranchR,DivXD
15,DivXD,AddToLeafR,DivXD,AddToLeafR
