stratNum,runTopAStrategy,runTopPStrategy,runFinAStrategy,runFinPStrategy
1,MutateTerminalR,MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR
2,AddTreeWithDiv,AddXD,AddTreeWithDiv,AddXD
3,SubXD,DivXD,MutateTerminalR,DivXD
4,DivXD,MutateTerminalR,AddRandomSubTreeR,MutateTerminalR
5,AddToLeafR,MutateTerminalR,MutateTerminalR,MutateTerminalR
6,AddXD,SubXD,DivXD,SubXD
7,AddTreeWithMult,SkipD,ReplaceBranchR,SkipD
8,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR
9,SubXD,SubXD,AddTreeWithAdd,SubXD
10,MutateNonTerminalR,SubXD,AddTreeWithAdd,SubXD
11,SkipD,AddTreeWithSub,ReplaceBranchXR,AddTreeWithSub
12,AddXD,SubXD,AddRandomSubTreeR,SubXD
13,AddTreeWithMult,AddXD,AddTreeWithMult,AddXD
14,SkipD,AddXD,ReplaceBranchXR,AddTreeWithMult
15,MultXD,MultXD,ReplaceBranchXR,MultXD
