gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,-0.03951943516370409,0.004057281585864836,-0.0394786302444125,0.011999738596261928,235.31529999999998,358.03210000000007,255.296,239.93760000000003,-0.9874746765128741,0.29269749985996235,0.0001253690226641344,0.003020939973957765,6093.13,6105.41,6133.2,6060.96,((((3)*(0))*((2)*(x)))*((5)-((9)-((3)*(x))))),((x)+((2)*(x))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|DeleteTerminalR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,30,30,32,32,0
32,x*x*x*x,25,-10,-0.03920087468141419,0.013238745635491163,-0.03840470036596524,0.01775295479582501,391.3029,229.3204,781.1608,190.6376,-0.8897884263494967,0.7257781429131579,0.0474511857311482,0.21352708119346328,19272.86,5091.4,53966.64,2349.84,((((2)-(8))*((8)*(6)))-((9)*((7)*((9)*(x))))),((((9)+(x))*((x)*(6)))-((x)+((9)-((x)*(x))))),AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,32,32,33,33,0
33,x*x*x*x,25,-10,-0.03865700807084041,0.007032001519378355,-0.03624198307410796,0.012046137759769966,657.6148,352.83399999999995,1840.1656,239.54,-0.709868644621618,0.28772149298877836,0.1380605558583667,0.0004632155032228349,40696.43,6117.5599999999995,142066.88,6103.6,((((x)*(6))*((5)-(x)))*((1)*((5)*((x)*(x))))),((x)*(9)),AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|DeleteTerminalR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,32,30,34,34,0
34,x*x*x*x,25,-10,-0.037773686241994515,0.009843798423664596,-0.03504193896222716,0.011532479414455628,1090.1457,262.703,2427.784,243.94159999999997,-0.5951798784472618,0.2940045185503296,0.19347720254752726,0.003824564437570514,84707.66,6097.74,198225.84,6049.76,((((9)*(0))-((8)*(x)))*((3)-((8)*((x)*(x))))),((((x)+(0))*((1)*(x)))+((x)*((9)-(x)))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|DeleteTerminalR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,32,34,35,35,0
35,x*x*x*x,25,-10,-0.03928731517938831,0.012013672349086022,-0.03883833975950856,0.01319085273633699,348.97610000000003,239.8182,568.8232,229.7308,-0.9555657757155926,0.38844595477715343,0.015237687258844666,0.04905105809832083,10676.43,5801.32,21757.84,5240.48,((((x)+(x))*((7)*(3)))+((2)*((x)-((0)*(x))))),((((x)*(3))+((3)+(5)))*((x)*((5)-(0)))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,32,35,36,36,0
36,x*x*x*x,25,-10,-0.03247886190806452,0.008813540947028402,-0.013003007264985798,0.01259065108202476,4109.3903,350.5599,14925.694400000002,234.87400000000002,0.4365360629163346,0.3368560598987994,0.7110178210953152,0.02376184864494995,222616.36000000002,5975.51,869024.56,5682.56,((((x)*(x))*((4)*((x)*(8))))-((4)*((x)-((2)*(x))))),((((x)+(x))*((1)*((x)*(4))))-(((4)+(6))-((0)+((4)-(x))))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,32,35,37,37,0
37,x*x*x*x,25,-10,-0.03225824728218491,0.008309116031548096,-0.012113828234738855,0.01711424276938589,5167.8432,1345.1853999999998,19162.7968,196.11079999999998,0.6380618569600448,0.5699114961629667,0.7975700618851025,0.14305853923529205,354169.5,5524.030000000001,1352894.16,3685.48,((((6)*(4))*((5)*((x)*(x))))*((5)*((x)*((3)-(7))))),((((x)*(x))*((x)*(8)))+((7)-((x)-((0)-(x))))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|ReplaceBranchXR,AddXD,ReplaceBranchXR,37,35,38,38,0
38,x*x*x*x,25,-10,-0.029735583305837116,0.008378282868353544,-0.007382171153030874,0.012522172638497303,5249.026800000001,283.1246,16863.4224,235.4608,0.03614457831325306,0.3625949922512464,0.4501132787723485,0.07289163824153704,212976.52000000002,6100.69,508026.4,5462,((((x)*(4))-((4)-((7)*(4))))*((3)*((x)*((x)*(x))))),((((x)+(x))+((0)*(3)))*((6)*((x)-((0)-(x))))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|DeleteTerminalR|SubXD|DeleteTerminalR|ReplaceBranchXR,AddXD,ReplaceBranchXR,37,38,39,39,0
39,x*x*x*x,25,-10,-0.02378865141323237,0.008012674079204333,-0.0004855046902104021,0.011969070336277239,12244.166399999998,4521.8646,35219.7848,240.2004,0.7986524437816195,0.28706798364359476,0.9231382162763455,0.0007451737794427251,820617.8800000001,6116.76,2431934.16,6109.2,((((4)-(6))*((6)*((5)*(9))))*((8)*((x)*((x)*(x))))),((x)*((7)-(x))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|ReplaceBranchXR,MultXD,ReplaceBranchXR,37,35,40,40,0
40,x*x*x*x,25,-10,-0.021493653426484727,0.011342623279870047,0.011826320812424702,0.011896857553634448,13501.23,245.56850000000003,43134.8368,240.81920000000002,0.7831156865987654,0.32468211438280714,0.8120172478644216,0.020802472121958415,708343.44,6051.32,2257719.76,5786.88,((((x)*(x))*((x)*((8)-(5))))*((8)*((x)*((x)+(x))))),(((x)*(7))-((x)*(x))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|ReplaceBranchXR,AddXD,ReplaceBranchXR,37,35,41,41,0
41,x*x*x*x,25,-10,-0.02539643445601341,0.0027493829466762815,-0.009847552031303063,0.012734469817204103,7897.947999999999,2136.5821,16761.4176,233.6416,0.4483484612105366,0.29224937916612215,0.610323594490627,0.0070208041451667175,520167.82,6111.21,887632.8,6064.8,((((x)*(x))*((9)*((5)-(7))))*((8)*((x)*((x)+(x))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|ReplaceBranchXR,AddXD,ReplaceBranchXR,37,41,42,42,0
42,x*x*x*x,25,-10,-0.027537744587296777,0.00819011872596589,-0.010401682584094043,0.016305338237765376,9328.2804,341.4464,25698.224000000002,203.0424,0.7525259972434514,0.32421532199339026,0.8515921370784764,0.019160872561012628,749384.92,6036.92,1978648.24,5790.88,((((7)*(1))*((x)*((x)*(7))))*((9)*((8)*((x)+(x))))),((((0)*(x))*((x)+((1)+(6))))*(((x)*(x))+((0)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,37,42,43,43,0
43,x*x*x*x,25,-10,-0.0258655858071781,0.01355884851653379,-0.0024035014115401897,0.022332094777526748,16600.8172,226.5774,56789.45920000001,151.3984,0.8887344038338713,0.6383759359187408,0.9168417332493953,0.17560079390444852,1122240,5355.8,4400857.2,3098.8,((((5)*(2))*((9)*((x)*(x))))*((8)*((x)*((x)+(x))))),((((x)*(1))*((1)+((1)*(3))))*(((4)*(x))*((9)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|ReplaceBranchXR,AddXD,ReplaceBranchXR,43,42,44,44,0
44,x*x*x*x,25,-10,-0.020725506966438073,0.004221691091061941,0.01405954333409086,0.02261450417312396,32356.0223,1977.0975,118143,148.9784,0.9470549419589974,0.6795983718281458,0.8874224728434784,0.07517701400948892,2392654.68,6438.6900000000005,9248530.8,2745.56,((((x)*(9))*((7)*((4)*(6))))*((x)*((x)*((x)+(x))))),((((x)-(2))*((x)+((9)*(6))))+((5)*((x)+((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|AddXD,AddXD|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,44,43,45,45,0
45,x*x*x*x,25,-10,-0.027808752790482255,0.00419154324541537,0.00014870011764228752,0.014514302518811736,8886.4624,572.1749,31326.7632,218.39,0.7212546727572757,0.44413428683458755,0.8118648796134942,0.12365632931806336,490945.84,6041.620000000001,1756671.6,4763.28,((((x)*(x))*((x)*((4)+(8))))*((3)*((8)*((x)+(x))))),((((x)*(2))*((x)+((5)*(x))))-(((0)*(x))+((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,ReplaceBranchXR,44,45,46,46,0
46,x*x*x*x,25,-10,-0.028418108567435808,0.008648653037239367,0.0008632489742771654,0.012405847975054618,8803.791000000001,462.1152,32539.4848,236.4576,0.7579196498741683,0.28684392329667463,0.855954368483807,0.0009002439471833712,523025.36000000004,6117.96,2022733.36,6111.12,((((5)+(x))*((5)*((x)*(x))))*((7)*((9)*((x)+(x))))),((x)*((6)-(x))),AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,ReplaceBranchXR,44,45,47,47,0
47,x*x*x*x,25,-10,-0.0346096176153444,0.007030235487422994,-0.029385152267677427,0.01242937431148123,2639.4762000000005,535.914,5197.7088,236.25599999999997,-0.5905759051104431,0.37467557928935535,0.17941205202574595,0.044614740835589195,97537.20000000001,5931.94,200480.24,5358.48,((((x)*(7))+((9)-((3)*(4))))*((7)*((x)*((x)+(x))))),((((x)*(0))-((x)-((0)+(7))))*(((x)*(x))+((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DivXD|DeleteMaliciousR,AddToLeafR,SubXD,44,47,48,48,0
48,x*x*x*x,25,-10,-0.034660731440334595,0.003644528761777731,-0.023241468435498628,0.02562186082118117,2614.4476,2518.8997999999997,8206.0496,123.208,-0.051664488302182704,0.9954254345837145,0.4592746486148112,0.15492329726769408,127870.5,5456.120000000001,464365.76,39.2,((((2)-(8))+((7)*((9)*(7))))*((x)*((x)*((x)+(x))))),((((x)+(0))*((x)*(x)))*((0)+((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DivXD|DeleteMaliciousR,AddRandomSubTreeR,SubXD,48,47,49,49,0
49,x*x*x*x,25,-10,-0.032740261444140516,-0.01649552829388672,-0.018800344561034677,0.01697266463767575,5227.909799999999,811.9636999999999,17073.016799999998,197.32399999999998,0.6707814503139942,0.28571428571428575,0.7919186029588119,0.01892276068305995,411334.45999999996,6204.59,1487352.4,6120.8,((((x)*(x))*((3)-((7)*(5))))*((7)*((x)*((x)+(x))))),(((x)-(0))-((0)-(x))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,48,49,50,50,0
50,x*x*x*x,25,-10,-0.036894284652333034,0.012445245252721402,-0.03288014638609332,0.014212147805142189,1520.7569999999998,236.12,3486.336,220.97920000000002,-0.6874959155665926,0.4742797393431298,0.13380684718081887,0.08567207696333333,65890.56,5527.9400000000005,153022,4504.96,((((1)*(x))*((x)*((2)+(4))))*((6)*((x)*((x)+(x))))),((((x)*((7)+(6)))*((x)*((4)*(x))))-(((x)*(0))+((0)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddToLeafR,SubXD,50,49,51,51,0
51,x*x*x*x,25,-10,-0.0410381015658381,-0.005477171520610434,-0.026479242624612355,0.020576441921690912,NaN,NaN,NaN,166.44279999999998,0.46274901554164016,0.5586104524151839,0.636675667501047,0.0003520906209611966,299842.92,6124.92,911425.04,3782.32,((((x)*(6))+((7)*((x)*(x))))*((x)-((x)*((x)+(x))))),((((x)*((6)+(7)))*((x)*((x)*(x))))-(((0)*(x))*((4)-((0)-(x))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|SubXD,AddXD,SubXD,48,50,52,52,0
52,x*x*x*x,25,-10,-0.035407939321657304,0.0008229899756541481,-0.028112702587897012,0.01601461993763654,2248.5667999999996,890.2208999999999,5820.7816,205.5336,-0.2646732453274082,0.3031629852306889,0.30178914342648766,0.043147765647100544,138775.53999999998,6256.49,360063.04,5971.28,((((x)*(2))+((7)*((x)*(8))))*((9)-((x)*((x)+(x))))),((((x)*(4))+((0)*((9)-(x))))*((0)+((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,48,52,53,53,0
53,x*x*x*x,25,-10,-0.03551312124232126,0.0046808838918299634,-0.027001802052019342,0.0160305842373546,2197.0630000000006,474.8185,6364.749599999999,205.3968,-0.4001102797019997,0.34630393786059716,0.28597171272125094,0.03234747126324223,84061.28000000001,5992.78,293744.4,5601.6,((((7)*(9))-((2)*((x)*(x))))*((x)-((x)*((x)+(x))))),((((x)*(x))*((0)+((2)*(x))))+(((x)-(0))*((8)-((x)-(x))))),AddRandomSubTreeR|SkipD|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,SubXD,SubXD,53,52,54,54,0
54,x*x*x*x,25,-10,-0.03694760162070318,0.007752009619832793,-0.03218175728662919,0.013320667699833824,1494.6496,287.3246,3828.312,228.6184,-0.5676728532218009,0.2915491905819968,0.1984867327094733,0.00791717827598179,77459.56,6138.9,211695.04,6070.8,((((6)*(2))*((x)*((4)*(8))))*((x)-((x)*((x)+(x))))),((((x)*(0))-((4)-(x)))*((x)+((0)-((0)-(x))))),AddRandomSubTreeR|SkipD|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,53,54,55,55,0
55,x*x*x*x,25,-10,-0.03770927411449484,0.00795954894847904,-0.033778530584237354,0.020032675467259186,1121.6860000000001,591.0849000000001,3046.4296000000004,171.10240000000002,-0.6411273036204417,0.3613159811042441,0.16915186606324067,0.007433961914924872,51558,6144.15,175727.04,5472.96,((((x)*(x))*((8)*(8)))*((5)-((x)*((x)+(x))))),((((x)*(x))*((x)+((4)-(0))))-(((x)*(x))+((x)-((x)-(0))))),AddRandomSubTreeR|AddToLeafR|SubXD|SkipD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,55,54,56,56,0
56,x*x*x*x,25,-10,-0.03445244698405437,0.01227015142745113,-0.025703244673898836,0.015526775211456956,2716.4369999999994,237.62039999999996,7000.606400000001,209.71400000000003,-0.48761027970199977,0.681236813114999,0.1635760769444445,0.1911783479739991,147221.91999999998,5179.49,250898.8,2731.52,((((x)*(x))*((x)*((7)*(5))))+((7)-((x)*((x)+(x))))),((((6)-(5))*((9)*((2)*(x))))*((x)*((5)-((0)-(0))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddToLeafR,SubXD,54,56,57,57,0
57,x*x*x*x,25,-10,-0.03595196093647889,0.011131691468902295,-0.030024699385701216,0.012683449409040839,1982.1790000000003,247.37599999999998,4884.5456,234.0788,-0.3376102797019997,0.35280635584517434,0.3099543056074276,0.034000400690501836,122018.52,5982.860000000001,324348.4,5545.88,((((x)*(x))*((9)*((2)*(x))))*((3)-((x)*((x)+(x))))),((((0)*(0))+((3)+((9)*(x))))*((x)+((5)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddToLeafR,SubXD,54,56,58,58,0
58,x*x*x*x,25,-10,-0.03067734235875355,0.00947416594961209,-0.006052285393712404,0.017713184084246693,7033.621199999999,414.84770000000003,26497.5792,190.9784,0.6679868251392036,0.7290550254868645,0.8011446767040717,0.23219693965575924,393159.86,5293.58,1474833.04,2321.76,((((x)*(7))*((3)*((x)*(x))))*((x)-((x)*((x)+(x))))),((((x)*(7))*((x)-((0)*(x))))-(((0)*(x))+((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,58,58,59,59,0
59,x*x*x*x,25,-10,-0.03608163189452359,0.009780411395121136,-0.029022073911906938,0.014264615269712646,1918.6838,271.39029999999997,5375.4952,220.5296,-0.4299457587243498,0.3241312993632952,0.2616040108194032,0.027990458090605696,89538,6106.3,279135.04,5791.6,((((9)*(8))*((7)-((0)*(x))))*((x)-((x)*((x)+(x))))),((((0)*(0))*((x)*((9)-(4))))-(((x)*(x))*((6)-((x)-(0))))),AddRandomSubTreeR|AddToLeafR|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteTerminalR|DeleteMaliciousR,AddXD,SubXD,54,59,60,60,0
60,x*x*x*x,25,-10,-0.03538794397791138,0.008321145531697884,-0.03135206999085087,0.01825055548294341,2258.3577999999998,2609.2491000000005,4234.58,186.3736,-0.2724746765128741,0.6197882629721605,0.2931543646081422,0.2521578542124157,178083.66,6017.58,356242.96,3258.08,((((x)*(x))*((x)*((2)-(7))))*((x)-((x)*((x)+(x))))),((((9)-((6)*(x)))*((x)*((4)*(x))))-(((x)*(0))+((0)-((x)-(x))))),AddRandomSubTreeR|MultXD|SubXD|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,MultXD,SubXD,60,60,61,61,0
61,x*x*x*x,25,-10,-0.03698338901777545,0.013218696902365705,-0.031801483466213566,0.021071008458278095,1477.1257999999998,229.49220000000003,4014.5184000000004,162.2048,-0.5765993007450008,0.670369886289374,0.19542173833627532,0.19234516040656355,64785.42,5296.97,207324.08,2824.64,((((x)*(x))-((7)*(9)))*((6)*((x)*((x)+(x))))),((((x)*(2))-((0)-((5)*(x))))*(((5)*(x))+((0)-((x)-(x))))),MutateNonTerminalR|AddToLeafR|MutateTerminalR|MultXD|AddXD,ReplaceBranchXR|DivXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddXD,DeleteMaliciousR,59,61,62,62,0
62,x*x*x*x,25,-10,-0.036830264017775456,-0.03458804404652986,-0.02956343288459025,-0.03398472655301828,1552.1055999999999,780.3466999999999,5110.4112,775.1768,-0.40000408443340735,0.28548088951957734,0.28599049126185055,0.00011474455769818495,84478.2,6124.15,293796.4,6122.8,((((x)*(2))-((7)*(7)))*((x)*((x)*((x)+(x))))),((((x)+(4))*((x)*((0)-(0))))*((x)+((x)-((0)-(x))))),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddTreeWithAdd,SubXD,62,62,63,63,0
63,x*x*x*x,25,-10,-0.03408474566887083,0.012381586440614673,-0.01852826348844895,0.014879007412663146,3883.8489,236.66550000000004,14463.383600000001,215.2648,0.581197471570737,0.560216218234778,0.7761528876376301,0.13231926207730638,303189.01,5453.74,1169200.2,3768.56,((((x)*(8))*((x)*(4)))*((6)*((x)*((x)+(x))))),((((x)-(0))*((7)*(x)))*((x)+((x)-((0)-(x))))),MutateNonTerminalR|AddToLeafR|MutateTerminalR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,MutateNonTerminalR,SubXD,59,63,64,64,0
64,x*x*x*x,25,-10,-0.039529033377989804,0.012062942285788974,-0.03936948274735329,0.014193569468043397,230.61540000000002,239.39600000000002,308.7416,221.1384,-0.9744360214351065,0.4240808857852382,0.006565434238080577,0.07191651269845867,7695.9,5564.0199999999995,12517.76,4935.12,((((x)*(x))*((1)-(6)))*((3)*((x)+(x)))),((((0)*(8))+((5)+((x)*(x))))*((x)+((x)-((0)-(x))))),AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddToLeafR,SubXD,64,63,65,65,0
65,x*x*x*x,25,-10,-0.03817316037119331,0.008615903955461636,-0.03448162004966671,0.011803592434228955,894.5376,273.0941,2702.152,241.6184,-0.5874959155665925,0.28523815747708053,0.20044048551798355,0.000291062928620316,54766.35999999999,6127.04,201988.4,6124.88,((((5)*(7))-((1)*(x)))*((x)*((x)*((x)+(x))))),((((x)+(0))*((x)*(0)))*((x)+((0)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddToLeafR,SubXD,64,65,66,66,0
66,x*x*x*x,25,-10,-0.0321012935657208,0.004713000067758914,-0.017907142959785547,0.011649597624960326,3891.2347999999997,379.8807,10912.1672,242.938,0.12934419310783923,0.3021827212129134,0.5002518756273314,0.008392151302018556,201348.32,6087.54,562408.24,5979.68,((((x)*(6))*((7)*(6)))*((4)*((x)*((x)+(x))))),((((x)*(3))*((8)*((4)-(5))))*(((0)*(x))+((0)-((x)-(x))))),AddTreeWithMult|AddToLeafR|MutateTerminalR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,MultXD,SubXD,66,64,67,67,0
67,x*x*x*x,25,-10,-0.03271673029950061,0.011589481411813218,-0.015929859049263716,0.01989025710924809,4751.3734,253.34619999999998,16526.3552,172.3228,0.6124789035953901,0.998506264353866,0.7566394747460224,0.35668577910776034,355283.98,4597.52,1263580.24,12.8,((((9)*(x))*((x)*(2)))*((x)*((x)*((x)+(x))))),((((x)*(0))+((x)-((0)*(x))))*(((x)*(x))+((0)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,MutateTerminalR,SubXD,66,67,68,68,0
68,x*x*x*x,25,-10,-0.03745285052607503,0.0071451280362723815,-0.03198860606456672,0.01677558489086394,1247.2474,413.2012,3922.8912,199.0128,-0.6047485622794405,0.8142072931642923,0.18686064215227072,0.27825663256761607,56849.78,5144.0599999999995,193540.4,1592.08,((((x)*(x))+((4)*(6)))*((x)*((x)*((x)+(x))))),((((x)-(2))*((x)-((1)*(8))))+(((x)*(x))+((0)-((0)-(x))))),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|AddXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|DeleteMaliciousR,AddRandomSubTreeR,SubXD,68,67,69,69,0
69,x*x*x*x,25,-10,-0.035924748006682064,0.009017203529305242,-0.027001552149588007,0.01143137218290793,1997.1638,291.02549999999997,6371.5104,244.808,0.036148372807504506,0.28608771962581925,0.49892415129082607,0,141264.44,6120.8,508028.4,6117.6,((((x)*(x))*((6)*(7)))*((2)*((x)*((x)+(x))))),(((x)+(4))-((x)-(0))),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|AddXD,ReplaceBranchXR|SubXD|SkipD|DeleteTerminalR|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchXR,66,68,70,70,0
70,x*x*x*x,25,-10,-0.03179730535945388,0.009424285195186968,-0.01240079998963881,0.011491495042664827,4539.4544,264.62180000000006,15605.8952,244.29280000000003,0.4582980764218503,0.2884963683552104,0.6884861707576201,0,265762.72000000003,6120.8,903936.24,6096.96,((((x)*(x))*((6)*(3)))*((5)-((x)*((x)*(x))))),((((6)-(8))*((0)-((7)+(9))))-((1)*((0)+((x)-(x))))),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SkipD|DeleteTerminalR|ReplaceBranchR,MultXD,ReplaceBranchXR,70,68,71,71,0
71,x*x*x*x,25,-10,-0.030990390349842443,0.01142857142857143,-0.011359114006872076,0.01142857142857143,7991.984200000001,244.832,28345.6216,244.832,0.7877984084880637,0.28571428571428575,0.8580996564081456,0,607489.4,6120.8,2307541.6,6120.8,((((x)*(x))*((0)+(9)))*((7)*((6)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SkipD|DeleteTerminalR|ReplaceBranchR,MultXD,SubXD,71,68,72,72,0
72,x*x*x*x,25,-10,-0.025619582363318717,0.009985715514068481,-0.0038791247591087098,0.0114686222155834,8324.3766,259.86060000000003,22466.1408,244.4888,0.6138794467136226,0.28571428571428575,0.8296496085965894,0,480042.60000000003,6120.8,1268163.52,6120.8,((((x)*(x))*((x)*(3)))*((x)-((8)*((x)*(x))))),(0),AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|FellTreeD,MultXD,SubXD,72,70,73,73,0
73,x*x*x*x,25,-10,-0.026578113200460007,0.01142857142857143,-0.0017350021417955818,0.01142857142857143,7809.184399999999,244.832,23684.8704,244.832,0.5209580838323353,0.28571428571428575,0.6890085847834619,0,342764.8,6120.8,1022173.6,6120.8,((((8)+(6))*((x)*(6)))+((6)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|FellTreeD,MultXD,SubXD,71,70,74,74,0
74,x*x*x*x,25,-10,-0.017347798156558233,0.01142857142857143,0.019004853642228706,0.01142857142857143,23737.232200000002,244.832,79473.6104,244.832,0.9069413726694864,0.28571428571428575,0.8869589435236298,0,1377979.16,6120.8,5261887.2,6120.8,((((x)*(x))*((4)+(x)))*((6)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SubXD|DeleteTerminalR|FellTreeD,MultXD,SubXD,74,72,75,75,0
