gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.04711933075719852,-0.01135015030714939,-0.029897164236234293,0.011799671378157852,NaN,NaN,4946.994971428571,241.65200000000002,-0.1365094432100379,0.32282428067292795,0.41855112721525856,1.1485109211855773,115822.905,NaN,422820.24,5802.8,((((9)-(x))*((6)/((4)*(8))))*((x)*((x)*((x)*(x))))),((((2)-(6))/((8)*((0)+(1))))*((x)*((x)*((x)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,10,9,12,12,0
12,x*x*x*x,25,-10,-0.044031479669635464,-0.008893279877858026,-0.027808348146211824,0.01143081203204063,NaN,NaN,5969.813013333333,244.81279999999998,-0.3951542282054633,0.28608771962581925,0.6663075789986516,1.1429193953995795,77103.2,12781.55,296171.2,6117.6,((((x)*(x))*((8)*((4)/(3))))*((6)*((x)*((5)-(x))))),((0)-((1)-(5))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|MutateTerminalR,AddTreeWithDiv,MutateTerminalR,12,11,13,13,0
13,x*x*x*x,25,-10,-0.04965769807751554,-0.029042417091003175,-0.029679082799634035,0.01146087346191908,NaN,NaN,5053.781599999999,244.5552,-0.12395814272644104,0.28629777620105684,0.7672188267680148,1.1429155435397902,111170.2,12781.6,428966.16,6115.8,((((6)*(7))*((9)/((1)*(x))))*((3)-((5)*((x)*(x))))),((((6)/(6))-((4)*((0)*(4))))*(((1)*(1))*((x)-((5)-(2))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|AddTreeWithSub,AddRandomSubTreeR,SubXD,13,13,14,14,0
14,x*x*x*x,25,-10,-0.04403987709284351,-0.011432784229885916,-0.03842691641615475,0.01142941165487238,NaN,NaN,770.2824,244.82479999999998,-0.8844067768919096,0.28571428571428575,0.04521469876219609,1.14279568586536,32227.106666666667,NaN,56601.84,6120.8,((((x)*(x))*((4)*((9)*(3))))/((4)*((5)-((1)*(x))))),(0),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,ReplaceBranchXR,14,13,15,15,0
15,x*x*x*x,25,-10,-0.04582004073930578,0.004664582719516529,-0.034486958131834625,0.012025785611591391,822.6155714285715,321.4281375,2699.538133333333,239.71439999999998,-0.6743053195660699,0.28628377242937436,0.5783489012396043,0.00034183314296813613,43788.491428571426,6120.08,159480.96,6115.92,((((x)*(x))-((9)+((8)/(9))))*((x)*((9)*((5)*(x))))),((((6)*(4))-((3)-(0)))+((6)*((x)*((0)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,AddToLeafR,14,15,16,16,0
16,x*x*x*x,25,-10,-0.04183603618444938,-0.022916157084974884,-0.03111782610116325,0.011439914483634262,NaN,NaN,4349.2807999999995,244.7348,-0.34891239707227817,0.2857096177903916,0.7016826661701415,1.1427785712249456,110053.38444444444,12783.359999999999,318814.16,6120.84,((((x)*(x))*((7)*((5)*(8))))/((2)*((x)*((2)-(6))))),((((x)*(9))-((6)*(0)))-((x)-((5)-(x)))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult,ReplaceBranchXR,14,15,17,17,0
17,x*x*x*x,25,-10,-0.044909057756222344,-0.009222351544967752,-0.03464375245066005,0.011423903504677263,NaN,NaN,2622.7616,244.872,-0.7271683440073193,0.28548088951957734,0.12413917591470616,0,76014.94,6122.8,133595.84,6122.8,((((5)*(x))/((5)*((x)*(x))))*((7)*((7)*((8)-(3))))),((0)-(x)),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithSub,ReplaceBranchXR,17,15,18,18,0
18,x*x*x*x,25,-10,-0.037141200140289446,-0.016725102590594027,-0.02412154620079819,0.012695528958762524,NaN,NaN,8177.195288888889,233.9752888888889,0.24842616819767546,0.4108893328603171,0.9179365696679703,0.05929512396694965,NaN,5758.1900000000005,651518.16,5048.16,((((6)*(4))-((7)*((8)*(x))))*((8)/((1)*((x)*(x))))),((((x)*(5))-((6)/((8)*(4))))*((0)+((x)*((1)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchR|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,ReplaceBranchXR,18,18,19,19,0
19,x*x*x*x,25,-10,-0.04576326483284683,-0.011437001893621125,-0.034161996071682715,0.011453078029015818,NaN,NaN,2858.6603555555553,244.622,-0.5059217749313815,0.28839834195343284,0.24086459020574305,0.001485775928900231,65018.479999999996,6115.51,241932.32,6097.8,((((x)*(x))*((x)*(6)))-((x)*((5)-((2)*(x))))),((((6)-(5))*((x)*(x)))+((5)*((x)-((5)-(x))))),AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,19,19,20,20,0
20,x*x*x*x,25,-10,-0.040410976350741576,-0.008111996199026085,-0.03396801698035116,0.01597288869802267,NaN,NaN,2953.644933333333,205.8912,-0.5667054960135931,0.33286965289317927,0.1994098802170711,0.034553454061780633,69917.04000000001,6130.47,212168.72,5716.72,((((x)*(x))*((x)-(4)))*((7)-((3)*((x)*(x))))),((((5)+(5))*((x)+(4)))*((x)*((x)-((4)-(x))))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,20,19,21,21,0
