gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
24,x*x*x*x,25,-10,-0.039061382499019734,0.011879597905035759,-0.03824771271729186,0.013249761935881399,459.60720000000003,240.9671,858.0320000000002,229.22600000000003,-0.8748856358645929,0.4284313908546035,0.053444920723464746,0.07145633038707382,26030.5,5816.3099999999995,61264,4897.84,((((x)*(x))*((x)*(0)))-((9)-((x)*(x)))),(((2)*((8)*(x)))*((0)+((x)*(x)))),SubXD|MultXD|SkipD|DeleteMaliciousR|DeleteTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult,SubXD,DeleteNonTerminalR,23,19,25,25,1
25,x*x*x*x,25,-10,-0.03911862358678604,0.010664869097171674,-0.03789408574042609,0.011800978396848221,431.5783,251.3763,1031.1904000000002,241.6408,-0.864522938178016,0.31892189629740286,0.06250412086801253,0.016382032797000286,20472.04,6046.049999999999,66338.24,5836.24,((((x)*(x))*((x)*(x)))-((0)-((1)*(x)))),((((x)+(3))*((5)-(0)))+((9)+((3)*((x)-(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,24,25,26,26,1
26,x*x*x*x,25,-10,-0.039350243432231084,0.011358155796627894,-0.03887271271729186,0.011837201486266968,318.1624,245.43540000000002,551.9920000000001,241.3304,-0.925,0.28918255316765323,0.03121719838186813,0.0015237965497913448,13795.920000000002,6109.700000000001,36724.8,6091.08,((((x)*(7))*((1)*(x)))*((x)-((0)*(x)))),(((7)+((2)+(0)))*((4)+(1))),SubXD|MultXD|SkipD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,24,25,27,27,1
27,x*x*x*x,25,-10,-0.03658919544830742,0.00962663811242585,-0.02936523657038296,0.015510204081632657,1670.1481999999999,354.4904,5207.4608,209.856,-0.41250000000000003,0.6570569673432045,0.28852974698638245,0.18511548767588412,75756.64,5317.75,287677.6,2938.72,((((8)*(6))*((x)*(x)))*((x)-((0)*(x)))),((((x)*(x))*((9)*(x)))+((2)+((6)+(6)))),SubXD|MultXD|SkipD|AddRandomSubTreeR|DeleteTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SkipD,AddTreeWithAdd,27,25,28,28,1
28,x*x*x*x,25,-10,-0.035990937459155666,0.012534030346860719,-0.030455115344399427,0.02447793939167616,1963.0936000000002,236.28799999999998,4673.7864,133.0104,-0.3376715462031107,0.8033170267191965,0.2801147196157324,0.2580844669578796,143079.54,5002.6900000000005,324318.4,1685.4,((((x)*(x))*((6)*(9)))*((x)-((7)*((6)*(x))))),((((x)*(x))*((x)*(x)))+((3)-((3)+((6)+(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SkipD,AddTreeWithAdd,24,25,29,29,1
29,x*x*x*x,25,-10,-0.02984487832064528,0.00856668908909176,-0.010492630848912343,0.012328173721455648,5064.548000000001,276.2341,14816.498399999999,237.1232,0.1918445058550606,0.32943406090707106,0.4883873659625863,0.021655251553780532,258498.26,6024.27,605903.2,5746.16,((((5)*(4))*((5)*(x)))*((x)*((x)-((x)*(x))))),((((0)*(x))*((9)-((1)+(1))))+((5)*((x)-((x)*(x))))),SubXD|MultXD|AddXD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,29,28,30,30,1
30,x*x*x*x,25,-10,-0.030423946553310863,0.009187481200284203,-0.01234008271043336,0.017015189424351627,4866.7712,341.3797,14254.956,196.9596,0.31528724588255597,0.6678025281475812,0.6522128407714409,0.19011366092606719,182776.5,5290.23,715137.84,2846.64,((((x)*(x))*((x)*(8)))*((8)-((x)*((4)*(5))))),((((x)*(x))*((4)+(4)))*((7)+((9)-((8)-(0))))),SubXD|MultXD|AddXD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SubXD,AddTreeWithAdd,29,25,31,31,1
31,x*x*x*x,25,-10,-0.034453391917723175,0.011749666243441568,-0.0293858106783427,0.01342009447877962,2715.9743000000003,242.0805,5197.3864,227.7664,-0.2126143641354071,0.46900498534271906,0.3943482378890612,0.0914808392226926,207253.48,5726.01,385554.4,4550.16,((((x)*(x))*((x)*(8)))*((1)*((8)-((x)*(x))))),((((6)+(4))*((x)*((2)+(1))))*((x)-((x)-((x)*(0))))),SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,30,31,32,32,1
32,x*x*x*x,25,-10,-0.035481356399490266,0.010688527788630563,-0.028799751666448832,0.017075405642586406,2212.6171,268.3415,5484.358400000001,196.4436,-0.4299588289112534,0.6708646862221559,0.2573650786611129,0.19064928692469527,112599.4,5270.71,279128.64,2820.4,((((x)*(6))*((7)*(x)))*((4)*((3)-((x)*(x))))),((((x)*(x))*((9)*(6)))+((4)+((4)+((x)-(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SubXD,AddTreeWithAdd,32,32,33,33,1
33,x*x*x*x,25,-10,-0.02886072519609211,0.011376370034837673,-0.014985123941190774,0.014568590473700922,14031.4306,245.3432,45089.8088,217.9248,0.8835912524630688,0.5635584517430028,0.9650643256164256,0.13396001116524597,1264726.5,5456.2,4206419.28,3739.92,((((x)*(x))*((x)*(x)))-((x)*((x)*((5)*(x))))),((((x)*(x))*((4)+((8)*(8))))+((6)-((x)+((x)*(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|AddTreeWithMult,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,33,33,34,34,1
