gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
30,x*x*x*x,25,-10,-0.039504086884067445,0.011633878391246712,-0.0395,0.012252926788281649,242.8308,243.0727,244.832,237.768,-0.9875,0.34400731930466616,0.0000007351980133019075,0.026764422711660654,6120.620000000001,5962.96,6120.8,5621.28,((0)+((0)*(x))),(((x)*((9)-(x)))+((x)*(x))),ReplaceBranchR|MutateNonTerminalR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|ReplaceBranchR,DeleteMaliciousR,AddTreeWithDiv,29,26,31,31,4
31,x*x*x*x,25,-10,-0.03950344256469742,0.0115710481356312,-0.0395,0.016203670855350377,243.1463,243.6111,244.832,203.9136,-0.9875,0.3243646955580036,0,0.014293547815521253,6120.8,5970.48,6120.8,5789.6,((1)-((0)*(0))),((((6)-(0))*((5)*((4)+(x))))*((x)-((x)+((x)*(x))))),FellTreeD|MutateNonTerminalR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|ReplaceBranchR,FellTreeD,MultXD,30,31,32,32,4
32,x*x*x*x,25,-10,-0.03950227421252124,0.006699591089866872,-0.0395,0.015146059338648543,243.71840000000003,303.00430000000006,244.832,212.97639999999998,-0.9875,0.6256885187743899,0,0.16673792636227752,6120.8,5350.5,6120.8,3207.52,((0)*(0)),((((5)+(8))-((2)*((x)*(x))))-((4)/((1)+((x)*(x))))),FellTreeD|MutateNonTerminalR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|MutateNonTerminalR|AddXD|SkipD|ReplaceBranchR,FellTreeD,ReplaceBranchR,30,32,33,33,4
33,x*x*x*x,25,-10,-0.03951241831133186,0.011658781765222101,-0.0395,0.016008178202662586,238.75120000000004,242.8593,244.832,205.58880000000002,-0.9875,0.5063110331049163,0,0.11017754243810444,6120.8,5646.66,6120.8,4230.48,(((x)*((0)*(0)))*((1)*(x))),((((6)-(0))*((7)-((9)*(x))))*((x)-((x)+((x)*(x))))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|SubXD,SubXD|MutateNonTerminalR|AddXD|SkipD|ReplaceBranchR,DeleteMaliciousR,SubXD,32,32,34,34,4
34,x*x*x*x,25,-10,-0.0395,0.011751440054521356,-0.0395,0.012848647235655472,244.832,242.06529999999998,244.832,232.6632,-0.9875,0.34400731930466616,0,0.026373253220637615,6120.8,5959.54,6120.8,5621.28,(((x)*((x)*(0)))-((0)*(x))),((((9)-(0))*((5)/(5)))*((x)-((x)+((x)*(x))))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|SubXD,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,DeleteNonTerminalR,32,34,35,35,4
35,x*x*x*x,25,-10,-0.049625,-0.004837136135332448,-0.049625,0.01777769479246411,NaN,NaN,183.62400000000002,190.42559999999997,-0.9875,0.5948055342905689,0,0.15470655377242934,6120.8,5460.7,6120.8,3472.16,(((8)+((9)*(0)))*((0)*(x))),((((x)*(2))+((7)*(1)))*((x)-((x)+((x)*(x))))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,AddXD,34,34,36,36,4
36,x*x*x*x,25,-10,-0.03950004942164423,0.00011222856022555572,-0.0395,0.01179070896428105,244.80780000000001,377.1013,244.832,241.7288,-0.9875,0.2933696809007227,0,0.004121893979572803,6120.8,6090.4,6120.8,6055.2,(((x)*((0)*(0)))+((0)*(x))),(((5)+((0)-(0)))/((9)+((x)*(x)))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|SubXD,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,SubXD,32,34,37,37,4
37,x*x*x*x,25,-10,-0.0395,0.005772284668670764,-0.0395,0.011667569131952875,244.832,310.95050000000003,244.832,242.78400000000002,-0.9875,0.29224937916612215,0,0.0031081445238942754,6120.8,6103.9,6120.8,6064.8,(((x)*((0)*(0)))*((8)*(x))),((0)+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|MutateNonTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,AddXD,36,37,38,38,4
38,x*x*x*x,25,-10,-0.03949817405404522,0.011509925562173635,-0.03949346490654817,0.011689975166644885,245.7261,244.13486666666665,248.032,242.592,-0.9868464906548163,0.29224937916612215,0.0003213737506636584,0.0038001793666338334,6210.21,6093,6440.8,6064.8,(((0)*((0)-(x)))*((x)*(x))),((0)+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|MutateNonTerminalR,SubXD|AddTreeWithDiv|AddXD|DeleteTerminalR|DeleteNonTerminalR,DeleteMaliciousR,AddXD,36,38,39,39,4
39,x*x*x*x,25,-10,-0.03950076583126389,0.005811618595941842,-0.039499959155665926,0.011624624232126521,244.457,310.6134428571429,244.852,243.15200000000002,-0.9875,0.29224937916612215,0,0.003256152184924038,6120.8,6078.948571428571,6120.8,6064.8,((0)*((0)*(x))),((0)+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,DeleteNonTerminalR,38,39,40,40,4
