gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,-0.03939059845118285,0.011246265660884667,-0.03903623709319043,0.012429561028436993,298.402,246.3942,471.9199999999999,236.25440000000003,-0.9644752319958175,0.35656403457998026,0.010923032033890535,0.03530817633549301,11615.1,5967.52,17395.2,5513.68,((((9)+(1))*((x)*((x)*(0))))+((7)*((6)-((x)-(x))))),((((x)*(6))+((2)*((x)+(9))))*((2)+((9)*((0)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|SkipD|ReplaceBranchR,SubXD,DeleteNonTerminalR,30,31,32,32,3
32,x*x*x*x,25,-10,-0.03860998317213436,0.011442948634165472,-0.036140453862240234,0.011501064286647872,680.6411999999999,244.7088,1889.8808,244.2108,-0.7673648869428833,0.28889314188621473,0.11128765485262809,0.0016554926617325092,32210.499999999996,6110.76,113913.04,6093.56,((((4)+(1))*((x)*((x)*(6))))*((7)*((x)-((x)-(x))))),((((x)*(6))+((0)-(9)))+((7)*((4)+(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,30,29,33,33,3
33,x*x*x*x,25,-10,-0.03886875204221671,0.011620026327090766,-0.037193141419422295,0.012212969359747562,553.9313999999999,243.19140000000004,1374.4176,238.1104,-0.9250196052803555,0.31847377560356266,0.031132448899557998,0.015559028234483805,18762.559999999998,6007.43,36715.2,5840.08,((((x)*(x))*((5)*((9)*(2))))+((7)+((8)-((x)-(x))))),(((1)+((4)*(x)))*((x)-((0)+(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,32,29,34,34,3
34,x*x*x*x,25,-10,-0.03900221253757678,0.011496979853240474,-0.03763115932557836,0.011817969639822996,488.5806,244.24580000000003,1159.9360000000001,241.4952,-0.855800058815841,0.30432063035644275,0.066642717530885,0.00930810477250764,21703.18,6080.96,70609.52,5961.36,((((x)*(7))*((9)*((6)*(3))))*((x)+((5)-((x)-(x))))),((((8)+(7))*((9)+((3)+(9))))+((9)*((8)-((3)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,34,29,35,35,3
35,x*x*x*x,25,-10,-0.03914935751862501,0.01142202466530986,-0.03851381028623709,0.011511427077692926,416.529,244.88810000000004,727.7336,244.122,-0.9395237550646974,0.28920589278712405,0.025763928240354048,0.0013594962716201966,16881.32,6108.280000000001,29613.04,6090.88,((((x)*(x))*((x)*((7)+(5))))*((5)-((0)-((x)-(x))))),((6)*((7)+(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,34,29,36,36,3
36,x*x*x*x,25,-10,-0.03571733311005097,0.010731038058406908,-0.026067208534832048,0.011586207218477513,2097.0678,250.81089999999998,6822.3864,243.4812,-0.391183178669455,0.2905129114774913,0.2815950926274293,0.0021028448832036096,96217.72,6106.139999999999,298115.68,6079.68,((((x)+(2))*((5)*((9)*(x))))*((x)*((x)-((x)-(x))))),((8)*(8)),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,34,29,37,37,3
37,x*x*x*x,25,-10,-0.038919894866684096,0.011101851765408819,-0.037596028296954645,0.011733013424949122,528.8886,247.6317,1177.1384,242.22320000000002,-0.9210168605411058,0.29599305412924554,0.032980305531340466,0.004924727366969801,17969.36,6095.65,38675.2,6032.72,((((7)+(9))*((5)*((x)*(6))))+((4)*((x)-((x)-(x))))),((((7)+(9))*((0)+(4)))*((8)*((5)+(x)))),SkipD|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,37,37,38,38,3
38,x*x*x*x,25,-10,-0.038100711916742906,0.012538732098511867,-0.03394184256959875,0.019640989973299473,930.0129999999999,235.31889999999999,2966.4615999999996,174.4588,-0.614717357208208,0.6734087047444778,0.18334844871817624,0.19379007885181726,54181.86,5289.51,188659.04,2798.6,((((7)*(x))*((7)*((1)+(6))))*((x)*((x)-((x)-(x))))),((((x)+(5))*((x)+((0)*(x))))*(((x)-(x))-((x)+((8)-(5))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithDiv|SubXD,DeleteNonTerminalR|AddXD|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchR,38,38,39,39,3
39,x*x*x*x,25,-10,-0.04102269525633904,0.011693289392609744,-0.03605186576918049,0.013466353604570833,723.3829500000002,242.5636,1933.2592000000002,227.37,-0.7183018559665403,0.38488432884590257,0.12927454357392187,0.049298988599062794,47018.62,5904.639999999999,137937.44,5271,((((x)*(5))*((8)+((2)*(5))))*((x)*((x)-((x)-(x))))),((((9)-(1))*((x)*(x)))-((1)-((0)-((x)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,39,38,40,40,3
40,x*x*x*x,25,-10,-0.037390821869690234,0.014215111936814986,-0.033789685988759637,0.026453404783688406,1277.6206,220.95379999999997,3040.9672000000005,116.08239999999998,-0.6473389099464122,0.6728905651922251,0.162401516042606,0.17711085457757092,61098.78,4897.82,172685.44,2803.04,((((x)*(x))*((9)*((0)+(5))))*((7)*((x)-((x)-(x))))),((((8)*(0))+((5)*((x)+(8))))*(((x)*(x))*((1)+((0)-(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,AddTreeWithSub|AddXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR,SubXD,ReplaceBranchXR,40,40,41,41,3
41,x*x*x*x,25,-10,-0.03691293825970462,0.009910421788763451,-0.030947914488302183,0.011537614130739216,1511.6229999999998,261.12809999999996,4432.4804,243.8976,-0.623441380211737,0.2867318931232146,0.15956809381096357,0.0005818949873776852,67720,6115.38,184387.2,6112.08,((((9)*(7))*((6)*((2)+(7))))*((x)*((x)-((x)-(x))))),((x)+((6)+(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR,SubXD,ReplaceBranchXR,40,41,42,42,3
42,x*x*x*x,25,-10,-0.03839471065873742,0.008033979365961867,-0.03517243007450006,0.015555809698078684,786.0523999999999,299.4669,2363.8872,209.4652,-0.6571832113449222,0.4357460275967661,0.1650884169612207,0.02877656115012641,46608.5,5982.719999999999,167865.04,4835.16,((((x)*(x))*((2)*((9)+(8))))*((9)*((x)-((x)-(x))))),((((3)*(1))*((x)*(x)))*((8)-((1)+((4)+(x))))),AddRandomSubTreeR|AddTreeWithMult|SkipD|SubXD|SubXD,ReplaceBranchXR|AddXD|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR,SubXD,ReplaceBranchXR,42,41,43,43,3
43,x*x*x*x,25,-10,-0.038200613890341135,0.00790201499454813,-0.03562878381910861,0.013048387699086958,881.0946,719.6123000000001,2140.4271999999996,230.95159999999996,-0.739768657691805,0.2897473719588477,0.11497105837201549,0.0004281850228742762,48328.28,6117.63,127425.92,6086.24,((((x)*(x))*((8)*((7)*(4))))*((x)+((1)-((x)-(x))))),((((4)*(0))+((x)+((0)+(x))))*((x)-((3)+((9)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR,SubXD,ReplaceBranchXR,42,41,44,44,3
44,x*x*x*x,25,-10,-0.0364452559305973,0.011251482065836402,-0.0298892334335381,0.012239063054315965,1740.6301999999998,246.34949999999998,4950.8784,237.8868,-0.3266381845510391,0.36006964542450104,0.3316731539363986,0.03715041974293897,86119.28,5961.09,329721.04,5483.64,((((x)*(x))*((9)*((6)*(6))))+((5)*((x)-((x)-(x))))),((((x)+(5))*((9)*(6)))*((6)+((5)*((x)+(9))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR,SubXD,ReplaceBranchXR,44,44,45,45,3
45,x*x*x*x,25,-10,-0.03899139573258398,0.008236712698253388,-0.03751683930205202,0.011543495714845869,493.8772000000001,1018.498,1215.9144000000001,243.84720000000002,-0.8148869428832832,0.28751610433743496,0.08613220968759189,0.00069481933484907,27380.440000000002,6112.33,90643.2,6105.36,((((x)*(8))*((6)*((3)*(x))))*((4)+((8)-((x)-(x))))),((x)*(8)),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SkipD|SubXD,ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,45,44,46,46,3
46,x*x*x*x,25,-10,-0.039492551627238276,0.011540181488881007,-0.039465679322964325,0.012160828649849695,248.4792,243.87560000000002,261.63759999999996,238.55720000000002,-0.9855317932296432,0.319342009447878,0.0009575757054309382,0.01655658581748285,6383.139999999999,6045.4,7084.56,5832.64,((((1)+(5))*((8)*((2)*(6))))+((7)*((x)-((x)-(x))))),((((x)*(0))+((9)-(4)))*((x)*((x)+(1)))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SkipD|SubXD,ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,45,44,47,47,3
47,x*x*x*x,25,-10,-0.042215142081302205,0.004862381755149712,-0.03151426310366917,0.012491831133185208,1363.6446679012342,319.4205,4155.159871604938,235.72080000000003,-0.43644784995425434,0.38792314730100647,0.255761638715413,0.050037488957467666,89930.09999999999,5886.21,275951.2,5244.96,((((x)*(7))*((5)*((x)*(x))))*((6)+((x)-((x)-(x))))),(((3)+((1)*(1)))*((x)*((4)*(x)))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SkipD|SubXD,ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR,DeleteMaliciousR,ReplaceBranchXR,45,47,48,48,3
48,x*x*x*x,25,-10,-0.038362444860149,0.011507260955617382,-0.03644379656254085,0.011836594656160729,801.8517999999999,244.1577,1741.3447999999999,241.33559999999997,-0.8477056920663966,0.32305767686763637,0.06596670014780684,0.024201622126440562,29951.579999999998,5995.67,74573.04,5800.8,((((4)*(3))+((4)*((5)*(x))))*((x)*((x)-((x)-(x))))),((x)*((x)*(x))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SkipD|SubXD,ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR,DeleteMaliciousR,ReplaceBranchXR,45,47,49,49,3
49,x*x*x*x,25,-10,-0.03915753292053326,0.007996337577897021,-0.03788599039341262,0.01263429617043524,412.5258,1011.3290999999999,1035.1544000000001,234.5,-0.9337851261273037,0.3943275388838061,0.02685327081427258,0.054050850362619085,12699.42,5884.82,32423.04,5190.08,((((x)*(5))*((4)+(9)))*((x)*((x)-((x)-(x))))),((((x)-(4))+((5)*(5)))*((1)*((7)*((2)*(x))))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SkipD|SubXD,ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,SkipD,ReplaceBranchR,45,49,50,50,3
50,x*x*x*x,25,-10,-0.037815104234740556,0.010060510739083057,-0.03408038655077768,0.01583607184868458,1069.8648,288.85929999999996,2898.6216,207.0636,-0.5607742451967063,0.45156562167410425,0.20247912853613861,0.08254783644227853,75358.3,5760.639999999999,215073.04,4699.6,((((5)*(x))*((x)*((x)*(7))))+((6)*((6)-((x)-(x))))),(((x)+((9)*(8)))+((x)+((2)*(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR,SubXD,ReplaceBranchXR,50,50,51,51,3
51,x*x*x*x,25,-10,-0.03853481121748791,0.011830462171144765,-0.035990033982485944,0.012641601471329613,717.4501999999999,241.38815,1963.536,234.43739999999997,-0.6365241471703045,0.34482887391003986,0.16797203908531164,0.027173017796275126,56485.72,5959.23,177981.04,5614.24,((((x)*(x))*((x)*((4)*(9))))+((0)*((9)-((x)-(x))))),(((x)*((8)+(1)))+((5)-((1)*(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,SubXD,ReplaceBranchR,50,51,52,52,3
52,x*x*x*x,25,-10,-0.035472149466523245,0.0041158673381108506,-0.028841670993788707,0.011792296058405064,2219.147,330.75020000000006,5471.9184000000005,241.71520000000004,0.039820287890767185,0.2935517299325952,0.49469583433256553,0.003804533374819772,196311.03999999998,6102.41,509971.2,6053.64,((((9)*(8))*((8)*((9)+(7))))*((x)*((x)-((x)-(x))))),((9)*((x)+(9))),AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,SubXD,ReplaceBranchR,52,52,53,53,3
53,x*x*x*x,25,-10,-0.03472090740410999,0.008698592651201813,-0.023790154907251625,0.014185260563511775,2689.231,382.5997,8354.375200000002,221.2096,0.2523318821672701,0.5065444292996248,0.592950062995916,0.10984824359852906,189653.19999999998,5640.4,654921.6,4228.48,((((x)*(x))*((x)*((x)*(9))))*((3)+((9)-((x)-(x))))),((((3)*(2))+((x)*((9)*(x))))*(((7)+(7))+((0)-((1)+(9))))),AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,SubXD,ReplaceBranchR,52,53,54,54,3
54,x*x*x*x,25,-10,-0.03789391827865638,0.0116665888679351,-0.03510251764475232,0.011914035513564989,1031.2724000000003,242.79240000000001,2398.1208,240.672,-0.7294899359560841,0.31262019904027494,0.12448406115711112,0.013254076710937783,42878.82000000001,5987.37,132459.04,5890.24,((((x)*(x))*((x)*((3)*(9))))*((6)+((3)-((x)-(x))))),((((4)*(5))+((6)*(x)))+((7)*((6)+((6)-(6))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|SkipD|ReplaceBranchR|ReplaceBranchR|DeleteMaliciousR,SubXD,ReplaceBranchR,54,54,55,55,3
55,x*x*x*x,25,-10,-0.03848425532610116,0.006922136931010269,-0.03643660959351719,0.018709038967828672,742.2056,728.7251000000001,1744.864,182.4448,-0.8697817278787087,0.640425154508281,0.05677816513574817,0.011693278475228506,32232.4,6019.1900000000005,63763.2,3081.24,((((3)*(4))*((5)+((8)*(8))))*((x)*((x)-((x)-(x))))),((((x)*(x))*((7)*(5)))+((5)-((3)+(0)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddToLeafR,ReplaceBranchXR|SkipD|ReplaceBranchR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithMult,ReplaceBranchR,55,54,56,56,3
56,x*x*x*x,25,-10,-0.038873719530126784,0.008817406879693433,-0.038046415501241666,0.012928748809679409,551.499,305.5794,956.6,231.9768,-0.9136937981963142,0.3592340870474448,0.03988350134910801,0.05005572897021979,22766.28,6027.34,42261.04,5490.8,((((8)*(7))*((9)+((x)*(4))))+((6)*((x)-((x)-(x))))),((((x)-(7))*((3)*(7)))+((x)*((5)*(6)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddToLeafR,ReplaceBranchXR|SkipD|ReplaceBranchR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithMult,ReplaceBranchR,55,54,57,57,3
57,x*x*x*x,25,-10,-0.03688084972552607,0.011541838601863436,-0.030098539406613514,0.015520100080288292,1527.3355999999999,243.8614,4848.3888,209.7712,-0.3811397202980003,0.6836081184532368,0.2977843548824693,0.2304351295405399,84912.06,5571.6900000000005,303033.6,2711.2,((((8)*(6))*((1)+((x)*(x))))*((x)*((x)-((x)-(x))))),((((8)+(4))+((4)*((x)*(x))))*((7)+((4)*((x)+(9))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddToLeafR,ReplaceBranchXR|SkipD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,55,57,58,58,3
58,x*x*x*x,25,-10,-0.03832765365638479,0.01157808503090166,-0.03565600084956215,0.011819463375469129,818.8878,243.55079999999998,2127.1,241.48239999999998,-0.8272067376813488,0.29955934798439054,0.07471877632586284,0.007644364962415453,32904.8,6073.94,84610.64,6002.16,((((4)*(9))*((6)*((x)-(7))))*((4)+((5)*((x)-(x))))),((((2)+(6))+((7)*(9)))+((1)*((1)*((9)-(6))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,57,58,59,59,3
59,x*x*x*x,25,-10,-0.039391652030780294,0.011330883451276213,-0.03901347536269769,0.011516841869410164,297.8861,245.6691,483.0656000000001,244.0756,-0.9435144098810613,0.28883245887559056,0.021230016790483173,0.001850614504608025,12183.050000000001,6112.6,27658.96,6094.08,((((x)*(7))+((5)-((0)*(6))))*((x)*((x)-((5)-(x))))),((3)+((7)*(4))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,57,59,60,60,3
60,x*x*x*x,25,-10,-0.03907870008822376,0.010645319078284395,-0.03795398477323226,0.019596131224676516,451.12739999999997,256.4802,1001.8599999999999,174.8432,-0.9314945758724349,0.6855313030976344,0.02853866679419493,0.1998826472880182,12699.86,5263.9,33544.64,2694.72,((((x)*(6))-((x)+((4)-(4))))*((x)*((x)*((x)-(x))))),((((4)+(7))+((3)*(x)))*((x)*((6)+(2)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,57,57,61,61,3
61,x*x*x*x,25,-10,-0.03817736713338126,0.009257588936405685,-0.03606158998823683,0.017310388931418865,892.4777,2603.7470000000003,1928.4975999999997,194.43,-0.8381490981571037,0.574042608809306,0.07410741176215166,0.136268368653627,36165.79,5261.889999999999,79252.56,3650.08,((((1)-(x))*((1)+((6)*(x))))*((4)*((5)*((x)-(x))))),((((7)+(x))-((3)*(x)))*((2)+((x)*((5)-(1))))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,DeleteMaliciousR,ReplaceBranchR,60,61,62,62,3
62,x*x*x*x,25,-10,-0.039333952465364,0.011387377000205392,-0.038708852600967195,0.011546016393748719,326.1395,245.185,632.2284000000001,243.82559999999998,-0.9266703698862894,0.2901394775659578,0.03183522983195781,0.002134012258091836,12654.74,6109.84,35906.88,6082.88,((((9)*(0))-((7)*((x)*(5))))+((2)*((x)+((5)-(x))))),((x)+((4)*(8))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|SubXD,ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd,SubXD,AddTreeWithAdd,62,62,63,63,3
63,x*x*x*x,25,-10,-0.03921786510750229,0.008659837057914841,-0.03834768494314469,0.018168540060122862,382.98330000000004,512.896,809.0792,187.0764,-0.9417502614037381,0.934415669286928,0.02210036183854345,0.3488542728101955,12369.82,4953.59,28522.8,562,((((3)+(7))*((x)*((5)*(4))))-((6)*((4)*((x)-(x))))),((((x)*(x))*((5)-(4)))*((x)*((x)+(1)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,63,63,64,64,3
64,x*x*x*x,25,-10,-0.03899895806103777,0.010707910313356349,-0.03757773738726964,0.019146890229101706,490.17420000000004,253.00260000000003,1186.0948,178.69279999999998,-0.880451084825513,0.5137283641727506,0.05398227031359171,0.13377562067236787,18894.920000000002,5850.4,58538.8,4166.92,((((4)*(6))+((7)*((x)*(3))))*((2)-((8)*((x)-(x))))),((((x)*(9))*((4)*((5)+(x))))-((1)+((3)-((x)+(x))))),AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,SubXD,ReplaceBranchR,64,63,65,65,3
65,x*x*x*x,25,-10,-0.038987135055875054,0.010748331782606813,-0.03756527741471703,0.01836870063670482,495.9635,257.8133,1192.1960000000001,185.3612,-0.9010575414978435,0.629422857889725,0.04255196187497216,0.08413101234872905,17236.56,5701.27,48448.56,3175.52,((((x)*(x))*((8)*((6)-(2))))*((x)+((9)*((2)-(x))))),((((x)*(x))*((5)-(4)))*((6)+((5)*(6)))),AddRandomSubTreeR|AddTreeWithMult|AddXD|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,65,65,66,66,3
66,x*x*x*x,25,-10,-0.039164386804012546,0.012598679911122733,-0.038299161874264805,0.015538071587280844,409.16970000000003,234.80519999999996,832.8392,209.61720000000003,-0.9051537380734545,0.6082864984969286,0.039131342198733064,0.1610055656972618,17888.04,5426.15,46442.8,3356.64,((((x)*(8))+((7)*((5)-(9))))*((6)*((x)*((2)-(x))))),((((6)*(3))+((7)*(x)))*((x)+((3)*(0)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,66,63,67,67,3
67,x*x*x*x,25,-10,-0.03921430817866946,0.009984718932054517,-0.03872622696379558,0.012746139626939525,384.725,261.8543,623.7208,233.5416,-0.9440656450137237,0.3177082360849189,0.024853847203275,0.016126217614717414,16313.55,5995.88,27389.04,5846.64,((((x)*(6))-((6)-((x)*(6))))+((2)*((7)*((x)-(x))))),((((4)-(8))+((4)*(4)))-((5)*((x)*((9)*(4))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,66,67,68,68,3
68,x*x*x*x,25,-10,-0.0373060900944321,0.004805082742336392,-0.031507261305711666,0.011614774912709826,1319.1107000000002,487.6681,4158.588400000001,243.2364,-0.5634464449091622,0.2950127901114701,0.20452762852910544,0.006214965098840518,66644.78,6087.120000000001,213764.56,6041.12,((((x)*(4))-((9)*((9)*(7))))*((7)+((6)*((8)-(x))))),((((8)*(2))*((8)+(3)))+((8)-((x)+(5)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd,AddTreeWithMult,ReplaceBranchR,68,68,69,69,3
69,x*x*x*x,25,-10,-0.03863437030290158,0.010210151493926409,-0.03612720886158672,0.011553158317306798,668.6997,256.17670000000004,1896.3664,243.76440000000002,-0.6958533198274736,0.29300558283697753,0.1441705398590876,0.00329668799629493,43150.14,6100.26,148929.68,6058.32,((((x)+(x))*((2)*((x)*(8))))*((x)*((x)-((4)-(x))))),((9)*((8)+(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,69,69,70,70,3
70,x*x*x*x,25,-10,-0.03895205630799896,0.012758556304498014,-0.03742090167951902,0.01966941762981496,513.1403,233.4352,1262.8916,174.2152,-0.8275009802640177,0.5615139010773568,0.08164810663931114,0.13679759734307465,24516.16,5515.75,84466.56,3757.44,((((1)-(9))-((5)*((2)+(9))))*((x)*((x)*((x)-(x))))),((((x)+(0))+((2)*(8)))*((5)+((1)*((x)+(5))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,66,69,71,71,3
71,x*x*x*x,25,-10,-0.03731527741471703,0.010471794770193246,-0.031071772480721477,0.015529482607315575,1314.6119999999999,256.2141,4371.8315999999995,209.69079999999997,-0.22878218533525035,0.28995276061019115,0.37797433542548997,0.0025124866384919385,100023.31999999999,6115.219999999999,377637.6,6084.48,((((x)*(x))*((4)*((3)-(x))))*((9)+((9)*((x)-(x))))),((7)+((7)*(4))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,SubXD,AddTreeWithAdd,71,70,72,72,3
72,x*x*x*x,25,-10,-0.03892499346490655,0.011574327352166854,-0.037283926937655205,0.014340048919842412,526.392,243.583,1329.9632000000001,219.8832,-0.9089535681610247,0.43555464271710514,0.0394485856844575,0.07052683874785978,15881.04,5739.05,44582.16,4836.8,((((9)+(0))*((x)*((0)-(x))))*((5)+((3)*((x)-(x))))),((((x)*(x))*((3)+(9)))+((6)+((6)-((7)-(3))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,71,70,73,73,3
