gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,5*x*x*x+2*x+7,10,1,0.8694986198065027,0.04037923277902825,0.9999981043830721,0.8019314169313596,NaN,NaN,369931509840.55194,303.14396638655455,0.9999998263974444,0.9104867690297288,0.009852882133411116,0.201791989932842,NaN,NaN,264483433784.5,136.99999999999994,(((((5)*(x))*((x)*(x)))*(((2)+(4))*((8)-((1)*(1)))))+((((7)*(x))+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),(((((1)*((x)*(x)))*((x)+((2)*(x))))+(((8)+((x)*(0)))+((x)+((6)*(x)))))*((((x)+(3))-((2)*((x)-(2))))*(((6)/((x)/(x)))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|SkipD|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,20,20,22,22,1
22,5*x*x*x+2*x+7,10,1,0.8735021691206241,0.026362356823639216,0.9999983288552288,0.8860663026399714,NaN,NaN,125021303933.11795,174.3755238095238,0.9999987347645971,0.9213982358706305,0.04676163019463335,0.2875940038879018,NaN,NaN,36289689566.5,120.29999999999995,(((((5)*(x))*((8)*(x)))*(((x)+(2))*((x)+((8)*(2)))))*((((6)*(9))+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),(((((0)+(2))*((7)-(7)))+(((6)*(8))*((x)+((6)-(5)))))+((((1)-(x))/((4)/(7)))-(((2)+(x))+((x)*((x)*(x)))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|AddTreeWithMult|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,22,22,23,23,1
23,5*x*x*x+2*x+7,10,1,0.8715755032709738,0.034832827622268414,0.9999978389173205,0.8246821300228682,NaN,NaN,126727827890.312,268.32399999999996,0.9999996245681574,0.779483828814113,0.033647184995146136,0.20467512429366122,NaN,NaN,122299162704,337.5,(((((5)*(x))*((6)*(x)))+(((2)*(x))+((7)*((6)*(8)))))*(((5)*((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),(((8)*((2)+(x)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,23,21,24,24,1
24,5*x*x*x+2*x+7,10,1,0.8606818305665048,0.019382283967718076,0.9999980591462648,0.8207577355672748,NaN,NaN,144813658876.492,274.3302857142857,0.9999848701277309,0.7729500163345312,0.033830689270764616,0.1922674762490832,NaN,NaN,3034724892.8,347.5,(((((6)+(5))*((x)*(x)))*(((x)+(2))*((x)*((7)+(6)))))*((((x)+(x))*((x)*(x)))*(((x)*(x))*((2)*((8)-(x)))))),(((x)*((9)*(x)))*((4)+(0))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,22,24,25,25,1
25,5*x*x*x+2*x+7,10,1,0.8752608483527031,0.0513161945914585,0.9999971524162372,0.8127339649352066,NaN,NaN,217793034783.018,286.61066666666665,0.9999957751349319,0.8899052597190461,0.05799479920225208,0.21624575403725974,NaN,NaN,10867802701.4,168.49999999999991,(((((9)*(8))*((9)*(x)))*(((x)+(2))-((8)-((6)+(7)))))*((((x)+(4))+((5)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),(((((5)*(x))*((x)*(5)))+(((1)-(9))-((9)-(x))))+(((1)/((x)/(x)))+((x)+((x)*((x)*(x)))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,22,23,26,26,1
26,5*x*x*x+2*x+7,10,1,0.8878558017646495,0.021138715040206896,0.9999968303855775,0.7723440270064248,NaN,NaN,94647377292.04,348.4274666666666,0.9999958538213866,0.9357726233257105,0.008205367025131026,0.21323556044460157,NaN,NaN,11074052587,98.3,(((((5)*(6))*((9)+((5)+(8))))*(((x)*(x))+((2)+((x)+(7)))))*((((x)+(x))*((x)*(x)))*(((x)-(x))*((x)*((x)-(x)))))),((((x)+((3)*(4)))-(((6)*(x))*((x)*(4))))-(((5)/((x)/(x)))+((x)+((x)*((x)*(x)))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,26,24,27,27,1
27,5*x*x*x+2*x+7,10,1,0.894121423259123,0.043500297109628966,0.9999984843037443,0.8048552760535774,NaN,NaN,187634795398.276,298.6689999999999,0.9999993499261572,0.8444299248611565,0.01605327042933855,0.2429457116201006,NaN,NaN,70630437615.5,238.1,(((((5)*(4))+((0)-(9)))*(((x)*(6))*((8)*((2)*(x)))))+((((7)*(x))+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((4)+(4))*((4)+(x)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,25,27,28,28,1
28,5*x*x*x+2*x+7,10,1,0.901180964421859,0.03379031242111702,0.9999982131688226,0.7900927806557663,NaN,NaN,212537329875.82,321.26299920634915,0.9999998893486537,0.9882391375367527,0.0330424099613125,0.3438253819886653,NaN,NaN,414952022962.5,18,(((((5)*(x))*((x)*((x)*(8))))*(((2)*(x))+((7)*((x)+(x)))))*((((x)*(x))-((0)+(x)))*(((x)-(x))*((x)*((x)-(x)))))),(((x)*((4)+(x)))*((x)*(x))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,26,28,29,29,1
29,5*x*x*x+2*x+7,10,1,0.9163142357545353,0.04714710204810475,0.9999976482993067,0.8467278853782609,NaN,NaN,108225887249.02199,234.5829714285714,0.9999956731223425,0.8465207448546226,0.001160905317201666,0.2734729255524687,NaN,NaN,10611578055.8,234.9,(((((5)*(x))*((x)*((3)+(3))))+(((2)*(x))+((7)*((7)*(4)))))+((((x)*(x))*((x)*(7)))*(((9)-(x))*((x)*((x)-(x)))))),((((2)+(8))*((3)+(x)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,28,28,30,30,1
30,5*x*x*x+2*x+7,10,1,0.9239700117401807,0.039519338018010546,0.9999978425920019,0.8441855602744199,NaN,NaN,117106236721.72,238.47400000000005,0.9999891948858736,0.9882391375367527,0.005921634354456128,0.22430201313105386,NaN,NaN,4249376680.6,18,(((((6)*(6))*((x)*((1)+(6))))*(((x)+(7))*((1)*((x)+(7)))))*((((x)+(x))*((x)*(x)))*(((x)+(x))*((x)*((x)-(x)))))),(((2)-((2)+(x)))*((x)*((5)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,30,30,31,31,1
31,5*x*x*x+2*x+7,10,1,0.9004734050160194,0.050088923459368474,0.9999985176173632,0.8187703364913429,NaN,NaN,122700721890.246,277.372,0.9999982626827203,0.8483502123489056,0.004783984902141137,0.2364279689218746,NaN,NaN,26428678593.5,232.0999999999999,(((((5)*(x))*((5)*((7)*(x))))+(((2)*(x))-((7)*((x)+(8)))))+((((9)*(x))*((x)*(9)))*(((x)-(x))*((x)*((x)-(x)))))),(((((4)-((2)+(4)))*((7)*((x)+(2))))+(((2)-((0)+(x)))*((x)*((x)*(2)))))-((((8)-(x))*((5)+((9)/(x))))/(((x)+(x))+((7)-((0)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,31,30,32,32,1
32,5*x*x*x+2*x+7,10,1,0.9259022570955119,0.03514844976780185,0.9999985484502488,0.8447226396602414,NaN,NaN,194842201315.56598,237.6519999999999,0.9999961735559486,0.7972557987585757,0.007487122489934414,0.2851439115075468,NaN,NaN,11999391441,310.3,(((((6)*(9))+((1)*(x)))*(((x)*(x))+((2)*((4)+(7)))))*((((x)+(x))*((6)+(7)))*(((x)*(x))*((x)*((x)-(x)))))),(((((4)-(2))+((x)+((4)*(7))))+(((x)*(x))*((x)*((x)-(x)))))+((((x)*(x))-((x)/(x)))/(((x)+(3))*((9)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,32,31,33,33,1
33,5*x*x*x+2*x+7,10,1,0.9132365508290562,0.04741721505201195,0.9999983009438007,0.8180949402044473,NaN,NaN,128596396980.50803,278.40569401709405,0.999999379464389,0.878797778503757,0.009258088080834321,0.26618475010309084,NaN,NaN,73992530297,185.5,(((((5)*(x))*((x)*((x)*(2))))*(((8)+(4))*((6)+((8)+(7)))))*((((x)+(x))*((x)*(x)))*(((x)-(x))*((x)*((x)-(x)))))),((((x)*(3))+((7)+(7)))+((9)-((2)*((x)*(x))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,32,33,34,34,1
34,5*x*x*x+2*x+7,10,1,0.9358986460271566,0.05438393184948066,0.9999987275416121,0.7846030071094101,NaN,NaN,213634625606.29602,329.6650976190476,0.9999984089692985,0.8377000980071871,0.006552684009921989,0.37086382126379386,NaN,NaN,28858651160.5,248.4,(((((5)*(x))*((x)*((x)*(6))))-(((9)*(x))+((7)*((0)-(7)))))+((((x)*(x))*((x)*(x)))-(((6)+(6))*((x)*((x)-(x)))))),(((6)*((6)+(x)))*((x)*(x))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,34,34,35,35,1
35,5*x*x*x+2*x+7,10,1,0.9306594590782324,0.043162864859364755,0.9999986182581992,0.7726030708918653,NaN,NaN,152180897921.62595,348.031,0.9999952272144305,0.6621365566808233,0.001425915965278684,0.29155224563167736,NaN,NaN,9620168208.1,517.1,(((((5)*(x))*((x)*((x)-(2))))*(((x)+(5))+((6)*((x)+(4)))))+((((x)*(9))*((9)*(x)))*(((x)-(x))*((x)*((x)-(x)))))),(((((5)*((x)+(x)))-((9)+((x)-(5))))*(((x)+((7)*(x)))+(((4)*(3))*((x)*(2)))))+((((2)+(6))-((x)*((4)-(x))))/(((x)/((x)+(x)))+((x)*((x)+((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|AddXD|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,AddXD,35,32,36,36,1
36,5*x*x*x+2*x+7,10,1,0.9163833122085895,0.0647016535148196,0.9999985927635658,0.7947494282914082,NaN,NaN,99431534917.79797,314.1360000000001,0.9999993879027888,0.9213328977458346,0.0013441521254102082,0.2538274365077372,NaN,NaN,75012594658.8,120.4,(((((6)+(7))*((x)*((x)*(x))))*(((2)*(x))+((7)*((x)+(x)))))*((((x)*(x))*((x)-(x)))*(((2)+(4))*((7)+((x)-(x)))))),(((3)*((6)+(x)))*((x)*(x))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,36,35,37,37,1
37,5*x*x*x+2*x+7,10,1,0.925935998773653,0.05878884811951382,0.999999090770313,0.8176183586796367,NaN,NaN,260582922070.86594,279.13510204081626,0.9999991947684856,0.8465207448546226,0.0017891002403918564,0.2681746787951024,NaN,NaN,57020868133.5,234.9,(((((5)*(8))-((0)*((x)*(x))))*(((2)*(x))+((5)*((8)*(x)))))+((((x)*(7))+((1)*(x)))*(((x)-(x))*((x)*((x)-(x)))))),(((5)*((6)+(x)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,34,32,38,38,1
38,5*x*x*x+2*x+7,10,1,0.923710684291634,0.06017726198737854,0.9999985206314989,0.7768657581555981,NaN,NaN,185750794539.40198,341.50695714285706,0.9999992947054399,0.7853642600457367,0.006023614118051199,0.21365524556453952,NaN,NaN,65100459575.1,328.5,(((((9)*(4))*((x)*((x)*(x))))+(((2)*(x))+((7)*((x)+(x)))))*((((5)-(3))+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((4)*(x))+((6)+(3)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,37,38,39,39,1
39,5*x*x*x+2*x+7,10,1,0.9293723344573948,0.05906432853316018,0.9999984694235612,0.8344296278696803,NaN,NaN,147861286853.594,253.40545454545452,0.9999996575551247,0.8392028748774911,0.0013534575182159948,0.25774455149349174,NaN,NaN,134079974036,246.1,(((((5)*(x))*((x)*((x)*(2))))*(((7)*(x))+((0)+((4)*(x)))))+((((x)*(x))*((x)*(2)))+(((x)-(x))*((x)*((x)-(x)))))),(((5)*((7)+(x)))*((x)*(x))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,39,39,40,40,1
40,5*x*x*x+2*x+7,10,1,0.9185232033651697,0.04248884781919293,0.9999987287826038,0.7995513576877991,NaN,NaN,220351936652.50995,306.7866470588236,0.9999988689170051,0.8413590329957531,0.009126100232994035,0.3970400772022446,NaN,NaN,40593838124,242.79999999999995,(((((5)*(x))*((x)*((x)+(2))))*(((x)+(7))*((x)-((0)*(x)))))*((((x)*(x))*((4)+(8)))-(((x)*(x))*((5)*((8)-(x)))))),(((((3)*(x))*((x)*((1)+(5))))+(((0)*((8)*(6)))*((1)+((4)-(x)))))+((((1)-(x))*((x)*((6)-(8))))/(((x)/(x))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|AddXD|DivXD|AddXD|AddXD|AddToLeafR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,AddXD,37,40,41,41,1
41,5*x*x*x+2*x+7,10,1,0.9288427220048073,0.058445275541114734,0.999998186075987,0.8282887945115976,NaN,NaN,134244919205.56,262.8039999999999,0.9999998232177446,0.9292388108461287,0.009130239016863379,0.25721457326860686,NaN,NaN,259726293864,108.3,(((((5)*(x))*((x)*((x)*(3))))*(((9)*(x))+((7)*((6)+(1)))))-((((0)+(x))*((x)*(x)))*(((x)-(x))*((x)*((x)-(x)))))),(((((8)+((4)*(x)))*((x)+((2)+(0))))-(((7)*((x)+(9)))+(((9)-(x))*((x)*(x)))))*((((x)-((x)*(x)))*((0)+((7)-(x))))/(((4)+((x)/(x)))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,MultXD,ReplaceBranchR,41,41,42,42,1
42,5*x*x*x+2*x+7,10,1,0.9238126395144184,0.047075393060980755,0.9999985135111622,0.8182523961500765,NaN,NaN,121454686940.616,278.1647076923076,0.9999997046142994,0.9550674741788757,0.002824154821504551,0.30826838703934606,NaN,NaN,155440835192,68.76923076923075,(((((x)*(5))+((2)*((x)*(x))))*(((x)*(2))*((3)-((0)+(7)))))*((((x)+(x))*((x)*(x)))*(((x)-(x))*((x)*((x)-(x)))))),(((((x)*((8)*(5)))*((1)*((x)+(2))))*(((7)+((6)+(7)))*(((x)+(8))*((x)*(3)))))-((((7)-(9))-((5)*((1)*(5))))/(((x)/((9)+(4)))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,MultXD,ReplaceBranchR,42,42,43,43,1
43,5*x*x*x+2*x+7,10,1,0.9193646865538233,0.0444109888882857,0.9999983911237732,0.8363526625285853,NaN,NaN,175146620496.57404,250.46225000000007,0.9999999715885582,0.8467820973538059,0.007223418856545075,0.4205971402077641,NaN,NaN,1616074267812,234.5,(((((6)+(8))*((x)*((x)*(x))))*(((8)+(4))*((x)+((7)*(x)))))+((((x)*(x))*((x)*(x)))-(((x)*(7))*((5)*((x)-(x)))))),(((((x)-((1)*(2)))+((5)*((x)+(7))))-(((3)+((x)*(x)))*((x)*((4)-(x)))))*((((x)*(7))+((7)+((5)-(x))))/(((x)/(x))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|AddXD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,MultXD,AddXD,40,43,44,44,1
44,5*x*x*x+2*x+7,10,1,0.9320604079446635,0.06186795773810754,0.9999988432756562,0.8373949689643907,NaN,NaN,272811184768.3639,248.86700000000002,0.9999997913007835,0.8612218229336818,0.0033059003673464324,0.3031187299243228,NaN,NaN,220005617594,212.4,(((((5)*(x))*((x)*((8)*(x))))+(((7)+(2))*((x)+((7)*(x)))))+((((x)*(x))*((x)*(5)))*(((4)*(x))*((x)*((x)-(x)))))),(((((5)*((x)*(x)))*((2)-((0)+(2))))*(((2)*((2)+(8)))-((5)+((4)*(3)))))*((((x)-(x))+((x)*((x)-(2))))/(((x)+((x)/(x)))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|AddXD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,44,44,45,45,1
45,5*x*x*x+2*x+7,10,1,0.9241945634067892,0.056609271262611845,0.999998754780351,0.8509207796305475,NaN,NaN,314175600072.7719,228.1657467754468,0.9999994209643245,0.9882391375367527,0.0036685341908709087,0.3418585681326926,NaN,NaN,79295632282.4,18,(((((5)*(x))*((x)*((x)+(0))))-(((7)*(x))+((7)*((x)*(x)))))*((((8)+(x))*((x)*(x)))-(((x)*(7))*((8)*((x)-(x)))))),(((5)*(x))*((x)*(x))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|AddXD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,44,44,46,46,1
46,5*x*x*x+2*x+7,10,1,0.9346227975908852,0.06732903223197065,0.999998553900887,0.806335506085261,NaN,NaN,339270225013.258,296.4035079365079,0.9999986477535264,0.8105194380921268,0.0038090303095209086,0.37082161984114465,NaN,NaN,33954608791,290,(((((5)*(x))*((x)*((x)+(2))))*(((x)+(7))*((4)+((x)*(x)))))*((((x)*(x))*((6)*(5)))-(((7)+(1))*((x)*((x)-(x)))))),((((9)+(7))+((x)+(6)))+((6)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|AddXD|DivXD|AddXD|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,MultXD,ReplaceBranchR,46,44,47,47,1
47,5*x*x*x+2*x+7,10,1,0.9329369502784509,0.060761419831344414,0.999997371103076,0.7907365784601984,NaN,NaN,122888962859.05399,320.2776666666666,0.99999970551613,0.8377000980071871,0.008947987493910412,0.32824511125177264,NaN,NaN,155916858883.1,248.4,(((((9)+(2))*((5)*((x)*(9))))+(((9)*(x))+((2)*((x)+(7)))))*((((x)+(x))*((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),(((0)+((6)*(6)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,MultXD,ReplaceBranchR,47,46,48,48,1
