gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,5*x*x*x+2*x+7,10,1,0.6991693324440759,-0.09047670990262931,0.9999666430697534,0.7240401404251124,NaN,NaN,38348807929.600006,422.35656507936505,0.9999998115558137,0.884874224109768,0.29133846401272606,0.4291003312695022,NaN,NaN,243653046036,176.19999999999996,(((((5)*(x))*((x)*(x)))*(((3)+(8))*((x)-((6)*(x)))))+((((7)*(4))+((x)*(x)))*(((x)*(5))*((8)*((x)-(x)))))),(((((5)*(x))*((x)*((2)+(3))))-(((2)*(3))+((x)-((x)*(x)))))*((((4)+(x))*((x)-(x)))/(((x)/(x))+((x)+((x)*((x)*(x))))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|ReplaceBranchR|SkipD,MultXD,SkipD,10,8,12,12,1
12,5*x*x*x+2*x+7,10,1,0.6809634004370768,-0.07927338679367874,0.9999830051332715,0.6174746534745881,NaN,NaN,405349537112.7301,585.4550428571429,0.9999970023502671,0.8912120222149624,0.39051304607889437,0.5213009319655753,NaN,NaN,15316999680,166.5,(((((4)+(8))*((x)*(x)))*(((5)+(5))+((2)*((x)+(7)))))*((((x)*(4))*((x)*(8)))*(((4)*(x))*((5)*((9)-(x)))))),((((x)*(3))+((x)+(0)))+((4)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MultXD|ReplaceBranchR|AddTreeWithAdd|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|ReplaceBranchR|SkipD,MultXD,MultXD,10,12,13,13,1
13,5*x*x*x+2*x+7,10,1,0.7248794324037994,-0.07934050736166036,0.9999521669052663,0.5731499665598935,NaN,NaN,494212810913.096,653.293976180083,0.9999979573719878,0.8150277687030383,0.27895824610401865,0.45712796126791355,NaN,NaN,22478395344.5,283.1,(((((5)*(8))*((4)*(x)))*(((2)+(0))*((2)*((x)+(7)))))*((((2)+(9))+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((x)-(1))+((x)+(x)))*((7)+((7)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|AddTreeWithMult|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|ReplaceBranchR|SkipD,MultXD,SkipD,13,10,14,14,1
14,5*x*x*x+2*x+7,10,1,0.7468850816899243,-0.054743533218443954,0.9999407220979706,0.6638686986069213,NaN,NaN,49591600335.43001,514.4489567821068,0.9999997187552553,0.7958836981378634,0.10189371210292988,0.3501204366366013,NaN,NaN,163256383823.9,312.4,(((((9)*(3))*((x)*(x)))*(((x)*(2))*((x)+((7)*(2)))))-((((4)-(9))*((x)+(x)))*(((x)*(x))*((x)*((x)-(x)))))),(((5)*(9))*((x)*(x))),MultXD|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|SkipD|MultXD|SkipD|AddTreeWithMult|SkipD|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|ReplaceBranchR|SkipD,MultXD,SkipD,13,14,15,15,1
15,5*x*x*x+2*x+7,10,1,0.8074186910516528,-0.04326941747084896,0.9999766184954697,0.6341206292165128,NaN,NaN,77565753604.39,559.978376984127,0.9999990369342824,0.7688990525971904,0.04196788332977418,0.33054959854373467,NaN,NaN,47675874200.5,353.7,(((((5)*(x))*((6)*(x)))*(((3)+(3))*((x)+((7)*(9)))))+(((0)+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((2)+(5))+((2)*(x)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|SkipD|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,SkipD,14,12,16,16,1
16,5*x*x*x+2*x+7,10,1,0.7849748435969619,0.0029624407720837604,0.9999902712212655,0.7640948023942583,NaN,NaN,106182388583.73602,361.0529049355874,0.9999988403703771,0.8706958510290754,0.28444659293494123,0.27055766650793406,NaN,NaN,39594538716,197.9,(((((5)*(x))*((x)*((x)*(4))))-(((7)*(x))+((2)+((9)*(x)))))*((((x)+(5))-((9)*(x)))+(((x)*(9))*((8)*((x)-(x)))))),((((x)-(0))*((8)*((4)/(x))))+(((x)-(4))+((x)*((x)*(x))))),MultXD|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,AddRandomSubTreeR|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,15,16,17,17,1
17,5*x*x*x+2*x+7,10,1,0.8206904126980636,0.02749467167465892,0.9999945490841203,0.8365168245671347,NaN,NaN,412574490895.1259,250.2109999999999,0.9999969737910449,0.8706958510290754,0.0325088693363461,0.24867209775304114,NaN,NaN,15172448658,197.9,(((((5)*(3))*((5)*(x)))*(((x)+(2))*((x)+((7)*(x)))))*(((x)*((x)*(x)))*(((x)*(x))*((9)+((3)-(x)))))),((((4)+(4))*((6)+(x)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,SkipD,17,15,18,18,1
18,5*x*x*x+2*x+7,10,1,0.8549212911182021,0.024939429261987067,0.999997345503135,0.832003484699989,NaN,NaN,94904129190.33203,257.1186666666666,0.9999996617925618,0.8825220516171186,0.27780631468323824,0.2922760226613397,NaN,NaN,135759876386.7,179.8,(((((x)+(6))*((x)*(x)))*(((x)*(8))*((x)+((7)*(0)))))-(((4)+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((x)+(1))+((3)*(8)))+((x)*((x)*(x)))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|SkipD|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|AddToLeafR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,SkipD,17,16,19,19,1
19,5*x*x*x+2*x+7,10,1,0.8559338410508804,0.020802680218935346,0.9999972116979182,0.8276746161385163,NaN,NaN,344437394583.234,263.74399999999986,0.9999810879630974,0.8758575628879451,0.27783602442778393,0.33010527385622673,NaN,NaN,2427818866.7,190,(((((8)*(x))*((x)*(x)))+(((2)*(x))+((7)*((5)+(6)))))+(((7)-((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((x)*(0))+((x)+(x)))*((2)*((x)*((4)+(x))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|AddRandomSubTreeR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,19,19,20,20,1
20,5*x*x*x+2*x+7,10,1,0.8548205968655438,0.02572944169197864,0.9999983616062099,0.8102644420590844,NaN,NaN,415629433236.262,290.3902714285714,0.9999994497135404,0.915452466514211,0.08856745612194158,0.28677430458130293,NaN,NaN,83438360509.5,129.4,(((((5)*(x))*((7)*(8)))-(((3)*(x))*((2)*((x)+(6)))))*((((0)*(x))+((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((5)*(x))/((x)+(x)))+((3)*((x)*((x)*(x))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|AddTreeWithMult|MultXD|SkipD|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR,MultXD,ReplaceBranchR,19,20,21,21,1
