gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,5*x*x*x+2*x+7,10,1,0.2395149138791,-0.09011284905848056,0.9998037310394033,0.5701247984372286,NaN,NaN,1110179172.848524,657.9239959918218,0.9997183410251415,0.7159317942575047,0.6509519052455095,0.12261981011070636,NaN,NaN,163016286,434.7663888888889,(((((5)*(7))*((4)+((8)-(0))))-(((9)*(1))+((7)*((x)*(x)))))+((((2)*(2))+((7)*(x)))*(((x)*(0))*((2)+((9)-((x)*(x))))))),(((((x)+(4))+((1)-((x)-(0))))*(((x)*((7)-(3)))+((0)+((7)*(x)))))*((((x)*(x))*((x)-(0)))+(((4)+(1))-((7)+((5)-((x)/(x))))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|AddToLeafR|AddRandomSubTreeR|SubXD|AddTreeWithSub|AddTreeWithSub|MultXD,MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|AddToLeafR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,10,9,12,12,0
12,5*x*x*x+2*x+7,10,1,0.35169663291567865,-0.06323445080984659,0.9998451120649093,0.48277644135672815,NaN,NaN,1779932914.4179995,791.6106565035273,0.9998743095110593,0.8108461287161058,0.5670743696238999,0.12074440333884018,NaN,NaN,365302103.5,289.5,(((((5)+(x))*((4)*((2)-(0))))*(((x)*(6))+((4)+((1)*(x)))))+((((7)*(x))*((8)*(4)))-(((7)*(9))*((x)-((x)-((x)*(x))))))),((((2)-((7)+(x)))*(((3)*(x))*((x)*(x))))-(((1)+(0))-((7)-((x)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|AddToLeafR|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|AddToLeafR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddTreeWithDiv|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,11,12,13,13,0
13,5*x*x*x+2*x+7,10,1,0.4124274250259237,-0.04800051087082684,0.9998107729875017,0.4687881753550816,NaN,NaN,1458804259.05,813.0196976190474,0.9999480448379442,0.5069832454379988,0.5976814666288799,0.12025903813067161,NaN,NaN,883742792.5,754.5621428571428,(((((2)+(8))*((9)+((9)-(3))))*(((1)*(8))*((x)+((5)*(5)))))*((((x)+(7))*((8)*(7)))*(((5)*(x))*((x)-((x)-((x)*(x))))))),(((((9)+(0))+((7)-(6)))+(((2)*(x))+((4)+(5))))*(((x)*((x)*(5)))*(((7)+(3))-((x)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|AddToLeafR|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|AddToLeafR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,13,12,14,14,0
14,5*x*x*x+2*x+7,10,1,0.4225285739884175,-0.050837078836309335,0.9997696418877418,0.4093515180742884,NaN,NaN,2994901043.5419993,903.9875015873018,0.9999959169435851,0.4093665572512355,0.6117582954141161,0.09931581642970823,NaN,NaN,11245252412.5,903.9644841269841,(((((5)*(9))-((0)*((5)*(9))))+(((1)*(x))*((x)+((7)-(7)))))*((((5)+(7))*((x)*(x)))*(((x)*(7))*((4)-((x)-((x)*(x))))))),((((x)+((x)-(8)))-(((3)*(7))*((3)*(x))))*(((5)-((3)-(1)))-((x)-((x)+((3)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|ReplaceBranchR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,12,13,15,15,0
15,5*x*x*x+2*x+7,10,1,0.4791408720561152,-0.0347694995646832,0.9999205640876816,0.3862811288062359,NaN,NaN,4520473204.89,939.2967323620561,0.9999976574771368,0.9055864096700424,0.5779265030537847,0.12917347833563508,NaN,NaN,19600662482.1,144.5,(((((1)*(8))+((3)*((9)-(2))))*(((5)*(9))*((x)+((2)*(x)))))+((((1)*(4))*((x)*(8)))*(((8)*(x))*((x)-((x)-((x)*(x))))))),(((((5)*(1))-((0)+((4)-(6))))*(((x)*(2))+((8)-((4)*(x)))))*((((x)*(x))*((x)+(3)))+(((x)-(x))/((x)-((x)-(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|AddTreeWithSub|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|AddXD|MutateNonTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|DivXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|SubXD|SubXD,MultXD,ReplaceBranchR,15,13,16,16,0
16,5*x*x*x+2*x+7,10,1,0.534151422294451,-0.029534724853888212,0.9999338497879482,0.41667268918239186,NaN,NaN,2946088366.894,892.7824492063492,0.9999862236913518,0.7875884787106611,0.4942297400462524,0.15743968884835238,NaN,NaN,3332895710.5,325.09583333333336,(((((5)*(1))-((9)*(7)))*(((7)*(x))+((2)+((2)*(x)))))*((((7)*(9))*((7)*(x)))*(((x)*(x))-((x)-((x)*(x)))))),(((((5)*(7))+((5)*((6)+(8))))+(((x)*((3)-(1)))*((6)+((6)+(1)))))*((((6)-(3))*((x)-((x)*(x))))*(((x)+(x))-((x)/((x)-((x)-(x))))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|AddXD|MutateNonTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|DivXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|SubXD|SubXD,MultXD,ReplaceBranchR,16,16,17,17,0
17,5*x*x*x+2*x+7,10,1,0.54004617457598,-0.026536239825418216,0.9999676348857439,0.31147714825013084,NaN,NaN,4229987345.29,1053.7842246031746,0.9999880830306528,0.4452793204835021,0.469879110179379,0.049199293156285684,NaN,NaN,3852909130,849,(((((5)*(x))*((5)*(x)))*(((9)+(8))+((2)*((7)*(8)))))-((((1)*(x))*((x)*(5)))*(((x)*(x))-((x)-((x)*(x)))))),(((((5)*(x))*((x)-(4)))*(((8)*(7))+((x)+((4)*(5)))))*(((x)*((9)-(0)))*(((3)+(x))-((x)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|AddXD|MutateNonTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|AddToLeafR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,14,16,18,18,0
18,5*x*x*x+2*x+7,10,1,0.5497357201108376,-0.03233433029262173,0.9999619021323141,0.3434350627194142,NaN,NaN,2248375899.204,1004.8726365079364,0.9999728704752922,0.1551837245842474,0.553194752985221,0.02974656297449162,NaN,NaN,1692436579.5,1292.9913095238094,(((((9)*(8))*((x)*(6)))+(((7)*(x))+((5)-(0))))*(((x)*((x)*(x)))*(((x)-(9))-((1)-((x)*(x)))))),(((((6)-(8))+((3)*(4)))*(((x)-(x))+((6)*(x))))*(((2)*((7)-(x)))-((x)-((1)-((4)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,13,18,19,19,0
19,5*x*x*x+2*x+7,10,1,0.5294686600933364,-0.01800796388721276,0.9999653063769779,0.27366100299207125,NaN,NaN,3402349938.058,1111.6618349206349,0.9999861376565373,0.39320869826750254,0.5306615931703879,0.06052801404359076,NaN,NaN,3312210530.9,928.6940873015874,(((((9)*(7))*((8)-((1)*(3))))-(((8)+(x))*((x)*((x)+(2)))))*((((x)+(7))*((3)*(4)))*(((x)*(x))*((x)-((x)-((x)*(x))))))),(((((9)*(8))+((x)-(4)))*(((8)*(x))*((x)*((x)+(1)))))*((((0)-(x))-((x)*(x)))-(((x)-(6))-((1)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,19,18,20,20,0
20,5*x*x*x+2*x+7,10,1,0.5601660414238013,-0.023310019543653727,0.9999481430470112,0.2572828923009909,NaN,NaN,2181984639.4,1136.728533333333,0.9999863002974094,0.15657477844671575,0.5180095113279667,0.024708832912177965,NaN,NaN,3351532611.5,1290.8623015873015,(((((5)+(8))*((7)+((8)*(x))))*(((8)*(9))-((1)+((2)*(x)))))+((((x)*(2))+((x)*(x)))*(((x)*(x))-((0)-((2)-((x)*(x))))))),((((9)+((1)*(x)))+(((x)*(2))*((6)*(4))))-(((2)+(8))-((x)-((x)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,20,17,21,21,0
