gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,5*x*x*x+2*x+7,10,1,0.8793697751228409,-0.08285947917370982,0.999986960145809,0.38393204212753373,-2041694079831173000000000000000000000,2813000732211838000000000000000000000,226662683880.39606,942.8920095238094,0.999998961941199,0.380921267559621,0.0019730417263769595,0.01866584762759011,1418171091.8589997,2835686221987740500000000000000000000,44231598395.2,947.5,(((((x)*(5))+((8)*((x)*(x))))*(((6)*(8))+((2)*((3)+(x)))))+((((7)*(x))-((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)*(1))*((x)*(1)))*(((4)+(x))+((7)*(5))))+(((7)-((x)*(8)))+(((5)+(x))+((x)+((x)+(x)))))),AddTreeWithMult|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddXD,MultXD,AddXD,11,10,12,12,4
12,5*x*x*x+2*x+7,10,1,0.9285790744973643,-0.06458251957468644,0.9999952421625999,0.4729248704905025,-753856275629971600000000000000000000,2512854252099905400000000000000000000,118568289549.85402,806.6884857142852,0.9999976565503389,0.363672002613525,0.0014136195897925046,0.05447201533202084,1382223783.841846,2617556512604068200000000000000000000,19592910725.5,973.9,(((((5)*(x))*((x)+((4)*(8))))+(((x)*(x))+((2)*((x)+(7)))))*((((x)-(x))*((x)+(x)))-(((0)*(x))*((x)*((x)-((x)*(x))))))),(((((4)+(5))+((4)+(7)))*(((7)+(0))*((x)+((7)*(x)))))-((((x)+(2))-((1)-(4)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithMult|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,AddRandomSubTreeR|ReplaceBranchR|SubXD|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,11,12,13,13,4
13,5*x*x*x+2*x+7,10,1,0.9489856247998903,-0.03932101488265973,0.9999911771426873,0.486248938255472,-700009398799259500000000000000000000,2236141135053189700000000000000000000,210808646513.77402,786.2960000000002,0.9999997076307916,0.8774910160078406,0.000008839504715968043,0.14414957834391456,4552091354.678143,2430588190275206000000000000000000000,157044581597.5,187.5,(((((x)*(x))*((8)+((x)*(x))))*(((x)+(2))*((x)+((7)*(x)))))-((((x)*(1))+((5)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)*(x))*((5)+((7)+(8))))*(((x)+((1)+(1)))+((0)*((x)-(7)))))*((((7)+(9))-((6)*(x)))+(((3)+(x))+((x)+((8)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,13,13,14,14,4
14,5*x*x*x+2*x+7,10,1,0.9435359502147417,-0.035641427057502256,0.9999920399359122,0.3825213090441448,-980013158318963300000000000000000000,2014471492100090600000000000000000000,123295153385.01797,945.0511365079365,0.999999935707868,0.921920940868997,0.00016077809037947142,0.12586335534005394,2015274473.9045331,1361129386554115500000000000000000000,714162037847.1,119.5,(((((8)*(9))*((x)*((7)*(9))))*(((x)+(2))*((x)+((7)*(x)))))-((((0)+(8))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(x))*((x)*(x)))+(((0)+(9))+((8)+((8)*(x)))))+((((9)+(1))+((7)-(7)))-(((2)-(x))+((x)+((7)-(x)))))),AddTreeWithMult|ReplaceBranchXR|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|AddXD|ReplaceBranchR|AddTreeWithSub,MultXD,ReplaceBranchR,14,12,15,15,4
15,5*x*x*x+2*x+7,10,1,0.9592651381086816,-0.02816175910936309,0.9999885088282414,0.42540300814652343,-1071889391911366000000000000000000000,1718425850524570500000000000000000000,157470180133.322,879.420696031746,0.9999995815189034,0.34001960143743876,0.002928886576918986,0.05618437870613106,8782914188.572124,2126764666490805400000000000000000000,109718217562.3,1010.1,(((((5)*(x))*((8)+((1)*(x))))*(((6)+(x))+((2)*((x)*(3)))))*((((x)-(x))+((7)*(x)))*(((x)*(x))*((x)*((x)-((x)*(x))))))),((((x)+(7))*((x)*((7)-(x))))+(((x)+(x))+((x)+((x)+(x))))),AddTreeWithMult|ReplaceBranchXR|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,14,15,16,16,4
16,5*x*x*x+2*x+7,10,1,0.9582983758194036,-0.03418368796915598,0.9999874946486339,0.39918204342392527,-1441195821057299300000000000000000000,1649368550765575800000000000000000000,127070440172.20796,919.5518825396827,0.9999996834205348,0.35537406076445605,0.00011295297890962872,0.04925051753175362,-3602989552643247000000000000000000000,2001660862579581500000000000000000000,145034675508.4,986.6,(((((4)+(2))*((x)*((x)*(8))))+(((9)+(2))*((x)+((7)*(x)))))-((((x)*(x))*((x)*(9)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)*(2))*((5)*(1)))*(((x)+(7))-((1)+((x)*(2)))))*(((5)*((3)-(x)))-(((0)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,AddRandomSubTreeR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,16,16,17,17,4
17,5*x*x*x+2*x+7,10,1,0.9536077479148257,-0.02620461624864441,0.9999886777946984,0.45229295489076604,-1633355263864938000000000000000000000,1406500366105918700000000000000000000,79281343913.39,838.2656325396827,0.9999998188236652,0.4350967626514833,0.00035620818400005906,0.07412577617651579,2515943955.3354445,1890457481325160300000000000000000000,253427137944.6,864.5844047619048,(((((x)+(8))*((x)*((x)*(8))))*(((x)+(2))*((x)+((7)*(x)))))+((((2)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(1))+((7)-((6)+(x))))+(((3)+((8)-(x)))*((x)-((3)+(x)))))*((((x)*(8))*((x)-((6)-(x))))+(((x)+(x))+((x)+((x)/((x)+(x))))))),AddTreeWithMult|SkipD|SkipD|MultXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,17,17,18,18,4
18,5*x*x*x+2*x+7,10,1,0.9637369857806338,-0.02921776829158749,0.9999899236442557,0.33765943695130246,-1289490997788109700000000000000000000,1633355263864939400000000000000000000,62113014910.586,1013.7122317460316,0.9999999301941861,0.5088940225986942,0.00009557848823434863,0.08747765141334732,4729043366.818421,1790959719150152000000000000000000000,657753236128.5,751.6376984126985,(((((7)*(9))*((7)*((x)*(x))))*(((x)+(2))*((2)+((0)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((4)*((3)*(x)))*(((x)+(2))+((7)-(5))))+(((7)*((x)-(x)))*(((4)*(2))+((x)-(3)))))+((((3)*((0)*(x)))*((x)-((x)-(x))))-(((x)+((x)+(x)))+((x)+((x)/((x)+(x))))))),AddTreeWithMult|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,18,17,19,19,4
19,5*x*x*x+2*x+7,10,1,0.9627620747839838,-0.024507270690708217,0.9999932057195471,0.43820569478798793,-857511513529092900000000000000000000,1592521382268315400000000000000000000,88701723867.05803,859.826184126984,0.9999993222796412,0.6412936948709572,0.00015791910299826429,0.10422132795135189,5808767648.4406,1701411733192644200000000000000000000,67749182093.5,549,(((((5)*(x))*((x)*((x)+(2))))*(((9)+(4))+((7)*((x)-(x)))))*((((x)*(9))+((0)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)-(2))*((5)*((x)+(9))))+(((4)+(4))*((x)-((x)*(x)))))*((((x)+(x))*((5)-(x)))+(((x)+(x))+((x)+((x)/((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|AddTreeWithDiv,ReplaceBranchXR|MutateTerminalR|SubXD|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,18,17,20,20,4
20,5*x*x*x+2*x+7,10,1,0.9583419081053929,-0.019861428800358794,0.9999946273998037,0.35536403395508254,-350004699399629650000000000000000000,1555576441776132200000000000000000000,103541284890.116,986.6153460317463,0.999998786614017,0.6104540999673309,0.00006679491335384468,0.12869279456043237,6117502212.139619,1620392126850137400000000000000000000,37840390972.6,596.2,(((((5)*(7))+((4)*((9)+(5))))*(((x)*(x))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(6))*((4)*(x)))*(((x)-(5))+((9)+((1)-(7)))))+(((8)-((x)-(x)))+(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|AddTreeWithDiv,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|AddXD|AddTreeWithSub|ReplaceBranchXR|AddXD|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddXD,MultXD,AddXD,18,19,21,21,4
