gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,5*x*x*x+2*x+7,10,1,0.9645659164135485,-0.020144874886529412,0.9999992611873962,0.31118147664162044,7196226098.872959,1460120614667143000000000000000000000,200675160537.38,1054.2367500000003,0.9999995226930976,0.13845148644233918,0.0000222316404737919,0.020355834322845344,6487031812.954274,1546737939266040200000000000000000000,96195969027,1318.6,(((((5)+(6))*((5)+((8)*(x))))*(((x)+(2))*((x)+((7)*(8)))))*((((5)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((8)*(7))*((2)+((2)-(x))))+(((2)+((7)*(x)))*((5)+((3)+(x)))))-((((5)*(x))*((8)+((1)-(x))))-(((x)+(x))+((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,21,21,22,22,4
22,5*x*x*x+2*x+7,10,1,0.9632546774891507,-0.015502333965768757,0.9999990626836954,0.272455667045213,7696895079.855496,1420308925099945000000000000000000000,209084700650.73996,1113.506601587302,0.9999993391919044,0.8760535772623326,0.00007576839178243582,0.1751774222038372,7709516945.359479,1183590770916622100000000000000000000,69483107593.5,189.7,(((((2)+(9))*((x)*((x)*(x))))+(((2)*(6))+((1)+((7)*(x)))))-((((x)*(x))*((5)*(8)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(x))*((x)*((x)+(4))))+(((0)-(7))-((x)*((2)+(5)))))-((((8)*(x))*((x)-(x)))*(((x)-(x))-((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|AddTreeWithDiv,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchXR,18,22,23,23,4
23,5*x*x*x+2*x+7,10,1,0.9734623133667681,-0.024789024622210096,0.9999994169534098,0.3304458398801097,8609704379.145554,1349786641666164200000000000000000000,189926093591.624,1024.752642063492,0.9999996809865664,0.4913426984645541,0.000013656181043427426,0.07454559660375829,7822603437.633333,1417843110993870200000000000000000000,143928108259.8,778.5,(((((5)*(x))*((x)*((6)+(6))))+(((2)*(x))+((7)*((7)+(x)))))-((((x)*(x))*((x)+(x)))*(((9)*(9))*((x)*((x)-((x)*(x))))))),(((((x)*(0))+((5)-(7)))-(((2)*(8))*((9)+(5))))*(((0)-((x)-(x)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|AddTreeWithDiv,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,18,23,24,24,4
24,5*x*x*x+2*x+7,10,1,0.9040614013959375,-0.010945152980656188,0.9999984718029021,0.28189332047313104,8287979862.363713,1295795175999517800000000000000000000,198769269795.22632,1099.0622730158727,0.9999991329220871,0.7191767396275727,0.00001508052127306149,0.10038697241362815,7882838213.3224,1361129386554115500000000000000000000,52953718828.6,429.8,(((((6)+(6))+((0)*((x)*(4))))*(((7)*(x))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)+(0))*((0)+((4)*(x))))+(((2)*(9))+((3)*((0)+(1)))))+((((2)*(x))+((4)-(x)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,24,23,25,25,4
25,5*x*x*x+2*x+7,10,1,0.9712374109373445,-0.007943216455825929,0.9999990541780535,0.3054328598912068,8548495977.987945,1266897352100369200000000000000000000,126352050179.268,1063.035007936508,0.9999995734643617,0.7381901339431558,0.000009948244078370356,0.13830372757466453,7380114542.564539,1047022605041627200000000000000000000,107646339208.2,400.7,(((((9)*(x))*((x)*((x)*(7))))+(((1)+(7))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((3)-(0))+((6)-(8)))+(((x)*(x))*((x)*((x)-(2)))))-(((5)+((7)-(x)))-(((x)+(4))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub,MultXD,ReplaceBranchR,24,25,26,26,4
26,5*x*x*x+2*x+7,10,1,0.9723990094427939,-0.002686484806288705,0.9999988759638851,0.44337864273009653,8031963854.636097,1230057667848904700000000000000000000,117093898527.16798,851.9089873015873,0.9999995855879389,0.8020254818686704,0.000016454511188553735,0.1566246420914367,7569356695.330445,1260304987550107000000000000000000000,110795520466,303,(((((3)+(8))*((x)*((x)*(8))))*(((5)+(2))*((x)+((7)*(x)))))-((((x)*(8))+((7)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((0)+(9))+((7)*(x)))*(((x)*(x))+((x)*((x)*(x)))))*(((5)-((8)-(8)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,25,25,27,27,4
27,5*x*x*x+2*x+7,10,1,0.970048188512844,-0.006737171729931662,0.999999223192234,0.5196038580607021,7990714075.949123,1205571742376502200000000000000000000,96399751702.054,735.2462952380951,0.9999995680953792,0.7446586082979418,0.000010212241392055785,0.15541800194899053,7840106307.983859,1215294095137603000000000000000000000,106308193480.1,390.8,(((((5)*(x))*((9)*((x)*(7))))+(((8)+(2))*((x)+((3)+(0)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((8)*(3))*((1)+((2)*(x))))-(((9)-(3))+((4)+((x)*(x)))))*((((x)*(x))-((7)+(7)))-(((x)-(x))+((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,27,26,28,28,4
28,5*x*x*x+2*x+7,10,1,0.9620948701964338,-0.005561686754628807,0.9999991259644732,0.3279725579875857,8111313304.842013,1154613203766594600000000000000000000,110320550632.79,1028.5380000000002,0.9999988691882611,0.7381901339431558,0.000023321408496757565,0.1806305212028118,8009317726.043038,1173387402201823600000000000000000000,40603575660.1,400.7,(((((5)*(x))+((6)*((7)*(x))))*(((x)+(2))*((8)+((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(x))*((x)*(4)))+(((6)+(1))*((1)-(x))))-(((6)+((8)-(2)))-(((x)-(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,DivXD|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,28,25,29,29,4
29,5*x*x*x+2*x+7,10,1,0.9707340150757611,-0.007743958418828155,0.9999988514349031,0.3745939235543939,7944110293.328516,1125200292884735000000000000000000000,78793087305.01399,957.184,0.9999992805143617,0.5952303168899052,0.00004098101555948305,0.08317426224626703,8146564527.484004,1134274488795096300000000000000000000,63816423225.1,619.5,(((((8)*(5))+((5)*((x)*(2))))+(((7)*(x))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)*(7))-((x)*(x)))+(((1)*(2))+((0)-(3))))*(((x)*((x)*(x)))-(((x)-(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,29,29,30,30,4
30,5*x*x*x+2*x+7,10,1,0.9684686847738486,-0.004102691475659531,0.99999897951642,0.3848546226723293,8047104243.407937,1097684989156544000000000000000000000,95334303630.452,941.4800000000001,0.9999997820989427,0.8510944135903299,0.00001018284767086568,0.12755814996730291,7930220709.866905,1097684989156544700000000000000000000,210714902287.9,227.9,(((((x)*(x))+((8)*((x)*(4))))+(((x)*(x))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)-(7))*((6)+((5)+(x))))-(((0)+(3))-((x)*((4)+(1)))))+((((x)-(1))*((x)*(6)))*(((8)-(x))-((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,25,29,31,31,4
31,5*x*x*x+2*x+7,10,1,0.9718774030713238,0.0000320790178629915,0.9999991945813643,0.4211839268213001,8366748608.480943,1063382333245402700000000000000000000,77421016947.47003,885.8779999999997,0.9999993595157738,0.9879124469127736,0.000004765526154566624,0.11896289775708307,8484835207.3458805,1063382333245402700000000000000000000,71687948150.1,18.5,(((((5)*(3))+((9)+((1)*(x))))*(((x)*(7))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),((((5)*((x)*(x)))*(((x)+(x))*((5)-(3))))-(((0)-((x)-(x)))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,29,31,32,32,4
32,5*x*x*x+2*x+7,10,1,0.9702479280610309,0.0005947039412124526,0.9999993938887889,0.38166629641729266,8746883225.02769,1031158626177359800000000000000000000,94471498842.41801,946.3597333333331,0.9999996497123335,0.7608624632473048,0.000009057217662591715,0.10634509123263039,9505125092.22146,1031158626177360200000000000000000000,131077980713.5,366,(((((9)+(6))*((4)+((9)*(x))))*(((x)+(2))*((x)+((7)*(x)))))-((((x)*(x))*((8)*(5)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)-(9))+((x)-((6)+(7))))*(((3)*((2)+(9)))-((x)-((6)+(2)))))*((((2)*(x))*((x)-((x)*(x))))-(((x)-(x))+((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,32,29,33,33,4
33,5*x*x*x+2*x+7,10,1,0.9627405981319729,-0.005245093617020456,0.9999994446157916,0.4207239464227378,8893445381.061876,1000830431289790800000000000000000000,98672091643.322,886.582,0.9999996054956108,0.8096700424697811,0.000006825494893291558,0.11310494706892545,8924743724.769299,1000830431289790800000000000000000000,116386537800.1,291.3,(((((5)*(x))*((8)+((7)*(x))))*(((9)+(8))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),((((x)*((x)+(2)))-(((3)*(7))*((5)+(x))))+(((5)-((x)-(x)))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchXR,31,32,34,34,4
34,5*x*x*x+2*x+7,10,1,0.9749026994383094,-0.004391742820545807,0.9999994055084285,0.3348513557660895,9007776139.669092,972235276110081500000000000000000000,88813293237.416,1018.0099999999999,0.9999993375369189,0.7272133289774584,0.000008234531609820834,0.10172551821195634,9076005425.772747,972235276110082500000000000000000000,69309522771,417.5,(((((5)*(x))*((x)*((x)+(8))))+(((1)*(7))+((1)+((7)*(9)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),((((4)*((x)*(x)))*((9)+((9)*(2))))-(((x)-(x))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchXR,33,34,35,35,4
35,5*x*x*x+2*x+7,10,1,0.9713348876213412,-0.007148888094234227,0.9999993786145032,0.2963541326363934,9122706098.429516,945228740662580200000000000000000000,90596784847.21603,1076.9299999999996,0.9999994307111201,0.7687683763475988,0.000008008775595677018,0.19546809589138642,8806850924.642172,945228740662580200000000000000000000,80653252893,353.9,(((((4)+(4))*((x)*((8)*(8))))*(((x)+(2))*((0)+((7)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(1))*((x)*((x)*(4))))+(((1)+(8))+((6)*((2)-(0)))))+((((x)*(x))*((x)*(1)))-(((x)-(x))+((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,33,35,36,36,4
36,5*x*x*x+2*x+7,10,1,0.9704970372259853,-0.004732943561616923,0.9999991981345565,0.39645606011107476,9307142954.780373,919682017941969500000000000000000000,92937402902.58803,923.7239999999999,0.9999994556371894,0.5096373734073832,0.000004125894307328136,0.08267247171590239,8898950414.320332,919682017941970000000000000000000000,84346320337,750.5,(((((5)*(8))+((4)*((x)*(x))))+(((5)+(6))*((x)+((7)*(x)))))-((((x)*(9))*((9)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),((((4)+((9)+(6)))*((3)*((x)*(8))))-(((x)-(x))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|SkipD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,33,34,37,37,4
37,5*x*x*x+2*x+7,10,1,0.9642931812562943,0.0002596705081256809,0.9999994778129212,0.2715387128389416,9364879054.400557,895479859575076300000000000000000000,105206605710.45398,1114.9100000000003,0.999999320984891,0.5189153871283895,0.0000074317124971564405,0.07296446197753362,9131702828.845585,895479859575076000000000000000000000,67619997532.6,736.3,(((((5)*(8))*((7)+((0)*(x))))*(((x)+(5))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)*(9))+((5)-(1)))*(((x)-(x))*((1)+((3)+(1)))))+((((1)*(x))+((1)-(x)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|SkipD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,37,37,38,38,4
38,5*x*x*x+2*x+7,10,1,0.9595256666932853,0.00005209076520006392,0.999999394417382,0.313015354459327,9395084811.808722,872518837534689400000000000000000000,98309392038.99603,1051.4300000000003,0.9999995472359973,0.7383208101927474,0.000012168509759077,0.19893606844610423,9301567631.239288,872518837534689400000000000000000000,101410447225.5,400.5,(((((x)+(2))*((x)*((x)*(x))))+(((2)*(x))+((3)+((0)*(x)))))-((((x)*(7))*((8)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),((((x)*((5)+(9)))-(((2)*(0))+((4)+(x))))*(((x)-((x)-(x)))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,33,38,39,39,4
39,5*x*x*x+2*x+7,10,1,0.9648292671760792,-0.0009530092695707004,0.9999993969348764,0.29055864096700423,9441603541.429327,850705866596322900000000000000000000,90638276250.89403,1085.8000000000004,0.9999995686618953,0.5016661221822933,0.000006681435774047456,0.08600985491518591,9266437200.548409,850705866596322100000000000000000000,106447817847,762.7,(((((5)*(x))*((x)+((x)*(x))))+(((1)+(9))*((x)+((7)*(x)))))-((((x)*(x))*((x)*(7)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((2)+(7))*((1)+(1)))*(((x)*(x))*((2)+(8))))+(((8)-((x)-(x)))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,38,37,40,40,4
40,5*x*x*x+2*x+7,10,1,0.966898416066289,-0.0023615277653820125,0.9999992147350575,0.2797216595883698,9548673016.07586,829956943020802500000000000000000000,90986833612.74402,1102.3860000000004,0.999999783098161,0.66187520418164,0.0000069672803577375615,0.09240552629579502,9419327034.683372,829956943020802000000000000000000000,211685618681.5,517.5,(((((x)*(7))*((7)+((5)*(x))))*(((x)+(2))*((x)+((7)*(x)))))-((((x)*(7))+((9)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((1)*(x))*((5)-((0)+(2))))*(((x)+((7)*(x)))-((x)*((x)-(9)))))+((((2)*(x))+((x)+(9)))-(((x)-(x))+((x)+((x)+((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchXR,38,40,41,41,4
41,5*x*x*x+2*x+7,10,1,0.9719321937114845,-0.002421851911029619,0.9999993828076158,0.3874603070891866,9648200933.246326,810196063425068700000000000000000000,101919941836.63002,937.4920000000001,0.9999996004367478,0.7847108787977785,0.0000066727660247018586,0.1108958833053557,9514517209.167007,810196063425068700000000000000000000,114912969996.7,329.5,(((((x)*(7))*((x)*((4)+(7))))*(((x)+(2))*((x)+((2)+(x)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)-(9))+((4)+((2)*(2))))*(((6)-(8))-((1)+((x)*(x)))))*((((x)*(2))-((8)-(x)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,41,37,42,42,4
42,5*x*x*x+2*x+7,10,1,0.9793179656041996,0.0023515806234380575,0.9999994557900158,0.3789833387781771,9546110780.520638,791354294508205600000000000000000000,99858908075.932,950.466,0.9999996762305471,0.689186540346292,0.000009356727722187538,0.12212217180843907,9398571138.609777,791354294508206700000000000000000000,141813872743.2,475.7,(((((9)+(x))*((9)*((x)*(x))))*(((x)+(4))+((5)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((x)-(0))*((2)+(0)))*(((5)+(x))*((7)*(7))))-(((5)-((x)-(x)))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,42,41,43,43,4
43,5*x*x*x+2*x+7,10,1,0.9634287697430628,-0.006256748114059392,0.9999992716977826,0.4153139496896439,9511000047.964842,773368969633020700000000000000000000,77311347455.58002,894.862,0.9999991458458323,0.5929434825220516,0.000006997482674608647,0.08367052474170596,9464583304.860327,773368969633020100000000000000000000,53754932931,623,(((((4)+(8))*((4)*((x)*(x))))*(((x)+(2))*((6)+((5)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((3)*(x))+((x)+(3)))+(((5)-(x))*((9)*((0)+(x)))))*((((x)*(x))*((7)-(x)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,43,43,44,44,4
44,5*x*x*x+2*x+7,10,1,0.9747282124979856,-0.004979857244713234,0.9999993984759022,0.32689317216595876,9486042077.427485,756182992530063600000000000000000000,100408461905.33803,1030.19,0.999999764464112,0.8001960143743875,0.00001244246132687773,0.11191851883347909,9486042077.427479,756182992530064100000000000000000000,194938446012.6,305.8,(((((8)+(8))*((9)*((x)*(x))))+(((6)*(x))+((2)*((x)+(7)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(1))+((x)+(8)))*(((x)*(x))+((x)*(x))))*(((x)*((2)-(x)))-(((x)+(x))+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|ReplaceBranchR|SubXD|SubXD|AddXD|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,43,44,45,45,4
