A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,MultXD,MultXD,DivXD,0,0,0,1
AddToLeafR,AddToLeafR,AddToLeafR,MutateTerminalR,0,0,1,1
SkipD,SkipD,SkipD,AddXD,0,0,2,1
AddXD,AddXD,AddXD,DivXD,0,0,3,1
MultXD,MultXD,MultXD,AddXD,0,0,4,1
MultXD,MultXD,MultXD,AddXD,0,0,5,1
MultXD,MultXD,MultXD,ReplaceBranchR,0,0,6,1
SubXD,SubXD,SubXD,MultXD,0,0,7,1
MultXD,MultXD,MultXD,SkipD,0,0,8,1
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,ReplaceBranchR,0,0,9,1
MultXD,MultXD,MultXD,ReplaceBranchXR,0,0,10,1
SkipD,SkipD,SkipD,MultXD,0,0,11,1
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,ReplaceBranchR,0,0,12,1
AddToLeafR,AddToLeafR,AddToLeafR,ReplaceBranchR,0,0,13,1
SubXD,SubXD,SubXD,AddTreeWithAdd,0,0,14,1
