A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,MultXD,MultXD,AddXD,0,0,0,2
AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,ReplaceBranchR,0,0,1,2
MultXD,MultXD,AddTreeWithSub,ReplaceBranchXR,0,0,2,2
AddTreeWithMult,AddTreeWithMult,SkipD,ReplaceBranchXR,0,0,3,2
SkipD,SkipD,SkipD,AddRandomSubTreeR,0,0,4,2
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,ReplaceBranchXR,0,0,5,2
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,0,0,6,2
MutateTerminalR,MutateTerminalR,MutateTerminalR,AddTreeWithAdd,0,0,7,2
MultXD,MultXD,MultXD,SubXD,0,0,8,2
MultXD,MultXD,MultXD,ReplaceBranchXR,0,0,9,2
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,0,0,10,2
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,DivXD,0,0,11,2
MultXD,MultXD,MultXD,SubXD,0,0,12,2
AddXD,AddXD,AddXD,ReplaceBranchXR,0,0,13,2
SubXD,SubXD,SubXD,ReplaceBranchXR,0,0,14,2
