gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,5*x*x*x+2*x+7,10,1,0.6556167063386985,-0.04893652704069791,0.9998846380354801,0.3971143344684783,48475543.47136261,NaN,1971908883.458,922.7165110959937,0.999914408619338,0.6292061417837308,0.4026265532758483,0.20380634080242113,36277632.11315595,NaN,536444203.2,567.5,(((((5)*(7))*((3)+((x)-(x))))*(((7)-(9))*((8)*((x)+(2)))))*((((x)+(6))-((3)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),(((((x)*(8))*((2)*((x)+(6))))-(((0)*(x))+((x)+((0)+(6)))))*((((x)*(x))+((x)-(x)))+(((x)-(x))+((x)-((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddTreeWithMult|AddTreeWithMult|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddXD|MutateTerminalR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,9,11,12,12,2
12,5*x*x*x+2*x+7,10,1,0.7180824978460285,-0.041377207787021766,0.9998794972558486,0.505538227988571,42163169.716476254,NaN,3897156363.6080003,756.7737420634918,0.9998854097906795,0.833906960584517,0.28439237298884457,0.15669114532499717,39498247.111067034,NaN,400688682.5,254.20539682539683,(((((7)*(8))*((2)+((7)*(x))))*(((8)*(5))-((4)+((2)*(6)))))-((((5)+(7))-((3)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),(((((x)+(5))*((x)+(5)))*(((1)*(x))*((x)*(3))))-(((1)+((x)+(8)))+((x)-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddXD|AddXD|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,12,11,13,13,2
13,5*x*x*x+2*x+7,10,1,0.7277007101713889,-0.025952702235424098,0.9998309618107614,0.5058190190984376,37384623.30872799,NaN,663137046.1439997,756.3439912698412,0.9999821085610557,0.882391375367527,0.3902640345673487,0.16467284460218234,38534601.6667051,NaN,2566311191.8,180,(((((x)*(9))+((8)*((x)*(x))))*(((0)-(9))*((x)+((2)*(5)))))-((((6)+(2))-((5)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),(((((x)*(3))*((x)+(7)))*(((x)*(x))-((x)-(8))))*(((x)*((x)*(x)))-(((x)+(x))-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,12,12,14,14,2
14,5*x*x*x+2*x+7,10,1,0.7605043848471688,-0.018187590839364772,0.9998707943222268,0.5046030233019557,38871844.51786341,NaN,563847846.7040002,758.2050728363569,0.9999656348826271,0.719412501361211,0.19382425258371827,0.10157348526211829,43300120.18572477,NaN,1336093210.5,429.43916666666667,(((((8)+(7))*((8)*((9)*(x))))*(((x)+(2))*((6)-((2)-(5)))))+((((7)*(0))-((7)*(8)))*(((x)*(x))*((x)+((x)-(x)))))),(((((7)+(x))*((x)+(3)))+(((x)*(0))+((8)*((x)*(4)))))*(((x)+((x)-(x)))+(((x)+(x))-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,13,14,15,15,2
15,5*x*x*x+2*x+7,10,1,0.7256738506252001,-0.013941240577008445,0.9997814911977011,0.3641804327872931,40121859.815036945,NaN,588211507.9608889,973.1218476190473,0.9999334609136756,0.5560927801372101,0.3797319305422475,0.07846472248609193,50363752.59061697,NaN,690045543.7,679.4,(((((x)*(x))*((x)*(5)))+(((2)*(6))*((x)-((8)+(2)))))-((((1)*(x))+((7)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)*((x)*(x)))+(((6)*(x))+((5)*(x))))+(((x)-((x)/(x)))+((x)-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateTerminalR|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|DivXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,13,14,16,16,2
16,5*x*x*x+2*x+7,10,1,0.7491965257348236,-0.017346837487728906,0.9998376143186163,0.36649879694881327,41558874.50546071,NaN,470348742.4979999,969.5735912698412,0.9999525286788992,0.6478275073505391,0.3064199279463572,0.19150683457429957,38751643.46246303,NaN,967215551.1,539,(((((x)-(8))-((6)+((9)*(x))))*(((7)*(7))*((x)+((2)*(x)))))+((((1)-(4))*((x)*(7)))*(((8)*(x))*((x)+((x)-(x)))))),((((x)*((5)*(x)))-((6)+((7)*(x))))*(((x)-(2))+((x)+((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,16,16,17,17,2
17,5*x*x*x+2*x+7,10,1,0.7530797993508115,-0.01313146152015054,0.9998671101194018,0.3780245598751314,42365874.82382395,NaN,495732689.82600003,951.9334111111109,0.9996766200393847,0.5743874550800392,0.3672692710291154,0.1029141977186463,36411783.25810397,NaN,141984679.3,651.4,(((((7)-(2))*((5)*((9)*(x))))*(((x)*(6))+((7)+((2)*(2)))))-((((5)+(7))*((x)-(3)))*(((x)*(x))*((x)+((x)-(x)))))),(((((0)-(x))-((x)+(0)))*(((x)-(5))+((x)+((9)*(x)))))*(((1)+((x)*(x)))+(((2)+(x))+((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,16,17,18,18,2
18,5*x*x*x+2*x+7,10,1,0.7732855773137274,-0.015564551454010677,0.9998425398703037,0.24795820849084474,41947779.87541214,NaN,465221716.8400001,1150.999961904762,0.9997418255122571,0.7359032995753022,0.36499636930808865,0.2143108310922762,37106357.082519546,NaN,177844838.2,404.2,(((((5)*(x))*((8)-((1)*(1))))+(((x)*(8))*((3)-((x)+(2)))))*((((8)-(8))+((7)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)*((0)+(x)))+(((x)*(x))*((x)*(x))))+(((7)+(x))+((x)-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,18,18,19,19,2
19,5*x*x*x+2*x+7,10,1,0.7637704294220826,-0.01177266541575946,0.9998477849093921,0.35276781060240725,42852238.83226958,NaN,501566975.58199996,990.5888658730161,0.999784583339197,0.6174452793204835,0.3518056107702502,0.059276791159140994,37400446.19029357,NaN,213145073.5,585.5,(((((5)*(x))*((4)-((2)-(x))))*(((x)*(7))+((7)+((2)*(x)))))+((((2)-(0))*((x)*(x)))*(((3)*(5))*((x)+((x)-(x)))))),((((x)-((0)*(x)))*(((x)-(x))-((x)*(x))))*(((7)+(x))+((x)+((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,19,18,20,20,2
20,5*x*x*x+2*x+7,10,1,0.753232929658199,-0.015008356221354763,0.9998117533618462,0.3803024678106023,42704985.84199196,NaN,460878625.4020002,948.4470730158733,0.9999625468129386,0.7149950996406402,0.3901966363275102,0.12266970795140128,46443661.417993866,NaN,1225930384.1,436.2,(((((9)-(1))*((x)*((x)*(x))))*(((x)+(1))+((2)*((6)-(3)))))+((((7)*(7))-((9)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),(((((x)*(0))*((x)*((1)*(7))))+(((x)+((8)*(2)))-((7)-((8)*(x)))))-((((1)-(5))-((5)*(x)))*(((8)+(x))+((x)-((x)/((x)-(x))))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,20,19,21,21,2
