A,P,AFinal,PFinal,AGen,PGen,count,run
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,MultXD,0,0,0,2
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,MutateTerminalR,0,0,1,2
SubXD,SubXD,SubXD,AddTreeWithSub,0,0,2,2
AddXD,AddXD,AddXD,MutateTerminalR,0,0,3,2
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,ReplaceBranchR,0,0,4,2
MultXD,MultXD,MultXD,MutateTerminalR,0,0,5,2
MultXD,MultXD,MultXD,AddXD,0,0,6,2
SkipD,SkipD,SkipD,AddToLeafR,0,0,7,2
AddToLeafR,AddToLeafR,AddToLeafR,ReplaceBranchR,0,0,8,2
MutateNonTerminalR,MutateNonTerminalR,MutateTerminalR,AddToLeafR,0,0,9,2
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,SkipD,0,0,10,2
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,MultXD,0,0,11,2
AddToLeafR,AddToLeafR,AddToLeafR,AddRandomSubTreeR,0,0,12,2
SkipD,SkipD,SkipD,ReplaceBranchR,0,0,13,2
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,AddRandomSubTreeR,0,0,14,2
