specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x*x*x*3*x+1,25,-10,ANTAGONIST-edv,PROTAGONIST-1c1c1c2,-0.9600002410723555,0.00000015776986638365895,211276.92666666664,211278.16666666663,0.00017789713944792076,0.0027237666688420203,211739.40166666664,210991.3267171717,213148.84,210128.12,((((x)*((x)*(2)))+((7)-((4)*(3))))*(((4)/(2))-((9)-((5)+(x))))),((((7)*((4)*(x)))+((6)/((2)+(0))))+(((6)/(6))*((8)*((6)*(x))))),MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv,MultXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithAdd|MutateTerminalR,AddTreeWithDiv,MutateTerminalR,0,0,-0.9600001514590715,0.000025369394476169968,0.0000010927293549617692,0.0002871135141193785,211277.4,211272.84,211284.8,211146.68,(((4)-(1))-((x)+(4))),(((x)*((2)*(3)))+((7)+(x))),MultXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|FellTreeD|DeleteNonTerminalR|MutateNonTerminalR|AddXD|ReplaceBranchR|DivXD|MutateTerminalR|FellTreeD|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub,AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|ReplaceBranchXR|AddXD,FellTreeD,AddToLeafR,0,0
x*x*x*x*3*x+1,25,-10,ANTAGONIST-edv,PROTAGONIST-1c1c1c2,-0.9596458432531138,-0.000012516252722171706,213148.84,211280.84444444443,0.00017789713944792076,0.0027237666688420203,211739.40166666664,210991.3267171717,213148.84,210128.12,((((x)*((x)*(2)))+((7)-((4)*(3))))*(((4)/(2))-((9)-((5)+(x))))),((((7)*((4)*(x)))+((6)/((2)+(0))))+(((6)/(6))*((8)*((6)*(x))))),MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv,MultXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithAdd|MutateTerminalR,AddTreeWithMult,MultXD,0,0,-0.9600006437010539,0.00012287117175373963,0.0000010927293549617692,0.0002871135141193785,211274.8,211252.24,211284.8,211146.68,(((4)-(1))-((x)+(4))),(((x)*((2)*(3)))+((7)+(x))),MultXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|FellTreeD|DeleteNonTerminalR|MutateNonTerminalR|AddXD|ReplaceBranchR|DivXD|MutateTerminalR|FellTreeD|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub,AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|ReplaceBranchXR|AddXD,FellTreeD,AddToLeafR,1,0
x*x*x*x*3*x+1,25,-10,ANTAGONIST-edv,PROTAGONIST-1c1c1c2,-0.9600016281850187,0.00000011474172078088632,211269.6,211278.17575757578,0.00017789713944792076,0.0027237666688420203,211739.40166666664,210991.3267171717,213148.84,210128.12,((((x)*((x)*(2)))+((7)-((4)*(3))))*(((4)/(2))-((9)-((5)+(x))))),((((7)*((4)*(x)))+((6)/((2)+(0))))+(((6)/(6))*((8)*((6)*(x))))),MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv,MultXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithAdd|MutateTerminalR,AddTreeWithDiv,MultXD,0,0,-0.9599987504626601,0.0000200683269737237,0.0000010927293549617692,0.0002871135141193785,211284.8,211273.96,211284.8,211146.68,(((4)-(1))-((x)+(4))),(((x)*((2)*(3)))+((7)+(x))),MultXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|FellTreeD|DeleteNonTerminalR|MutateNonTerminalR|AddXD|ReplaceBranchR|DivXD|MutateTerminalR|FellTreeD|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub,AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|ReplaceBranchXR|AddXD,FellTreeD,AddToLeafR,2,0
x*x*x*x*3*x+1,25,-10,ANTAGONIST-edv,PROTAGONIST-1c1c1c2,-0.9600030216084764,0.005443439029677535,211262.24,210128.12,0.00017789713944792076,0.0027237666688420203,211739.40166666664,210991.3267171717,213148.84,210128.12,((((x)*((x)*(2)))+((7)-((4)*(3))))*(((4)/(2))-((9)-((5)+(x))))),((((7)*((4)*(x)))+((6)/((2)+(0))))+(((6)/(6))*((8)*((6)*(x))))),MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv,MultXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithAdd|MutateTerminalR,AddTreeWithMult,MutateTerminalR,0,0,-0.9600013328398291,0.0006224967838613667,0.0000010927293549617692,0.0002871135141193785,211271.16,211146.68,211284.8,211146.68,(((4)-(1))-((x)+(4))),(((x)*((2)*(3)))+((7)+(x))),MultXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|FellTreeD|DeleteNonTerminalR|MutateNonTerminalR|AddXD|ReplaceBranchR|DivXD|MutateTerminalR|FellTreeD|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub,AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|ReplaceBranchXR|AddXD,FellTreeD,AddTreeWithAdd,3,0
