gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
76,x*x*x*x*3*x+1,25,-10,-0.03840229151895463,0.0002916935735113345,-0.03839881044045245,0.0019135414822731367,8439.0243,8389.759500000002,8457.4112,8046.838400000001,-0.9599341228768514,0.09483022858013745,0.000040452656245387315,0.04526048939667438,211313.84,204276.80000000002,211626.16,191242.64,(((7)*((1)-(5)))*((x)+((6)*(9)))),((((6)*(6))*((x)-((3)+(2))))*(((x)*(x))-((0)-((5)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,SubXD|MutateTerminalR|ReplaceBranchXR|AddXD|AddXD,AddTreeWithMult,AddXD,74,74,77,77,1
77,x*x*x*x*3*x+1,25,-10,-0.03840059481763855,0.00000932064255125507,-0.038398825207711915,0.00021631763239179602,8447.9862,8449.2098,8457.3332,8405.4248,-0.959933774520987,0.006335154313128427,0.00003325114980658894,0.0031523256287212306,211364.56,210938.72,211628,209939.72,(((5)*((7)-(8)))*((9)*((3)*(7)))),((((x)+((6)*(5)))*((7)-((1)*(7))))+(((x)+(0))-((3)-((2)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,SubXD|MutateTerminalR|ReplaceBranchXR|AddXD|AddTreeWithMult,AddTreeWithMult,AddXD,76,77,78,78,1
78,x*x*x*x*3*x+1,25,-10,-0.0383980384724974,0.000020724314283002333,-0.03839066474439862,0.00013928933510414253,8461.4887,8446.7531,8500.4364,8421.699200000001,-0.9594656523957512,0.006827774943179171,0.0002672685621057089,0.003994749974333251,211983.05000000002,211022,214100.6,209835.64,(((x)*((x)*(0)))-((7)*((7)*(9)))),((((2)*(5))*((3)+((3)*(x))))*((4)-((x)+((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,SubXD|MutateTerminalR|ReplaceBranchXR|AddXD|AddXD,AddTreeWithMult,AddXD,78,74,79,79,1
79,x*x*x*x*3*x+1,25,-10,-0.03839901178635562,-0.00001759001760284519,-0.03839456208922643,0.00005505537248992418,8456.3477,8454.931999999999,8479.8508,8439.496000000001,-0.959651182185384,0.001760333058498287,0.00017127928347646508,0.0008094056468772335,211766.3,211160.86,213120.64,210906.28,((((8)*(4))*((1)*((2)-(7))))*((x)+((x)+((5)*(8))))),((((2)+(8))-((0)*((6)*(x))))+((5)-((x)+((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,SubXD|MutateTerminalR|ReplaceBranchXR|AddXD|AddXD,AddTreeWithMult,AddXD,79,79,80,80,1
80,x*x*x*x*3*x+1,25,-10,-0.03840064621906094,0.00022751668121034799,-0.038398436185086766,0.0008626086363855839,8447.7147,8403.058899999998,8459.388,8268.8776,-0.9598717974689295,0.08522469426566501,0.00007381235682471943,0.0418123882841798,211382.47,206510.37,211955.36,193272.08,(((8)*((6)*(7)))*((0)-((5)-(9)))),((((x)*((8)*(5)))*((7)-((6)*(8))))*(((2)+(5))+((x)-((x)+((x)+(x)))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,SubXD|MutateTerminalR|ReplaceBranchXR|AddXD|AddXD,AddTreeWithMult,AddXD,80,74,81,81,1
81,x*x*x*x*3*x+1,25,-10,-0.03840360468803691,-0.00008020534093915295,-0.03839961733865586,0.000018523444444342733,8432.0882,8468.543599999999,8453.1492,8447.2144,-0.96,0.0013729764831393692,0.0000015057471387065036,0.0006435822978908297,211269.53,211191.78,211278.2,210988.12,(((8)*((2)*(0)))-((9)*((0)*(4)))),((((x)+((9)*(3)))*((x)+((2)+(6))))*(((5)-(1))*((6)-((x)+((x)+(x)))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,SubXD|MutateTerminalR|ReplaceBranchXR|AddXD|AddXD,AddTreeWithMult,AddXD,80,81,82,82,1
82,x*x*x*x*3*x+1,25,-10,-0.03840093605492663,0.00020361850462800705,-0.038397981126306456,0.0008538126508082742,8446.1838,8408.1329,8461.7916,8270.735999999999,-0.9598315017829572,0.08243122101570352,0.00009559470812062792,0.04063760326965085,211433.36000000002,206703.11,212168.2,193862.28,((((5)*(x))*((4)*((9)-(8))))*((2)+((x)+((2)-(4))))),((((x)*(5))*((x)*(6)))+((6)*((x)+((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,ReplaceBranchXR|MutateTerminalR|DivXD|AddXD|AddXD,AddTreeWithMult,AddXD,82,81,83,83,1
83,x*x*x*x*3*x+1,25,-10,-0.03839814441811791,0.0000148495449986665,-0.038391122529442226,0.0004658843174544299,8460.929100000001,8448.3548,8498.018399999999,8352.6968,-0.9594906734343628,0.037091947962449516,0.00024018194655074928,0.019507137063706916,212093.30000000002,209575.9,213968.44,203441.48,(((1)-((3)*(x)))*((6)*((8)*(3)))),((((x)+(x))*((5)*(x)))*((x)+((9)+((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,ReplaceBranchXR|MutateTerminalR|DivXD|AddXD|AddXD,AddTreeWithMult,AddXD,82,81,84,84,1
84,x*x*x*x*3*x+1,25,-10,-0.03840792223712622,-0.019697340113373808,-0.03839860521341056,-0.01873689571380294,8409.2831,6602.084600000001,8458.4952,6399.1496,-0.9599379926561283,-2,0.000031779552668134065,0,211353.94,32767,211605.72,32767,((((7)+(7))+((9)*(3)))-((x)*((6)+(x)))),((((1)-(x))-((3)*((3)*(7))))-((0)/((x)+((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddXD,ReplaceBranchXR|MutateTerminalR|DivXD|AddXD|AddXD,MutateTerminalR,AddXD,84,81,85,85,1
85,x*x*x*x*3*x+1,25,-10,-0.038399716904062985,-0.000007723986888384372,-0.03839891116073499,0.000008884967781817067,8452.623300000001,8452.764299999999,8456.879200000001,8449.250800000002,-0.9599296472612887,0.00021317864313501414,0.00003611868657029481,0.00008003063037023978,211363.69,211257.4,211649.8,211233.16,(((4)*((2)-(6)))*((9)*((7)+(x)))),((((6)+((9)*(x)))-((6)-((9)+(3))))*(((3)+(x))-((x)+((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR|MultXD|AddTreeWithMult|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddXD,AddTreeWithMult|MutateTerminalR|MultXD|AddXD|AddXD,MutateTerminalR,AddXD,84,85,86,86,1
