stratNum,runTopAStrategy,runTopPStrategy,runFinAStrategy,runFinPStrategy
1,SkipD,SubXD,SkipD,SubXD
2,MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,ReplaceBranchXR
3,SkipD,ReplaceBranchXR,SkipD,ReplaceBranchXR
4,SkipD,ReplaceBranchXR,SkipD,ReplaceBranchXR
5,SkipD,AddTreeWithMult,SkipD,AddTreeWithMult
6,AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,AddRandomSubTreeR
7,AddTreeWithDiv,ReplaceBranchXR,AddTreeWithDiv,ReplaceBranchXR
8,MutateTerminalR,ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR
9,AddTreeWithAdd,AddTreeWithDiv,AddTreeWithAdd,AddTreeWithDiv
10,AddXD,MutateTerminalR,AddXD,MutateTerminalR
11,SkipD,ReplaceBranchR,SkipD,ReplaceBranchR
12,AddTreeWithAdd,AddTreeWithDiv,AddTreeWithAdd,AddTreeWithDiv
13,MultXD,AddTreeWithDiv,MultXD,AddTreeWithDiv
14,SkipD,AddTreeWithDiv,SkipD,AddTreeWithDiv
15,ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR,MutateTerminalR
