A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,MutateTerminalR,MultXD,MutateTerminalR,0,0,0,1
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,0,0,1,1
AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,AddTreeWithMult,0,0,2,1
DeleteMaliciousR,AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,0,0,3,1
ReplaceBranchR,MultXD,ReplaceBranchR,MultXD,0,0,4,1
MultXD,,MultXD,,0,0,5,1
AddRandomSubTreeR,,AddRandomSubTreeR,,0,0,6,1
AddToLeafR,,AddToLeafR,,0,0,7,1
ReplaceBranchR,,ReplaceBranchR,,0,0,8,1
MutateNonTerminalR,,MutateNonTerminalR,,0,0,9,1
AddTreeWithAdd,,AddTreeWithAdd,,0,0,10,1
SkipD,,SkipD,,0,0,11,1
SubXD,,SubXD,,0,0,12,1
AddTreeWithMult,,AddTreeWithMult,,0,0,13,1
DivXD,,DivXD,,0,0,14,1
AddTreeWithMult,,AddTreeWithMult,,0,0,15,1
MultXD,,MultXD,,0,0,16,1
AddTreeWithMult,,AddTreeWithMult,,0,0,17,1
DeleteMaliciousR,,DeleteMaliciousR,,0,0,18,1
FellTreeD,,FellTreeD,,0,0,19,1
