gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x,20,-10,0.6654885549618593,-0.485519911704506,0.9994802099430316,0.5722985074626868,1714079.1989,741222.75652,24378167.629999995,14.328,0.9999965148623736,0.2537313432835821,0.723178806760622,0.43582350774512263,10210154.367999999,240.526,288367378.2,25,(((((5)+(x))-((6)-(5)))-(((6)*(4))*((8)*(8))))*(((6)*((8)*(x)))*((8)+((3)*((x)*(x)))))),((((3)-((4)*(x)))-((4)-((7)*(9))))+(((3)-(7))+((7)*((2)*((3)+(3)))))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,10,11,12,12,2
12,x*x,20,-10,0.6117863077424769,-0.4951956964865776,0.9991323524706622,0.6440000000000002,NaN,NaN,44037971.976799995,11.926000000000002,0.9934812194906478,0.8328358208955223,2.527619321586352,1.4542663846330774,NaN,NaN,154169.94,5.6,(((((8)-(9))-((x)-(1)))-(((4)-(6))*((x)/(0))))+(((5)*((7)+(9)))+(((5)*(x))*((x)*((x)*(x)))))),((((5)*((2)-(7)))+((x)*((x)+(x))))-(((7)-(5))-((7)*((2)-((2)+(1)))))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|AddToLeafR|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,AddTreeWithSub,SkipD,10,11,13,13,2
13,x*x,20,-10,0.6914099469365305,-0.48250893637609416,0.9994918569384383,0.5887462686567164,2025336.0276399993,388931.63112000003,32506757.68,13.777000000000001,0.9999968081932364,0.24179104477611946,0.5937517780621763,0.40562099159513715,10989364.905,319.465,314868685.5,25.4,(((((5)+(2))+((8)*(9)))-(((9)*(x))-((8)*(6))))+(((7)*((9)-(2)))*(((x)*(x))-((9)*((x)*(x)))))),(((6)*(4))-((x)-(8))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchR|SkipD|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|SkipD,MultXD,SkipD,13,13,14,14,2
14,x*x,20,-10,0.6941987744002656,-0.4826870982977678,0.9998996788476272,0.6526865671641793,2890755.08398,928736.5368000001,47349826.961,11.635000000000005,0.9999954793847021,1,0.5946627494143788,0.483002718708448,10815829.435999999,320.51599999999996,222314869.5,0,(((((8)-(1))*((3)*(9)))*(((8)*(x))+((7)+(5))))-(((8)*((0)-(x)))*(((x)*(0))+((x)*((x)*(x)))))),(((x)*(x))-((2)*(0))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,13,14,15,15,2
15,x*x,20,-10,0.704058402026508,-0.4703229375983794,0.99990136655636,0.6234626865671643,2559565.0424000006,310243.1268399999,35299629.628,12.613999999999999,0.9999902966021309,1,0.7928703624350775,0.43907940910221877,7314683.466,1100.394,103571966.6,0,(((((4)+(x))*((2)-(5)))*(((1)+(8))*((9)+(8))))*(((4)+((6)*(x)))*(((4)*(x))*((3)-((6)*(x)))))),((x)*(x)),AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchR|SkipD|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|SkipD,AddTreeWithAdd,SkipD,14,15,16,16,2
16,x*x,20,-10,0.6940966113762052,-0.4615781397795707,0.9997920756841816,0.6219104477611939,2119997.3258800004,809814.2043200001,30498239.453999985,12.665999999999999,0.9999957920586097,0.24477611940298505,0.7613267098989335,0.4153557929818701,8550657.246,1627.942,238834125,25.3,(((((x)*(5))*((4)+(x)))*(((7)*(5))-((1)-(3))))+(((8)-((1)+(8)))*(((x)*(x))*((x)*((x)*(x)))))),((5)*((5)+(3))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,16,15,17,17,2
17,x*x,20,-10,0.726202819553695,-0.5173400635226257,0.9999400270769374,0.6346268656716417,2505280.3474399997,633139.6309298044,32511996.642999995,12.24,0.9999919742117704,0.21194029850746274,0.7267597628524325,2.402976826112481,6222264.05,70.85249022318438,125221345.4,26.4,(((((0)-(7))*((4)*(9)))+(((7)+(9))-((8)*(9))))+(((1)+((2)*(x)))*(((x)*(8))-((x)*((x)*(x)))))),((x)+((8)*(4))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|DivXD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,17,17,18,18,2
18,x*x,20,-10,0.6861136168330401,-0.44089325983099087,0.9999298166572774,0.7383283582089551,2171854.5336800003,422585.58264,27156938.22,8.766000000000002,0.9999868254221562,0.9402985074626866,0.3887047063578114,0.45825144453263555,5651473.295,660.14,76283279.2,2,(((((6)*(x))-((3)+(9)))+(((9)-(5))*((8)+(3))))*(((9)+((x)*(8)))*((x)*((x)*((x)*(x)))))),((((x)+(3))-((7)-((8)-(x))))*((x)-((5)-((x)+(7))))),AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|SkipD|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchR|SkipD|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|SkipD,AddTreeWithAdd,SkipD,17,16,19,19,2
19,x*x,20,-10,0.7020994164236427,-0.45397713802104994,0.9999126484366111,0.6342089552238805,2001753.1882199994,281869.3763,25818452.225999996,12.254000000000001,0.999991612907595,0.5522388059701493,0.5948065726105384,0.4466232902690649,7826583.95,212.96,119826985.5,15,(((((0)+(5))+((9)*(2)))+(((5)+(x))*((2)-(5))))-(((4)*((8)*(x)))*((x)*((x)*((x)*(x)))))),((x)*((x)-(3))),AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|SkipD|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,19,19,20,20,2
20,x*x,20,-10,0.7245804050167055,-0.4601256168355822,0.9999135161475803,0.6203582089552241,1872769.5235,93137.70089515705,21176620.144,12.718000000000002,0.9999875674394352,0.4925373134328358,0.6429846227729273,0.4416560943436606,5277046.354,444.85699999999997,80836123.4,17,(((((4)+(8))*((x)*(6)))*(((0)+(7))+((5)+(3))))-(((0)-((5)*(x)))*((x)*((x)*((x)*(x)))))),((((x)*(x))+((8)+((3)-(6))))-((8)+((7)+((2)+(9))))),AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|SkipD|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|SkipD|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,AddTreeWithAdd,SkipD,14,20,21,21,2
