A,P,AFinal,PFinal,AGen,PGen,count,run
MutateTerminalR,MutateTerminalR,SubXD,ReplaceBranchXR,0,0,0,0
SkipD,SkipD,SkipD,ReplaceBranchR,0,0,1,0
SubXD,SubXD,SubXD,AddTreeWithDiv,0,0,2,0
SkipD,SkipD,SkipD,ReplaceBranchR,0,0,3,0
MultXD,MultXD,MultXD,ReplaceBranchR,0,0,4,0
MultXD,MultXD,MultXD,ReplaceBranchXR,0,0,5,0
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,MultXD,0,0,6,0
SubXD,SubXD,SubXD,ReplaceBranchXR,0,0,7,0
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,AddXD,0,0,8,0
MultXD,MultXD,MultXD,ReplaceBranchR,0,0,9,0
AddTreeWithMult,AddTreeWithMult,AddXD,AddRandomSubTreeR,0,0,10,0
SkipD,SkipD,SkipD,AddXD,0,0,11,0
MultXD,MultXD,MultXD,AddRandomSubTreeR,0,0,12,0
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,ReplaceBranchXR,0,0,13,0
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,SubXD,0,0,14,0
