gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-2.4348108622735882,-2.8746653637378468,-0.28090125663164306,-0.4151979328748394,NaN,NaN,NaN,NaN,0.9956379261702728,-0.014705882352941176,0.6263791321135403,0.7050270553595285,5352.455,34,230395,34,((((9)*((8)-(2)))-((2)*((8)*(8))))*(((x)-(9))-((x)*((x)-(x))))),((((3)*(3))*((9)*((0)*(7))))*(((0)*(x))/((8)-((4)+(x))))),ReplaceBranchR|SubXD|SkipD|MultXD|ReplaceBranchXR|SubXD|SkipD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|MultXD|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub,AddRandomSubTreeR|AddTreeWithSub|AddTreeWithSub|AddRandomSubTreeR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithMult|DivXD|AddXD|AddTreeWithSub,SubXD,AddRandomSubTreeR,0,0,1,1,3
11,x*x,20,-10,-0.06453813469756163,0.004815077325303911,0.9949137893644888,0.6425074626865672,37234.98988,3749.5460000000003,1364089.061,11.976000000000004,0.9999452905179649,0.2537313432835821,0.7938077808766212,0.12907468324333743,372030.73300000007,30.294,18369759,25,((((9)*((8)*(7)))*(((6)-(8))*((8)*(4))))*(((x)*((x)*(5)))+((2)+((x)-((x)-(x)))))),((5)*(5)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|SkipD|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,10,11,12,12,3
12,x*x,20,-10,-0.08639313834175497,-0.006198002194742449,0.9911715800530756,0.6627462686567164,17651.001200000013,3441.743999183673,479340.701,11.298,0.9998358807203939,1,0.7812761723431408,0.1721796235317404,143400.361,30.671999999999997,6123595,0,((((5)*((5)*(9)))-(((3)*(9))*((4)*(9))))*(((2)*((9)+(0)))*((x)+((6)-((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,12,12,13,13,3
13,x*x,20,-10,-0.06714378188369526,0.003241481898955263,0.9931825162015379,0.5357611940298507,21406.944120000004,994.9573799999998,646998.7839999999,15.552000000000003,0.9998615244708995,0.8507462686567164,0.7940134391648013,0.18160861814268514,154181.317,31.072,7257600,5,((((6)*((5)*(x)))*(((4)*(8))+((0)*(3))))*(((0)-((7)*(9)))*((8)+((x)-((x)-(x)))))),((x)*((x)-(x))),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchXR,8,10,14,14,3
14,x*x,20,-10,-0.07800258562978908,0.009425111468231509,0.9912389139836302,0.6494925373134328,19000.452580000005,261.56752,579935.4230000001,11.742000000000003,0.9998922968106996,0.2537313432835821,0.816829884159819,0.1378151167666009,200195.676,32.111999999999995,9331200,25,((((5)*((9)*(x)))*(((9)*(8))+((8)*(8))))*(((3)*(3))*((4)+((x)-((x)-(x)))))),((5)*((5)-(x))),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,12,14,15,15,3
15,x*x,20,-10,-0.06586022257668667,-0.020697639177153043,0.9946542463004314,0.6793432835820897,32971.789200000014,2649.6479231319117,1143304.375,10.742,0.9999573545981101,0.2537313432835821,0.8350038765596802,0.11452809665811277,531338.4670000001,31.473999999999997,23566432.85,25,((((6)*((4)-(x)))*(((4)*(x))*((8)*(4))))+(((2)*((6)*(2)))*((9)-((x)*((x)-(x)))))),((8)*((3)-(x))),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|AddToLeafR|AddToLeafR|SubXD|SkipD,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,12,14,16,16,3
16,x*x,20,-10,-0.060760526284637004,0.011729075295906085,0.9948692999820158,0.6794029850746272,27367.2499,370.7710600000001,745350.1310000003,10.74,0.9998683522935068,1,0.8285337687717912,0.14893742390308434,202902.21899999998,31.058000000000003,7634010.7,0,((((5)*((7)*(6)))*(((x)*(8))-((x)*(9))))*(((8)*((6)+(6)))-((1)+((x)-((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,13,16,17,17,3
17,x*x,20,-10,-0.03967826075985847,0.015814711326976136,0.9950843507094289,0.5537910447761194,30616.508879999998,550.55976,977485.0430000001,14.94800000000001,0.9999041323717317,1,0.8609129160040214,0.12436276461983523,231143.93899999995,30.848000000000003,10483205,0,((((5)*((2)+(6)))*(((8)*(x))*((6)*(8))))-(((6)*((8)+(5)))*((6)*((2)+((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|AddToLeafR|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchXR,17,17,18,18,3
18,x*x,20,-10,-0.026947378548703247,0.015070454170673682,0.993492747412849,0.8189850746268657,28140.463540000008,1415.6373800000001,815115.6459999998,6.064,0.9998820090166244,1,0.806352647787518,0.12223562276528085,200948.22900000002,31.132,8517600,0,((((7)*((8)*(7)))+(((6)-(0))*((9)*(6))))+(((7)*((5)*(x)))*((4)+((2)+((9)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|AddToLeafR|AddToLeafR|SubXD|AddTreeWithAdd,SkipD|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchXR,16,18,19,19,3
19,x*x,20,-10,-0.024644443805189334,0.010828597492302425,0.9946642228874505,0.4200597014925373,24851.33976,602.45016,706641.5350000001,19.428000000000004,0.9998096159299751,0.2537313432835821,0.7559415288414796,0.11525477885176806,111533.98999999998,31.556000000000004,5278803,25,((((9)*((7)*(7)))*(((x)-(9))*((6)*(1))))+(((6)-((2)*(7)))*((6)+((x)-((x)-(x)))))),((7)*((4)-(x))),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchXR,17,19,20,20,3
20,x*x,20,-10,0.010553352136789514,0.0011455508448335139,0.9952443020629856,0.6883582089552239,57179.21042,4031.2289399999995,2238429.921,10.440000000000003,0.9999824741923763,0.8507462686567164,0.820072001290123,0.16202340292512327,1195125.222,29.311999999999998,57344005,5,((((6)-((0)+(2)))*(((3)+(7))*((8)*(7))))*(((5)*((8)*(8)))*((8)*((x)+((x)-(x)))))),((x)+((1)*(x))),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|AddToLeafR|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,20,16,21,21,3
