A,P,AFinal,PFinal,AGen,PGen,count,run
AddToLeafR,AddToLeafR,AddToLeafR,AddXD,0,0,0,1
SkipD,SkipD,SkipD,SkipD,0,0,1,1
AddXD,AddXD,AddXD,SubXD,0,0,2,1
AddToLeafR,AddToLeafR,AddToLeafR,AddTreeWithMult,0,0,3,1
MultXD,MultXD,MultXD,ReplaceBranchXR,0,0,4,1
ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,AddXD,0,0,5,1
MultXD,MultXD,MultXD,ReplaceBranchXR,0,0,6,1
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,ReplaceBranchR,0,0,7,1
AddXD,AddXD,AddXD,AddTreeWithAdd,0,0,8,1
MultXD,MultXD,MultXD,ReplaceBranchXR,0,0,9,1
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,MutateTerminalR,0,0,10,1
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,AddRandomSubTreeR,0,0,11,1
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,SubXD,0,0,12,1
SkipD,SkipD,SkipD,ReplaceBranchR,0,0,13,1
MultXD,MultXD,MultXD,ReplaceBranchR,0,0,14,1
