gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x,20,-10,0.6003301571063201,-0.02468321847147278,0.9999273735880406,0.5907462686567166,2696926.7572599994,24735.060320000004,64936526.09000001,13.71,0.9999984840182264,0.8776119402985074,0.6063165718837227,0.1860887830290708,15086064.617,33.861999999999995,662936730.2,4.1,(((((8)-(x))*((x)*(9)))*(((4)*(7))*((4)+(4))))*(((x)*((x)+(x)))*((9)+((6)-((x)*(x)))))),((((0)*((8)-(7)))-(((7)+(1))+((x)*(x))))-(((2)*((1)-(0)))*((x)+((x)+((x)-(x)))))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|ReplaceBranchR,MultXD,ReplaceBranchXR,11,8,12,12,1
12,x*x,20,-10,0.5888728825424487,-0.030557000725207874,0.9998987857997751,0.5681791044776121,2749618.56864,11836.526320972223,80383643.084,14.466000000000001,0.9999975482591101,0.5761194029850747,0.6630953644095297,0.15995909119194987,16294241.568000002,32.052,409912811,14.2,(((((8)*(x))*((5)*(2)))-(((7)*(x))*((7)*(3))))+(((6)*((x)+(x)))*((9)+((7)-((x)*(x)))))),((((0)*((0)*(x)))+(((4)-(2))+((x)*(2))))-(((2)+((x)*(x)))-((x)+((6)*((2)-(x)))))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|AddXD,MultXD,ReplaceBranchXR,10,10,13,13,1
13,x*x,20,-10,0.5963590369615825,-0.01790011967758486,0.9999581323329455,0.5925970149253732,3161935.040100002,6990.960240000001,88665768.135,13.648,0.9999976971336594,0.8507462686567164,0.7590385753081866,0.17960793907327433,12697937.101000002,31.558000000000003,436412649,5,(((((1)+(2))-((x)-(2)))*(((x)*(8))*((x)*(x))))*(((5)*((7)*(x)))+((x)*((x)-((x)*(x)))))),((x)*((x)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,13,12,14,14,1
14,x*x,20,-10,0.6173685833150696,-0.016712594283831338,0.9999608576009507,0.632179104477612,3168077.70244,6345.954580000001,71942590.292,12.322000000000001,0.9999970204604439,0.2537313432835821,0.7965970774245028,0.14659451426186082,11950415.243999999,31.488000000000003,337300438.9,25,(((((8)-(2))*((9)*(x)))*(((6)*(8))*((8)*(3))))+(((5)*((x)+(6)))+((7)*((x)-((x)*(x)))))),((6)*((5)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,14,14,15,15,1
15,x*x,20,-10,0.6311464930066607,-0.028423921661626418,0.9999704988964422,0.4056119402985074,4880987.873020001,2289.1711999999998,125239531.68599999,19.912000000000003,0.9999989042441867,0.2537313432835821,0.5361109643202403,0.13864688679206658,23958296.033999994,30.490000000000006,917175147.8,25,(((((x)+(3))*((9)+(8)))-(((6)*(8))*((9)*(x))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),(((0)*((2)-(x)))+((6)*((4)-(x)))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,14,11,16,16,1
16,x*x,20,-10,0.6562132564633858,-0.003034327982198123,0.9999715257793899,0.4782089552238808,5239963.71522,10582.436020000001,127847506.348,17.48,0.9999982267408825,1,0.5117188584413074,0.15215861314165158,17502641.221,31.113999999999997,566753042.5,0,(((((3)*(7))*((x)*(9)))+(((3)*(x))*((x)*(7))))+(((6)*((5)-(x)))+((x)*((x)-((x)*(x)))))),(((x)*(x))+((x)-(x))),AddToLeafR|SkipD|MultXD|MultXD|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,13,15,17,17,1
17,x*x,20,-10,0.6688878027160433,-0.013581411067098892,0.9999787145198258,0.4347462686567165,5415672.31434,104922.10811999999,123461366.71199998,18.936,0.9999988692028317,0.5522388059701493,0.5750923881104835,0.12183166641582693,22312744.676,30.683999999999997,888753552,15,(((((8)*(8))*((3)+(5)))*(((8)+(0))-((x)*(x))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((((0)-(2))+((x)*(x)))-((x)+((x)-(x)))),AddToLeafR|SkipD|MultXD|MultXD|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,13,16,18,18,1
18,x*x,20,-10,0.6574396143496893,-0.008366070936137988,0.9999807163582879,0.46089552238805964,4762257.12314,16928.813899999997,106855408.55299999,18.06,0.9999975721911791,0.2537313432835821,0.7176726701526721,0.13387134434266926,21708457.634,31.668000000000003,413953517,25,(((((5)*(9))+((1)*(x)))*(((x)*(8))+((0)-(8))))*(((8)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((7)*((4)-(x))),AddToLeafR|SkipD|MultXD|MultXD|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,18,14,19,19,1
19,x*x,20,-10,0.6504253253056183,-0.000843542099751866,0.9999766748064809,0.45877611940298507,4816024.08614,1209.07658,112106595.66600002,18.131000000000004,0.9999987388042326,0.8507462686567164,0.6479291264366465,0.18899408072951943,21979891.360999998,31.505,796862807.5,5,(((((7)*(9))+((2)-(1)))*(((x)*(x))*((x)*(x))))*(((x)+((x)*(7)))+((4)*((7)-((x)*(x)))))),((x)*((x)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,19,19,20,20,1
20,x*x,20,-10,0.647028519365625,-0.005095770486433107,0.9999797112900414,0.40758208955223874,5487441.14842,6632.70024,135490091.81800002,19.846,0.9999988326953156,0.8507462686567164,0.583405013110179,0.19773244690946462,23490649.062999997,33.118,860957737.5,5,(((((9)*(8))*((2)+(8)))*(((7)*(0))-((8)+(2))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((((1)+((x)*(1)))*((3)+((5)-(1))))*(((8)+(x))*((x)-((x)+((x)-(x)))))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,18,20,21,21,1
