gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x,20,-10,0.6470651815236326,0.005738544917143592,0.9999788266117514,0.43456716417910457,4448391.9317000015,4836.89872,100308253.89400001,18.942000000000004,0.999998452438057,0.2537313432835821,0.5948597326643571,0.1518576347319054,15727504.318000002,31.256000000000004,649408577.5,25,((((9)*((7)-(1)))*(((x)*(2))+((9)*(8))))+(((0)*((x)*(8)))*((x)+((x)*((x)*(x)))))),(((7)-((3)+(4)))*((6)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,20,21,22,22,1
22,x*x,20,-10,0.6454225884197176,0.010138778900160574,0.9999719185879036,0.5153432835820897,4705877.29682,13148.875839999999,125626837.40599999,16.236,0.9999993107605849,1,0.7013625700842263,0.1661418859469837,30956251.514999997,30.53,1458129030.3,0,(((((x)*(x))+((x)*(8)))-(((x)*(7))*((4)*(x))))*(((8)+((7)*(x)))+((x)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,22,21,23,23,1
23,x*x,20,-10,0.6482960017543631,0.006456019836136595,0.9999848747662324,0.40268656716417894,5670077.385539999,3428.8212400000007,133528164.34500004,20.01,0.9999986273912252,0.2537313432835821,0.6845794294420394,0.16045509304034966,18098624.566,31.87,732182409.5,25,((((x)-((2)*(x)))*(((0)+(4))+((9)*(8))))*(((5)*((x)*(x)))*((x)+((x)*((x)*(x)))))),((9)*((3)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,20,23,24,24,1
24,x*x,20,-10,0.6732327544555224,0.0010793132999546338,0.9999792775104008,0.5683582089552239,5149557.412479999,12923.364679999999,114906878.838,14.46,0.999998795433932,0.2537313432835821,0.607499690433427,0.16640194619113002,23776149.071999997,32.51,834325344.8,25,((((x)-((9)*(4)))+(((0)+(9))*((7)*(5))))*(((9)*((x)*(x)))*((x)+((x)*((x)*(x)))))),(((4)*((4)+(4)))-((0)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,23,24,25,25,1
25,x*x,20,-10,0.6798542849441156,0.0011507871184419005,0.99998241032911,0.5960597014925375,6989268.753800001,1371.42528,161126550.28000003,13.532,0.9999994247112618,1,0.4642707067456415,0.18615576905816134,57566542.83699999,30.991999999999997,1746948850.8,0,(((((x)*(9))*((8)*(x)))-(((8)*(9))*((x)*(x))))*(((6)+((8)+(6)))+((0)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,21,24,26,26,1
26,x*x,20,-10,0.6608007381755552,-0.0002824810811387883,0.9999773039770607,0.5065671641791045,4589354.019539999,38117.27002,101909043.019,16.529999999999998,0.9999964427689016,0.2537313432835821,0.5940471243778489,0.13312137407729063,13479471.19,31.572,282523112,25,((((7)*((x)*(3)))*(((5)+(8))*((9)-(0))))+(((2)*((x)*(x)))*((x)+((x)*((x)*(x)))))),((5)*((6)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,25,26,27,27,1
27,x*x,20,-10,0.6409023570720989,0.00977921105512916,0.9999721555548483,0.46495522388059707,4252763.145819999,15648.71372,87617223.283,17.924,0.9999978809092479,0.5343283582089552,0.7888899481103091,0.17481931912149604,19712922.505,32.641999999999996,474260009.4,15.6,(((((1)+(9))*((5)*(9)))*(((x)+(4))-((7)*(8))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((((6)-((x)+(x)))*((x)-((1)+(0))))+(((8)+(x))-((x)+((x)-(x))))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,27,27,28,28,1
28,x*x,20,-10,0.6776048696924413,0.001465347471353228,0.9999721359162547,0.543582089552239,3965978.9248000006,24741.20314,85079966.9,15.290000000000003,0.999998825197685,0.8507462686567164,0.5832197598871967,0.11505795450112512,22972568.44,30.933999999999997,855463074.2,5,(((((x)-(7))*((9)*(6)))*(((1)+(8))*((6)*(x))))*(((8)+((6)*(x)))+((x)*((x)-((x)*(x)))))),((((1)*((x)-(8)))*((3)-((9)*(6))))*(((0)+(x))*((x)-((x)+((x)-(x)))))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,27,26,29,29,1
29,x*x,20,-10,0.6451404327843459,-0.0006292966560785987,0.9999809835167582,0.41176119402985056,4576616.245859998,32283.05766,116760696.65599999,19.706000000000003,0.9999988018874278,1,0.6368881854469166,0.11920409223488469,18029907.339999996,29.9,838819342.5,0,(((((9)*(2))+((3)+(6)))*(((7)*(9))-((1)*(8))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,29,28,30,30,1
30,x*x,20,-10,0.6424449739162125,0.014579143565660091,0.9999840733014641,0.43450746268656715,5672681.274720002,214300.48612,148200563.04099998,18.944,0.9999986126805057,0.2537313432835821,0.7504452838559869,0.131153065556299,17773649.682,31.016000000000005,724418567,25,(((((x)*(7))+((3)*(7)))*(((9)+(5))*((x)*(1))))-(((6)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((5)*(5)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,30,29,31,31,1
31,x*x,20,-10,0.6547309797348825,0.005779427964347039,0.9999804857330439,0.4533134328358207,6853658.418339998,11982.47818,199298462.79999992,18.314,0.999999383986421,0.23582089552238802,0.6620978276212256,0.1239630652689786,37975877.195,31.552,1631457542.7,25.6,(((((x)*(x))*((x)*(4)))-(((x)*(9))+((6)*(x))))*(((x)*((x)+(8)))+((7)*((x)-((x)*(x)))))),((9)+((8)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,31,29,32,32,1
32,x*x,20,-10,0.6690052572967794,0.003384820762428827,0.9999799178482115,0.4068656716417911,4596588.645919999,9803.34922,101723265.77099998,19.870000000000005,0.9999988330752281,0.2537313432835821,0.6245204103928437,0.1692043347852986,18587722.375000004,32.364,861238037.1,25,(((((x)-(2))*((7)*(x)))*(((7)*(9))*((x)*(5))))+(((7)*((x)+(x)))*((0)+((9)-((x)*(x)))))),((7)*((4)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,32,31,33,33,1
33,x*x,20,-10,0.6800764598054374,-0.0009266204968362918,0.9999647679608848,0.49164179104477584,4719889.704640001,4956.82574,105234943.58999997,17.03,0.9999986528904363,1,0.592136857555865,0.12482415469916301,27767543.73,31.283999999999995,746041767.6,0,((((x)*((8)*(7)))*(((9)*(8))*((3)-(6))))+(((4)*((x)*(x)))+((x)*((7)+((6)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,29,33,34,34,1
34,x*x,20,-10,0.6647157892486135,0.015093235510546055,0.9999207725244195,0.509671641791045,4200040.931940001,3230.7199600000004,109307058.41900001,16.426,0.9999991690639121,0.2537313432835821,0.6941803350413651,0.11496552666943108,25702906.928999998,30.554000000000002,1209479302.5,25,(((((6)*(5))+((6)*(6)))+(((8)*(8))*((9)*(9))))*(((9)-((1)*(x)))+((x)*((x)-((x)*(x)))))),(((6)+((0)+(4)))*((6)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,33,32,35,35,1
35,x*x,20,-10,0.6548590606661633,0.009455371007087626,0.9999372363617023,0.5014328358208956,3506475.769759998,13453.216259999997,81132644.35300002,16.702,0.9999990542675601,0.2537313432835821,0.6501332006485608,0.12224207274893152,22424411.012000002,30.398000000000003,1062668422.5,25,(((((x)*(x))+((x)*(8)))*(((6)*(6))*((6)+(6))))*(((x)*((9)-(0)))+((x)*((x)-((x)*(x)))))),((5)*(5)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,35,34,36,36,1
36,x*x,20,-10,0.675516263587594,-0.008835252159605532,0.9999457969192029,0.5115223880597015,3630653.0383399995,1646.1550818815333,84277590.11599998,16.363999999999997,0.9999983711969398,0.24776119402985078,0.5343972930534707,0.10787687178568216,18076645.976,31.518,617017504.8,25.2,(((((x)*(x))*((x)*(x)))*(((x)*(1))-((1)+(3))))+(((x)*((7)*(x)))+((x)*((x)-((x)*(x)))))),(((7)+((9)+(9)))+((6)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,34,35,37,37,1
37,x*x,20,-10,0.6720090339163776,0.012287362851174554,0.9998869319747797,0.46465671641791045,2706515.81382,2575.57182,60996831.531000026,17.934,0.9999976912699221,0.5522388059701493,0.6796769378193606,0.138196914516392,12152731.803,31.038,435304243.5,15,((((9)*((1)+(4)))-(((x)*(7))*((8)*(x))))*(((x)*((x)+(x)))*((5)+((6)*((4)*(x)))))),(((x)*(x))-((2)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,36,37,38,38,1
38,x*x,20,-10,0.7159066032301467,0.011071963723663371,0.999838913405205,0.5038805970149255,1235781.0189799997,1599.4771999999998,26022494.508000005,16.62,0.999996938712275,0.2537313432835821,0.518713600026977,0.15681025617383978,8754959.51,32.12,328293218.5,25,((((x)*((8)*(4)))*(((0)+(2))+((5)*(x))))-(((3)*((9)*(x)))*((x)+((x)*((x)*(x)))))),((5)*((4)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,38,38,39,39,1
39,x*x,20,-10,0.7465106579187186,0.006013226230452238,0.9997887099035598,0.3644179104477611,543373.82852,10119.8356,11860179.856000004,21.291999999999998,0.9999873349536846,0.2537313432835821,0.5477242588167354,0.1568415745021239,2023870.612,30.638,79352256.2,25,(((((9)*(5))*((6)-(0)))*(((x)+(x))*((x)*(x))))+(((x)*((8)+(6)))+((4)*((8)-((x)*(x)))))),((5)*(5)),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,39,39,40,40,1
40,x*x,20,-10,0.7435237985340639,0.01346996507341399,0.9997409606798611,0.649492537313433,515424.3002400001,1832.6756199999998,10527027.404000001,11.741999999999997,0.999988900089061,0.2537313432835821,0.4674913938123497,0.12116428205478186,2507037.957,31.608,90541267,25,(((((9)*(5))*((8)*(x)))-(((7)*(9))+((1)+(2))))+(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((4)*((6)-(x))),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,36,39,41,41,1
41,x*x,20,-10,0.7788264154521617,0.010784174037643732,0.999826384886079,0.42137313432835816,649591.2343199999,1865.05452,15870518.743000003,19.384,0.9999941634703077,0.24179104477611946,0.5398268083921194,0.15139021123280108,3987995.17,31.618000000000002,172191362.5,25.4,(((((9)+(9))*((7)*(8)))*(((x)*(4))+((6)+(9))))-(((8)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((((7)-(3))+((5)+(9)))-((x)+((x)-(x)))),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,39,41,42,42,1
42,x*x,20,-10,0.7388589232555498,0.012959736909912421,0.9998448622721867,0.5097910447761195,633247.45148,2088.6857800000002,14684742.891,16.422,0.9999897170601313,0.8507462686567164,0.3888983579150302,0.16538328665285348,2361812.6769999997,30.182,97734695.8,5,(((((1)-(6))+((x)*(7)))*(((x)*(8))+((x)*(x))))*(((8)*((9)+(7)))+((x)*((x)-((x)*(x)))))),((x)*((x)-(x))),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,40,42,43,43,1
43,x*x,20,-10,0.7691290629054821,0.0046559638643247836,0.999824891737834,0.5168955223880597,593871.9109999998,2351.4006400000003,13766917.946999999,16.184000000000005,0.9999757899984282,0.2537313432835821,0.6399082141605463,0.15644729959853365,1879936.355,31.56,41511769.3,25,((((9)-((0)*(7)))*(((9)*(9))*((4)+(1))))+(((1)+((2)*(x)))*((x)+((x)*((x)*(x)))))),(((0)+(8))*((3)-(x))),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|SubXD|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,41,41,44,44,1
44,x*x,20,-10,0.7461929792334542,0.003198294273723613,0.9997798033379223,0.4168955223880598,544295.42608,1103.06718,11343092.871999998,19.534,0.9999883769240702,0.24477611940298505,0.4870486367236686,0.15238885017455828,2526202.684,31.926,86465924,25.3,(((((x)*(9))*((7)-(8)))*(((9)*(x))+((1)+(9))))*(((x)*((x)+(9)))+((6)*((x)-((x)*(x)))))),((7)*(4)),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,44,36,45,45,1
45,x*x,20,-10,0.7706999810890793,0.008692829324215773,0.9997956325960139,0.3001791044776117,518937.12431999994,2298.06718,10801324.845,23.444000000000003,0.9999824893596725,0.2507462686567164,0.45906663200112907,0.14545314181186583,1811601.6550000003,32.11599999999999,57393675,25.1,(((((x)*(8))*((4)*(7)))*(((x)+(7))-((8)*(x))))*(((3)+((4)+(8)))+((x)*((x)-((x)*(x)))))),((3)*(8)),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,43,43,46,46,1
46,x*x,20,-10,0.7395637843085668,0.01413821656793788,0.9997393838193186,0.4135522388059701,507120.14757999993,954.4639799999999,9998518.656999998,19.646,0.9999878355897528,1,0.33931617626573785,0.18060490190087009,3639553.376,29.85,82618062,0,((((1)+((8)*(5)))*(((7)*(9))+((8)*(8))))-(((7)+((x)*(x)))*((x)+((x)*((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,44,46,47,47,1
47,x*x,20,-10,0.7542063862501718,0.01304301797212223,0.9997439779369539,0.6176119402985076,543237.93682,1871.7198199999996,12835670.431,12.81,0.9999798313904239,0.8805970149253731,0.5271432214727687,0.2474184805769016,2314229.2750000004,30.734,49829910,4,((((3)+((9)*(x)))*(((9)*(9))+((9)-(0))))+(((9)+((x)*(x)))*((x)+((x)*((x)*(x)))))),((((0)+(9))+((x)-(5)))+((x)*((x)-(x)))),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,46,47,48,48,1
48,x*x,20,-10,0.7444855608618114,0.011639647957491586,0.9997989418055038,0.629731343283582,472955.60245999997,546.44978,10778115.295000002,12.404000000000003,0.9999884975545859,0.2537313432835821,0.5809620556164972,0.10704774498565492,1866927.4100000004,30.608,87372725,25,((((x)*((7)+(9)))*(((5)*(1))+((9)+(x))))*(((x)*((8)-(2)))+((x)*((8)*((9)*(x)))))),(((6)*(4))+((1)-(x))),AddToLeafR|SkipD|AddXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,AddXD|SkipD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,47,47,49,49,1
