generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
35,-0.9178678882948628,-0.026094152966112106,-0.7681794638203472,0.19205172552059624,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,34,34,107387,107387,(((((((x)*((4)+(7)))+(x))*((6)*(5)))*((x)*(x)))+(x))-(6)),(((((((((6)+(6))*(9))+((x)*(2)))+((9)*(((6)+(x))+((6)-(5)))))+(x))*(x))+((1)+(8)))+(x)),5*x*x*x,7
36,-0.9385903617750315,-0.061778830237615746,-0.8110936697754475,0.17909680403409278,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,35,35,249292.2,249292.2,((((((7)+(4))*(9))*(x))*((x)*((x)*(x))))+(8)),(((((((((8)+(0))*((4)+(5)))+((6)-(((6)-(3))-(6))))*((2)+((0)+((x)-(x)))))+(x))*(x))+(x))+(x)),5*x*x*x,7
37,-0.9420097812005441,-0.011342688610414906,-0.8326892603745197,0.23271660313281467,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddToLeafR,StrategyAddXD,36,36,308335.5,308335.5,((((((8)*((x)+(7)))*((5)+((x)*(9))))*((7)*(x)))+(x))-(x)),((((((((7)+(1))*(((x)-(3))*((x)*(x))))+(((6)+(x))+(((9)+(9))-((x)-(6)))))+(x))+(x))+(x))+(x)),5*x*x*x,7
38,-0.9346845939189071,-0.015992655027300122,-0.7419975238211547,0.1827872183410565,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,35,37,187142,187142,((((((7)*(7))*(x))*(((9)+((8)+(3)))*((x)*(5))))+(x))-(1)),(((((((x)-((9)+(1)))+(((9)*(6))-(6)))+(x))*(x))*(x))+((5)+(1))),5*x*x*x,7
39,-0.933450232649844,-0.0713301121993358,-0.831965567827981,0.08402144507913502,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,StrategyAddXD,38,38,249697.5,249697.5,((((((9)+(((9)+(8))*(8)))*(x))*(((9)*(5))*(x)))+(x))-(8)),(((((4)*(9))*(((1)*(4))+(8)))+(x))*(x)),5*x*x*x,7
40,-0.9315897888347712,-0.02110068856387453,-0.8274106740465539,0.19653145016624554,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,StrategyAddXD,38,39,72539.5,72539.5,((((((2)+(9))*(x))*((9)*(((9)*(9))+((x)*(x)))))+(x))-(x)),((((((((5)*(x))*((3)+(4)))+(((0)*(7))+((4)-((1)-((3)+(0))))))+(x))*(x))+((5)*(3)))+(x)),5*x*x*x,7
41,-0.9250560596127974,-0.03254122735197899,-0.7093175673064298,0.1765613509214173,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyMultXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,40,40,589261.2,589261.2,(((((((4)+(0))*(6))*(((x)*(x))+(x)))*((x)*(x)))*(x))-(x)),(((((((6)+(8))+(((5)+(3))-((1)+((3)-(5)))))+(x))*(x))*(x))+(x)),5*x*x*x,7
42,-0.9279280884448428,0.025140402973966035,-0.6546375955582612,0.205860528488031,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyMultXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,41,41,873592.5,873592.5,(((((((x)+(4))*(9))*((7)+(8)))*((x)*((6)+(x))))*(x))-(x)),((((((2)+(4))+(x))*((5)*(3)))*(x))+(x)),5*x*x*x,7
43,-0.9347746562390163,-0.01883887359355904,-0.8548121487603307,0.11516851791296338,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,StrategyAddXD,42,42,53915.5,53915.5,(((((5)*(8))*((x)*((7)+((7)*((x)*(5))))))+(0))-((7)+(5))),((((((((8)*((x)+(9)))+((x)+((5)*(5))))*((0)+(2)))+((x)-(6)))*(x))+(x))-(x)),5*x*x*x,7
44,-0.9273535711895262,-0.024330889515157293,-0.8544821030116394,0.15629317883851307,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,StrategyAddXD,43,43,152135.5,152135.5,((((((8)*(x))*((6)*(6)))*((x)*((1)+((x)+(5)))))+(x))-(x)),(((((((8)*(2))*(((8)+(3))+((x)-((4)*(0)))))+(x))*(x))+((2)+((9)+(8))))+(x)),5*x*x*x,7
45,-0.9358423124273699,-0.022540762590366286,-0.8524738842975207,0.22340534875969106,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,44,43,54803,54803,((((((6)+((5)+(9)))*((0)+((8)*(8))))*((x)*(8)))+(1))-(x)),(((((((9)+(2))+((8)-((1)+(x))))+(x))*(x))*(x))+(x)),5*x*x*x,7
46,-0.9319465195789626,-0.010888905207937921,-0.7360271343154788,0.177635728453322,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,45,44,153719.5,153719.5,((((((1)+(3))*((6)*((6)*(4))))*(((x)*(7))*(x)))+(0))-(0)),(((((((2)*(4))*((((x)+(2))+(5))+((7)+(((6)+(x))-(8)))))+((9)+(4)))*(x))+(x))+(x)),5*x*x*x,7
47,-0.9265312083849023,-0.03923053548610186,-0.8432865611256772,0.18093526104738927,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,45,46,138622,138622,((((((5)+(5))*(((4)+(9))*((7)*(7))))*((x)*(4)))+(0))-(x)),(((((((x)+((3)+(9)))+(((9)*((x)*(7)))-(x)))+(8))*(x))+(x))+(x)),5*x*x*x,7
48,-0.9351477069859623,-0.04403098952685096,-0.8823034785622227,0.1553521250878824,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddToLeafR,StrategyAddXD,46,47,81647.5,81647.5,(((((((x)+((0)+(8)))*(7))*((9)+(9)))*((8)*(x)))+(x))-(x)),(((((((9)+((8)+(2)))+(((x)+(3))-(x)))+(8))*(x))*(x))+((5)+(5))),5*x*x*x,7
49,-0.9260256239387633,-0.05166166036403308,-0.8170635478112857,0.11039290684184837,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyMutateTerminalR,StrategyAddXD,46,47,75704,75704,((((((5)+(7))*(x))*(((5)+(8))*((6)*((9)+(6)))))+(x))-(9)),(((7)*((6)*(x)))*(x)),5*x*x*x,7
50,-0.9208710636523071,-0.05349054537529607,-0.8170635478112857,0.11039290684184837,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,StrategyAddXD,46,49,75704,75704,((((((5)+(7))*(x))*(((5)+(8))*((6)*((9)+(6)))))+(x))-(9)),(((7)*(6))*((x)*(x))),5*x*x*x,7
