gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x*3*x+1,25,-10,0.021959000091901385,0.011429920360926967,0.038403875630197655,0.011434581108158409,4125315.8720000004,8450.729,11988195.603999998,8449.350400000001,0.9905512395878329,0.2858424849998045,0.14224463749256366,0.00006092837302807105,179263650.88,211263.8,559010364.28,211240.28,((((x)*((x)*(x)))*((x)*((4)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((0)+((x)*(6))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|DeleteMaliciousR|AddRandomSubTreeR,MultXD,DeleteMaliciousR,31,31,32,32,4
32,x*x*x*x*3*x+1,25,-10,0.02439214633040722,0.01204920607724115,0.03901822027867535,0.016388484134053718,4863011.281799999,8267.5508,9069137.4064,6984.038,0.9829479675223884,0.5336863231241354,0.04944437172169406,0.1239860187049249,178656141.51999998,192941.32,309755157.16,137930.68,((((x)*((x)*(x)))*((x)*((4)*(7))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(6)))*((x)*((3)*(x))))+(((6)*(0))*((x)*((4)*(x))))),SubXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,SubXD,MutateTerminalR,32,32,33,33,4
33,x*x*x*x*3*x+1,25,-10,0.022744021155102444,0.008346915223229289,0.039535395481537804,0.012486150623071518,7855775.8284,4286159.7976,21901182.1408,8138.307199999999,0.993701420854513,0.3373226120144638,1.125931820495975,0.025804163150089075,308486549.24,207461.90000000002,838594685.88,196013,((((x)*((x)*(x)))*((x)*((x)*(6))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*(x))*((x)*((3)*(9))))+(((1)*(3))*((7)*((0)+(x))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,33,33,34,34,4
34,x*x*x*x*3*x+1,25,-10,0.029277223320407858,0.007890161815893543,0.038382180377478495,0.021207721113002394,3048244.5338,635038.8168,5594686.228800002,5558.558400000001,0.968150712663518,0.999996619217154,0.09945027023484777,0.35714116675143415,91205881.32,158458.90000000002,165842172.36,1,((((x)*((x)*(x)))*((x)*((5)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(0))))*(((0)*(0))+((7)*((x)*((x)+(x)))))),AddTreeWithSub|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,AddTreeWithSub,AddTreeWithMult,34,34,35,35,4
35,x*x*x*x*3*x+1,25,-10,0.03643865038210708,0.0051780784736770126,0.03833254674854851,0.01205235290991417,4495355.4976,2231206.3864,7587648.112000001,8266.62,0.9874004636340845,0.28735923941581687,0.05221257309899535,0.0007756685957286668,248488040.28,211113.22000000003,419218203.48,210791.64,((((x)*((x)*(x)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((6)*((x)*(0)))*((x)*((3)*(x))))+(((x)*(2))*((1)*((x)*((5)+(1)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,MutateTerminalR,35,35,36,36,4
36,x*x*x*x*3*x+1,25,-10,0.02359887289586714,0.013143594221133217,0.03910173298438637,0.019904112884609682,7461354.297000002,7943.8423,23496049.0392,5944.151999999999,0.9970565843480327,0.6455028758967356,0.15201798554543342,0.1797841275495072,518217052.9800001,184623.78000000003,1794498509.4,104856.52,((((x)*((x)*(x)))*((x)*((x)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((9)*(3))*((x)+(0))))*(((0)*(x))*((0)*((3)-((6)+(0)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,36,36,37,37,4
37,x*x*x*x*3*x+1,25,-10,0.005441581447896529,0.0073713438150362,0.024045060314946017,0.020925231012272647,1933069.625,110251.6815,3946284.628,5642.116,0.971713540053959,0.40525471020808446,0.025469578874968358,0.05918009154979552,100932384.9,202165.3,186730860.28,175919.4,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((x)*(5))*((x)*((x)+(x))))),((((5)*((5)*(7)))*(((3)+(3))*((x)*(3))))*(((x)+(3))*((5)*((0)*((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DivXD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,37,37,38,38,4
38,x*x*x*x*3*x+1,25,-10,0.00561736650690515,0.007621894804365742,0.018504514622590004,0.012067636753004197,2069181.8225999998,12417.986099999998,4805286.3144,8262.099199999999,0.983036282637829,0.31629657687622964,0.12382563543020111,0.015194095345575118,139131698.2,208972.5,311367779.08,202232.28,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((9)*(x))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((0)*(4))-((4)*(x))))*(((x)+(1))*((x)*((5)*((7)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchR,MultXD,MutateTerminalR,38,38,39,39,4
39,x*x*x*x*3*x+1,25,-10,0.027671433748602606,0.006698937947790176,0.038931181211768154,0.011556164877804307,4483736.0731999995,12388.2924,9114046.8528,8413.3872,0.98010370036403,0.2915838656601309,0.9615307467045993,0.0027751631456828614,136295753.2,210731.04,265474238.76,209542.04,((((8)*((x)*(x)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*((x)*(x)))*(((x)*(0))*((x)+(1))))*(((9)*(5))*((6)+((x)-((1)*(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,39,39,40,40,4
40,x*x*x*x*3*x+1,25,-10,0.029683599634110505,0.005177546333942358,0.03908240159659902,0.02049034603935204,4633121.919400001,201874.4726,9733351.1824,5770.750400000001,0.9823159640389321,0.28675178035405446,0.014683372910821427,0.004116478472017679,171377287.16,211780.40000000002,298684927.56,210971.32,((((x)*((x)*(x)))*((x)*((3)*(9))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((0)*(5)))*(((0)*(3))*((2)*(x))))+(((1)*(x))*((3)*((3)*((5)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,40,40,41,41,4
41,x*x*x*x*3*x+1,25,-10,0.022436813807837703,0.008906789941048682,0.038717749757916586,0.01696407593671012,4180561.1406,10170.9314,12644532.363999998,6813.783999999999,0.9929819837910201,0.5447628495780175,1.088235467671942,0,197152219.26,211278.2,752627928.28,134654.36,((((4)*((6)*(x)))*((x)*((x)*(3))))*(((x)*(x))+((1)*((x)*((x)+(x)))))),((((4)+((8)*(x)))*((8)-((2)*(1))))*(((0)*(0))+((1)*((x)*((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|AddTreeWithMult|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,AddTreeWithMult,MutateTerminalR,41,41,42,42,4
42,x*x*x*x*3*x+1,25,-10,0.008363690024107057,0.008333396627224232,0.037894197585765774,0.01192695291259175,2545044.8338,16002.359199999999,7565840.6280000005,8303.712,0.9886345623188593,0.30429966610036296,1.0086004775759312,0.00929269019303866,140971268.38,209903.86000000002,464738371.56,205780.84,((((x)*((x)*(x)))*((x)*((6)*(7))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*((x)*(x)))*(((7)-(4))*((3)*(6))))+(((1)*(x))*((x)*((7)*((9)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,DeleteTerminalR,42,42,43,43,4
43,x*x*x*x*3*x+1,25,-10,0.029155369772300436,0.0006208767127214904,0.039013614366829666,0.01538186686017366,5406123.5482,7374.923200000001,15079857.197599998,7281.784799999999,0.9946013634403166,0.483085470112054,0.21721130909658154,1.3796528679001443,270473772.7,107242.20000000001,978386846.68,152897.88,((((x)*((x)*(x)))*((x)*((x)*(7))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((9)*(5))/((5)*(3))))*(((8)*(3))*((9)+((3)*((x)*(0)))))),MultXD|MultXD|AddTreeWithMult|AddRandomSubTreeR|SubXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,MutateTerminalR,43,43,44,44,4
44,x*x*x*x*3*x+1,25,-10,0.027361186231895603,-0.013594924274712422,0.03900554341428246,0.026663006405772106,3760057.5132,44501.3646,9683544.7672,3944.9424,0.9874004636340845,0.6449384203927739,0.06798829149842431,0,155062666.68,32767,419218203.48,105023.48,((((x)*((x)*(x)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((4)*((5)-(2)))*((x)*((3)*(2))))*(((2)+(1))*((x)*((x)+(0))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|DivXD|AddRandomSubTreeR,MultXD,AddTreeWithMult,44,44,45,45,4
45,x*x*x*x*3*x+1,25,-10,0.01311380853226086,0.00008611606443561514,0.03822332569448148,0.011428571428571425,2977793.5984000005,559151.1427,5785471.9328000005,8451.128,0.9687657615906148,0.28571428571428564,0.962876727511102,0.00009973309395588935,116463742.76000002,211292.95,169107853.08,211278.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(9))*((7)*((x)+(x))))),((((x)*((x)*(x)))*((x)*((3)*(0))))*(((5)*(4))+((1)*((4)*(2))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,MutateTerminalR,45,45,46,46,4
46,x*x*x*x*3*x+1,25,-10,0.01916853054865423,-0.015292740330141285,0.03804602053118296,-0.011426867514017065,2862218.8010000004,9504.0382,5259726.2831999995,6665.512,0.9687657615906148,-2,0.036991025314429035,0,121459993.5,32767,169107853.08,32767,((((x)*((x)*(9)))*((7)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*((1)*(6)))*(((x)*(x))*((2)*(2))))*(((0)*((x)+(1)))*((x)*((x)+((x)/(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|DivXD|AddRandomSubTreeR,MultXD,AddTreeWithMult,46,46,47,47,4
47,x*x*x*x*3*x+1,25,-10,0.03219494175315738,0.01143695847465569,0.03852023947830721,0.011470234844051925,3959772.5378000005,8448.6472,6090857.180000002,8438.8044,0.9658726581458594,0.2881695454483371,0.003397566042509419,0.001224462854377754,141627581.12,211095.22,154771942.76,210551.96,((((x)*((x)*(x)))*((x)*((2)*(7))))*(((x)+(1))*((x)*((x)+(x))))),((((8)-((3)*(0)))*((5)*((3)*(0))))+(((2)*(5))*((6)*((x)+(x))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,47,47,48,48,4
48,x*x*x*x*3*x+1,25,-10,0.029868374255403563,0.004730357684089224,0.03882491235461888,0.011768556474692745,4201094.880600001,96200.7517,10488089.476,8350.564,0.9905512395878329,0.28684860597476286,0.07452836530406604,0.0005410221399138481,180322748.18,211112.96000000002,559010364.28,210942.68,((((x)*((x)*(x)))*((x)*((x)*(4))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((5)*(8)))*(((5)*(x))*((x)*(3))))*(((0)+(1))*((6)*((9)*((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddToLeafR,MultXD,DeleteTerminalR,48,48,49,49,4
49,x*x*x*x*3*x+1,25,-10,0.01759167617595022,0.006828661537327003,0.038852971213562876,0.025713961159132496,3514035.2190000005,205815.2385,7572179.756000001,4225.66,0.968607356208484,0.9999787686837273,0.9586513497445476,0.3571251418407443,103688157.58000001,158457.07,168254545.08,6.28,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((8)*(7))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(8))))*(((7)*(4))*((0)*((x)+((0)+(x)))))),MultXD|MultXD|AddTreeWithSub|SkipD|AddXD,AddTreeWithMult|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,MutateTerminalR,49,49,50,50,4
50,x*x*x*x*3*x+1,25,-10,0.006297358372122197,0.00762582013925576,0.02046795879216049,0.012415114966225303,1352423.0585999999,37170.3107,3774978.139999999,8159.318799999999,0.9601757074698593,0.29310143146402634,0.9290661755461183,0.0035249876169744917,53282279.379999995,210633.98,132631483.56,209093.16,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(x))*((x)*((4)+(x))))),((((x)*((x)*(0)))*(((x)*(3))*((x)+(1))))*(((6)*(x))*((9)*((x)+((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,DeleteTerminalR,50,50,51,51,4
51,x*x*x*x*3*x+1,25,-10,0.02817357720711313,0.004065526061709313,0.03878379924620594,0.011935072200674614,8196846.4588,470555.56090000004,14082692.631199999,8301.3104,0.9946013634403166,0.296379438511471,0.014116630152860417,0.0005888526559736766,578153101.6800001,211186.18,978386846.68,208123.56,((((x)*((x)*(x)))*((x)*((7)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((6)*(x)))*(((x)*(3))*((0)+(x))))*(((4)*(x))*((8)*((4)+((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|ReplaceBranchXR,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,AddTreeWithMult,51,51,52,52,4
52,x*x*x*x*3*x+1,25,-10,0.022128456844938013,0.0044944447787486465,0.039213881930705345,0.016222624279943965,10287524.476599999,117725.46020000002,31563476.448799998,7033.0976,0.997709254109528,0.2889994600213638,1.1267283614868095,0.001545910833547276,666705762.3599999,210970.39,2305779537.56,210306.48,((((x)*((x)*(x)))*((x)*((x)*(4))))+(((x)*(x))+((1)*((x)*(x))))),((((8)*((x)*(x)))*(((x)*(0))*((6)*(x))))+(((1)*(8))*((0)*((0)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddTreeWithAdd,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,MutateTerminalR,52,52,53,53,4
53,x*x*x*x*3*x+1,25,-10,0.01268390054436948,0.005364961324505789,0.0390891299468636,0.014147088665898463,5686106.685,20090694.012399998,18395880.8448,7647.019199999999,0.9958012114003997,0.4196859198643576,0.9243072041451801,0.06584554160372275,354096239.56,200825,1257971168.28,171650.8,((((x)*((x)*(x)))*((x)*((9)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((2)*((4)*(x)))*(((3)*(x))*((3)*(x))))+(((1)*(6))*((0)*((0)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,MutateTerminalR,53,53,54,54,4
54,x*x*x*x*3*x+1,25,-10,0.02656569166717444,-0.0051422148854877925,0.036194946706290296,0.011429362531757383,5255065.994399999,673595.4155,10559300.7256,8450.893999999998,0.9893925796422202,0.2857359227244999,0.04001764994370318,0.6317556053647981,227719690.32,3486084.4699999997,497949060.36,211271.8,((((x)*((x)*(x)))*((x)*((9)*(5))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((6)*(1)))*(((x)*(x))*((0)*(x))))+(((1)*((x)*(9)))*((9)*((x)+((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|AddTreeWithSub|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|AddToLeafR|AddXD,MultXD,AddTreeWithMult,54,54,55,55,4
55,x*x*x*x*3*x+1,25,-10,0.011588265839937,0.0037360783825762735,0.01934601250441016,0.013289270463574294,2586276.4036000003,814443.3086,5428294.263199999,7900.7528,0.9811500634199707,0.3535118287506371,0.21805811423945343,0.03357601155620179,120416921.89999999,206115.97999999998,280210757.08,191224.4,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((8)*(x))*((x)*((x)+(x))))),((((x)*((0)*(x)))*(((0)*(3))*((x)+(7))))*(((3)*((8)*(x)))*((2)*((7)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|AddToLeafR|AddXD,MultXD,DeleteTerminalR,55,55,56,56,4
56,x*x*x*x*3*x+1,25,-10,0.014639312586641244,0.008260324654558851,0.03861563579319596,0.011578436122880367,3677238.5138,768721.6805999998,12639886.86,8406.7996,0.993701420854513,0.2857359227244999,0.8755182063376817,0.000004294170949658215,217682641.95999998,211272.9,838594685.88,211271.8,((((x)*((x)*(x)))*((x)*((x)*(6))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((0)*(x)))*(((9)*(7))*((3)*(8))))*(((5)+((1)*(0)))*((x)*((x)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|AddToLeafR|AddXD,MultXD,DeleteTerminalR,56,56,57,57,4
57,x*x*x*x*3*x+1,25,-10,0.023028611114205174,0.007961564176796734,0.03848966210333734,0.0256459803776659,2848548.1034000004,20722.387600000002,6050048.844,4245.767999999999,0.9734645612767439,0.2857359227244999,0.124117594025352,0.000003718861130597162,91485200.1,211273.45,199052861.16,211271.8,((((x)*((x)*(x)))*((x)*((6)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((3)*((3)*(3)))*(((x)*(x))*((3)*(2))))*(((3)+(1))*((0)*((x)+((0)+(x)))))),MultXD|AddRandomSubTreeR|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,SkipD,MutateTerminalR,57,57,58,58,4
58,x*x*x*x*3*x+1,25,-10,0.02054413321850552,0.00999932058048119,0.03884663377554252,0.018537708643322947,4280473.7828,259849.8067,11578053.061600002,6348.32,0.9914768903977779,0.9965630961587951,0.9443502385575907,0.3554160659751955,180250938.4,158709.1,619721585.96,1016.6,((((x)*((x)*(x)))*((x)*((7)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(0))))*(((0)*(3))*((5)*((8)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|DeleteMaliciousR,MultXD,DeleteMaliciousR,58,58,59,59,4
59,x*x*x*x*3*x+1,25,-10,0.01790195223706109,0.005798523061271299,0.039001408987860406,0.0115098048787942,3829579.6018000003,97005.757,9584597.5072,8427.099999999999,0.9866255569103892,0.29255320371772514,0.18303094028044542,0.0034111215393063596,165110941.68,210768.78,394928967.48,209255.32,((((x)*((x)*(x)))*((x)*((3)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*((x)*(x)))*(((x)*(3))*((4)-(8))))+(((1)*((x)*(9)))*((9)*((0)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|AddToLeafR|AddXD,MultXD,AddXD,59,59,60,60,4
60,x*x*x*x*3*x+1,25,-10,0.02351575674545222,0.008599503500815042,0.03893025528213227,0.012631783929570449,6601621.344199999,13882.0624,18537169.5008,8095.2304,0.9958012114003997,0.32766195741647064,0.928157289843226,0.02096425725955817,392535727.17999995,208172.02999999997,1257971168.28,198870.52,((((x)*((x)*(x)))*((x)*((9)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((1)*(x)))*(((x)*(3))*((x)+(8))))*(((x)*(0))*((0)*((x)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,DeleteTerminalR,60,60,61,61,4
61,x*x*x*x*3*x+1,25,-10,0.013439394376357017,0.0038486804086049777,0.020979320215156232,0.01479022850981718,5077482.292200001,516728.3969,12260159.526399998,7456.7852,0.993701420854513,0.30852943113460285,0.11284708261098084,0.0120132241516981,298720136.1,209809.45,838594685.88,204529.72,((((x)*((x)*(x)))*((x)*((6)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(2)))+((4)*((0)*(6))))*(((x)+(0))*((7)*((4)+((1)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,AddTreeWithMult,61,61,62,62,4
62,x*x*x*x*3*x+1,25,-10,-0.006623317076067052,-0.014553464192607285,0.009403362072590413,0.01185542095682375,NaN,NaN,NaN,8324.8704,0.9952762885328139,0.29333484071171156,0.9655281727021949,0.003801939851070059,345321307.36,210710.97999999998,1118179007.48,209024.12,((((x)*((x)*(x)))*((x)*((x)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((((0)+(4))*((x)*(x)))*((0)+((x)+(x)))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddXD,MultXD,AddXD,62,62,63,63,4
63,x*x*x*x*3*x+1,25,-10,0.017350309099375114,0.011420649240128485,0.03875346563547666,0.011429436908979995,3175700.1072000004,8453.471300000001,7607241.028800001,8450.872,0.98010370036403,0.2857359227244999,0.9585348012731116,0.000003718861130597162,125250867.4,211273.45,265474238.76,211271.8,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(8))*((x)*((x)+(x))))),((((x)*((0)*(x)))*((x)*((0)+(1))))*(((0)*(6))*((0)*((7)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddXD,MultXD,AddXD,63,63,64,64,4
64,x*x*x*x*3*x+1,25,-10,0.034983976583135214,0.000019244285927449978,0.03875395284868395,0.027503751654724164,3981570.0428,1307684.7452,8732457.852000002,3696.2588,0.9746924072441134,0.9999787686837273,0.030903468160581284,0.04901225004784295,134532126.9,218807.27000000002,208710289.08,6.28,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((8)*(9))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(0))))*(((5)*(2))*((6)*((9)+((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,AddXD,64,64,65,65,4
65,x*x*x*x*3*x+1,25,-10,-0.008376049631646494,-0.014393779399110893,0.008224647709609588,-0.01051029806739577,NaN,NaN,NaN,NaN,0.9867393179801652,0.37531314501110724,0.16838872035647837,0.04479109052128637,129041034.29999998,204648.9,398316993.96,184775.8,((((x)*((x)*(x)))*((x)*((6)*(6))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*((x)*((3)*(0))))+(((7)*(0))*((2)*((x)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,AddTreeWithMult,65,65,66,66,4
66,x*x*x*x*3*x+1,25,-10,0.021152347092114897,0.004723721023871898,0.03501142894268291,0.011811907576969944,6764652.757200002,842759.8536999999,21849666.7248,8337.741199999999,0.9970565843480327,0.3047315949167631,0.9590198844111189,0.00924520286467034,490876246.86,209738.99,1794498509.4,205653.08,((((x)*((x)*(x)))*((x)*((x)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((5)*(x)))*(((x)*(3))*((0)+(x))))*(((2)*(5))*((x)*((x)+((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,DeleteMaliciousR,66,66,67,67,4
67,x*x*x*x*3*x+1,25,-10,0.015609007520355413,0.013386108255100887,0.031222684759194968,0.027349789451605915,2977167.7136000004,7872.109200000001,7209280.0528,3741.7992,0.9880660191733942,0.9999787686837273,0.9586927445694648,0.37643368126422105,163015054.58,165728.28999999998,442597912.36,6.28,((((x)*((x)*(x)))*((x)*((5)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(3))))*(((1)*(5))*((0)*((9)+((0)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,MutateTerminalR,67,67,68,68,4
68,x*x*x*x*3*x+1,25,-10,0.017287636677450452,0.011662031298657664,0.03472473631249178,0.025801192118124008,2087090.1844,8980.4451,4714391.9968,4199.858,0.98010370036403,0.9999787686837273,0.3084180840387277,0.3511529466730381,113608873.5,155596.63,265474238.76,6.28,((((x)*((x)*(x)))*((x)*((8)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(0))))*(((2)*((4)*(0)))*((x)+((1)-((8)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|AddXD,MultXD,AddXD,68,68,69,69,4
69,x*x*x*x*3*x+1,25,-10,0.0009248960146520324,0.011777638609730134,0.025781508232211564,0.012699333323145908,1417925.6388000003,8347.8776,3480285.045600001,8075.25,0.9635543698873651,0.41151348587515685,0.9273241334236968,0.06090107175076066,74160771.76,201057.59,144926977.08,174068.12,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(x))*((9)*((6)+(x))))),((((x)*((3)*(x)))*(((x)*(3))*((x)+(0))))*(((x)*(9))*((7)*((6)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|AddXD,MultXD,AddTreeWithMult,69,69,70,70,4
