gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.030166374884019673,0.00819703959882947,-0.006898303336944075,0.012494549839974023,71437.1753,49920.02300000001,252827.312,8135.8228,0.6835441233011558,0.32435987919516274,0.8229331850859208,0.01921305349102621,4323036.42,208370.43,16690968.28,199847.24,((((x)*(x))*((x)*((x)*(3))))*(((9)+(1))*((8)*((x)+(x))))),((((x)*((x)*(3)))+((0)*((5)*(3))))*(((x)+(3))*((x)+((2)*((3)-(0)))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,AddXD,AddTreeWithMult,11,11,12,12,4
12,x*x*x*x*3*x+1,25,-10,-0.03640780179857923,-0.002495641226264128,-0.020295859354359916,0.011504376693856724,32734.1013875,9561.9625,106297.92275,8428.705600000001,0.18512882926760785,0.2917899581824208,0.5747905919914721,0.0030169551637110993,1761573.35,210819.40999999997,6481951,209481.08,((((x)+(x))*((x)*((x)*(x))))*(((3)*(x))+((5)*((x)+(x))))),((((3)-(9))*((3)*(x)))-((9)*((3)*((x)+(x))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DivXD|MutateTerminalR|AddRandomSubTreeR,AddXD,AddRandomSubTreeR,12,12,13,13,4
13,x*x*x*x*3*x+1,25,-10,-0.012810134133144717,0.0048750970509135495,0.013451746118096715,0.02085979257950621,315449.58640000003,99286.53210000001,631207.5207999999,5661.472,0.8353653566912497,0.30994665530363014,0.06928946538145624,0.1210353996347324,23350906.08,226734.47,32082889.08,204110.52,((((8)+((4)*(x)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((4)-((3)-(2)))*(((5)+(2))*((x)*(5))))*(((7)*(3))*((x)+((1)*((x)+(0)))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,13,13,14,14,4
14,x*x*x*x*3*x+1,25,-10,-0.016099082585424754,-0.003612856339736782,-0.007512720097050704,0.017120049029465144,554407.2598,205820.79809999999,1173392.5,6767.6488,0.9521956192315638,0.658548370280106,0.1040057520208273,0.1864170422829102,52540984.9,183708.1,110491024.36,100997.8,((((x)*((x)*(x)))*((x)*((7)+(3))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)-(7)))*((x)+((8)*(3))))*(((0)+(6))+((6)*((2)*((x)+(x)))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,14,14,15,15,4
15,x*x*x*x*3*x+1,25,-10,0.02141585813267778,-0.004936459294565227,0.03259393290013042,0.020043882561340584,1468213.8267999997,394841.6136,3354603.5272,5902.8096,0.9746227657313768,0.28571428571428564,0.20425176770237768,0.24973305514340016,71038583.7,275191.16000000003,208137535.56,211278.2,((((x)*((x)*(x)))*((x)*((7)+(x))))*(((x)+(1))*((x)*((x)+(x))))),((((4)*((4)*(x)))*((x)*((0)*(7))))*(((x)+(1))*((x)*((7)+(x))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddXD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,MutateTerminalR,15,15,16,16,4
16,x*x*x*x*3*x+1,25,-10,0.026987017005024042,-0.005450037526884104,0.03614616177481042,0.013937182620558377,1576911.4348,187947.6753,2715748.7856,7709.1071999999995,0.9601757074698593,0.28707417180624545,0.05605045610745881,0.5299657067913486,63418487.919999994,486020.70999999996,132631483.56,210875.96,((((x)*((x)*(x)))*((x)*((5)+(7))))*(((x)+(1))*((x)*((x)+(x))))),((((6)*((0)*(x)))*(((x)*(6))*((4)*(3))))*(((2)*((0)+(0)))+((8)*((x)*((x)+(x)))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddXD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,16,16,17,17,4
17,x*x*x*x*3*x+1,25,-10,0.03271553916174261,0.00789209420069357,0.03660415403469078,0.01876701632525944,1673425.0177999998,21786867.525700003,3526365.2528,6280.4932,0.9733681910870112,0.6506454522993853,0.06624880304902209,0.1814178936464074,77127440.53999999,159176.75,198332566.04,103335.4,((((x)*((x)*(x)))*((x)*((6)+(x))))*(((x)+(1))*((x)*((x)+(x))))),((((6)*((x)*(x)))+(((6)*(x))*((8)*(4))))+(((3)+(1))*((x)*((x)+((x)+(0)))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddXD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,17,17,18,18,4
18,x*x*x*x*3*x+1,25,-10,0.026704585319042094,0.009604756593663093,0.03545122959678719,0.015592386855678568,1167754.5133999998,15421.779300000002,1977506.7136,7219.5152,0.8983149850150934,0.5742843863142123,0.05759721456209152,0.13806903401087003,35410634.72,186586.03,51944281.08,125922.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((5)+(5))*((x)*((x)+(x))))),((((9)+((1)*(x)))*(((x)*(x))*((3)*(4))))*(((5)+((1)*(2)))+((0)*((4)+((x)+(0)))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddXD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddXD,18,18,19,19,4
19,x*x*x*x*3*x+1,25,-10,0.018126556798164165,0.007203873551492363,0.03548386360485774,0.011438636695260424,961657.7137999999,45784.5767,1995534.9832,8448.1508,0.8684221116041161,0.28582301169061175,0.038628965443298705,0.00005211192093133639,30739507.08,211269.14,40143181.08,211246.04,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(8))+((7)*((x)+(x))))),((4)+((5)*(x))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,19,19,20,20,4
20,x*x*x*x*3*x+1,25,-10,0.027529830228531792,0.011429159008630055,0.035258371452894816,0.01143163847476928,1162690.6744,8450.9542,1883029.4104,8450.220800000001,0.920224338514259,0.285823687847181,0.1978652652894646,0.00005375546785479113,41770380.24,211269.69,66210105.96,211245.84,((((x)*((x)*(x)))*((x)*((1)+(5))))*(((x)+(1))*((x)*((x)+(x))))),((9)+((x)*(5))),MultXD|MultXD|AddTreeWithSub|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,DeleteMaliciousR,20,20,21,21,4
