gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.020287534387531996,0.011428571428571425,0.0042075141774936715,0.011428571428571425,152069.585,8451.128,398702.18559999997,8451.128,0.7524379942490772,0.28571428571428564,0.7398473401777477,0,6883331.14,211278.2,21335887.08,211278.2,((((x)*((0)+(x)))*((8)*((x)*(x))))*(((3)*(x))+((1)+((x)*(x))))),(0),AddXD|AddTreeWithMult|SubXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|MultXD|AddToLeafR|FellTreeD,AddXD,DeleteMaliciousR,11,11,12,12,3
12,x*x*x*x*3*x+1,25,-10,-0.03373380764138244,0.011428571428571425,-0.019733820708762697,0.011428571428571425,35269.5817,8451.128,115732.3896,8451.128,0.3315693041354446,0.28571428571428564,0.6457881217444974,0,2133937.0100000002,211278.2,7902023.4,211278.2,((((x)*((x)*(x)))*((x)*((0)+(9))))*(((x)+(1))+((6)*((1)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddTreeWithAdd,AddTreeWithSub,12,12,13,13,3
13,x*x*x*x*3*x+1,25,-10,-0.03703375367643231,0.011428571428571425,-0.032872769722574316,0.011428571428571425,15667.5796,8451.128,37645.7096,8451.128,-0.5812301543651924,0.28571428571428564,0.1904320771526978,0,703317.48,211278.2,2211923.48,211278.2,((((x)*(x))*((x)*((x)*(3))))*(((x)-(1))+((0)+((0)*(x))))),(0),AddXD|MutateNonTerminalR|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|FellTreeD,AddTreeWithAdd,AddXD,13,13,14,14,3
14,x*x*x*x*3*x+1,25,-10,-0.03363885190385874,0.011428571428571425,-0.019354534681076386,0.011428571428571425,36570.4237,8451.128,120932.9216,8451.128,0.375001263142438,0.28571428571428564,0.6675022218952587,0,2271232.32,211278.2,8451145.08,211278.2,((((x)*((x)*(x)))*((x)*((3)*(8))))*(((5)+(0))+((1)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|MultXD|DeleteMaliciousR,AddXD|DeleteMaliciousR|MultXD|AddToLeafR|FellTreeD,MultXD,AddXD,14,14,15,15,3
15,x*x*x*x*3*x+1,25,-10,-0.03126335002153319,0.011428571428571425,-0.013700920256221303,0.011428571428571425,83261.9275,8451.128,287371.8976,8451.128,0.7822776026689099,0.28571428571428564,0.8258133561382045,0,6763185.06,211278.2,24260044.28,211278.2,((((x)*((x)*(x)))*((x)*((3)*(0))))+(((9)*(1))+((x)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|MultXD|AddToLeafR|FellTreeD,DeleteMaliciousR,MultXD,15,15,16,16,3
16,x*x*x*x*3*x+1,25,-10,-0.027346624295974432,0.011428571428571425,-0.013306723263513658,0.011428571428571425,90517.26239999998,8451.128,204470.15120000002,8451.128,0.6492494715435425,0.28571428571428564,0.8955500188552333,0,6669823.72,211278.2,15059007.96,211278.2,((((x)*((x)*(x)))*((x)*((7)+(5))))*(((x)+(4))*((2)+((0)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|MultXD|AddTreeWithAdd|FellTreeD,AddXD,AddTreeWithAdd,16,16,17,17,3
17,x*x*x*x*3*x+1,25,-10,-0.03025327080427423,0.011428571428571425,-0.006805129230362833,0.011428571428571425,87934.1602,8451.128,321143.3143999999,8451.128,0.7747748024334769,0.28571428571428564,0.8496110895742964,0,6176596.74,211278.2,23451883.08,211278.2,((((x)*((6)*(4)))*((x)*((x)*(9))))+(((5)*(x))+((0)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddXD,AddXD,17,17,18,18,3
18,x*x*x*x*3*x+1,25,-10,-0.025161219343595668,0.011428571428571425,0.00017606153933393264,0.011428571428571425,153038.764,8451.128,510852.1184,8451.128,0.8249025142575552,0.28571428571428564,0.85166064453592,0,8671127.24,211278.2,30165795.8,211278.2,((((x)*((x)*(x)))*((x)*((2)*(x))))*(((x)+(7))+((0)+((x)*(x))))),(0),AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|AddTreeWithSub|AddToLeafR|FellTreeD,MultXD,AddXD,18,18,19,19,3
19,x*x*x*x*3*x+1,25,-10,-0.02196416837277844,0.011428571428571425,0.014454177699401865,0.011428571428571425,171705.2714,8451.128,593387.7975999999,8451.128,0.8651219112860101,0.28571428571428564,0.9125647194319843,0,9948668.02,211278.2,39160956.76,211278.2,((((x)*((x)*(4)))+((x)*((x)*(x))))*(((3)*(x))+((0)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddXD,AddXD,19,19,20,20,3
20,x*x*x*x*3*x+1,25,-10,-0.022913888100943983,0.011428571428571425,0.007733384258583973,0.011428571428571425,199413.37919999997,8451.128,634977.1423999999,8451.128,0.8684222886004632,0.28571428571428564,0.9142178691653915,0,10194214.139999999,211278.2,40143235.08,211278.2,((((x)*((x)*(x)))*((x)*((9)+(0))))*(((5)*(x))+((1)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,DeleteNonTerminalR|MultXD|MultXD|AddToLeafR|FellTreeD,AddXD,MultXD,20,20,21,21,3
