gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
48,x*x*x*x*3*x+1,25,-10,-0.0384,0.011448694524227164,-0.0384,0.011545773703648959,8451.128,8445.1758,8451.128,8416.460799999999,-0.96,0.29093989414363214,0,0.002567129455301823,211278.2,210869.82,211278.2,209732.52,(0),(((7)*((8)+(6)))*((x)*(x))),AddTreeWithMult|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,48,48,49,49,1
49,x*x*x*x*3*x+1,25,-10,-0.0384,0.011458379114767703,-0.0384,0.011553195198152415,8451.128,8442.3112,8451.128,8414.2656,-0.96,0.290631025822825,0,0.0024583700542696874,211278.2,210914.62,211278.2,209823.88,(0),(((9)*(9))*((3)*(x))),AddTreeWithMult|MutateNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,49,49,50,50,1
50,x*x*x*x*3*x+1,25,-10,-0.0384,0.011449686445914167,-0.0384,0.011538390073913376,8451.128,8444.8824,8451.128,8418.6448,-0.96,0.28955052762525557,0,0.002014767300505823,211278.2,211031.32,211278.2,210143.48,(0),(((3)*((3)*(x)))*((3)*(7))),AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,50,50,51,51,1
51,x*x*x*x*3*x+1,25,-10,-0.0384,0.011649510996807593,-0.0384,0.012860581789453769,8451.128,8385.776399999999,8451.128,8027.554399999999,-0.96,0.3538611312342819,0,0.0337879446524976,211278.2,206109.52000000002,211278.2,191121.08,(0),((((8)-(2))*((x)*(2)))*((3)*((x)*(x)))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,51,51,52,52,1
52,x*x*x*x*3*x+1,25,-10,-0.038440271111737985,0.011495184007220266,-0.0384,0.011729104091193508,8238.417800000001,8431.4247,8451.128,8362.2336,-0.96,0.29543146700146333,0,0.0046145637181247345,211278.2,210402.62,211278.2,208403.96,((((x)*(7))*((4)*(0)))*((3)*((0)+(1)))),((((8)-(4))*((3)*((0)+(7))))+((0)*((x)*((1)*(6))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,52,52,53,53,1
53,x*x*x*x*3*x+1,25,-10,-0.0384,0.011440694915857046,-0.0384,0.011526633063488258,8451.128,8447.542,8451.128,8422.1224,-0.96,0.29110758097279177,0,0.0026392186157538165,211278.2,210851.18,211278.2,209682.92,(0),(((8)+((8)*(7)))*((x)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|SubXD|AddTreeWithMult,AddTreeWithMult,MultXD,53,53,54,54,1
54,x*x*x*x*3*x+1,25,-10,-0.0384,0.008931850583530285,-0.0384,0.013401033735209242,8451.128,11870.5789,8451.128,7867.694399999999,-0.96,0.37827335847103144,0,0.04552620374435334,211278.2,204073.94,211278.2,183900.2,(0),(((x)*((7)*(7)))*((x)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,54,54,55,55,1
55,x*x*x*x*3*x+1,25,-10,-0.0384,0.011858326739679854,-0.0384,0.014824251356065807,8451.128,8324.0109,8451.128,7446.721599999999,-0.96,0.4536434493883961,0,0.08396911306372147,211278.2,198862.28999999998,211278.2,161606.52,(0),((((7)+(x))*((x)+(1)))*((7)*((x)*((6)*(8))))),AddTreeWithMult|AddTreeWithAdd|DeleteMaliciousR|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,55,55,56,56,1
56,x*x*x*x*3*x+1,25,-10,-0.0384,0.000011331031786523948,-0.0384,0.01149347164070879,8451.128,7555.2204,8451.128,8431.931199999999,-0.96,0.2866652323131978,0,1.3199370124956944,211278.2,121951.08,211278.2,210996.92,(((x)*((5)+(8)))*((0)*(0))),(((8)*(5))+((5)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,DivXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,DivXD,56,56,57,57,1
57,x*x*x*x*3*x+1,25,-10,-0.0384,0.009455925597574123,-0.0384,0.011464261676919678,8451.128,9163.4484,8451.128,8440.5712,-0.96,0.28749879813169826,0,0.00032468675167800714,211278.2,211250.52000000002,211278.2,210750.36,((0)*(0)),(((7)*(x))*((3)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,57,57,58,58,1
58,x*x*x*x*3*x+1,25,-10,-0.0384,0.01162655750975322,-0.0384,0.012175224081667813,8451.128,8392.5658,8451.128,8230.276,-0.96,0.3085091464375271,0,0.01124152075433885,211278.2,209518.82,211278.2,204535.72,((0)*((3)*(0))),(((2)*((6)*(x)))*((x)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,58,58,59,59,1
59,x*x*x*x*3*x+1,25,-10,-0.0384,0.01163507099711592,-0.0384,0.012305457246146819,8451.128,8390.0476,8451.128,8191.7544,-0.96,0.365144291135709,0,0.03964689510502745,211278.2,205370.82,211278.2,187783.64,((((0)*(0))*((x)*(3)))*((0)*((5)+((9)*(3))))),((((2)+(1))*((0)+(8)))+((6)*((x)*((x)*(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,59,59,60,60,1
60,x*x*x*x*3*x+1,25,-10,-0.0384,0.011480620947033003,-0.0384,0.011601686442668615,8451.128,8435.7323,8451.128,8399.9224,-0.96,0.2923417019428817,0,0.003197731803817493,211278.2,210725.6,211278.2,209317.88,(((0)*(3))*((0)+(1))),(((6)*(7))*((x)*(8))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,60,60,61,61,1
61,x*x*x*x*3*x+1,25,-10,-0.03839999636498228,0.011460880217917146,-0.038399985459929134,0.011623918470663661,8451.1472,8441.5714,8451.2048,8393.3464,-0.9599985459929137,0.29326587274165394,0.0000007270035431439226,0.0036806035672933227,211280.12,210675.69999999998,211285.88,209044.52,((((x)*(x))*((0)*(0)))-((3)+((5)*(5)))),((((1)*(5))*((2)*(1)))*((8)+((1)*((x)*(x))))),SubXD|AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,MultXD,61,61,62,62,1
62,x*x*x*x*3*x+1,25,-10,-0.03839998051857693,0.011414465450224932,-0.038399963649822844,0.01144975406157109,8451.2309,8455.3004,8451.32,8444.8624,-0.9599987883274281,0.28647536754856867,0.0000006058362859162614,0.0002498779392619088,211283,211224.86000000002,211284.6,211053.08,((((x)*(0))*((x)*((x)*(3))))*(((3)*(7))+((0)*((7)-(x))))),(((9)*(1))*((4)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|FellTreeD,AddTreeWithMult,MultXD,62,62,63,63,1
63,x*x*x*x*3*x+1,25,-10,-0.03467146039951846,0.008235469393557739,-0.023298861890749548,0.011535193205654238,37027.4566,148231.5623,123744.06079999998,8419.590400000001,0.5501101759073296,0.291023737558212,0.758223713921233,0.002579806103228169,3068898.26,210847.47,11740552.28,209707.72,((((x)*(x))*((x)*((x)*(9))))*(((4)*(0))+((6)*((9)-(x))))),(((x)*(9))*((7)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|DeleteNonTerminalR,MultXD|DeleteTerminalR|AddTreeWithSub|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,63,63,64,64,1
64,x*x*x*x*3*x+1,25,-10,-0.038427009185046074,-0.00025559477359659964,-0.0383941961641097,0.011452458687847855,8308.4667,40542.961899999995,8481.7836,8444.0624,-0.9594232514286851,0.28690864867810706,0.00028797096127387644,0.0004902033655477625,212042.99000000002,211194.7,214324.56,210924.92,((((x)*(x))*((x)*((x)*(3))))+((8)*((x)*((0)-(x))))),(((8)*(7))+((1)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,64,64,65,65,1
65,x*x*x*x*3*x+1,25,-10,-0.03670035863614893,-0.002176816959435342,-0.03478759981862776,0.011458479185939943,17428.557200000003,8817.2452,27531.663200000003,8442.2816,-0.5987636168804922,0.286933801702481,0.19839586683519814,1.319657758147716,1116141.7000000002,122022.6,2119312.52,210917.48,((((6)*((7)*(7)))*((x)*((2)+(5))))/(((2)*(x))*((3)*((x)+((1)-(x)))))),(((6)*(9))+((x)*(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,65,65,66,66,1
66,x*x*x*x*3*x+1,25,-10,-0.047566334578256646,-0.03736673797578975,-0.014243455733564994,-0.010515971021011296,NaN,NaN,231402.9988666667,NaN,-0.3479427674033573,0.3313443060922923,0.699142223444558,1.1428713428507564,NaN,NaN,3444136.96,197781.32,((((x)*((5)+(2)))*((x)*((x)*(4))))*(((3)*(x))+((6)*((x)-((1)/(1)))))),((((7)-((2)*(1)))*((4)*((6)*(9))))+(((0)+(5))-((x)*((x)*(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,66,66,67,67,1
67,x*x*x*x*3*x+1,25,-10,-0.0390360126725013,-0.02186850193235187,-0.020102728053829382,0.011905926546888084,NaN,NaN,163259.94285714286,8309.931377777777,0.6344529058898227,0.29517398657991484,0.7889110866847846,0.003165472543629707,3845232,210742.40999999997,14449451.48,208480.12,((((x)*((x)*(9)))*((9)*((7)*(x))))*(((4)+(0))/((5)*((x)+((1)-(x)))))),(((5)*((2)*(x)))*((7)*(7))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,67,67,68,68,1
68,x*x*x*x*3*x+1,25,-10,-0.028006069193979362,-0.04069570138277372,0.010809518690107475,0.011498058686874191,NaN,NaN,658378.1672,8430.5744,0.8610803021955137,0.2857402501265427,0.940317729837712,1.1428614703247277,11866189.600000001,166648.47999999998,38021641.88,211270.52,((((x)*((x)*(x)))*((x)*((x)+(x))))*(((7)*(9))*((7)+((x)/((2)-(x)))))),((6)*((4)+(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,AddTreeWithSub|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,AddTreeWithSub,68,68,69,69,1
69,x*x*x*x*3*x+1,25,-10,-0.05045996438620259,-0.012080504060387368,-0.023750367141027254,0.012490192837299163,NaN,NaN,85856.96693333331,8137.111555555556,0.02241119044524313,0.2860553390877863,0.8257626917370355,0.00016581932610400154,1438793.43,211250.72,5403043.64,211177.32,((((x)*((6)/(3)))*((x)*((x)*(9))))+(((0)*(7))*((x)+((8)*((9)-(x)))))),((((8)*(3))-((5)*(3)))-((0)*((9)+((x)+(5))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,AddTreeWithSub,69,69,70,70,1
70,x*x*x*x*3*x+1,25,-10,-0.04035799989107141,-0.016527687869193387,-0.009045392635601099,0.01229973831388459,NaN,NaN,177053.86368,8193.446000000002,0.3165998301126711,0.308595424015756,1.1330918128409726,1.1465574550240916,2429471.49,165032.16,7728934.28,204510.2,((((x)*((x)*(3)))*((8)*((x)*(x))))*(((0)+(4))*((x)+((3)/((1)-(x)))))),((((8)*((2)*(4)))*((5)*((3)*(x))))*(((0)*(2))+((8)/((6)+((0)*(5)))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,AddTreeWithSub|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,70,70,71,71,1
71,x*x*x*x*3*x+1,25,-10,-0.04262559863859933,-0.03428579035332832,-0.02586090142759641,0.011429079898311458,NaN,NaN,74682.0824,8450.9776,-0.26906301170683966,0.28573808642552123,0.7254022456798315,1.3196605299310595,1262355.21,122021.89,3860776.28,211271.16,((((x)*((8)/(2)))*((4)+((6)*(8))))*(((x)*(x))*((3)*((x)+((1)-(x)))))),((x)+((2)*(4))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,AddTreeWithSub|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,71,71,72,72,1
72,x*x*x*x*3*x+1,25,-10,-0.03561952616236114,-0.01952782365922492,-0.006850237087690861,0.013961447175200417,NaN,NaN,230213.67108571425,7701.93,0.6253025494872927,0.5390128141136054,0.7981237543123484,1.191257006912565,3641452.468571428,147824.51542857144,14096586.44,136355.16,((((x)*((x)*(8)))*((9)/((3)+(8))))*(((x)*(x))*((6)*((x)+((1)-(x)))))),((((x)-(0))*((x)*((3)*(x))))+((x)*((x)*((6)-(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,MutateTerminalR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,SubXD,72,72,73,73,1
73,x*x*x*x*3*x+1,25,-10,-0.0383704496864924,-0.005782949229353041,-0.007465787844041759,0.01150093911385895,NaN,NaN,263541.7574666667,8429.7224,0.6298328809187294,0.2858460010139644,1.0826357743654635,0.00006792198318785249,NaN,211268.02000000002,14269109.08,211239.24,((((4)*((6)/(3)))+((8)*((x)*(x))))*(((x)*(8))*((7)*((x)+((1)-(x)))))),(((x)*(8))-((7)*(6))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,73,73,74,74,1
74,x*x*x*x*3*x+1,25,-10,-0.04654246534246412,-0.022954128557918962,-0.018242510127119013,0.013721526539753878,NaN,NaN,142091.176,7772.896000000001,-0.8905873828913727,0.4003190377156077,0.04166755272936549,1.1633326304959855,265361.1066666667,NaN,577912.52,177379.32,((((8)*((3)*(8)))*((x)/((3)*(0))))+(((7)*(x))*((3)*((x)+((1)-(x)))))),((((x)-(5))*((7)*((2)*(x))))*(((3)*(x))+((x)+((1)-(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,74,74,75,75,1
75,x*x*x*x*3*x+1,25,-10,-0.03383474754820006,-0.03502010140199619,-0.013947413424980985,0.011514199896493951,NaN,NaN,169577.3128,8425.8,0.5321379285293905,0.2947396235998656,0.7179508823680338,1.3222629942423458,3224004.9200000004,121356.56,11289555.88,208608.6,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((5)*(6))*((7)+((x)/((5)-(x)))))),((((x)*((3)*(x)))*(((0)+(x))+((5)*(6))))*(((7)+(x))/((5)-((4)*((0)-(x)))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,75,75,76,76,1
76,x*x*x*x*3*x+1,25,-10,-0.04076912514996481,-0.015805324110918346,-0.014692590589266575,0.015449355399657892,NaN,NaN,154852.25,7261.8224,0.4637215192872803,0.2857248337567651,1.0784239553793658,1.3196633015322592,3736128.3674999997,122021.18,9849276.43,211275.08,((((x)*((x)*(6)))*((2)*((x)*(x))))+(((4)*(9))*((x)+((1)-((6)/(8)))))),((8)*((8)+(4))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,76,76,77,77,1
77,x*x*x*x*3*x+1,25,-10,-0.04187068917674543,-0.011419263882252628,-0.019843846497914572,0.011464504745546923,NaN,NaN,238837.34960000002,8440.499302857143,0.765921235056104,0.28602393064920945,1.1332566229402379,0.00015373243053820923,NaN,211254.25257142857,22564861.88,211186.61028571427,((((x)*((x)*(8)))*((x)*((5)+(4))))*(((7)*(7))*((x)+((1)+((x)/(5)))))),((((x)*((x)+(4)))/(((5)*(7))+((1)*(0))))*(((x)+((9)*(3)))*((x)+((1)-((x)-(x)))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,77,77,78,78,1
78,x*x*x*x*3*x+1,25,-10,-0.04880078993832184,-0.033953726248878074,-0.027012149800848633,0.0076226026520865246,NaN,NaN,136285.45018666665,9611.53456,0.4081263553360807,0.2856898899852691,0.6094947748181677,1.3196401754788443,3659792.9886666667,122027.104,8924126.032,211285.41600000003,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((4)+(5))*((6)*((9)+((3)/(5)))))),((((x)*((9)*(0)))*(((x)*(x))+((5)+(4))))+(((0)*(6))*((9)+((3)/((5)-(x)))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,78,78,79,79,1
79,x*x*x*x*3*x+1,25,-10,-0.04411524277041,-0.029562728534624595,-0.030280408693372052,0.01997284825680751,NaN,NaN,51338.443900000006,5923.8208,-0.646036673920925,0.7128672730348625,0.14785399976390107,0.5414998192636712,725567.6900000001,302523.68,1869618.36,84930.84,((((x)*((5)*(9)))*((x)*((9)*(5))))*(((0)+(7))/((4)*((x)+((1)+(x)))))),((((x)*((1)*(x)))*(((x)-(0))*((3)*(9))))*(((8)*(1))+((1)+((1)/((6)-(x)))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,79,79,80,80,1
80,x*x*x*x*3*x+1,25,-10,-0.03397210033071032,-0.01042890504422267,-0.0012583291936138785,0.020533895931660582,NaN,NaN,451201.4785714285,5757.8688,0.8026090684438669,0.7408523115832246,1.1621887872196017,1.2393211092713547,NaN,131888.74,26758853.4,76653.16,((((x)*((x)*(x)))+((8)*((x)*(5))))*(((6)*(8))/((1)*((x)+((1)+(x)))))),((((x)*(x))*((x)*((9)+(5))))*(((2)*(x))+((7)-((x)-(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|SubXD,AddTreeWithMult,ReplaceBranchXR,80,80,81,81,1
81,x*x*x*x*3*x+1,25,-10,-0.03530885767488959,-0.011062081044937772,-0.014898617172586425,0.014212421618240106,45257.82032678572,6557.611999999999,161682.4952,7627.694399999999,0.5162387966609194,0.30311206470223345,0.7403251148227682,1.3218484821434895,2870663.96125,121462.36,10918517.16,206132.12,((((x)*((x)*(7)))+((6)*((6)/(1))))*(((9)*(9))*((3)*((x)+((1)+(x)))))),((((x)+(0))*((1)*(x)))*((7)*((x)+((7)-(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,81,81,82,82,1
82,x*x*x*x*3*x+1,25,-10,-0.03818772032195703,-0.02366503843811814,-0.017931597810944534,0.011614982385445213,39979.180810714286,6012.427013790978,132552.41169999997,8395.9896,0.4192660858430725,0.2857129334011473,0.9925897569464094,1.3196495157890515,2375595.65,122024.71137909772,9095310.04,211278.6,((((x)*((x)*(x)))*((8)/((1)+(6))))*(((8)*(3))*((x)+((7)*((6)+(x)))))),((x)-((2)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|SubXD,AddTreeWithMult,ReplaceBranchXR,82,82,83,83,1
83,x*x*x*x*3*x+1,25,-10,-0.045879688896756345,-0.005714547386877993,-0.036482077564083754,0.011433464097506103,8558.410333333335,7112.3714,18581.508,8449.6808,-0.8584465562466927,0.2859265988770121,0.5354663841034025,1.1428855017959234,259556.16,166637.82,747678.92,211215.4,((((x)*((2)+(x)))*((x)*((x)*(4))))*(((1)*(5))*((6)+((7)/((2)+(x)))))),(((x)*((3)*(x)))-((0)-((x)-(x)))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|SubXD,AddTreeWithMult,ReplaceBranchXR,83,83,84,84,1
84,x*x*x*x*3*x+1,25,-10,-0.04516973641514679,-0.00824894007149893,-0.03386744965957996,0.016379671109330866,12308.347393333332,62114.7578,32391.85493333332,6986.6448,-0.529744874135934,0.2858002928298869,0.21965892002209253,1.3196459688284952,746080.3133333332,122025.62,2483866.4133333326,211252.76,((((x)*((x)*(x)))*((x)*((0)+(5))))*(((8)*(4))*((8)/((3)+((1)+(x)))))),((x)*((5)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchXR|SubXD,AddTreeWithMult,ReplaceBranchXR,84,84,85,85,1
85,x*x*x*x*3*x+1,25,-10,-0.0493714432661139,-0.045227245162915965,-0.030919899431176522,0.014864401533144452,NaN,NaN,47960.68260000001,7434.845600000001,-0.6250412053870206,0.31935199318109625,0.15622264638217237,1.3342824367125607,765997.78,118280.77285714285,1980515.48,201328.52,((((x)*((x)*(x)))*((6)*((5)/(1))))*(((4)+(9))*((9)*((1)+((1)-(x)))))),((((4)+(6))*((x)*((8)*(8))))*(((5)*(6))-((5)-((x)-(x))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchR|SubXD,AddTreeWithMult,SubXD,85,85,86,86,1
86,x*x*x*x*3*x+1,25,-10,-0.03158048792686815,-0.01653462591029269,0.00857825188002483,0.015886174180366384,NaN,NaN,410246.40251428576,7132.616000000001,0.7694250193432755,0.50307509246103,0.8560510792232922,1.1428435972046078,5958858.340000001,166656.41,22907754.28,146985.16,((((9)+((4)*(x)))*((x)*((x)*(9))))*(((4)*(x))*((8)+((1)+((0)/(9)))))),((((1)*((9)*(0)))+(((x)*(8))*((4)*(x))))*(((3)*(x))+((8)-((1)-((x)-(x)))))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|SubXD|ReplaceBranchR|SubXD,AddTreeWithMult,SubXD,86,86,87,87,1
87,x*x*x*x*3*x+1,25,-10,-0.04358727702102943,-0.02772703140084631,-0.02644197016264735,0.014806959327965281,NaN,NaN,71925.90948571429,7451.8364,0.07407421691096794,0.2856967056434867,0.8468089485152109,0.0000027722419337009688,1473618.83,211283.99000000002,5704512.28,211283.4,((((x)*((x)*(x)))*((x)*((x)*(8))))*(((8)+(3))/((6)*((3)+((1)+(x)))))),((9)+((9)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|AddRandomSubTreeR|SubXD,AddTreeWithMult,SubXD,87,87,88,88,1
88,x*x*x*x*3*x+1,25,-10,-0.04131376807292707,0.005590847472556043,-0.027336383938085955,0.011447223432918121,NaN,NaN,67181.47128,8445.610933333333,0.07173638730938044,0.2858002928298869,0.544479765544422,0.00005326481758426558,2661543.031428572,211276.39,5690145.48,211252.76,((((x)*((x)*(9)))+((4)*((7)*(x))))*(((3)*(3))*((x)+((x)/((2)+(x)))))),((x)*((5)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchXR,88,88,89,89,1
89,x*x*x*x*3*x+1,25,-10,-0.04592803954259781,0.011428592389425072,-0.02322704712343988,0.011431578972991194,34712.79939777779,8451.121799999999,88593.98231111112,8450.2384,-0.2848561034692647,0.28586358108476334,0.7372399759813479,0.00008427673452056358,1441057.6460000002,211271.43,3777357.88,211234.04,((((x)*((x)*(x)))*((2)+((3)*(x))))*(((x)/(2))*((4)*((x)+((1)+(x)))))),((x)*((8)-(x))),ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|SubXD,AddXD,DeleteTerminalR,89,89,90,90,1
