gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.0484805683501658,-0.030869629841881956,-0.047495395473834974,-0.01142687292326962,NaN,NaN,13229.208400000001,6665.5136,-0.8366695891956671,0.28573795119420736,0.061688973030820445,0.000004855162008057956,373946.60000000003,211272.09999999998,862703.88,211271.2,((((x)*(x))*((4)+((9)*(x))))*(((6)-(3))*((7)*((7)+(0))))),((x)+(7)),AddTreeWithAdd|AddTreeWithMult|DeleteTerminalR|SkipD|AddToLeafR,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchXR,AddTreeWithAdd,AddTreeWithAdd,0,0,1,1,0
1,x*x*x*x*3*x+1,25,-10,-0.038668795512267706,0.011429540699013363,-0.038356530640643476,0.011432441748773482,7031.3622000000005,8450.841300000002,8680.7312,8449.9832,-0.9556124578872784,0.2858424849998045,0.011899820934099687,0.00005380896573570016,188054.32,211264.13,234453,211240.28,((((x)*(3))-((x)*((x)-(0))))*((1)+((7)*((x)+(1))))),((x)*(6)),AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MutateNonTerminalR|AddToLeafR,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchXR,AddTreeWithAdd,FellTreeD,1,1,2,2,0
2,x*x*x*x*3*x+1,25,-10,-0.038471756423521214,0.011430885574429488,-0.03803504846216978,0.011434347157985468,8072.1138,8450.443500000001,10378.7856,8449.4196,-0.9506942637716528,0.2858424849998045,0.0044452724986761205,0.00004324828713253879,226757.36,211254.41,260430.68,211240.28,((((x)*(x))*((x)*((x)*(3))))*(((4)-(9))+((1)+((0)+(x))))),((x)*(6)),AddTreeWithSub|AddXD|DeleteMaliciousR|SkipD|DeleteMaliciousR,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|AddTreeWithMult,DeleteMaliciousR,FellTreeD,2,2,3,3,0
3,x*x*x*x*3*x+1,25,-10,-0.03837992457338239,0.011430133350246263,-0.0375488786254332,0.011433086802140495,8557.165499999997,8450.666000000001,12946.712799999998,8449.7924,-0.8750351716362598,0.2858846771697222,0.0530138174589358,0.00007558507072602926,258725.75999999998,211261.27999999997,660058.6,211227.8,((((x)*(x))*((x)*((x)*(6))))+(((1)*(x))+((x)-((4)+(0))))),((x)*(8)),AddTreeWithSub|AddXD|DeleteMaliciousR|SkipD|AddToLeafR,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithSub,FellTreeD,3,3,4,4,0
4,x*x*x*x*3*x+1,25,-10,-0.03845707646127239,0.011431237852002037,-0.03798974432762112,0.011434555414208781,8149.652699999999,8450.3393,10618.08,8449.358,-0.9203204495305243,0.28586358108476334,0.022919456191143425,0.00005509626444407535,245879.18,211248.02000000002,420863.8,211234.04,((((x)*(1))-((x)*((x)*(x))))*(((3)*(x))+((1)+((0)+(x))))),((x)*(7)),AddTreeWithSub|DeleteNonTerminalR|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithSub,FellTreeD,4,4,5,5,0
5,x*x*x*x*3*x+1,25,-10,-0.038491605456691697,0.011429307424996992,-0.037975824481655,0.011430288866257177,7967.272099999999,8450.9103,10691.604,8450.62,-0.9213638510740816,0.2857994814420039,0.02578389588690025,0.00003240777360504725,221750.06,211267.36,415352.6,211253,((((x)*(x))*((7)*((6)*(x))))*(((3)-(4))*((x)+((0)+(x))))),((x)*(x)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithMult,FellTreeD,5,5,6,6,0
6,x*x*x*x*3*x+1,25,-10,-0.03754793615242841,0.011429871339575702,-0.034981150426309955,0.011431596553061994,12951.690899999998,8450.7435,26509.3376,8450.233199999999,-0.6872876879867397,0.2858846771697222,0.13635676184291617,0.00007498134307294454,571386.9400000001,211261.03999999998,1651732.36,211227.8,((((5)*(x))*((x)*((x)*(x))))*(((5)-(0))*((x)+((1)+(x))))),((x)*(8)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|MutateTerminalR|FellTreeD|ReplaceBranchXR,SkipD,FellTreeD,6,6,7,7,0
7,x*x*x*x*3*x+1,25,-10,-0.03749832609327418,0.011429705681216248,-0.034442210734472366,0.011430548510379746,13213.729000000001,8450.7925,29355.992799999996,8450.5432,-0.6167454739769649,0.2858002928298869,0.17162786884780357,0.00003201135437206721,664537.14,211266.93,2024333.16,211252.76,((((x)*(x))*((6)*((x)*(x))))*(((5)-(0))*((x)+((1)+(x))))),((x)*(4)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithSub,FellTreeD,7,7,8,8,0
8,x*x*x*x*3*x+1,25,-10,-0.037309611800933555,0.011429974791530786,-0.03542450308645189,0.01143222673098448,14210.509399999999,8450.7129,24167.568799999997,8450.0468,-0.7556535411604226,0.28586358108476334,0.10040138831196312,0.00007032785704202649,645796.52,211257.59000000003,1290627,211234.04,((((x)*(x))*((x)*((x)*(0))))-(((5)*(6))*((6)+((1)+(x))))),((x)*(7)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,SkipD,FellTreeD,8,8,9,9,0
9,x*x*x*x*3*x+1,25,-10,-0.037628799033691124,0.01142996194455597,-0.0348506008854676,0.01143222673098448,12524.576799999999,8450.7167,27198.8944,8450.0468,-0.6213985844256531,0.2858424849998045,0.16969241531309934,0.0000538487146594556,655322.14,211264.15000000002,1999755.64,211240.28,((((x)*(x))*((8)*((x)*(x))))*(((0)-(3))*((x)+((1)+(x))))),((x)*(6)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithSub,FellTreeD,9,9,10,10,0
10,x*x*x*x*3*x+1,25,-10,-0.03598147878957697,0.011430527887604385,-0.02907969674107409,0.011433266659787899,21225.6482,8450.5493,57680.5504,8449.7392,-0.4589973220142921,0.285905773254681,0.2438524701931848,0.00008121496102776222,933043.2,211248.03,2857551.8,211221.56,((((x)*(x))*((x)*((x)*(9))))*(((7)*(0))+((0)-((7)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddXD,FellTreeD,10,10,11,11,0
11,x*x*x*x*3*x+1,25,-10,-0.0376371468140111,0.011430575894720798,-0.03485622728705565,0.011436230930187238,12480.484199999999,8450.535100000001,27169.175999999996,8448.8624,-0.7757911000756348,0.285905773254681,0.09210505579846862,0.00008407201465536735,454519.18000000005,211258.86,1184261.32,211221.56,((((x)*(6))*((x)*((4)-(x))))*(((x)*(3))*((x)+((0)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|AddXD|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddXD,FellTreeD,11,11,12,12,0
12,x*x*x*x*3*x+1,25,-10,-0.03809852511049412,0.011430415645613898,-0.03701819163548345,0.011432007656256063,10043.504799999999,8450.5825,15749.7776,8450.111599999998,-0.8387617690798198,0.285905773254681,0.06444454495050331,0.00009175382359598396,346092.51999999996,211248.08000000002,851653.08,211221.56,((((x)*(x))*((x)*((x)*(3))))*(((0)-(1))+((7)*((8)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithSub,FellTreeD,12,12,13,13,0
13,x*x*x*x*3*x+1,25,-10,-0.03845782593755532,0.011430287175865755,-0.03806327498057064,0.011433061108190862,8145.6939999999995,8450.620499999999,10229.6944,8449.8,-0.9263238630393481,0.2858846771697222,0.016838674316611957,0.00007282203111129311,255742.36,211259.64,389154.04,211227.8,((((x)*(x))*((x)*((x)*(3))))*(((5)*(0))+((2)-((x)+(x))))),((x)*(8)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,SkipD,FellTreeD,13,13,14,14,0
14,x*x*x*x*3*x+1,25,-10,-0.03703682999949829,0.011431071179407733,-0.03269125874794466,0.011435176125939299,15651.330599999998,8450.388599999998,38604.4424,8449.1744,-0.5462032599671902,0.285905773254681,0.2068989758526909,0.00008206758265671789,757687.34,211254.53999999998,2396933.96,211221.56,((((x)*(x))*((x)*((x)*(7))))*(((5)-(0))*((x)+((1)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,DeleteMaliciousR,FellTreeD,14,14,15,15,0
15,x*x*x*x*3*x+1,25,-10,-0.038365468467641245,0.011430676642049607,-0.038261728469856336,0.011432589150905568,8633.521999999999,8450.5053,9181.472,8449.939600000002,-0.9493612118997606,0.285905773254681,0.005319999886405691,0.00008776689379762066,225321.8,211249.84,267471.8,211221.56,((((x)*(5))*((4)*((x)*(x))))*(((4)-(9))*((0)+((1)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithMult,FellTreeD,15,15,16,16,0
16,x*x*x*x*3*x+1,25,-10,-0.035761209400685924,0.011429789524630828,-0.029989575299297324,0.011431377478333575,22389.101199999997,8450.7677,52874.612799999995,8450.297999999999,-0.4508856285220151,0.28582138891484576,0.2410771431996765,0.00003996872760904101,1082225.7999999998,211263.71999999997,2900397.4,211246.52,((((1)-(8))*((x)*((x)*(x))))*(((8)*(8))*((x)+((0)+(x))))),((x)*(5)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,DeleteMaliciousR,FellTreeD,16,16,17,17,0
17,x*x*x*x*3*x+1,25,-10,-0.038250035507686075,0.011431550912493576,-0.03772910242514372,0.011436230930187238,9243.233699999999,8450.2467,11994.778799999998,8448.8624,-0.9063756128176026,0.285905773254681,0.02676002248689766,0.00008872365455840984,282505.3,211247.11,494519.8,211221.56,((((x)*(x))*((3)*((8)*(0))))-(((7)*(3))*((x)+((0)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithMult,FellTreeD,17,17,18,18,0
18,x*x*x*x*3*x+1,25,-10,-0.03720199365575814,0.011430039702561427,-0.03389045927123574,0.0114324458057129,14778.9436,8450.6937,32270.319200000005,8449.982,-0.7757888281895623,0.28582138891484576,0.08855849518241506,0.000043536835375586845,489735.18000000005,211260.57,1184273.32,211246.52,((((x)*(x))*((x)*((6)*(4))))*(((x)-(3))*((x)+((0)+(x))))),((x)*(5)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddTreeWithMult,FellTreeD|AddTreeWithSub|SkipD|FellTreeD|ReplaceBranchXR,AddTreeWithMult,FellTreeD,18,18,19,19,0
19,x*x*x*x*3*x+1,25,-10,-0.03806922236179597,0.011429588368051493,-0.0367558274161745,0.011431157051292018,10198.2806,8450.8272,17135.5736,8450.3632,-0.8753505548608422,0.2858002928298869,0.041287853213274044,0.000032514882977557784,332325.04000000004,211267.13,658392.76,211252.76,((((x)*(x))*((x)*((x)*(0))))-(((2)*(3))*((x)+((1)+(x))))),((x)*(4)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,AddTreeWithSub,FellTreeD,19,19,20,20,0
20,x*x*x*x*3*x+1,25,-10,-0.03773718057045167,0.011430351410739826,-0.035576769661990686,0.011432836624209894,11952.1104,8450.601499999999,23363.3036,8449.866399999999,-0.6776737476937991,0.285905773254681,0.1410576530227306,0.00008227618796003855,584925.04,211256.06,1702512.76,211221.56,((((x)*(x))*((x)*((x)*(3))))*(((x)*(9))-((0)+((1)+(x))))),((x)*(9)),AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|SkipD|AddXD,FellTreeD|AddTreeWithSub|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR,DeleteMaliciousR,FellTreeD,20,20,21,21,0
