gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.011945931952924836,0.02,0.01944619815030182,0.02,28.462040000000002,0,180.57,0,0.9999999017094113,1,0.1392803172301532,0,184280267.9255,0,2543478510.1,0,(((((9)*(3))*((x)*(x)))*(((8)-(x))*((x)*(x))))-(((7)+((2)*(x)))*(((x)-(x))*((x)-((x)*(x)))))),((0)+(x)),MultXD|SubXD|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|AddTreeWithMult|MultXD|AddTreeWithAdd|SubXD|MultXD|SubXD|MultXD,ReplaceBranchR|MutateTerminalR|DeleteMaliciousR|FellTreeD|AddTreeWithMult|DivXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|DeleteTerminalR|DivXD|FellTreeD|AddXD,MultXD,FellTreeD,11,10,12,12,1
12,(x),20,-10,0.01111020034282336,0,0.019982812406005347,0.02,436.25690000000003,0.1,5818.15,0,0.9999999856353132,1,0.0002892727050862877,0,857286383.655,0,17403790504.5,0,(((((9)*(3))*((6)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))-((x)*((x)-((x)*(x)))))),((0)+(x)),AddToLeafR|SubXD|AddTreeWithMult|MultXD|MultXD|MultXD|SubXD|MultXD|MutateNonTerminalR|MultXD|MultXD|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|DivXD|AddXD|AddRandomSubTreeR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,12,11,13,13,1
13,(x),20,-10,-0.019600000000000006,-0.002315151318356317,-0.0196,0.02,0.1,0.12412000000000001,0.1,0,0.9999999896134032,1,0.13930008502555075,0,2798082113.7209997,0,24069481411.5,0,(((((x)*(4))*((x)*(7)))*(((8)-(x))*((x)*(x))))-(((x)*((x)*(x)))*(((x)-(x))*((x)-((x)*(x)))))),((0)+(x)),MultXD|SubXD|AddTreeWithMult|AddTreeWithMult|MultXD|MultXD|SubXD|MultXD|AddTreeWithMult|MultXD|MultXD|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|DivXD|SkipD|SubXD|MutateTerminalR|DeleteTerminalR|DeleteMaliciousR|MutateNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,13,12,14,14,1
14,(x),20,-10,-0.019600000000000006,0.004503174813186806,-0.0196,0.02,0.1,1.2047034129976064,0.1,0,0.9999999681167929,1,0.000019000741927479483,0,621203629.736,0,7841118348,0,((((9)*((8)*(x)))+(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithMult|SkipD|AddXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|AddTreeWithDiv|MultXD,MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|DivXD|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,14,13,15,15,1
15,(x),20,-10,0.015445458556298428,-0.001993352007469654,0.01999912883052613,0.02,6574.920417222223,0.21280000000000002,114788.22777777778,0,0.9999999970845964,1,0.0002376736830045956,0,5052816249.002,0,85751419438.1,0,(((((x)*(x))*((x)-(x)))*(((x)*(x))*((x)*(x))))*(((x)*((x)*(x)))-((x)*((x)-((x)*(x)))))),((0)+(x)),MultXD|SubXD|AddTreeWithMult|MultXD|MultXD|MultXD|SubXD|MultXD|MutateNonTerminalR|MultXD|MultXD|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|SubXD|AddXD|AddTreeWithAdd|DeleteTerminalR|AddXD|SkipD|FellTreeD|AddXD,MultXD,AddXD,15,14,16,16,1
16,(x),20,-10,-0.00391055865227678,0,0.019999787651813664,0.02,84801.99692,0.1,470924.672,0,0.9999999747852761,1,0.0000001545468840033757,0,3111821053.5330005,0,9914841892,0,((((9)*((x)+(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|SubXD|DivXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|MutateTerminalR|AddTreeWithMult|AddXD|SkipD|FellTreeD|AddXD,MultXD,MutateTerminalR,16,15,17,17,1
17,(x),20,-10,0.019998870504129025,0,0.019999653696803933,0,178635.85276,0.1,288764.3,0.1,0.9999999969925384,1,0.000000014139097409670054,0,15955762371.309002,0,83126579620,0,(((((8)*(x))+((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),ReplaceBranchR|AddRandomSubTreeR|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR|SkipD|AddRandomSubTreeR|DivXD|AddTreeWithMult|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithMult|AddXD|SkipD|FellTreeD|AddXD,MultXD,MutateNonTerminalR,17,15,18,18,1
18,(x),20,-10,-0.019600000000000006,0,-0.0196,0,0.1,0.1,0.1,0.1,0.9999999864656772,1,0,0,18471555882.600002,0,18471555882.6,0,((((x)+((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|AddXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|DeleteMaliciousR|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,ReplaceBranchR|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|DivXD|AddXD|SkipD|AddTreeWithAdd|MutateNonTerminalR|SkipD|MutateNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,18,17,19,19,1
19,(x),20,-10,0.003546041513127689,0.02,0.019999953479933007,0.02,216321.724,0,2149609.974,0,0.9999999864656772,1,0,0,18471555882.600002,0,18471555882.6,0,((((x)+((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|AddXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|FellTreeD|AddRandomSubTreeR|DivXD|AddTreeWithMult|ReplaceBranchR|DivXD|MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,19,18,20,20,1
20,(x),20,-10,0.007648545501391392,0,0.019966187315509542,0,1981.7226999999998,0.1,2957.47,0.1,0.9999999864666356,1,0,0,18472863925,0,18472863925,0,((((x)+((x)*(x)))*(((x)*(x))*((x)*(x))))*(((x)*(x))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|AddXD|MultXD|MultXD|MultXD|AddRandomSubTreeR|SkipD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithMult|SubXD|AddTreeWithMult|AddXD|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddTreeWithMult,20,16,21,21,1
