gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,(x),20,-10,-0.01736,0.02,-0.01736,0.02,0.66,0,0.66,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithMult|AddRandomSubTreeR|DivXD|AddXD|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,28,30,32,32,1
32,(x),20,-10,0.0080422006960783,0.02,0.019996177494232794,0.02,17789.5892,0,26160.85,0,0.9999999971179349,1,0,0,86743353613.90001,0,86743353613.9,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SkipD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|DivXD|AddXD|AddRandomSubTreeR|DivXD|AddXD|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,32,31,33,33,1
33,(x),20,-10,0.01999973124225634,0.02,0.019999999439675942,0.02,101137418.28101999,0,178468153.99,0,0.9999999971179349,1,0,0,86743353613.90001,0,86743353613.9,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SkipD|MultXD,MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithMult|AddRandomSubTreeR|DivXD|AddXD|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,33,32,34,34,1
34,(x),20,-10,0.01962539524750744,0,0.019999998545017696,0,6247268.9139600005,0.1,68729358.19,0.1,0.9999999996797689,1,0.2628369413166977,0,117703463674.239,0,780686182486.7,0,(((((x)*(9))*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddToLeafR|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|FellTreeD|DivXD|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,MutateTerminalR,34,33,35,35,1
35,(x),20,-10,0.0017657370129870137,0,0.019966179653679653,0,1596.7179999999998,0.1,2956.8,0.1,0.9999999971179349,1,0,0,86743353613.90001,0,86743353613.9,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SkipD|MultXD,ReplaceBranchR|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithMult|AddRandomSubTreeR|DivXD|AddXD|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,34,34,36,36,1
36,(x),20,-10,0.019996177494232794,0,0.019996177494232794,0,26160.85,0.1,26160.85,0.1,0.9999999971179349,1,0,0,86743353613.90001,0,86743353613.9,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SkipD|MultXD,DivXD|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DivXD|AddXD|AddRandomSubTreeR|DivXD|AddXD|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,36,35,37,37,1
37,(x),20,-10,-0.019600000000000006,-0.001960738741654255,-0.0196,0.02,0.1,0.11900000000000001,0.1,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|FellTreeD|AddRandomSubTreeR|MutateTerminalR|AddXD|AddRandomSubTreeR|DivXD|MutateNonTerminalR|DeleteMaliciousR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,36,36,38,38,1
38,(x),20,-10,-0.01736,0.02,-0.01736,0.02,0.66,0,0.66,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithDiv|AddRandomSubTreeR|DivXD|AddXD|AddRandomSubTreeR|DivXD|AddXD|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,37,37,39,39,1
39,(x),20,-10,0.019996177494232794,0.02,0.019996177494232794,0.02,26160.85,0,26160.85,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|FellTreeD|AddRandomSubTreeR|DivXD|AddXD|AddRandomSubTreeR|DivXD|AddXD|DeleteMaliciousR|AddXD|AddTreeWithMult|FellTreeD|AddXD,MultXD,AddXD,39,38,40,40,1
40,(x),20,-10,0.008021807374546488,-0.0023480571777146496,0.019966187315509542,0.02,2011.2907999999998,276723.443859385,2957.47,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|DivXD|SkipD|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|MutateNonTerminalR,MultXD,FellTreeD,38,38,41,41,1
41,(x),20,-10,0.019996177494232794,-0.003909161395716165,0.019996177494232794,0.02,26160.85,0.21224,26160.85,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|SkipD|FellTreeD|DivXD|AddTreeWithMult|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,41,40,42,42,1
42,(x),20,-10,-0.01736,-0.006120052881526796,-0.01736,0.02,0.66,0.17374000000000003,0.66,0,0.9999999995299814,1,0.0000000013423811556516464,0,112689730720.075,0,531893905595,0,(((((x)+(9))*((7)*(x)))*(((x)*(x))*((x)*(x))))-(((x)*((x)*(x)))*(((x)*(x))*((x)-((x)*(x)))))),((0)+(x)),AddRandomSubTreeR|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|ReplaceBranchR|DeleteMaliciousR|DivXD|AddTreeWithAdd|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,42,41,43,43,1
43,(x),20,-10,-0.01736,-0.010022570986060662,-0.01736,0.02,0.66,46714.46177999999,0.66,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,DivXD|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DivXD|ReplaceBranchR|SubXD|DivXD|AddXD|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,41,42,44,44,1
44,(x),20,-10,0.019996177494232794,-0.006478582941037979,0.019996177494232794,0.02,26160.85,2582129.7813630374,26160.85,0,0.9999999996952278,1,0.18679750120638416,0,221209818068.791,0,820284768072.2,0,(((((x)*(x))*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|DivXD|DivXD|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,43,44,45,45,1
45,(x),20,-10,-0.0027782045838868614,-0.0036628390040206703,0.01996617956217414,0.02,1241.96164,763068.2701816441,2956.792,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,ReplaceBranchR|MutateTerminalR|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|DivXD|AddTreeWithMult|DivXD|DivXD|AddTreeWithAdd|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,DivXD,44,44,46,46,1
46,(x),20,-10,0.014282116769415884,-0.006840886149406704,0.019999999864661566,0.02,27952701.537940003,0.26872,738888396.05,0,0.9999999996658423,1,0.00004561677158656223,0,98987735433.285,0,748149680920,0,(((((9)*(9))*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),ReplaceBranchR|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|DeleteTerminalR|AddXD|AddTreeWithMult|FellTreeD|AddXD,MultXD,MutateTerminalR,46,45,47,47,1
47,(x),20,-10,0.013439405517623966,-0.0020974511195687084,0.019999998991330096,0.02,3947482.806460001,1468128.1375327986,99140461.78,0,0.9999999996952278,1,0,0,820284768072.2,0,820284768072.2,0,(((((x)*(x))*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddRandomSubTreeR|DivXD|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddXD,MultXD,AddRandomSubTreeR,47,44,48,48,1
48,(x),20,-10,-0.019600000000000006,0.002008432343234324,-0.0196,0.02,0.1,0.08995833333333332,0.1,0,0.9999999996952282,1,0.6882701083115994,0,244479567504.952,0,820286076114.6,0,((((x)*((x)*(x)))*(((x)*(x))*((x)*(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|AddTreeWithMult|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,DivXD|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|DivXD|MutateTerminalR|AddXD|DeleteMaliciousR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,DivXD,48,46,49,49,1
49,(x),20,-10,0.019999999942358702,0.02,0.019999999942358695,0.02,1734867071.61,0,1734867071.61,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|FellTreeD|ReplaceBranchR|FellTreeD|AddRandomSubTreeR|DivXD|AddTreeWithMult|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,47,48,49,49,1
