gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.01826080394556128,-0.0030987815126050423,0.01990048265910335,0.02,112.60028,0.2416,1004.85,0,0.9999994691335365,1,0.000748871277017455,0,13222926.276999999,0,470928222.5,0,((((8)*((5)*(0)))-(((9)*(x))*((x)+(x))))*(((x)+(x))*((x)*((x)*((x)*(x)))))),((x)/((8)/(0))),MutateTerminalR|ReplaceBranchXR|SkipD|AddToLeafR|AddTreeWithMult|AddTreeWithSub|MultXD|DeleteMaliciousR|AddXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SubXD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|FellTreeD|DivXD|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,ReplaceBranchXR,11,9,12,12,8
12,(x),20,-10,0.01890062374032684,-0.0016495321192879842,0.019863387604884167,0.02,376.41725999999994,0.11395999999999999,731.998,0,0.9999993877194046,1,0.0021136366050625555,0,16398452.015500002,0,408309526.5,0,((((x)*((6)+(5)))-(((0)*(7))*((x)*(x))))+(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((9)/((0)/(2))),ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithSub|MultXD|DeleteMaliciousR|AddXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SubXD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|FellTreeD|DivXD|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,ReplaceBranchXR,12,9,13,13,8
13,(x),20,-10,-0.007421032598811911,0,0.018898678414096915,0.02,14.90578,0.1,90.8,0,0.9999998254889495,1,0.00011577652378698882,0,27423688.6405,0,1432574036.2,0,(((((x)-(4))*((x)*(8)))*(((8)+(5))+((0)+(1))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),(((0)/(0))/((5)/(8))),ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddXD|AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR|DivXD|AddToLeafR|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR,MultXD,MutateTerminalR,12,11,14,14,8
14,(x),20,-10,0.019824079998701328,-0.0004714869026874698,0.019982722725662802,0.02,858.6085800000001,0.1530727384889076,5787.95,0,0.99999988978592,1,0.0028785317226414325,0,75468617.04900001,0,2268312724.7,0,((((x)*((x)-(6)))*(((x)-(8))+((x)*(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),(((6)/(1))/((0)/(6))),ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddToLeafR|AddXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MultXD|DeleteNonTerminalR|MultXD|MultXD,MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|FellTreeD|SubXD|AddTreeWithSub|MutateTerminalR|DivXD|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR,MultXD,AddTreeWithDiv,14,12,15,15,8
15,(x),20,-10,0.019707217098521447,0.018381078431372547,0.019707217098521447,0.02,341.55,0.01422,341.55,0,0.9999999287959312,1,0.0020581280917739775,0,147269655.1965,0,3511035317.5,0,(((((8)+(6))*((8)*(6)))*(((7)-(3))+((x)*(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),(((0)/(0))/((4)/(2))),ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddToLeafR|AddXD|MultXD|AddTreeWithAdd|AddTreeWithSub|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|SubXD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddToLeafR|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR,MultXD,AddTreeWithDiv,15,14,16,16,8
16,(x),20,-10,0.01154299648286817,0,0.019973319459452247,0,589.1666014865135,0.1,3748.05,0.1,0.9999999806527219,1,0.0014633037535023976,0,548597372.046,0,12921714298,0,(((((x)*(5))-((9)-(x)))+(((2)*(8))*((x)+(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),(((5)/(0))/((6)/(x))),ReplaceBranchXR|AddTreeWithSub|MultXD|AddToLeafR|AddXD|MultXD|AddTreeWithAdd|AddTreeWithSub|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddTreeWithMult|ReplaceBranchXR|AddXD|DeleteMaliciousR|SubXD|AddTreeWithSub|MutateTerminalR|DivXD|MultXD|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR,MultXD,DivXD,16,15,17,17,8
17,(x),20,-10,0.019707217098521447,-0.009183215034351053,0.019707217098521447,0.02,341.55,0.19339724603174602,341.55,0,0.9999999916034826,1,0.0014633743860026057,0,1090459113.0935001,0,29774249116.2,0,(((((x)*(5))*((8)-(0)))*(((7)+(0))+((x)*(x))))*(((9)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((4)/(0)),ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddToLeafR|AddXD|MultXD|AddTreeWithAdd|AddRandomSubTreeR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,SubXD|FellTreeD|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|AddTreeWithSub|FellTreeD|DivXD|AddToLeafR|FellTreeD|DivXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,FellTreeD,17,15,18,18,8
18,(x),20,-10,0.01895173456385916,0,0.01997327119420562,0,319.92902000000004,0.1,3741.282,0.1,0.9999999915719151,1,0.000052382885092582926,0,416308661.15599996,0,29662729020,0,(((((8)*(7))*((9)*(5)))*(((9)+(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)/((0)/(9))),ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddToLeafR|AddXD|MultXD|AddXD|AddRandomSubTreeR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|FellTreeD|FellTreeD|AddTreeWithSub|MutateTerminalR|DivXD|ReplaceBranchXR|FellTreeD|DivXD|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,FellTreeD,18,18,19,19,8
19,(x),20,-10,0.019584082097783933,0.013539988226231148,0.01999878570778058,0.02,11734.091100000001,0.032440507936507934,82352.5,0,0.9999999929977675,1,0.0014626645204999064,0,805129626.503,0,35702899063.8,0,(((((x)*(x))*((x)*(6)))*(((6)+(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),(((0)/(2))/((3)/(0))),ReplaceBranchXR|ReplaceBranchXR|MultXD|AddToLeafR|AddXD|MultXD|AddXD|AddRandomSubTreeR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|AddXD|DeleteMaliciousR|SubXD|AddTreeWithDiv|FellTreeD|DivXD|AddToLeafR|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR,MultXD,AddTreeWithDiv,19,18,20,20,8
20,(x),20,-10,0.013360409289945054,0,0.019996370494940362,0.02,3753.9147599999997,0.1,27551.966,0,0.9999999734273552,1,0.000017194975183538174,0,472430817.31850004,0,9408171527,0,(((((x)+(x))+((7)*(9)))+(((7)*(8))*((x)+((x)*(x)))))+(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((2)/(0)),AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|AddXD|MultXD|AddXD|AddRandomSubTreeR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DeleteNonTerminalR|FellTreeD|AddXD|FellTreeD|DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|DivXD|ReplaceBranchXR|FellTreeD|DivXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,FellTreeD,20,19,21,21,8
