gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.0162512217439575,-0.004311703242702012,0.019803018543834282,0.02,79.02719,0.24261999999999997,507.662,0,0.999981447839268,1,0.0021901586457696858,0,1236357.4965000001,0,13475519.3,0,(((((0)-(5))+((x)+(0)))+(((6)+(4))*((x)*(9))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((7)/(0)),AddToLeafR|AddXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|MultXD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddTreeWithDiv|SkipD|DeleteTerminalR,MultXD,DeleteTerminalR,11,10,12,12,5
12,(x),20,-10,0.010313115647238105,-0.009432459194995144,0.019773415266373013,0.02,90.78708,0.48178000000000004,441.336,0,0.9999962880242436,1,0.19786209951492803,0,2095971.5644999999,0,67349577.8,0,((((0)-((4)+(x)))*(((8)*(8))*((7)+(0))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((x)+(0))),AddToLeafR|AddXD|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddXD|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,MutateNonTerminalR,11,10,13,13,5
13,(x),20,-10,0.011438150182869285,-0.018518518518518517,0.018898023053357724,-0.018518518518518517,29.5596,1.35,90.74600000000001,1.35,0.9999923855488988,1,0.10152658002849316,0,2202702.57,0,32832307.5,0,(((((7)*(0))+((5)*(5)))*(((3)+(8))+((x)*(x))))+(((3)-((1)*(x)))+((x)*((x)*((x)*(x)))))),((7)/(0)),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddTreeWithDiv|SkipD|DeleteTerminalR,MultXD,AddTreeWithMult,12,12,14,14,5
14,(x),20,-10,0.00651751132552976,0.0013352941176470589,0.019945324716508655,0.02,220.21004000000002,0.217,1828.98,0,0.9999889410311895,1,0.27854986033187323,0,3527349.7920000004,0,22606086,0,((((5)+((1)+(8)))*(((0)+(6))-((x)+(0))))*(((x)+((x)*(x)))*((x)*((x)*((x)*(x)))))),((8)/(0)),AddToLeafR|AddXD|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|DeleteMaliciousR|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddTreeWithDiv|SkipD|DeleteTerminalR,MultXD,DeleteTerminalR,14,13,15,15,5
15,(x),20,-10,0.019851336655018505,0.02,0.019982984261122168,0.02,1089.2107400000002,0,5876.911999999999,0,0.9999810972844888,1,0.0015145020755968487,0,1976302.447,0,13225613,0,((((7)*((x)-(4)))+(((0)+(x))*((1)+(9))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((x)+(0))),AddToLeafR|AddXD|DeleteTerminalR|AddXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|FellTreeD|DeleteNonTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,15,13,16,16,5
16,(x),20,-10,0.008164013458264327,-0.004678753085028602,0.0181998199819982,0.02,19.953979999999998,0.23011999999999996,55.55,0,0.9999878859625606,1,0.02110314526765196,0,3029522.7789999996,0,20637215.4,0,(((((x)-(2))*((6)+(7)))+(((x)+(6))+((x)*(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddXD|AddXD|AddXD|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,DeleteNonTerminalR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|MultXD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,16,14,17,17,5
17,(x),20,-10,0.013106579593446792,0,0.018883255533468833,0.02,33.4458,0.1,89.546,0,0.9999977485673727,1,0.01725627357227702,0,5271923.3275,0,111040409.1,0,(((((5)+(2))+((1)*(9)))*(((8)*(x))-((8)+(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddTreeWithMult|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|MultXD|AddTreeWithDiv|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,17,16,18,18,5
18,(x),20,-10,-0.019600000000000006,0.0010704751045902835,-0.0196,0.02,0.1,0.13216,0.1,0,0.9999972686417319,1,0.0016812913255278264,0,4009550.6355000003,0,91529552.5,0,(((((7)-(3))+((1)*(9)))+(((5)*(x))*((x)+(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((x)+(0))),AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,DivXD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithDiv|MultXD|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,17,17,19,19,5
19,(x),20,-10,0.019396239878091144,-0.018518518518518517,0.01997342228010259,-0.018518518518518517,459.82485999999994,1.35,3762.55,1.35,0.9999949251771983,1,0.012514987604528014,0,3778037.8460000004,0,49262803.8,0,(((((4)*(9))+((8)*(5)))-(((0)+(x))+((x)*(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddXD|DeleteTerminalR|AddXD|AddRandomSubTreeR|AddTreeWithAdd|MultXD|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithDiv|MultXD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,17,19,20,20,5
20,(x),20,-10,0.01968794234612843,-0.0005578619868276261,0.019995631846425506,0.02,2052.52305,0.1166,22892.967999999997,0,0.9999990966884774,1,0.002640716475909075,0,5345209.571500001,0,276759449.8,0,((((8)*((6)+(7)))*(((7)+(9))+((2)+(0))))*(((x)*((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MutateNonTerminalR|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,20,20,21,21,5
