gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,(x),20,-10,0.01671350541595522,0.00043392499720053273,0.01978541785580938,0.02,103.28292000000002,0.11963999999999998,466.022,0,0.9999917904062608,1,0.0006336905391508474,0,4012498.498,0,30452176.8,0,(((((x)*(9))+((3)*(9)))+(((2)+(6))+((x)+(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|FellTreeD|DeleteNonTerminalR|FellTreeD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,21,19,22,22,5
22,(x),20,-10,-0.019600000000000006,-0.003272642983119174,-0.0196,0.02,0.1,0.2586,0.1,0,0.9999932978880975,1,0.27854320087384576,0,4196716.1005,0,37301675,0,(((((6)+(6))*((9)+(5)))*(((x)+(0))+((0)+(0))))*(((x)+((x)*(7)))+((6)*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddToLeafR|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithMult|MutateNonTerminalR|MultXD|MutateTerminalR|AddTreeWithDiv|FellTreeD|DeleteNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithMult,21,21,23,23,5
23,(x),20,-10,0.01871620687074793,-0.003905371258785438,0.019994948372365574,0.02,1227.2001,0.30519999999999997,19795.6,0,0.9999984016600517,1,0.024166932667155215,0,6736999.382,0,156412282.8,0,(((((5)+(7))*((2)+(9)))*(((x)*(8))+((x)+(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddTreeWithDiv|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,23,22,24,24,5
24,(x),20,-10,-0.019600000000000006,-0.004972159804931758,-0.0196,0.02,0.1,0.25261999999999996,0.1,0,0.9999942769747356,1,0.00032028712623718286,0,5007789.651500001,0,43683190,0,(((((6)+(8))+((5)*(9)))*(((7)+(8))+((x)+(x))))+(((x)*((x)+(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,24,23,25,25,5
25,(x),20,-10,0.019972780446206765,0,0.019998081294920245,0,7629.084919999998,0.1,52118.484000000004,0.1,0.9999982274144326,1,0.0018031915596478881,0,9318598.582,0,141036915,0,(((((x)*(x))+((x)*(2)))+(((6)*(8))+((6)+(4))))+(((4)*((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MutateNonTerminalR|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DivXD|FellTreeD|DeleteNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,25,24,26,26,5
26,(x),20,-10,0.019978580002498164,-0.00014488191116516233,0.019998916110766974,0.02,13849.066839999996,0.10458,92260.35,0,0.9999979612821798,1,0.00031032916419825767,0,16407515.355,0,122626092.5,0,(((((x)*(4))*((8)*(8)))+(((8)+(x))+((6)+(5))))*(((6)+((8)+(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|FellTreeD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,26,25,27,27,5
27,(x),20,-10,0.017419200387768553,0.0036164633467041284,0.01883381924198251,0.02,46.41767999999999,0.12359999999999999,85.75,0,0.9999992278415117,1,0.0015061228678514061,0,44395944.0085,0,323767728.8,0,(((((8)*(9))+((6)+(3)))*(((x)+(x))+((x)*(x))))*(((6)+((9)+(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MultXD|DivXD|FellTreeD|DeleteNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,25,26,28,28,5
28,(x),20,-10,0.019977784923288566,-0.0025066616650922286,0.019998382199797354,0.02,11533.57433,0.15682,61812.33,0,0.9999992999063786,1,0.00003148382457049783,0,40696474.9695,0,357095097.5,0,(((((x)*(9))+((3)+(9)))+(((9)*(9))+((x)+(x))))+(((x)*((x)*(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|AddTreeWithMult|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,DivXD|AddTreeWithMult|DeleteTerminalR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,28,27,29,29,5
29,(x),20,-10,0.019960017127230684,0.0009753174603174606,0.019989796455615196,0.016,3871.38666,0.1012,9800.516,0.02,0.9999987508119567,1,0.000029415930305370468,0,34753042.882,0,200129997.5,0,(((((x)*(6))+((9)*(7)))+(((0)+(3))+((x)+(x))))+(((x)*((x)*(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MultXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,29,28,30,30,5
30,(x),20,-10,0.01990871177965742,-0.006195577240282133,0.01999768800827693,0.02,3146.2776900000003,0.22518000000000002,43252.75,0,0.9999987034435491,1,0.000028427360011326896,0,34869847.626,0,192818446,0,(((((9)*(9))*((9)+(7)))+(((x)+(x))+((8)+(7))))*(((x)*((x)*(x)))+(((0)+(9))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|FellTreeD|AddTreeWithMult|FellTreeD|DivXD|FellTreeD|DeleteNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,30,29,31,31,5
31,(x),20,-10,0.008241660332993929,-0.0007692307692307699,0.01998768878024374,-0.0007692307692307699,700.74458,0.10400000000000002,8122.672,0.10400000000000001,0.9999993584611226,1,0.000027430363606597844,0,38399543.456,0,389687996.8,0,(((((9)*(9))+((3)+(9)))*(((5)+(9))+((x)+(x))))+(((x)*((x)*(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddXD|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|AddTreeWithSub,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,31,30,32,32,5
32,(x),20,-10,0.011554063726342177,-0.008116403451853717,0.01999806059979184,0.02,7043.998136475817,5801.224437777779,51562.33333333333,0,0.9999999052897299,1,0.017372229360884922,0,67475281.7045,0,2639629260,0,(((((5)+(9))*((8)*(2)))+(((7)+(9))*((x)+(x))))+(((x)*((x)*(x)))*(((x)+(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|MultXD|AddXD|AddTreeWithAdd|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|FellTreeD|AddTreeWithMult|AddTreeWithDiv|DivXD|FellTreeD|MutateNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithMult,32,31,33,33,5
33,(x),20,-10,0.019952297898056737,-0.018518518518518517,0.019998135335485778,-0.018518518518518517,6089.73399,1.35,53628.95,1.35,0.9999999068647876,1,0.0000028060878239342774,0,325172442.18200004,0,2684269392.9,0,(((((x)*(9))*((7)+(9)))+(((9)+(x))+((x)+(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|FellTreeD|SubXD|FellTreeD|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,33,32,34,34,5
34,(x),20,-10,-0.019600000000000006,0.0013003037705650213,-0.0196,0.02,0.1,0.13124,0.1,0,0.9999998545558175,1,0.0000030943016558636152,0,304262537.28400004,0,1718872462.3,0,(((((x)*(6))+((7)*(6)))+(((5)+(x))+((x)+(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,AddToLeafR|AddRandomSubTreeR|FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,MutateNonTerminalR,33,33,35,35,5
35,(x),20,-10,0.015748839413405945,0.002578428242461939,0.019999425452753284,0.02,13082.314084940475,0.10644,174050.09,0,0.9999998223854366,1,0.0000026507009081518436,0,293389108.451,0,1407542238,0,(((((x)*(x))*((9)+(4)))+(((x)+(x))+((8)+(8))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|DeleteNonTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddXD|FellTreeD|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,35,34,36,36,5
36,(x),20,-10,-0.019600000000000006,0.003981834996088185,-0.0196,0.02,0.1,0.10032,0.1,0,0.9999999784529399,1,0.00000023416039097616787,0,2170039881.8729997,0,11602510915.5,0,(((((x)*(7))*((8)+(7)))+(((x)+(x))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|SkipD|FellTreeD|AddXD|FellTreeD|AddTreeWithMult|FellTreeD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,36,35,37,37,5
37,(x),20,-10,0.015476374594968794,-0.0016348043886424371,0.019999896687955317,0.02,77149.64915999999,0.15410000000000001,967941.35,0,0.999999974427672,1,0.00000022051534491726417,0,2240221393.072,0,9776192441,0,(((((x)*(8))*((3)+(8)))+(((x)+(x))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|DivXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,37,36,38,38,5
38,(x),20,-10,0.016458983040568788,0,0.019999917894627097,0,47741.663160000004,0.1,1217947.09,0.1,0.9999999841695006,1,0.00000019165141223542472,0,2412880246.469,0,15792300357,0,(((((9)*(x))*((7)+(9)))+(((x)+(x))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|FellTreeD|AddTreeWithMult|FellTreeD|AddTreeWithMult|AddTreeWithDiv|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,38,37,39,39,5
39,(x),20,-10,0.019707217098521447,-0.003608323659137243,0.019707217098521447,0.02,341.55,0.22721999999999998,341.55,0,0.9999999864444863,1,0.0000003919837687197561,0,2602367975.8175,0,18442679948,0,(((((9)+(7))+((9)*(9)))*(((7)+(x))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddTreeWithAdd|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MutateTerminalR|DeleteMaliciousR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,39,38,40,40,5
40,(x),20,-10,0.019993601345037835,-0.005001317023886952,0.019999787607014576,0.02,231752.01862,0.18355999999999997,470825.342,0,0.9999999919755702,1,0.0000003376820291596444,0,2480988260.4944997,0,31154861642.5,0,(((((8)+(8))*((9)+(9)))*(((x)+(x))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|MutateNonTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,AddToLeafR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DivXD|FellTreeD|DeleteTerminalR|AddToLeafR|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,40,39,41,41,5
41,(x),20,-10,0.01999621648027321,0.0038820627761797814,0.019999807774354773,0.02,65257.034550000004,0.10424000000000001,520221.95,0,0.9999999982482757,1,0.002059726285641737,0,12698614281.843,0,142716518720.5,0,(((((x)*(7))+((9)*(9)))*(((x)+(x))*((x)*(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|MutateNonTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|FellTreeD|AddTreeWithMult|AddTreeWithDiv|DivXD|FellTreeD|DeleteNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,40,41,42,42,5
42,(x),20,-10,0.010798856578833123,0.0052,0.019999988823846137,0.02,388446.2193799999,0.07400000000000001,8947621.984,0,0.9999999971981488,1,0.00000003426022552140181,0,17675248749.015,0,89226722539.8,0,(((((3)+(x))*((x)*(x)))+(((x)+(x))*((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddTreeWithDiv|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|DeleteTerminalR|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddXD|FellTreeD|AddTreeWithDiv|FellTreeD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|AddTreeWithAdd,MultXD,AddTreeWithDiv,42,41,43,43,5
43,(x),20,-10,0.01381935995057142,-0.0036904191530633037,0.01999999480181386,0.02,1114850.2964999997,0.20878,19237479.63,0,0.9999999981451948,1,0.0000003685556951382622,0,22373541004.6775,0,134785045180.5,0,(((((9)*(7))+((8)*(x)))+(((x)*(x))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|SubXD|MultXD|FellTreeD|DeleteNonTerminalR|FellTreeD|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,42,42,44,44,5
44,(x),20,-10,0.019707217098521447,-0.0026711851853760222,0.019707217098521447,0.02,341.55,0.15655999999999998,341.55,0,0.9999999972134648,1,0.000000022513600147898028,0,19244251038.324,0,89717151191.3,0,(((((x)*(x))*((x)+(x)))+(((x)+(x))*((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DivXD|FellTreeD|DeleteNonTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,44,43,45,45,5
45,(x),20,-10,0.019707217098521447,-0.0014643867037211452,0.019707217098521447,0.02,341.55,0.11445999999999999,341.55,0,0.9999999972772807,1,0.00000006483407075503297,0,20799629737.34,0,91819967781.5,0,(((((8)*(6))*((9)+(9)))+(((x)+(x))*((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddTreeWithAdd|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|SubXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MultXD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,45,44,46,46,5
46,(x),20,-10,0.013893121538846673,0.001510945095803842,0.01999997876539454,0.02,530013.7611200002,0.12333999999999998,4709293.996,0,0.9999999972134648,1,0.00000001874046583229017,0,20809754090.857,0,89717151191.3,0,(((((x)*(x))*((x)+(x)))+(((x)+(x))*((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DivXD|FellTreeD|DeleteMaliciousR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,46,45,47,47,5
47,(x),20,-10,-0.00019999999999999998,-0.003358517776936648,-0.0002,0.02,4.95,0.19372,4.95,0,0.9999999983179345,1,0.00000005757594123074484,0,21298364754.718998,0,148626790938.5,0,(((((x)*(x))+((x)*(x)))*(((9)+(8))+((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|DeleteNonTerminalR|AddXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DivXD|FellTreeD|DeleteMaliciousR|AddXD|AddXD|DeleteTerminalR,MultXD,AddXD,47,46,48,48,5
48,(x),20,-10,0.012361013194743475,0.02,0.019999994391073805,0.02,2460441.9692199994,0,17828724.526,0,0.9999999993467359,1,0.00000007301524745711104,0,30729780939.192,0,382693593305.5,0,(((((8)*(8))*((6)*(x)))+(((x)+(x))*((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((0)+(x))),MultXD|AddXD|AddToLeafR|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|FellTreeD|AddTreeWithMult|AddTreeWithDiv|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,48,47,49,49,5
49,(x),20,-10,0.01999999502426574,0.02,0.01999999963921193,0.02,42744968.00242,0,277171027.68,0,0.9999999972134648,1,0.000000016651176372240207,0,20291839602.538002,0,89717151191.3,0,(((((x)*(x))*((x)+(x)))+(((x)+(x))*((x)*(x))))*(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+((x)+(0))),MultXD|AddXD|AddXD|AddXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MutateTerminalR|DeleteNonTerminalR|FellTreeD|AddTreeWithMult|AddTreeWithDiv|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,49,48,49,49,5
