gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.009028881203162505,0.011447142403858827,0.01993279298896461,0.02,42.253730824208176,0.04305375396825397,1487.94,0,0.9999997168710851,1,0.005599546718812565,0,14845540.7225,0,882989998,0,((((x)*((x)*(x)))*((5)*((x)*(6))))+(((9)-(x))*((x)*((x)*((x)*(x)))))),((8)/(0)),AddRandomSubTreeR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|DeleteMaliciousR|MutateTerminalR|SkipD|MultXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,DeleteTerminalR|DeleteMaliciousR|FellTreeD|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|AddTreeWithAdd|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,11,10,12,12,4
12,(x),20,-10,0.012590992716576013,-0.008930881095557617,0.01974606399187405,0.02,66.29422,0.1924322777777778,393.8,0,0.9999996235095506,1,0.43408788020104416,0,93305820.29853791,0,664027468.5,0,(((((x)+(1))*((9)/(x)))-(((x)*(x))+((x)+((x)*(6)))))*(((x)*((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((1)/(0)),AddRandomSubTreeR|DivXD|SubXD|MultXD|AddXD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|AddRandomSubTreeR|MultXD|MultXD|MultXD,DeleteTerminalR|AddXD|FellTreeD|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,12,11,13,13,4
13,(x),20,-10,0.019311763662580205,0.006901209659478082,0.019983260707121298,0.02,761.5762082158121,1.0799556156810726,5973.968000000001,0,0.9999999726148986,1,0.00033277095553809426,0,944423996.151,0,9129051459.2,0,((((x)*((x)*(x)))-(((x)*(x))*((x)*(x))))-(((x)*(x))*((x)*((x)*((x)*(x)))))),((6)/(0)),SkipD|ReplaceBranchXR|DeleteMaliciousR|MultXD|SubXD|MutateTerminalR|MultXD|ReplaceBranchR|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|FellTreeD|AddXD|ReplaceBranchXR|DeleteMaliciousR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,13,12,14,14,4
14,(x),20,-10,0.01689095866304253,-0.0031026215708144394,0.019767089786887154,0.02,92.33727356060606,0.12768,429.35,0,0.9999999726148986,1,0.0002377391780555245,0,742294308.7160001,0,9129051459.2,0,((((x)*((x)*(x)))-(((x)*(x))*((x)*(x))))-(((x)*(x))*((x)*((x)*((x)*(x)))))),((0)/(0)),SkipD|ReplaceBranchXR|DeleteMaliciousR|MultXD|SubXD|MutateTerminalR|MultXD|ReplaceBranchR|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteMaliciousR|AddTreeWithAdd|MultXD|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,DivXD,13,13,15,15,4
15,(x),20,-10,0.017061029556248178,-0.0007644201637391272,0.01876084262701363,0.02,43.83668000000001,0.11075999999999998,80.7,0,0.9999999804511815,1,0.00023789793033535464,0,2612520588.174,0,12788496662.5,0,(((((x)*(4))+((9)*(x)))+(((x)+(x))*((x)*(x))))*(((x)-((x)*(x)))*((x)*((x)*((x)*(x)))))),((2)/(0)),SkipD|AddTreeWithSub|AddTreeWithAdd|MultXD|AddXD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteMaliciousR|FellTreeD|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,15,13,16,16,4
16,(x),20,-10,0.01790930039138915,0.006854652455674732,0.01993229056286178,0.02,215.75707996987327,0.07044142857142856,1476.899,0,0.9999999859120544,1,0.00000027446346331953847,0,3299303640.138,0,17745667625,0,(((((x)*(9))+((9)*(x)))+(((x)+(x))*((x)*(x))))*(((x)-((x)*(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),SkipD|ReplaceBranchXR|AddTreeWithAdd|MultXD|AddXD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|FellTreeD|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|MultXD|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,16,15,17,17,4
17,(x),20,-10,0.019972465043110083,-0.007412551325094115,0.01999806674059966,0.02,8057.1494999999995,0.28738,51726.115999999995,0,0.9999999866222704,1,0.00016908414772261055,0,4187366929.669,0,18687774917,0,(((((x)*(x))+((x)*(x)))+(((x)+(x))*((x)*(x))))*(((x)-((x)*(x)))*((x)*((x)*((x)*(x)))))),((9)/((0)/(x))),SkipD|ReplaceBranchXR|AddTreeWithAdd|MultXD|AddXD|AddXD|MultXD|MultXD|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|AddTreeWithAdd|FellTreeD|MutateNonTerminalR|MutateTerminalR|DivXD|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,16,16,18,18,4
18,(x),20,-10,0.019985795936268327,0.00048120083005497206,0.019999280215201837,0.02,20106.368700000003,0.0997730634920635,138930.414,0,0.9999999983025871,1,0.00023793044153817616,0,25758628497.089,0,147282961395,0,(((((x)*(8))+((8)*(x)))+(((x)*(x))*((x)*(x))))*(((x)-((x)*(x)))*((x)*((x)*((x)*(x)))))),((5)/(0)),SkipD|ReplaceBranchXR|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|SubXD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR|DivXD|AddTreeWithSub|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,18,17,19,19,4
19,(x),20,-10,0.019698568198944985,-0.0031464637590945415,0.01969856819894499,0.02,331.75,0.391319617063492,331.75,0,0.9999999971504822,1,0.00000004212569395529397,0,24931336269.492,0,87734139965.8,0,((((x)*((x)*(x)))+(((x)*(x))*((x)*(x))))*(((x)-((x)*(x)))*((x)*((x)*((x)*(x)))))),((2)/(0)),SkipD|MutateNonTerminalR|ReplaceBranchXR|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|AddRandomSubTreeR|FellTreeD|FellTreeD|SkipD|MutateNonTerminalR|DivXD|AddTreeWithAdd|FellTreeD|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,MutateNonTerminalR,18,18,20,20,4
20,(x),20,-10,0.019966179653679653,0,0.019966179653679653,0,2956.8,0.1,2956.8,0.1,0.9999999971504822,1,0.000000027503104737408975,0,24092538840.547997,0,87734139965.8,0,((((x)*((x)*(x)))+(((x)*(x))*((x)*(x))))*(((x)-((x)*(x)))*((x)*((x)*((x)*(x)))))),((5)/(0)),SkipD|MutateNonTerminalR|ReplaceBranchXR|MultXD|AddXD|MultXD|DeleteNonTerminalR|MultXD|MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteMaliciousR|FellTreeD|AddToLeafR|FellTreeD|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithAdd|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,20,19,21,21,4
