gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.019799852259711447,-0.004898920352078983,0.019979248488148603,0.02,881.33295,42582.66426946248,4818.9259999999995,0,0.9999991136329622,1,0.00002699913022393507,0,41073924.475999996,0,282050199.7,0,(((((8)+(8))-((0)+(7)))*(((x)+(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateTerminalR|MultXD|DeleteTerminalR|AddToLeafR|DivXD|SkipD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddToLeafR,11,10,12,12,7
12,(x),20,-10,0.019707217098521447,0.02,0.019707217098521447,0.02,341.55,0,341.55,0,0.9999999197897742,1,0.0000022586347688313245,0,368819942.21800005,0,3116809576.5,0,(((((8)+(6))*((x)+(x)))+(((x)*(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),DivXD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateTerminalR|MultXD|AddToLeafR|DivXD|SubXD|AddXD|AddToLeafR|AddTreeWithDiv|FellTreeD|AddXD,MultXD,AddToLeafR,12,11,13,13,7
13,(x),20,-10,-0.01957011126984127,-0.0039460289073429125,-0.0172,0.02,0.10747218253968253,27285.63868455361,0.7,0,0.9999999127161899,1,0.0000189202030706604,0,483043836.42550004,0,2864219604.3,0,(((((x)-(9))+((0)*(x)))+(((x)+(x))*((x)*(x))))+(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|DivXD|DivXD|SkipD|AddToLeafR|AddTreeWithDiv|FellTreeD|AddXD,MultXD,DivXD,13,12,14,14,7
14,(x),20,-10,0.01954935924574517,0.02,0.019999580559285267,0.02,38545.74704,0,238412.71600000001,0,0.9999998806854578,1,0.000026546791879240664,0,503086863.42300004,0,2095302008,0,(((((8)+(7))*((4)-(9)))+(((x)+(x))*((x)*(x))))+(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|MultXD|AddRandomSubTreeR|SubXD|DivXD|DeleteNonTerminalR|AddTreeWithSub|AddToLeafR|FellTreeD|AddXD,MultXD,AddRandomSubTreeR,14,13,15,15,7
15,(x),20,-10,0.015642201892237893,-0.006908799370237,0.019999711321752444,0.02,46568.50074,2030.3283016231458,346406.42600000004,0,0.999999998066682,1,0.00004833843115106999,0,13878056321.899002,0,129311372595,0,(((((x)*(8))+((6)*(x)))*(((x)*(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),FellTreeD|ReplaceBranchXR|AddTreeWithMult|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|DivXD|DivXD|SkipD|AddToLeafR|AddTreeWithDiv|FellTreeD|AddXD,MultXD,AddToLeafR,15,12,16,16,7
16,(x),20,-10,0.01999947182013073,0.00895959296112584,0.01999989385777781,0.02,328314.56145,5320.923149780193,942132.15,0,0.9999999868791721,1,0.00000011097847794056992,0,5545600373.226999,0,19053675847,0,(((((9)+(5))*((8)+(5)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithSub|DeleteNonTerminalR|DivXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithDiv|FellTreeD|AddXD,MultXD,DivXD,16,15,17,17,7
17,(x),20,-10,0.008383884667087388,-0.007055539568084896,0.01999978899517769,0.02,31746.603619999998,3516099.533389241,473922.81799999997,0,0.9999999894395293,1,0.000018856580220341354,0,5887871571.823001,0,23673187282.5,0,(((((7)+(8))*((8)+(7)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DivXD|SubXD|SkipD|DivXD|DeleteNonTerminalR|FellTreeD|AddXD,MultXD,DivXD,17,16,18,18,7
18,(x),20,-10,0.0199982625225567,-0.005596127151799784,0.019999236735516582,0.02,62843.85706,545.4614900476191,131016.18400000001,0,0.99999999884842,1,0.00000002857860119362165,0,52897590832.46201,0,217093032253.8,0,(((((5)+(9))*((8)+(8)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DeleteTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|SubXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,18,16,19,19,7
19,(x),20,-10,0.019999053628624024,0,0.019999878868291153,0.02,213956.18628,0.1,825547.67,0,0.9999999989173074,1,0.000000022940665254148314,0,53149593010.90849,0,230905799057.5,0,(((((x)+(x))*((3)+(9)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|SubXD|AddToLeafR|MultXD|AddRandomSubTreeR|MutateTerminalR|MultXD|DeleteMaliciousR|DivXD|DivXD|SkipD|SkipD|ReplaceBranchR|FellTreeD|AddXD,MultXD,MutateTerminalR,18,18,20,20,7
20,(x),20,-10,0.008823668247824844,-0.006065063900774297,0.019999705952362223,0.02,38136.884966,1191104.83507298,340080.95,0,0.9999999988721942,1,0.000000008613669148563654,0,60784414454.891,0,221669367095,0,(((((6)+(9))+((8)*(x)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|AddRandomSubTreeR|DivXD|SubXD|SkipD|AddToLeafR|DivXD|FellTreeD|AddXD,MultXD,DivXD,20,19,21,21,7
