gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,(x),20,-10,0.019999917255468968,0.007853537995064181,0.019999999672269522,0.02,62854444.45284,130.45244133771033,305128776.49,0,0.9999999998428234,1,0.0000000001987777787966457,0,887903437577.175,0,1590567152224.1,0,(((((x)+(x))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|MultXD|AddTreeWithSub|DivXD|DivXD|ReplaceBranchR|AddToLeafR|AddTreeWithDiv|FellTreeD|AddXD,MultXD,DivXD,31,30,32,32,7
32,(x),20,-10,0.01999957530424058,-0.005584692996996219,0.019999575304240576,0.02,235462.676,59.23999688944991,235462.676,0,0.9999999998483126,1,0.0000000004048119990885433,0,900697600209.9291,0,1648125991786.5,0,(((((9)+(9))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MultXD|MultXD|DivXD|AddTreeWithMult|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,32,31,33,33,7
33,(x),20,-10,0.008105117451322964,0.02,0.01999999943965383,0.02,9237612.086839998,0,178461111.47,0,0.9999999999659055,1,0.0000029877606835354673,0,1136772764532.2498,0,7332569685025.5,0,(((((x)*(9))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddRandomSubTreeR|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|SubXD|AddXD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithSub|AddRandomSubTreeR|DivXD|DivXD|ReplaceBranchR|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,ReplaceBranchR,33,32,34,34,7
34,(x),20,-10,0.01701819106290152,0.02,0.019999998546124487,0.02,2533152.8301199996,0,68781679.79,0,0.9999999998483126,1,0.00000000021822496893831935,0,908405475794.625,0,1648125991786.5,0,(((((x)*(9))+((9)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddRandomSubTreeR|MultXD,MutateTerminalR|AddXD|AddToLeafR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddTreeWithDiv|SubXD|SkipD|DeleteTerminalR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,34,33,35,35,7
35,(x),20,-10,-0.019600000000000006,-0.009711237743525296,-0.0196,0.02,0.1,860842.6749299999,0.1,0,0.9999999998483126,1,0.0000000002220913848940501,0,904574999159.8369,0,1648125991786.5,0,(((((x)*(9))+((9)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|MultXD|AddTreeWithSub|AddRandomSubTreeR|DivXD|DivXD|ReplaceBranchR|DeleteTerminalR|ReplaceBranchR|FellTreeD|AddXD,MultXD,ReplaceBranchR,34,34,36,36,7
36,(x),20,-10,-0.019600000000000006,0.008137624355301512,-0.0196,0.02,0.1,55.90532498412699,0.1,0,0.9999999999560787,1,0.000002987750143251116,0,1059745257106.755,0,5691997532796.5,0,(((((x)*(7))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddToLeafR|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,AddTreeWithAdd|SubXD|AddToLeafR|SubXD|DeleteMaliciousR|MutateTerminalR|MultXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,SubXD,35,35,37,37,7
37,(x),20,-10,-0.019600000000000006,0.02,-0.0196,0.02,0.1,0,0.1,0,0.9999999999679643,1,0.0000000013799468701598606,0,2511222791821.551,0,7803792068478.3,0,(((((x)*(x))*((x)*(x)))*(((x)*(x))*((x)+(x))))*(((x)*((x)*(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MutateNonTerminalR|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|AddTreeWithSub|DeleteNonTerminalR|DivXD|SubXD|AddXD|DeleteTerminalR|ReplaceBranchR|FellTreeD|AddXD,MultXD,MultXD,37,36,38,38,7
38,(x),20,-10,-0.019600000000000006,0,-0.0196,0,0.1,0.1,0.1,0.1,0.9999999998483126,1,0.0000000004121695605143439,0,852182603512.359,0,1648125991786.5,0,(((((9)+(9))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,MultXD,38,37,39,39,7
39,(x),20,-10,-0.004553223238996696,0,0.019999999458742073,0,11093659.502,0.1,184754800,0.1,0.9999999999661364,1,0.5694945125606735,0,932777745597.625,0,7382574685025.5,0,(((((x)*(x))-((x)+(x)))*(((x)*(x))*((9)*(x))))*(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|AddXD|MultXD|MultXD|MultXD|MultXD|AddToLeafR|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,SkipD|AddXD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR|DeleteNonTerminalR|DivXD|SubXD|ReplaceBranchR|DeleteTerminalR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,39,38,40,40,7
40,(x),20,-10,-0.005550482620317778,-0.005606098659578274,0.019692627359853446,0.02,26.68931888095238,379924.20531957276,325.33799999999997,0,0.9999999999683165,1,0.0000000010971713225522814,0,2172866304553.4668,0,7890534922091.6,0,(((((x)*(x))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithMult|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddToLeafR|MultXD|MutateNonTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,MultXD,38,39,41,41,7
41,(x),20,-10,0.01999957530424058,-0.007439657860102803,0.019999575304240576,0.02,235462.676,0.25893999999999995,235462.676,0,0.9999999999605195,1,0.0000036405528180634365,0,1175237530561.267,0,6332240086904.7,0,(((((x)*(9))*((8)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddToLeafR|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddTreeWithSub|AddRandomSubTreeR|DivXD|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,AddRandomSubTreeR,41,40,42,42,7
42,(x),20,-10,0.01999957530424058,-0.007444662965460164,0.019999575304240576,0.02,235462.676,0.26616,235462.676,0,0.9999999999679643,1,0.000006677442326552829,0,983538336426.062,0,7803792068478.3,0,(((((x)*(x))*((x)*(x)))*(((x)*(x))*((x)+(x))))*(((x)*((x)*(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddToLeafR|SkipD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteMaliciousR|DivXD|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|AddTreeWithSub|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,AddToLeafR,42,41,43,43,7
43,(x),20,-10,-0.019600000000000006,0.02,-0.0196,0.02,0.1,0,0.1,0,0.9999999997127365,1,0,0,870281076109.5,0,870281076109.5,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)+(x))))*(((x)*((x)*(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|SkipD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|DeleteMaliciousR|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddTreeWithDiv|MultXD|MultXD|AddTreeWithDiv|MultXD|MultXD|MultXD|DivXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,MultXD,43,42,44,44,7
44,(x),20,-10,-0.019600000000000006,0.02,-0.0196,0.02,0.1,0,0.1,0,0.9999999999698933,1,0,0,8303792068478.299,0,8303792068478.3,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddTreeWithDiv|MultXD|MultXD|AddTreeWithDiv|MultXD|MultXD|MultXD|DivXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,MultXD,44,42,45,45,7
45,(x),20,-10,-0.019600000000000006,0.02,-0.0196,0.02,0.1,0,0.1,0,0.9999999999698933,1,0,0,8303792068478.299,0,8303792068478.3,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|AddTreeWithSub|AddTreeWithSub|DivXD|ReplaceBranchXR|SkipD|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,DivXD,45,43,46,46,7
46,(x),20,-10,0.01999957530424058,0.02,0.019999575304240576,0.02,235462.676,0,235462.676,0,0.9999999999698933,1,0,0,8303792068478.299,0,8303792068478.3,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddXD|MultXD|MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,AddXD,46,45,47,47,7
47,(x),20,-10,0.01999957530424058,0.006572715428632893,0.019999575304240576,0.02,235462.676,2076983.6597435868,235462.676,0,0.9999999999698933,1,0,0,8303792068478.299,0,8303792068478.3,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,DeleteMaliciousR|DivXD|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|MultXD|DivXD|AddTreeWithMult|AddRandomSubTreeR|DivXD|ReplaceBranchXR|FellTreeD|AddXD,MultXD,MultXD,47,46,48,48,7
48,(x),20,-10,-0.019600000000000006,-0.01202916945999466,-0.0196,0.02,0.1,7849.27053,0.1,0,0.9999999999698933,1,0,0,8303792068478.299,0,8303792068478.3,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|MultXD|MultXD|DeleteNonTerminalR|DivXD|SubXD|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,AddXD,48,47,49,49,7
49,(x),20,-10,0.019999999994254728,0.02,0.019999999994254728,0.02,17405621522.19,0,17405621522.19,0,0.9999999999698933,1,0,0,8303792068478.299,0,8303792068478.3,0,(((((x)*(x))-((x)*(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|DeleteNonTerminalR|DivXD|DivXD|SkipD|DeleteTerminalR|ReplaceBranchR|FellTreeD|AddXD,MultXD,DivXD,49,48,49,49,7
