A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,AddToLeafR,0,0,0,9
AddTreeWithMult,FellTreeD,AddXD,FellTreeD,0,0,1,9
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,2,9
AddToLeafR,DeleteMaliciousR,AddTreeWithAdd,DeleteMaliciousR,0,0,3,9
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,4,9
SubXD,AddTreeWithDiv,SubXD,AddTreeWithDiv,0,0,5,9
MultXD,MutateNonTerminalR,MultXD,MutateNonTerminalR,0,0,6,9
SubXD,FellTreeD,SubXD,FellTreeD,0,0,7,9
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,8,9
SubXD,MutateTerminalR,SubXD,MutateTerminalR,0,0,9,9
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,10,9
MultXD,MutateTerminalR,MultXD,MutateTerminalR,0,0,11,9
AddTreeWithAdd,DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,0,0,12,9
MultXD,DivXD,MultXD,DivXD,0,0,13,9
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,14,9
