gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
12,x*x*x*x,25,-10,-0.03949995221212913,0.01142857142857143,-0.03949924437981964,0.01142857142857143,244.8554,244.832,245.202,244.832,-0.9874754933995556,0.28571428571428575,0.000016402479753047164,0,6122.82,6120.8,6132.8,6120.8,((1)-((7)-(6))),(0),FellTreeD|AddToLeafR|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,ReplaceBranchXR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.03949998978891648,0.01142857142857143,-0.039499534374591555,0.01142857142857143,244.83700000000002,244.832,245.06,244.832,-0.9874775356162593,0.28571428571428575,0.000014441018623635128,0,6125.21,6120.8,6131.8,6120.8,((x)-((9)-(4))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|FellTreeD,FellTreeD,DeleteMaliciousR,13,13,14,14,1
14,x*x*x*x,25,-10,-0.03949995119102078,0.01142857142857143,-0.039499121846817406,0.01142857142857143,244.8559,244.832,245.262,244.832,-0.9874693667494445,0.28571428571428575,0.00001587179500107895,0,6124.82,6120.8,6135.8,6120.8,((1)-((7)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,DeleteMaliciousR,14,14,15,15,1
15,x*x*x*x,25,-10,-0.0394998104822899,0.01142857142857143,-0.03949934649065481,0.01142857142857143,244.9248,244.832,245.15200000000002,244.832,-0.987479577832963,0.28571428571428575,0.00001773332546634132,0,6125.17,6120.8,6130.8,6120.8,((1)-((x)-(9))),(0),MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddTreeWithSub,15,15,16,16,1
16,x*x*x*x,25,-10,-0.03949988236831787,0.01142857142857143,-0.03949930564632074,0.01142857142857143,244.8896,244.832,245.172,244.832,-0.9874734511828519,0.28571428571428575,0.000015636073186737975,0,6123.639999999999,6120.8,6133.8,6120.8,((1)-((7)-(7))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,16,16,17,17,1
17,x*x*x*x,25,-10,-0.039500135398967455,0.01142857142857143,-0.039499779440596,0.01142857142857143,244.7657,244.832,244.94,244.832,-0.9874918311331853,0.28571428571428575,0.000008904064828063607,0,6122.620000000001,6120.8,6124.8,6120.8,((2)-((4)-(x))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,17,17,18,18,1
18,x*x*x*x,25,-10,-0.03949994914880408,0.01142857142857143,-0.03949926480198667,0.01142857142857143,244.8569,244.832,245.192,244.832,-0.9874775356162593,0.28571428571428575,0.000014624933463659855,0,6123.68,6120.8,6131.8,6120.8,((0)-((5)-(6))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddTreeWithAdd,18,18,19,19,1
19,x*x*x*x,25,-10,-0.039499883185204546,0.01142857142857143,-0.03949934649065482,0.01142857142857143,244.8892,244.832,245.15200000000002,244.832,-0.9874693667494445,0.28571428571428575,0.000016389981887370816,0,6128.25,6120.8,6135.8,6120.8,((1)-((7)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,FellTreeD,ReplaceBranchXR,19,19,20,20,1
20,x*x*x*x,25,-10,-0.03950011313880539,0.01142857142857143,-0.03949976882106914,0.01142857142857143,244.7766,244.832,244.9452,244.832,-0.9874816200496668,0.28571428571428575,0.000010068273333139262,0,6125.38,6120.8,6129.8,6120.8,((7)-((9)-(7))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,20,20,21,21,1
21,x*x*x*x,25,-10,-0.039500142546725917,0.01142857142857143,-0.039499734511828526,0.01142857142857143,244.76219999999998,244.832,244.96200000000002,244.832,-0.9874938733498889,0.28571428571428575,0.000007180243413719226,0,6119.88,6120.8,6123.8,6120.8,((1)-((0)-(4))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,21,21,22,22,1
22,x*x*x*x,25,-10,-0.03949999979577833,0.01142857142857143,-0.039499223957652596,0.01142857142857143,244.83210000000003,244.832,245.21200000000002,244.832,-0.9874816200496668,0.28571428571428575,0.000009056642034534633,0,6123.3,6120.8,6129.8,6120.8,((7)-((9)-(7))),(0),FellTreeD|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,22,22,23,23,1
23,x*x*x*x,25,-10,-0.039499811911841584,0.01142857142857143,-0.0394990605803163,0.01142857142857143,244.92410000000004,244.832,245.292,244.832,-0.987479577832963,0.28571428571428575,0.000012605909665601092,0,6125.6900000000005,6120.8,6130.8,6120.8,((2)-((6)-(6))),(0),FellTreeD|FellTreeD|DeleteTerminalR|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,23,23,24,24,1
24,x*x*x*x,25,-10,-0.03949998080316299,0.01142857142857143,-0.03949940775715593,0.01142857142857143,244.8414,244.832,245.122,244.832,-0.9874754933995556,0.28571428571428575,0.000016922900730102245,0,6123.8,6120.8,6132.8,6120.8,((0)-((5)-(7))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,24,24,25,25,1
25,x*x*x*x,25,-10,-0.04203140725068618,0.01142857142857143,-0.03949979414455626,0.01142857142857143,229.45300000000003,244.832,244.9328,244.832,-0.9874775356162593,0.28571428571428575,0.00001595159941177843,0,6122.6900000000005,6120.8,6131.8,6120.8,((2)-((5)-(8))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,25,25,26,26,1
26,x*x*x*x,25,-10,-0.03949985316461901,0.01142857142857143,-0.03949942817932297,0.01142857142857143,244.9039,244.832,245.112,244.832,-0.9874877466997778,0.28571428571428575,0.000006126650111126785,0,6125.3,6120.8,6126.8,6120.8,((x)-((1)-(7))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,26,26,27,27,1
27,x*x*x*x,25,-10,-0.039499853981505684,0.01142857142857143,-0.03949946330545027,0.01142857142857143,244.90349999999998,244.832,245.09480000000002,244.832,-0.9874816200496668,0.28571428571428575,0.000003728560519750298,0,6127.8,6120.8,6129.8,6120.8,((2)-((7)-(4))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,27,27,28,28,1
28,x*x*x*x,25,-10,-0.03949987542478108,0.01142857142857143,-0.03949946902365704,0.01142857142857143,244.89300000000003,244.832,245.092,244.832,-0.9874836622663704,0.28571428571428575,0.000006349509767974573,0,6126.3,6120.8,6128.8,6120.8,((7)-((6)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,28,28,29,29,1
29,x*x*x*x,25,-10,-0.0394999027904849,0.01142857142857143,-0.039499135733890994,0.01142857142857143,244.87959999999998,244.832,245.2552,244.832,-0.9874734511828519,0.28571428571428575,0.000013001763729222164,0,6127.88,6120.8,6133.8,6120.8,((x)-((9)-(6))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,29,29,30,30,1
30,x*x*x*x,25,-10,-0.039499956500784215,0.01142857142857143,-0.03949942817932297,0.01142857142857143,244.85330000000002,244.832,245.112,244.832,-0.9874816200496668,0.28571428571428575,0.000012727079641741429,0,6122.49,6120.8,6129.8,6120.8,((2)-((6)-(5))),(0),FellTreeD|FellTreeD|AddTreeWithSub|FellTreeD|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,30,30,31,31,1
31,x*x*x*x,25,-10,-0.03949986235459417,0.01142857142857143,-0.03949934649065481,0.01142857142857143,244.8994,244.832,245.15200000000002,244.832,-0.9874836622663704,0.28571428571428575,0.000011405909794341569,0,6123.870000000001,6120.8,6128.8,6120.8,((1)-((6)-(3))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,31,31,32,32,1
32,x*x*x*x,25,-10,-0.03949989053718468,0.01142857142857143,-0.03949934649065482,0.01142857142857143,244.8856,244.832,245.15200000000002,244.832,-0.9874714089661483,0.28571428571428575,0.000018542952809548518,0,6123.1900000000005,6120.8,6134.8,6120.8,((x)-((8)-(8))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|FellTreeD,FellTreeD,AddToLeafR,32,32,33,33,1
33,x*x*x*x,25,-10,-0.03949989972715985,0.01142857142857143,-0.039499387334988895,0.01142857142857143,244.8811,244.832,245.132,244.832,-0.9874836622663704,0.28571428571428575,0.000010238466963847092,0,6124.43,6120.8,6128.8,6120.8,((3)-((9)-(x))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,33,33,34,34,1
34,x*x*x*x,25,-10,-0.039500128659652335,0.01142857142857143,-0.039499608711279575,0.01142857142857143,244.76899999999998,244.832,245.02360000000002,244.832,-0.9874877466997778,0.28571428571428575,0.000008828677047912111,0,6122.6,6120.8,6126.8,6120.8,((1)-((5)-(2))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,34,34,35,35,1
35,x*x*x*x,25,-10,-0.039499830700235265,0.01142857142857143,-0.039499305646320745,0.01142857142857143,244.9149,244.832,245.172,244.832,-0.9874836622663704,0.28571428571428575,0.000012374597498065963,0,6123.58,6120.8,6128.8,6120.8,((7)-((6)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithDiv|SkipD,AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,35,35,36,36,1
36,x*x*x*x,25,-10,-0.03949989972715985,0.01142857142857143,-0.039499264801986664,0.01142857142857143,244.8811,244.832,245.192,244.832,-0.9874775356162593,0.28571428571428575,0.000011239318802194616,0,6125.1900000000005,6120.8,6131.8,6120.8,((7)-((9)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,36,36,37,37,1
37,x*x*x*x,25,-10,-0.03950007249869298,0.01142857142857143,-0.039499366912821854,0.01142857142857143,244.7965,244.832,245.142,244.832,-0.9874836622663704,0.28571428571428575,0.00001038664803505365,0,6121.8099999999995,6120.8,6128.8,6120.8,((0)-((8)-(0))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,37,37,38,38,1
38,x*x*x*x,25,-10,-0.039500004492876745,0.01142857142857143,-0.03949953029015815,0.01142857142857143,244.82980000000003,244.832,245.062,244.832,-0.9874816200496668,0.28571428571428575,0.000010920342077993946,0,6122.700000000001,6120.8,6129.8,6120.8,((0)-((3)-(6))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,38,38,39,39,1
39,x*x*x*x,25,-10,-0.03949960544373284,0.01142857142857143,-0.0394990605803163,0.01142857142857143,245.02520000000004,244.832,245.292,244.832,-0.9874754933995556,0.28571428571428575,0.000008724353582589234,0,6127.55,6120.8,6132.8,6120.8,((1)-((9)-(4))),(0),AddTreeWithMult|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,39,39,40,40,1
40,x*x*x*x,25,-10,-0.039499785363024446,0.01142857142857143,-0.03949946902365704,0.01142857142857143,244.9371,244.832,245.092,244.832,-0.9874775356162593,0.28571428571428575,0.000005002388868245277,0,6128.8,6120.8,6131.8,6120.8,((5)-((9)-(7))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,40,40,41,41,1
41,x*x*x*x,25,-10,-0.039499921783100245,0.01142857142857143,-0.03949944860149,0.01142857142857143,244.87030000000007,244.832,245.102,244.832,-0.987479577832963,0.28571428571428575,0.000008232438721531343,0,6127.55,6120.8,6130.8,6120.8,((4)-((8)-(6))),(0),FellTreeD|AddToLeafR|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithDiv|AddToLeafR|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,41,41,42,42,1
42,x*x*x*x,25,-10,-0.03950001470396027,0.01142857142857143,-0.03949950986799112,0.01142857142857143,244.82479999999998,244.832,245.072,244.832,-0.9874877466997778,0.28571428571428575,0.000005105541759276022,0,6123.55,6120.8,6126.8,6120.8,((1)-((9)-(x))),(0),FellTreeD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithSub|AddRandomSubTreeR,AddToLeafR|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,42,42,43,43,1
43,x*x*x*x,25,-10,-0.03949996181054764,0.01142857142857143,-0.03949957113449223,0.01142857142857143,244.8507,244.832,245.042,244.832,-0.9874693667494445,0.28571428571428575,0.000014064138188442785,0,6125.5,6120.8,6135.8,6120.8,((3)-((9)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithMult|SkipD,AddToLeafR|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,AddTreeWithAdd,43,43,44,44,1
44,x*x*x*x,25,-10,-0.039499933015292116,0.01142857142857143,-0.03949940775715593,0.01142857142857143,244.8648,244.832,245.122,244.832,-0.9874734511828519,0.28571428571428575,0.00001554647889122617,0,6123.68,6120.8,6133.8,6120.8,((2)-((9)-(6))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|DeleteNonTerminalR,AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,SkipD,44,44,45,45,1
45,x*x*x*x,25,-10,-0.03949989972715985,0.01142857142857143,-0.039499387334988895,0.01142857142857143,244.8811,244.832,245.132,244.832,-0.9874734511828519,0.28571428571428575,0.0000162412432691824,0,6125.370000000001,6120.8,6133.8,6120.8,((0)-((7)-(6))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,45,45,46,46,1
46,x*x*x*x,25,-10,-0.03949998815514312,0.01142857142857143,-0.039499550712325186,0.01142857142857143,244.8378,244.832,245.05200000000002,244.832,-0.9874857044830742,0.28571428571428575,0.000007680002034392165,0,6122.63,6120.8,6127.8,6120.8,((6)-((6)-(7))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,FellTreeD|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,FellTreeD,46,46,47,47,1
47,x*x*x*x,25,-10,-0.03950025241798458,0.01142857142857143,-0.03949981620049667,0.01142857142857143,244.7084,244.832,244.922,244.832,-0.9874918311331853,0.28571428571428575,0.000005061347521096332,0,6122.63,6120.8,6124.8,6120.8,((7)-((5)-(6))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddRandomSubTreeR|SkipD,FellTreeD|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,FellTreeD,47,47,48,48,1
48,x*x*x*x,25,-10,-0.039500074336688014,0.01142857142857143,-0.03949968713240099,0.01142857142857143,244.79559999999998,244.832,244.9852,244.832,-0.9874816200496668,0.28571428571428575,0.000011850113836021113,0,6122.98,6120.8,6129.8,6120.8,((2)-((9)-(2))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,48,48,49,49,1
49,x*x*x*x,25,-10,-0.03949979291922625,0.01142857142857143,-0.03949930564632074,0.01142857142857143,244.9334,244.832,245.172,244.832,-0.987479577832963,0.28571428571428575,0.000010155574955745752,0,6126.13,6120.8,6130.8,6120.8,((x)-((6)-(6))),(0),FellTreeD|SubXD|AddTreeWithSub|AddTreeWithSub|SkipD,FellTreeD|AddTreeWithSub|SkipD|AddTreeWithAdd|FellTreeD,AddTreeWithSub,FellTreeD,49,49,50,50,1
50,x*x*x*x,25,-10,-0.039499885227421254,0.01142857142857143,-0.03949934649065481,0.01142857142857143,244.88819999999998,244.832,245.15200000000002,244.832,-0.9874734511828519,0.28571428571428575,0.000011716819749940537,0,6125.55,6120.8,6133.8,6120.8,((x)-((6)-(9))),(0),AddTreeWithSub|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|MutateTerminalR|SkipD|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddToLeafR,50,50,51,51,1
51,x*x*x*x,25,-10,-0.03949990401581493,0.01142857142857143,-0.03949926480198667,0.01142857142857143,244.87900000000002,244.832,245.192,244.832,-0.9874816200496668,0.28571428571428575,0.0000042101375898693925,0,6127.55,6120.8,6129.8,6120.8,((1)-((9)-(1))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|MutateTerminalR|SkipD|AddTreeWithAdd|FellTreeD,FellTreeD,AddTreeWithAdd,51,51,52,52,1
52,x*x*x*x,25,-10,-0.03949987134034767,0.01142857142857143,-0.03949942817932297,0.01142857142857143,244.895,244.832,245.112,244.832,-0.9874754933995556,0.28571428571428575,0.000019543804012101036,0,6123.120000000001,6120.8,6132.8,6120.8,(((3)-(9))+((7)-(1))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithAdd,AddToLeafR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|FellTreeD,FellTreeD,AddTreeWithAdd,52,52,53,53,1
53,x*x*x*x,25,-10,-0.039499823621036934,0.011455015217431898,-0.03949921520529529,0.011600537744832612,244.91836642857143,244.60539999999997,245.21628571428573,243.3584,-0.9874734511828519,0.3029109173404038,0.000012740006257526581,0.010404511963296788,6127.05,6098.139999999999,6133.8,5973.44,(((3)-(9))-((6)+(1))),(((9)*((6)*(6)))+((6)-(6))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithAdd,AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithSub,SkipD,53,53,54,54,1
