gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
54,x*x*x*x,25,-10,-0.03949990991733496,0.011282757155927333,-0.03949941650951323,0.011470769460574716,244.87611023809524,246.0815,245.11771428571427,244.4704,-0.9874877466997778,0.28571428571428575,0.0000071365856127190805,0,6122.9400000000005,6120.8,6126.8,6120.8,((0)-((6)-(0))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd|FellTreeD,AddTreeWithSub,AddTreeWithAdd,54,54,55,55,1
55,x*x*x*x,25,-10,-0.04203133988670949,0.011454571764661952,-0.03949971829079299,0.011481132251619772,229.48598571428573,244.6092,244.96994285714285,244.3816,-0.9874857044830742,0.28834232686670286,0.000011208824407710943,0.00046224821966172925,6123.18,6103.53,6127.8,6098.28,((5)-((5)-(7))),(((5)-((6)+(1)))-((7)*(5))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|MutateTerminalR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,AddToLeafR,55,55,56,56,1
56,x*x*x*x,25,-10,-0.039499986317148086,0.011326005470806805,-0.03949959155665926,0.011508019493250185,244.83869999999996,245.7109,245.032,244.1512,-0.9874857044830742,0.28834232686670286,0.000009867182983467297,0.0026036165863217112,6123.49,6119.48,6127.8,6098.28,((4)-((x)-(9))),(((7)+((4)*(2)))+((7)-(6))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|MutateTerminalR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,AddTreeWithAdd,56,56,57,57,1
57,x*x*x*x,25,-10,-0.03950005922428441,0.011465693093339809,-0.039499714089661485,0.011608940007842114,244.80300000000003,244.5139,244.972,243.2864,-0.9874918311331853,0.2932949941184159,0.000006260784948487166,0.003609729773239056,6122.4400000000005,6100.53,6124.8,6055.84,((6)-((5)-(5))),((7)+((7)*(8))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithSub,AddTreeWithAdd,57,57,58,58,1
58,x*x*x*x,25,-10,-0.03949956174029539,0.011546074742797396,-0.0394986725591426,0.0117921093414493,245.0466,243.82510000000002,245.482,241.7168,-0.9874142268984447,0.3164712362529642,0.000048737423547651634,0.014885529117183662,6135.75,6037.99,6162.8,5857.24,((7)*((1)-(7))),(((9)*(9))*((9)+(2))),FellTreeD|FellTreeD|AddTreeWithMult|AddTreeWithSub|SkipD,AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,SkipD,58,58,59,59,1
59,x*x*x*x,25,-10,-0.03950033247287936,0.011458119386821519,-0.0394998104822899,0.011695156562167413,244.6692,244.57879999999997,244.9248,242.54760000000002,-0.9874877466997778,0.30124913643407963,0.000009317851033693584,0.0083943125398045,6120.39,6092.639999999999,6126.8,5987.68,((2)-((3)-(5))),(((7)*((7)*(x)))+((2)-(x))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|MutateTerminalR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,AddToLeafR,59,59,60,60,1
60,x*x*x*x,25,-10,-0.039499976106064566,0.011503433258024163,-0.03949948944582408,0.011618929364975638,244.8437,244.19050000000004,245.082,243.2008,-0.987479577832963,0.2975661444815805,0.000013585126786754618,0.00622277851204223,6122.99,6072.6,6130.8,6019.24,((x)-((8)-(4))),(((x)+((8)+(9)))*((x)+(1))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,60,60,61,61,1
61,x*x*x*x,25,-10,-0.03949997324696118,0.011478506544429301,-0.039499697751927854,0.012185055174860434,244.84510000000003,244.40410000000003,244.98,238.34959999999998,-0.9874836622663704,0.32147058274361906,0.000012060334331226242,0.01726341871639087,6125.1900000000005,6036.29,6128.8,5814.4,((0)-((8)-(0))),(((3)+((6)*(4)))*((5)*(8))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,ReplaceBranchR,61,61,62,62,1
62,x*x*x*x,25,-10,-0.03949977249705921,0.011441501577758277,-0.039499366912821854,0.011546763261571787,244.94340000000003,244.72120000000004,245.142,243.81920000000002,-0.9874754933995556,0.290116137946487,0.000012699019535967001,0.0019925105728152833,6123.8,6102.51,6132.8,6083.08,((x)-((7)-(7))),((x)+((5)*(7))),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|SkipD,SkipD|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,SkipD,62,62,63,63,1
63,x*x*x*x,25,-10,-0.0394998145667233,0.011355798495061338,-0.03949932606848778,0.011560300240864876,244.9228,245.4556,245.162,243.7032,-0.9874816200496668,0.28883245887559056,0.00000796771660463708,0.0014577829913520433,6124.6900000000005,6111.4400000000005,6129.8,6094.08,((2)-((9)-(x))),((8)*(5)),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|SkipD,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,63,63,64,64,1
64,x*x*x*x,25,-10,-0.03949992300843027,0.011468015385477157,-0.03949942817932297,0.011586347256194339,244.86970000000002,244.49400000000003,245.112,243.48,-0.987479577832963,0.29224937916612215,0.000015653614346807473,0.003265859169075874,6122.81,6106.5599999999995,6130.8,6064.8,(((5)-(7))+((6)-(x))),((x)*(x)),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|MultXD,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,64,64,65,65,1
65,x*x*x*x,25,-10,-0.03949989564272644,0.01143726543682432,-0.0394994575872435,0.01150092424893105,244.88310000000004,244.7575,245.09760000000003,244.21199999999996,-0.9874673245327409,0.2883376589428087,0.000012630412769618649,0.0013187415123321225,6127.55,6112,6136.8,6098.32,(((0)-(9))-((9)-(2))),(((6)-(0))*((2)*(x))),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|MutateNonTerminalR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,65,65,66,66,1
66,x*x*x*x,25,-10,-0.039499626887008234,0.01136662807849581,-0.03949901973598222,0.011706406258752357,245.0147,245.3628,245.312,242.45120000000003,-0.9874652823160371,0.2986724424444984,0.00001385746993271215,0.007125720371918256,6130.09,6097.87,6137.8,6009.76,(((2)-(8))-((6)+(5))),(((9)+(x))*((7)+(9))),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,66,66,67,67,1
67,x*x*x*x,25,-10,-0.03949975860998563,0.011440626342028122,-0.03949858760292772,0.011516608473215456,244.95019999999997,244.7287,245.52360000000002,244.07760000000002,-0.9874019735982225,0.2865311723957653,0.00005158109004378384,0.00023374991090538373,6139.01,6116.15,6168.8,6113.8,(((x)-(6))*((8)-(x))),((9)+(0)),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,67,67,68,68,1
68,x*x*x*x,25,-10,-0.039500023893935435,0.011404753346901435,-0.039499380799895435,0.01166598203782886,244.82029999999997,245.0361,245.1352,242.79760000000002,-0.9874836622663704,0.2941165487237897,0.000009667690807208792,0.004031370300433897,6123.25,6099.7300000000005,6128.8,6048.8,(((x)+(0))-((8)-(x))),(((4)*(8))*((6)-(2))),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|SubXD,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,68,68,69,69,1
69,x*x*x*x,25,-10,-0.039499803947196446,0.011413844128685329,-0.03949942817932297,0.011475437384468885,244.92800000000003,244.9582,245.112,244.43040000000002,-0.987479577832963,0.2869746251657114,0.000007268302517667231,0.000728475351454624,6126.8,6116.24,6130.8,6110,(((5)-(5))+((8)-(x))),((6)+(8)),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,69,69,70,70,1
70,x*x*x*x,25,-10,-0.03949983662266371,0.011418033590380343,-0.03949908100248334,0.011562447485856194,244.91199999999998,244.92230000000004,245.282,243.6848,-0.9874673245327409,0.28751610433743496,0.0000151379189755916,0.0009195326284948325,6127.4400000000005,6112.83,6136.8,6105.36,(((3)-(7))-((9)+(3))),((8)*(x)),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|MutateNonTerminalR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,70,70,71,71,1
71,x*x*x*x,25,-10,-0.04709335932394458,0.011458201075489666,-0.03949916269115148,0.01150955990813526,199.1173,244.5781,245.24200000000002,244.13800000000003,-0.9874611978826298,0.28794555333569843,0.00001864918480196423,0.0006162484623122939,6128.0599999999995,6109.48,6139.8,6101.68,(((4)-(8))-((7)+(8))),((8)*((3)+(x))),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|MultXD|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,71,71,72,72,1
72,x*x*x*x,25,-10,-0.039499727976735066,0.01141003977071158,-0.03949898787740165,0.011536820583677207,244.9652,244.99079999999998,245.3276,243.90439999999995,-0.9874746765128741,0.2910730623447916,0.000009929458388736448,0.0021474428615831766,6126.9,6099.219999999999,6133.2,6074.88,(((x)-(0))-((x)*(7))),(((9)*(8))-((9)*(0))),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,72,72,73,73,1
73,x*x*x*x,25,-10,-0.03949959625375768,0.011440579662789179,-0.03949727241537054,0.011544802733536235,245.02969999999996,244.72909999999996,246.16760000000002,243.83599999999998,-0.9873550026140374,0.29044289261907885,0.000069270364985143,0.0020680729196721178,6142.65,6106.179999999999,6191.8,6080.28,(((3)-(8))*((9)-(x))),((9)*(7)),FellTreeD|FellTreeD|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,73,73,74,74,1
74,x*x*x*x,25,-10,-0.039499319737615994,0.011535560244225782,-0.03949799862763038,0.011676484866590738,245.16510000000002,243.91520000000003,245.812,242.70759999999999,-0.987391762514704,0.3052822226786415,0.00004860717725715139,0.010045441902656086,6144.59,6043.21,6173.8,5953.12,(((3)-(6))*((9)-(x))),((3)*((x)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|ReplaceBranchR|MutateNonTerminalR,SubXD,ReplaceBranchR,74,74,75,75,1
75,x*x*x*x,25,-10,-0.039500128659652335,0.011612475960191947,-0.03949916269115149,0.01265609537502101,244.769,243.2561,245.24200000000002,234.3132,-0.9874632400993334,0.3375655843307132,0.0000194839603722692,0.025809289335524625,6126.120000000001,6008.16,6138.8,5676.48,(((0)-(7))-((4)+(7))),((8)*((x)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR,AddTreeWithSub,SkipD,75,75,76,76,1
76,x*x*x*x,25,-10,-0.039499449418376686,0.01145338144406894,-0.03949791693896223,0.011549143902757813,245.1016,244.61939999999998,245.852,243.79879999999997,-0.9873897202980003,0.292548126295349,0.0000611825175189353,0.003303744914724468,6130.849999999999,6103.92,6174.8,6062.24,(((4)-(8))*((7)-(x))),(((9)+((8)*(5)))+((1)-(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,76,76,77,77,1
77,x*x*x*x,25,-10,-0.039499936691282184,0.011495777862837725,-0.039499152071624626,0.011722277199992534,244.86300000000003,244.2561,245.24720000000002,242.3152,-0.9874836622663704,0.2981216274249866,0.000009508107135643414,0.005777486342651585,6124.620000000001,6083.099999999999,6128.8,6014.48,(((0)-(3))*((2)-(x))),(((8)*((8)-(7)))-((8)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|AddRandomSubTreeR|SubXD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,SkipD,77,77,78,78,1
78,x*x*x*x,25,-10,-0.03949971123055809,0.011460791773250932,-0.03949901973598222,0.011553671788935157,244.9734,244.5559,245.312,243.76,-0.9874857044830742,0.29083966615008316,0.000004528321017306956,0.001624801876412414,6125.55,6095.98,6127.8,6076.88,(((2)-(7))-((0)-(x))),((8)*((9)-(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|ReplaceBranchR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,78,78,79,79,1
79,x*x*x*x,25,-10,-0.03949960135929944,0.011504646918236647,-0.039498914357600313,0.012018783725750139,245.02719999999997,244.1801,245.36360000000002,239.7744,-0.9874469023657039,0.3143519988050116,0.000025456911804854766,0.014652083200336816,6129.08,6063.700000000001,6146.8,5875.4,(((3)-(2))-((9)*(3))),(((7)*((7)-(7)))-((x)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|ReplaceBranchR|MutateNonTerminalR,DeleteTerminalR,ReplaceBranchR,79,79,80,80,1
80,x*x*x*x,25,-10,-0.03949982641158018,0.011459998226188923,-0.03949904015814926,0.011494295797001328,244.917,244.5627,245.30200000000002,244.2688,-0.9874754933995556,0.29027951528278284,0.000011545275571681312,0.0018924401927773113,6127.73,6100.73,6132.8,6081.68,(((0)-(8))-((2)-(x))),(((8)*((8)+(x)))-((x)-(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,SkipD,80,80,81,81,1
81,x*x*x*x,25,-10,-0.0394997388004836,0.01156411626864836,-0.0394990605803163,0.011917956569636092,244.95989999999998,243.67050000000003,245.292,240.6384,-0.9874632400993334,0.3215312657542432,0.000013988314836355483,0.017046790399926952,6131.05,6029.45,6138.8,5813.88,(((2)-(9))-((9)-(x))),(((9)+((8)*(9)))*((9)-(x))),DeleteTerminalR|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,81,81,82,82,1
82,x*x*x*x,25,-10,-0.039499610345052935,0.01150318819201972,-0.03949865213697556,0.011758220213977632,245.02280000000002,244.19259999999997,245.49200000000002,242.0072,-0.987412184681741,0.29620777862837727,0.00004072027159953387,0.004386501466682208,6134.8099999999995,6083.91,6163.8,6030.88,(((1)-(6))*((7)-(x))),((9)*((6)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithSub,MutateNonTerminalR,82,82,83,83,1
83,x*x*x*x,25,-10,-0.03949965364004706,0.011416656552831566,-0.03949901973598222,0.01151506805833038,245.0016,244.9341,245.312,244.09079999999997,-0.9874734511828519,0.2891592135481824,0.000012238837330729371,0.001858707274175349,6128.1900000000005,6114.74,6133.8,6091.28,(((4)-(6))+((9)-(x))),((8)+((8)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,83,83,84,84,1
84,x*x*x*x,25,-10,-0.03949988869918965,0.011437253767014589,-0.039499289308587114,0.011516048322348156,244.88649999999998,244.75760000000002,245.18,244.08239999999998,-0.9874738596261927,0.28880911925611974,0.000018421534257924354,0.0020128745104735146,6125.18,6111.01,6133.6,6094.28,(((2)-(x))*((6)-(x))),(((4)*((9)+(7)))-((x)-((x)+(x)))),FellTreeD|DeleteTerminalR|DivXD|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|AddXD,FellTreeD,SkipD,84,84,85,85,1
85,x*x*x*x,25,-10,-0.03950009292086002,0.01167334568777191,-0.03949897889164815,0.013541880613178485,244.7865,242.73449999999997,245.332,226.72279999999998,-0.9874775356162593,0.38792314730100647,0.000014726785123227719,0.051204540799098,6125.360000000001,5903.05,6131.8,5244.96,(((1)-(4))-((6)-(x))),(((8)*((x)*(5)))-((3)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|DeleteNonTerminalR,AddTreeWithSub,MutateNonTerminalR,85,85,86,86,1
86,x*x*x*x,25,-10,-0.039499969366749446,0.011167333012802563,-0.039499469023657044,0.011475873057365672,244.847,247.07058333333333,245.092,244.42666666666668,-0.9874857044830742,0.28681902770257234,0.000007476000941319502,0.0008308325391665678,6123.77,6120.79,6127.8,6111.333333333334,(((0)-(x))-((3)-(x))),(((5)-(1))/((9)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,86,86,87,87,1
87,x*x*x*x,25,-10,-0.039499710005228075,0.01141074076969916,-0.03949841115540453,0.011810687678548091,244.97400000000002,244.98479305555557,245.61,241.55759999999998,-0.9873999313815188,0.30238344194036265,0.0000528763624935066,0.008785760706606785,6132.92,6083.38,6169.8,5977.96,(((9)-(7))*((8)-(x))),(((9)*((7)*(9)))-((4)-(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,87,87,88,88,1
88,x*x*x*x,25,-10,-0.03949989850182982,0.011418208637526375,-0.03949944860149,0.01153915454562429,244.8817,244.9208,245.102,243.8844,-0.9874918311331853,0.2907463076721997,0.000003978707778957895,0.0022974355344914476,6123.13,6105.27,6124.8,6077.68,(((1)*(1))-((3)-(x))),((8)*((8)+(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|AddTreeWithDiv,SubXD,AddTreeWithDiv,88,88,89,89,1
89,x*x*x*x,25,-10,-0.03949961626748138,0.0115142511716489,-0.039498223271467785,0.012129226805086171,245.01989999999998,244.09779999999998,245.702,238.828,-0.9874305646320742,0.3177082360849189,0.00003380591055563182,0.015834912253575396,6130.370000000001,6042.34,6154.8,5846.64,(((9)-(3))-((5)*(8))),(((9)-((3)*(8)))*((6)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,SubXD,MutateNonTerminalR,89,89,90,90,1
90,x*x*x*x,25,-10,-0.039498932737550646,0.011523773736393003,-0.03949620147693112,0.01179985809511362,245.3546,244.0162,246.692,241.65040000000002,-0.987371340347667,0.3090258976417649,0.00005404483843772194,0.01131926428193038,6144.3,6066.3099999999995,6183.8,5921.04,(((2)-(7))*((9)-(x))),(((7)*((3)*(8)))*((3)+(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,90,90,91,91,1
91,x*x*x*x,25,-10,-0.03949992790975036,0.011470057602180856,-0.03949828372108221,0.011695716713034715,244.8673,244.47650000000002,245.6724,242.5428,-0.9873835936478892,0.29244543196967726,0.00007394566352006292,0.0029963741867123214,6131.22,6092.77,6177.8,6063.12,(((3)-(4))-((7)*(8))),(((4)-((0)*(5)))*((5)-((0)-(x)))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|AddTreeWithSub|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,91,91,92,92,1
92,x*x*x*x,25,-10,-0.03949968100575088,0.01155824635435144,-0.0394990033982486,0.012177073025001404,244.9882,243.72080000000003,245.32,238.41800000000003,-0.9874346490654816,0.3157897193644156,0.000012753639226898774,0.014779481715328838,6146.3,6052.97,6152.8,5863.08,(((9)-(5))-((6)*(6))),(((7)*((7)-(0)))-((x)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,92,92,93,93,1
93,x*x*x*x,25,-10,-0.03949961585903803,0.011433752824093962,-0.039498529603973334,0.011505312097391567,245.02009999999999,244.7876,245.55200000000002,244.17440000000002,-0.9874101424650372,0.28822562876934865,0.00004237277650237857,0.0013671014835090855,6134.5599999999995,6113.46,6164.8,6099.28,(((0)-(6))*((7)-(x))),(((8)*((5)-(2)))+((x)-(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddToLeafR,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,AddToLeafR,MutateNonTerminalR,93,93,94,94,1
94,x*x*x*x,25,-10,-0.039499716744543195,0.011600327688257372,-0.03949877466997778,0.012679575032208679,244.9707,243.3602,245.43200000000002,234.11199999999997,-0.9874550712325186,0.3316559926806954,0.000025721803833460095,0.022852867403950747,6133.05,6020.51,6142.8,5727.12,(((4)-(6))*((4)-(x))),(((x)*((9)-(3)))-((x)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MultXD|MutateNonTerminalR,AddTreeWithMult,SkipD,94,94,95,95,1
95,x*x*x*x,25,-10,-0.03949944247483989,0.011460430009149133,-0.039498344170696635,0.011623270534197212,245.105,244.55900000000003,245.64280000000002,243.16359999999997,-0.9874162691151483,0.2933696809007227,0.000040278864618115415,0.004144446138269517,6143.74,6107.9400000000005,6161.8,6055.2,(((1)-(5))*((8)-(x))),((5)+((x)*(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,95,95,96,96,1
96,x*x*x*x,25,-10,-0.03949930585054241,0.011522746793136286,-0.039497936544242586,0.012060608323841893,245.17190000000002,244.025,245.84239999999997,239.416,-0.9873754247810744,0.31368448568814544,0.00007586396821639355,0.014141066920732144,6143.91,6062.76,6181.8,5881.12,(((1)-(8))-((6)*(9))),(((9)*((5)*(x)))+((8)-(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|MutateTerminalR|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,96,96,97,97,1
97,x*x*x*x,25,-10,-0.03949934444843811,0.011418547062008703,-0.0394968549862763,0.01224359094049331,245.153,244.9179,246.372,237.84800000000004,-0.9873795092144818,0.34725619433500765,0.00005135324624783926,0.030159994039143913,6153.34,5980.98,6179.8,5593.44,(((7)-(8))*((8)-(x))),(((x)-((5)*(4)))*((9)-((x)*(x)))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,97,97,98,98,1
98,x*x*x*x,25,-10,-0.039499543564566725,0.011352449259667273,-0.039497154783688405,0.011500830890453164,245.05550000000002,245.4843,246.2252,244.2128,-0.98735091818063,0.28871576077823635,0.00007057022767441071,0.0011434825701269885,6142.09,6109.74,6193.8,6095.08,(((9)-(1))-((9)*(9))),(((5)*((7)-(9)))-((9)+(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|AddTreeWithDiv|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,98,98,99,99,1
99,x*x*x*x,25,-10,-0.03949844709841851,0.01144055632316971,-0.039494424748398906,0.011510260096719384,245.59240000000003,244.7293,247.562,244.13200000000003,-0.98735091818063,0.28871576077823635,0.00007057022767441071,0.0011434825701269885,6142.09,6109.74,6193.8,6095.08,(((9)-(1))-((9)*(9))),(((5)*((7)-(9)))-((9)+(x))),FellTreeD|DeleteTerminalR|AddTreeWithSub|SubXD|AddTreeWithMult,SkipD|ReplaceBranchR|SubXD|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,99,99,99,99,1
