gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
48,x*x*x*x,25,-10,-0.03844603033917135,0.01142857142857143,-0.035249312181414194,0.01142857142857143,760.923,244.832,2326.2408,244.832,-0.6625040844334075,0.28571428571428575,0.1624959155665926,0,45907,6120.8,165259.6,6120.8,((((x)*(x))*((4)*(7)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,FellTreeD,48,48,49,49,0
49,x*x*x*x,25,-10,-0.03780873170173834,0.011432842578934595,-0.03307553342700301,0.011435853389846333,1072.9852,244.7954,3390.6619999999994,244.7696,-0.35761371062606195,0.28644248184177606,0.3096984961784028,0.00032054965669732564,87391.78,6117.14,314553.44,6114.56,((((9)*(9))*((7)*(x)))*((x)*((x)-(x)))),((1)+(7)),MultXD|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,AddTreeWithAdd,49,49,50,50,0
50,x*x*x*x,25,-10,-0.0343371105492746,0.011441431558899866,-0.0222092406221409,0.011462927348432515,2772.9130999999998,244.7218,8711.4944,244.5376,-0.22500408443340744,0.28771215714099,0.35727159615051857,0.0009300967697403162,141188.36,6113.02,379487.6,6103.68,((((x)*(9))*((x)*(x)))*((7)*((x)-(x)))),((6)*(4)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|ReplaceBranchR,SubXD,AddTreeWithAdd,50,50,51,51,0
51,x*x*x*x,25,-10,-0.0384181896157365,0.011450253935059844,-0.03517337276173049,0.01147637096924772,774.5556,244.64620000000002,2363.4256,244.42239999999998,-0.6778292053326362,0.2869746251657114,0.15483097267747975,0.0004056239644152158,44032.71,6113.99,157755.44,6110,((((x)*(x))*((8)*(6)))*((6)*((x)-(x)))),((6)+(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,51,51,52,52,0
52,x*x*x*x,25,-10,-0.036862778149915044,0.011467431894990386,-0.032451745686838326,0.011542095337677617,1536.1845999999996,244.49900000000002,3696.1083999999996,243.85920000000002,-0.5951929486341655,0.2893926097428908,0.21497243575861572,0.0016943192022233656,96993.56,6110.820000000001,198219.44,6089.28,((((x)*(x))*((8)*(9)))*((5)*((x)-(x)))),((8)*(6)),MultXD|SubXD|SubXD|MutateTerminalR|AddTreeWithAdd,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,SubXD,ReplaceBranchR,52,52,53,53,0
53,x*x*x*x,25,-10,-0.038450281009018435,0.011443858879324833,-0.0353000049013201,0.011466568329069964,758.8416000000001,244.701,2301.4183999999996,244.50639999999999,-0.5676475297346752,0.2870633157197006,0.2099607604196454,0.0005877940021281661,57492.119999999995,6115.74,211707.44,6109.24,((((6)*(8))*((8)*(x)))*((x)*((x)-(x)))),((8)+(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteTerminalR,53,53,54,54,0
54,x*x*x*x,25,-10,-0.036908282618285194,0.011456357245551474,-0.029134554306626582,0.011508486285639602,1513.9026999999999,244.5939,5320.4176,244.1472,-0.1454233106783427,0.28813227029146526,0.4210349409839327,0.0010953751973839356,109206.95999999999,6111.4,418455.44,6100.08,((((x)*(x))*((x)*(x)))*((6)*((x)-(x)))),((6)*(5)),MultXD|DeleteMaliciousR|FellTreeD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,FellTreeD,54,54,55,55,0
55,x*x*x*x,25,-10,-0.0391946487795713,0.011486021901898916,-0.0382817483008757,0.011573557144724316,394.3515,244.33970000000002,841.3659999999999,243.5896,-0.9125040844334075,0.2917032320705044,0.03745862461797648,0.002521050580499829,15330.5,6098.96,42843.6,6069.48,((((x)*(8))*((1)*(x)))*((x)*((x)-(x)))),((9)*(9)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,ReplaceBranchR,55,55,56,56,0
56,x*x*x*x,25,-10,-0.03316142456868383,0.01146115353735273,-0.021579108940007842,0.011507412663143946,3348.6041999999998,244.5528,9020.047199999999,244.1564,-0.1454233106783427,0.28918255316765323,0.4086659185412805,0.0017524909877319908,167346.12,6111.9400000000005,418455.44,6091.08,((((x)*(6))*((x)*(x)))*((x)*((x)-(x)))),((5)*(9)),MultXD|DeleteMaliciousR|SubXD|AddTreeWithSub|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,AddTreeWithDiv,56,56,57,57,0
57,x*x*x*x,25,-10,-0.03869107428767481,0.011443322068077005,-0.0366140569860149,0.011489534514629276,640.9338,244.70559999999998,1657.9743999999998,244.3096,-0.7125040844334074,0.2867645685904737,0.1312909949965688,0.000315651995052916,45908.469999999994,6114.5599999999995,140776.4,6111.8,((((x)*(x))*((x)*(x)))*((4)*((6)-(x)))),((9)+(x)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,AddTreeWithMult,AddTreeWithAdd,57,57,58,58,0
58,x*x*x*x,25,-10,-0.03896378761763168,0.011460149933715484,-0.037356464024310546,0.011506712474559819,507.3959000000001,244.5614,1294.4444,244.16240000000002,-0.8625040844334074,0.2882723080082903,0.06248503285134479,0.0009434943140328572,21431.800000000003,6110.9,67326.8,6098.88,((((x)*(x))*((3)*(4)))*((x)*((x)-(x)))),((4)*(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,AddTreeWithMult,AddTreeWithAdd,58,58,59,59,0
59,x*x*x*x,25,-10,-0.03795965805123514,0.011445422633829382,-0.03375002940792053,0.01146479451799018,999.0820000000001,244.68759999999997,3060.3856,244.5216,-0.6375040844334073,0.28670855350374375,0.17499591556659266,0.000225333117385913,48967.4,6114.629999999999,177501.2,6112.28,((((x)*(5))*((x)*(6)))*((x)*((x)-(x)))),((4)+(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,59,59,60,60,0
60,x*x*x*x,25,-10,-0.039499420623121166,0.01146576311219822,-0.03949777398379297,0.011529491943163361,245.1157,244.5133,245.922,243.96720000000002,-0.9873856358645929,0.2889724965924156,0.00005585378680554491,0.0014433442853316071,6135.8,6110.59,6176.8,6092.88,((((x)*(x))*((0)*(x)))*((9)-((7)*(8)))),((6)*(7)),MultXD|DeleteMaliciousR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,FellTreeD,60,60,61,61,0
61,x*x*x*x,25,-10,-0.03920703747876095,0.011454513415613274,-0.03859897317344138,0.011537707489217099,388.28520000000003,244.6097,686.0324,243.8968,-0.925,0.29044289261907885,0.02953483529218517,0.0020101090598494535,16832.95,6106.0599999999995,36724.8,6080.28,((((x)*(7))*((x)*(x)))*((x)-((x)+(x)))),((9)*(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddXD,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|MultXD|ReplaceBranchR,AddXD,AddTreeWithAdd,61,61,62,62,0
62,x*x*x*x,25,-10,-0.03643077538883806,0.01147910170472581,-0.029394890373807346,0.011631719476445656,1747.7208,244.39899999999997,5192.9404,243.09120000000001,-0.2894910795974382,0.2905129114774913,0.3417543164870046,0.0017624132870022542,97443.92,6100.29,347910.64,6079.68,((((x)*(x))*((5)*(x)))*((x)*((x)-(x)))),((8)*(8)),MutateNonTerminalR|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MutateNonTerminalR,DeleteTerminalR,62,62,63,63,0
63,x*x*x*x,25,-10,-0.03771460940563325,0.011466369942304464,-0.03275979120376422,0.011520389491569734,1119.0735,244.50810000000004,3545.2696,244.04519999999997,-0.4500040844334074,0.2885523834419405,0.2635770449335029,0.0009795404077302154,76827.61,6108.71,269313.2,6096.48,((((9)*(x))*((5)*(x)))*((x)*((x)-(x)))),((6)*(6)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,AddTreeWithAdd,63,63,64,64,0
64,x*x*x*x,25,-10,-0.03713325627368971,0.01145936805646321,-0.029999877466997775,0.01152510409470284,1403.7411999999997,244.5681,4896.7,244.00480000000005,-0.41250408443340747,0.28981272289336596,0.28749421375963646,0.0021337705938974153,76512.24999999999,6104.16,287675.6,6085.68,((((x)*(x))*((x)*(6)))*((8)*((x)-(x)))),((9)*(6)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,AddTreeWithAdd,64,64,65,65,0
65,x*x*x*x,25,-10,-0.03950022198895569,0.01145702242470639,-0.03949991831133185,0.011503444927833902,244.72330000000002,244.5882,244.872,244.1904,-0.9874877466997778,0.2885523834419405,0.000004528321017306955,0.0015530530746653884,6123.55,6110.889999999999,6126.8,6096.48,((((x)*(x))*((x)*(0)))*((5)-((1)*(6)))),((9)*(4)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,ReplaceBranchR,65,65,66,66,0
66,x*x*x*x,25,-10,-0.0354025109054372,0.011454478406184068,-0.024345182002352632,0.011479265082062104,2251.2248999999997,244.61,7665.600800000001,244.3976,-0.0015981571036465774,0.2874320817073399,0.4929488792427539,0.0005967644496330093,126812.45999999999,6113.84,488881.44,6106.08,((((7)*(x))*((x)*(x)))*((x)*((x)-(x)))),((4)*(5)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,ReplaceBranchR,66,66,67,67,0
67,x*x*x*x,25,-10,-0.03820108993105476,0.011469742517318,-0.03574911857927068,0.011610433743488248,880.8615000000001,244.4792,2081.5036,243.27360000000002,-0.6375040844334073,0.29224937916612215,0.16557031681740256,0.0032274263452990587,66643.06,6105.38,177501.2,6064.8,((((x)*(x))*((x)*(6)))*((x)*((5)-(x)))),((x)*(x)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,SubXD,DeleteNonTerminalR,67,67,68,68,0
68,x*x*x*x,25,-10,-0.03765900209122991,0.01148228756278358,-0.03260152104300092,0.01155012416677559,1146.3024,244.37170000000003,3622.7688,243.7904,-0.5750040844334073,0.2917032320705044,0.20515880688522847,0.002144071502262161,57434.560000000005,6095.78,208105.2,6069.48,((((x)*(x))*((5)*(7)))*((x)*((x)-(x)))),((9)*(9)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteNonTerminalR,68,68,69,69,0
69,x*x*x*x,25,-10,-0.0323324613422521,0.011458667867879085,-0.014423645199095954,0.011520716246242325,3910.3145,244.57409999999996,13147.007599999997,244.0424,0.22242655559152133,0.28995276061019115,0.5636335320600134,0.0022053705116772612,201808.66,6112.099999999999,629733.44,6084.48,((((x)*(x))*((x)*(x)))*((9)*((x)-(x)))),((7)*(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,AddTreeWithAdd,69,69,70,70,0
70,x*x*x*x,25,-10,-0.03824976310286237,0.011476149242862745,-0.03449952212129134,0.011565901749537876,857.0279999999999,244.42430000000002,2693.386,243.6552,-0.4875040844334074,0.2889724965924156,0.2499959155665926,0.0015024063125466658,67329.79999999999,6105.450000000001,250950.8,6092.88,((((6)*(x))*((x)*(7)))*((x)*((x)-(x)))),((6)*(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,DeleteNonTerminalR,70,70,71,71,0
71,x*x*x*x,25,-10,-0.03645002777414717,0.011456999085086919,-0.030022797673506733,0.011525477528614379,1738.2936000000002,244.5884,4885.4768,244.0016,-0.5125040844334073,0.2885523834419405,0.23749217157483193,0.001044050861518815,64272.15,6107.8,238709.2,6096.48,((((x)*(x))*((5)*(8)))*((x)*((x)-(x)))),((6)*(6)),MultXD|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithMult,DeleteNonTerminalR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteNonTerminalR,71,71,72,72,0
72,x*x*x*x,25,-10,-0.038936620213044046,-0.011398474989263774,-0.03724717520585544,-0.011331431932333774,520.6988,511.03610000000003,1347.9592000000002,510.46160000000003,-0.8247381061299176,0.29224937916612215,0.0813748211049674,0.0028814500336075397,26049.960000000003,6101.450000000001,85819.44,6064.8,((((x)*(4))*((x)*(x)))*((5)*((8)-(x)))),((x)*(x)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|AddRandomSubTreeR|FellTreeD|DeleteTerminalR|ReplaceBranchR,AddTreeWithMult,AddRandomSubTreeR,72,72,73,73,0
73,x*x*x*x,25,-10,-0.03567172367174226,0.011445854416789589,-0.025830861161939618,0.011475437384468887,2119.4011,244.68389999999997,6938.117200000001,244.43040000000002,-0.22500408443340744,0.2870633157197006,0.3784142070996094,0.0004535979636606073,101646.95999999999,6114.84,379487.6,6109.24,((((x)*(x))*((x)*(x)))*((7)*((9)-(x)))),((8)+(7)),AddRandomSubTreeR|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,DeleteNonTerminalR,73,73,74,74,0
74,x*x*x*x,25,-10,-0.03901888192719906,0.011455225274007134,-0.03757599741863809,0.011484446477584634,480.41820000000007,244.6036,1186.9468000000002,244.3532,-0.8017835903803424,0.2870633157197006,0.09285616259312512,0.0006187185945078676,28856.960000000003,6113.8,97059.44,6109.24,((((x)*(6))*((x)*(6)))*((5)*((x)-(x)))),((7)+(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteNonTerminalR,74,74,75,75,0
75,x*x*x*x,25,-10,-0.036906030461704355,0.01147945179901787,-0.030749734511828525,0.011558666467501916,1515.0054999999995,244.396,4529.522,243.71719999999996,-0.11250408443340743,0.29044289261907885,0.4175009829798448,0.0019862496120811937,133127.4,6103.139999999999,434574.8,6080.28,((((x)*(x))*((x)*(x)))*((8)*((9)-(x)))),((7)*(9)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,MutateTerminalR,75,75,76,76,0
76,x*x*x*x,25,-10,-0.03875555544209907,0.011482707675934054,-0.03651793474709188,0.011545596280598244,609.3597,244.36810000000003,1705.042,243.8292,-0.8017835903803424,0.28995276061019115,0.09283200071005182,0.002369082131501793,28874.710000000003,6104.02,97059.44,6084.48,((((4)*(9))*((x)*(5)))*((x)*((x)-(x)))),((8)*(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteNonTerminalR,76,76,77,77,0
77,x*x*x*x,25,-10,-0.03865181226310286,0.011450837425546615,-0.03604960707750621,0.011497189909815715,660.159,244.6412,1934.3652,244.24399999999997,-0.7673518167559796,0.2893926097428908,0.11089586272192993,0.0015194140078044346,32483.9,6108.69,113919.44,6089.28,((((5)*(6))*((x)*(x)))*((x)*((7)-(x)))),((6)*(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,FellTreeD,77,77,78,78,0
78,x*x*x*x,25,-10,-0.037924068340739775,0.011459181339507445,-0.036500663311985364,0.011529258546968653,1016.5090000000001,244.5697,1713.4991999999997,243.96919999999997,-0.7875150307149392,0.28946262860130334,0.08905996539845865,0.0016233747006160046,66330.12,6107.83,104046.24,6088.68,((((x)*(x))*((x)*(x)))*((9)*((2)-(8)))),((7)*(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteNonTerminalR,78,78,79,79,0
79,x*x*x*x,25,-10,-0.03321052519218706,0.011465599734861925,-0.01996744794558786,0.01154853707265157,3402.4492999999998,244.5147,10120.7712,243.804,0.22242655559152133,0.28981272289336596,0.5742954143369116,0.0017406182679596453,227823.06,6107.9800000000005,629733.44,6085.68,((((x)*(x))*((x)*(x)))*((9)*((x)-(x)))),((9)*(6)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|AddToLeafR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MultXD,DeleteNonTerminalR,79,79,80,80,0
80,x*x*x*x,25,-10,-0.038969688194353674,0.011474083686539576,-0.03712699973859626,0.011535420206508955,504.50660000000005,244.442,1406.8048,243.91639999999998,-0.8534312508168866,0.2893926097428908,0.06703403431197491,0.0017099660349029306,22533.210000000003,6105.93,71769.44,6089.28,((((5)*(3))*((9)*(x)))*((x)*((x)-(x)))),((6)*(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,SubXD,DeleteNonTerminalR,80,80,81,81,0
81,x*x*x*x,25,-10,-0.03864015529015815,0.011454980208002691,-0.03606090135276435,0.011556099109360124,665.867,244.60569999999998,1928.8347999999999,243.73919999999998,-0.7145564305319566,0.28883245887559056,0.13646974251731803,0.0014514766548324877,39534.96,6109.040000000001,139771.44,6094.08,((((4)*(x))*((x)*(8)))*((8)*((x)-(x)))),((5)*(8)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,DeleteNonTerminalR,81,81,82,82,0
82,x*x*x*x,25,-10,-0.03905868044209908,0.011447721586347256,-0.03830689942491178,0.01148878764680621,460.93030000000005,244.6679,829.0504000000001,244.31599999999997,-0.9000040844334074,0.2882723080082903,0.044456857271216337,0.0010242911389431954,24494.700000000004,6111.700000000001,48964.4,6098.88,((((x)*(3))*((3)*(x)))*((x)*((x)-(x)))),((8)*(4)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|DeleteTerminalR|ReplaceBranchR,SubXD,DeleteNonTerminalR,82,82,83,83,0
83,x*x*x*x,25,-10,-0.036865665844334074,0.01146115353735273,-0.030203855705136586,0.011535700281942608,1534.7706,244.5528,4796.819200000001,243.91400000000002,-0.5750150307149393,0.29044289261907885,0.19455012422132306,0.002283534183278424,71773.22,6108.3,208099.84,6080.28,((((x)*(7))*((5)*(x)))*((x)*((x)-(8)))),((9)*(7)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|SkipD|ReplaceBranchXR,DeleteMaliciousR,SkipD,83,83,84,84,0
84,x*x*x*x,25,-10,-0.03517063407881865,0.0114708628190526,-0.024270750274234226,0.011557266090333664,2386.4499,244.46959999999999,7788.780400000001,243.7292,0.12452729580229942,0.28981272289336596,0.5304293033124007,0.0017758424085302846,169967.72,6107.910000000001,559313.84,6085.68,((((x)*(x))*((8)*(x)))*((x)*((x)-(0)))),((6)*(9)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|SkipD|ReplaceBranchR,MultXD,DeleteNonTerminalR,84,84,85,85,0
85,x*x*x*x,25,-10,-0.039379688521108354,0.011444395690572665,-0.039019694321003794,0.011479871912168347,303.74420000000003,244.69639999999998,480.0204,244.39239999999998,-0.9395106848777938,0.2870633157197006,0.023986221279645267,0.0005887076849079053,12001.66,6116.3,29619.44,6109.24,((((5)*(3))*((x)*(x)))*((4)*((x)-(x)))),((3)*(5)),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|SkipD|AddTreeWithAdd,MultXD,DeleteNonTerminalR,85,85,86,86,0
86,x*x*x*x,25,-10,-0.038311756837341525,0.011448106690068526,-0.03637413410011763,0.011492288589726835,826.6719,244.66459999999998,1775.4559999999997,244.28599999999997,-0.6750081688668148,0.28981272289336596,0.15014605820212637,0.0018311038424642543,64277.15,6108.52,159136.8,6085.68,((((x)*(x))*((x)*(x)))*((9)*((3)-((x)-(x))))),((9)*(6)),MultXD|DeleteMaliciousR|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|SkipD|ReplaceBranchR,SubXD,FellTreeD,86,86,87,87,0
87,x*x*x*x,25,-10,-0.03946791759247157,0.011453591500644176,-0.0393740385243759,0.011514881341374614,260.5416,244.61759999999998,306.5108,244.09239999999997,-0.9750081688668149,0.28995276061019115,0.006229663756330726,0.0019209565538698685,7662.02,6108.09,12237.6,6084.48,((((1)*(3))*((x)*(x)))*((x)*((x)-((x)-(x))))),((8)*(7)),MultXD|DeleteMaliciousR|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|SkipD|ReplaceBranchR,SubXD,DeleteNonTerminalR,87,87,88,88,0
88,x*x*x*x,25,-10,-0.03887921145928636,0.011459776499803948,-0.03701910534570644,0.01155899322217451,548.8098,244.56459999999998,1459.6368,243.7144,-0.8625081688668148,0.28995276061019115,0.06249245744505623,0.002076159404481315,21424.340000000004,6109.66,67324.8,6084.48,((((4)*(3))*((x)*(x)))*((x)*((x)-((x)-(x))))),((7)*(8)),MultXD|DeleteMaliciousR|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchR,SubXD,ReplaceBranchXR,88,88,89,89,0
89,x*x*x*x,25,-10,-0.036541566461900404,-0.011414859402132306,-0.027669752319958177,-0.011383199208320104,1693.4703999999997,511.17650000000003,6037.6784,510.90520000000004,-0.41250816886681485,0.2889724965924156,0.28749245741994794,0.0014584174788888206,76511.54,6111.2699999999995,287673.6,6092.88,((((6)*(8))*((x)*(x)))*((x)*((x)-((x)-(x))))),((7)*(6)),MultXD|AddToLeafR|AddTreeWithDiv|SubXD|AddTreeWithMult,DeleteTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchR,AddTreeWithDiv,DeleteTerminalR,89,89,90,90,0
90,x*x*x*x,25,-10,-0.037572485418572735,0.011467525253468272,-0.03474949843157757,0.011543028922456454,1188.6665,244.4982,2570.9815999999996,243.85120000000003,-0.6750040844334074,0.29044289261907885,0.11232717057535188,0.0026362448889506703,80596.35,6101.86,159138.8,6080.28,((((x)*(x))*((x)*((9)*(3))))*((x)+((x)-((x)-(x))))),((7)*(9)),MultXD|AddXD|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchR,SubXD,DeleteNonTerminalR,90,90,91,91,0
91,x*x*x*x,25,-10,-0.03492646426937655,0.011468225442052395,-0.032770144425565285,0.011548256997217921,2484.3278,244.49220000000003,3540.2,243.8064,-0.4875040844334074,0.29224937916612215,0.18494790933305158,0.0032358520139060365,163729.4,6105.99,250950.8,6064.8,((((x)*(x))*((x)*((6)*(7))))*((x)+((x)-((x)-(x))))),((x)*(x)),MultXD|AddXD|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchR,SubXD,DeleteNonTerminalR,91,91,92,92,0
92,x*x*x*x,25,-10,-0.02903068062998301,0.01144297197378494,-0.0157501633773363,0.011506665795320874,5371.2808,244.70859999999996,11874.271999999999,244.16279999999998,-0.33750408443340735,0.2910730623447916,0.2563640948272887,0.0029161812368325942,177252.41000000003,6111.84,324400.4,6074.88,((((x)*(6))*((9)*((x)*(x))))*((x)+((x)-((x)-(x))))),((9)*(8)),MultXD|AddXD|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchR,SubXD,ReplaceBranchXR,92,92,93,93,0
93,x*x*x*x,25,-10,-0.033697439877140245,0.011456497283268297,-0.028145486701084826,0.011503444927833902,3086.1367999999998,244.5927,5804.7284,244.1904,-0.41250408443340747,0.2885523834419405,0.243618554672311,0.0012856289236656212,111202.04,6111.209999999999,287675.6,6096.48,((((6)*(8))*((x)*((x)*(x))))*((x)+((x)-((x)-(x))))),((4)*(9)),MultXD|AddXD|SubXD|SubXD|AddTreeWithMult,DeleteNonTerminalR|MutateTerminalR|MultXD|ReplaceBranchXR|DeleteTerminalR,SubXD,MutateTerminalR,93,93,94,94,0
94,x*x*x*x,25,-10,-0.026457964759628777,0.008470447897393558,-0.006395506764302592,0.011889295516925896,7068.7919,547.6605,18205.8896,240.884,0.41477123223125834,0.28918255316765323,0.6527221836712644,0.0015968456404453525,249992.55000000002,6109.93,836705.28,6091.08,((((x)*(x))*((x)*((x)*(x))))*((x)+((x)-((x)-(x))))),((5)*(9)),MultXD|AddXD|SubXD|SubXD|AddTreeWithMult,MutateTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchR,SubXD,MutateTerminalR,94,94,95,95,0
