gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.039345407871520056,0.011644556267154625,-0.03884830577702261,0.012149112160875332,320.53020000000004,242.98120000000003,563.9432,238.65760000000003,-0.95,0.3312638870735853,0.018760357288016057,0.022417682510734924,11254.400000000001,6018.58,24483.2,5730.48,(((x)*((x)*(5)))+((0)*((x)*(x)))),((((x)+(0))*((x)*(1)))+((6)+((5)-(3)))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,11,11,12,12,2
12,x*x*x*x,25,-10,-0.039024425728662916,0.011647100285676943,-0.037417790158149264,0.012731855779823366,477.7036,242.9594,1264.4152000000001,233.66400000000002,-0.8625,0.3375609164068189,0.06319043929167326,0.024752929279665433,20928.200000000004,5994.32,67328.8,5676.52,(((x)*((x)*(8)))+((4)*((x)*(x)))),(((x)*((4)*(2)))*((x)+((x)-(3)))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,12,12,13,13,2
13,x*x*x*x,25,-10,-0.03410746141377411,0.005881840842466906,-0.020111761417741843,0.01249659241555726,2935.9543,310.0117,9940.9156,235.68,0.18367346938775514,0.33690273913774116,0.552005023337812,0.027438522902311357,180946.26,5998.93,599838.4,5682.16,((((9)*(x))*((x)*(7)))+((4)*((x)*(x)))),(((x)+((4)*(7)))*((x)+((4)+(2)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|MutateTerminalR|AddRandomSubTreeR,MultXD,DeleteTerminalR,13,13,14,14,2
14,x*x*x*x,25,-10,-0.0337706707662798,0.0034873790217891274,-0.019713601227596144,0.011687781242414628,3793.5404777777776,333.9882,12906.568000000001,242.61079999999998,0.5326743171828769,0.2989991971170903,0.745471793168481,0.006570918680680638,277943.18,6091.030000000001,1047800.32,6006.96,((((4)+(x))*((x)*(x)))*((x)*((x)*(x)))),((((x)*(x))+((x)-(0)))*((0)*((3)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,14,14,15,15,2
15,x*x*x*x,25,-10,-0.03256836741523882,-0.00005233909666336523,-0.012752395073755368,0.011473383497955451,4936.114333333334,378.51150000000007,18530.616800000003,244.44799999999998,0.627906976744186,0.2859476819089942,0.7899761845425864,0.00011669809735423421,348285.96,6119.3,1315972,6118.8,((((9)*(3))*((x)*(8)))*((x)*((x)*(x)))),((((1)-(1))*((5)-(2)))+((4)-((0)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|SubXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,AddTreeWithDiv,DeleteTerminalR,15,15,16,16,2
16,x*x*x*x,25,-10,-0.036557416339622964,0.003423502593494217,-0.017702137094212683,0.014660548574416045,3747.7178999999996,2462.4197000000004,14269.8552,217.1368,0.553072625698324,0.3630617846406633,1.053355730405436,0.03698971802014851,277063.3,5926.889999999999,1095623.2,5458,((((5)*(9))*((x)*(x)))*((x)*((4)*(x)))),(((x)+((0)*(x)))*((4)+((8)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,16,16,17,17,2
17,x*x*x*x,25,-10,-0.03129720317427894,-0.013620144409232987,0.0012246934738796283,-0.011160539238568253,6548.95642857143,546.3226,24439.6488,508.9972,0.5638599138678909,0.2859476819089942,0.7773304741132584,0.0005480124096659132,284062.2628571429,6121.88,1122721.84,6118.8,((((x)*(x))*((2)*(8)))*((x)*((x)*(x)))),((((6)*(8))-((8)*((x)*(2))))*((0)*((x)+((1)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|FellTreeD|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,17,17,18,18,2
18,x*x*x*x,25,-10,-0.019731451654438258,0.0022936989777636177,-0.00023592327613395804,0.015635024366562732,19594.504599999997,3344.3109999999997,53795.6024,208.7864,0.8836355119292232,0.36110125660511233,0.8237057136080349,0.03743573309260961,1524617.76,5955.98,4208019.2,5474.8,((((x)*(x))*((5)*(x)))*((x)*((x)*(x)))),((((8)+(8))+((x)-((x)*(x))))*((x)*((x)-((0)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,18,18,19,19,2
19,x*x*x*x,25,-10,-0.035248460302514904,0.010606511826048517,-0.01522768645904667,0.016888875403775417,3572.5012,252.1414,12216.843200000001,198.042,0.12452729580229942,0.3232817372145565,0.5262528907916889,0.01877209656632547,180680.34,6040.07,559313.84,5798.88,((((x)*(2))+((6)*(x)))*((x)*((x)*(x)))),(((x)+((0)*(x)))*((x)+(x))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,19,19,20,20,2
20,x*x*x*x,25,-10,-0.024828232502562428,-0.0070767090495181305,-0.0022620561254840044,0.012993259517896824,8426.2903,14296.32668263889,21937.8824,231.424,0.5012943874515995,0.3268947103086432,0.7694720233767041,0.023266555220973314,432337.99,6057.8099999999995,981869.84,5767.92,((((x)*(7))*((2)*(x)))*((x)*((x)*(x)))),((((x)+(0))*((1)*(6)))*((1)*((x)+(x)))),AddTreeWithDiv|AddXD|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|MultXD|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,20,20,21,21,2
21,x*x*x*x,25,-10,-0.03600649358256561,-0.0011740357562328232,-0.008258646727919667,0.016605205668726777,NaN,NaN,NaN,200.47279999999998,0.8452915428402499,0.28936460219952576,0.8977750377252746,0.03694439336190341,810912.32,6276.33,3165075.84,6089.52,((((5)*(9))*((x)*(x)))*((x)*((x)*(x)))),(((x)*(4))*((6)-(7))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,21,21,22,22,2
22,x*x*x*x,25,-10,-0.028814497239494835,0.0026355849660301077,-0.000025919037147310585,0.01237550646974252,12071.95402857143,353.00739999999996,41056.4924,236.71759999999998,0.8350515463917526,0.32372518998450256,0.8686843889913624,0.010835819873064112,849079.21,6027.79,2968588,5795.08,((((6)*(x))*((x)*(9)))*((9)*((x)*(x)))),(((8)-((2)*(1)))*((x)*((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|AddXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,22,22,23,23,2
