gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
33,x*x*x*x,25,-10,-0.03487600552994064,-0.003602572543438637,-0.014236350637095083,0.015261030304161925,NaN,NaN,21105.568799999997,211.99120000000002,0.7095929457010263,0.6015460163937488,0.8476853432500073,0.3450062481123763,426756.8377777778,6686.85,1686129.84,3414.4,((((x)*(x))*((4)*(x)))*((6)*((x)*(x)))),((((7)+(0))*((x)*(9)))*((x)-((1)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,33,33,34,34,2
34,x*x*x*x,25,-10,-0.03523776617389898,0.0029912405056109126,-0.024891990291262135,0.011616128610639133,3637.7098000000005,341.1497,7712.2080000000005,243.22480000000004,0.22330097087378645,0.2887857796366489,1.0302034516012293,0.0016023035489192948,287858.2,6112.67,630442.4,6094.48,((((x)*(x))*((8)*(6)))+((7)*((x)*(x)))),(((6)*(6))-((0)+(x))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,34,34,35,35,2
35,x*x*x*x,25,-10,-0.03626947755428796,0.011559891797524136,-0.028125,0.012028212932016358,1826.7025428571426,243.7067,5814.76,239.69359999999998,-0.21249999999999994,0.3311238493567601,0.37296342201841887,0.02225949139028365,115333.20000000001,6017.71,385610.4,5731.68,((((9)+(7))*((x)*(x)))*((x)*((4)*(x)))),((((x)-(2))-((2)*(x)))*((1)*((1)*((7)+(0))))),AddTreeWithDiv|ReplaceBranchR|MultXD|DeleteNonTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,ReplaceBranchXR,35,35,36,36,2
36,x*x*x*x,25,-10,-0.03065791375149617,0.011873681311499901,-0.0088970386159703,0.01396479451799018,8191.027600000002,241.0178,29696.1776,223.0988,0.7877984084880637,0.4118229176391509,0.8377153888014763,0.03350059883236348,629010.2000000001,5876.139999999999,2307541.6,5040.16,((((7)*(6))*((9)*(x)))*((x)*((x)*(x)))),((((3)+(7))-((0)*(2)))*((x)*((x)+(0)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,ReplaceBranchXR,36,36,37,37,2
37,x*x*x*x,25,-10,-0.029962347964843445,0.006107208208077377,-0.015526953328204933,0.013012444685101859,6443.458573809523,308.08050000000003,12616.434628571427,231.25959999999998,0.30064568702751904,0.4044569337341525,1.1227031878151594,0.05937867586824407,487215.595,5866.5,700165.84,5103.28,((((x)*(x))*((5)*(2)))/((1)*((x)*((x)*(x))))),((((x)*((1)*(x)))*((x)*((0)*(7))))-(((3)-(1))*((x)*((x)+(x))))),AddTreeWithDiv|AddTreeWithMult|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,DeleteTerminalR,37,37,38,38,2
38,x*x*x*x,25,-10,-0.0393837538393674,0.0006074719457773981,-0.03080294275258136,0.01472211849058013,NaN,NaN,4503.46784,216.60920000000002,-0.44999999999999996,0.6066854006012286,0.2634185547300713,0.15607323824649724,76435.28,5370.26,269315.2,3370.36,((((9)-(4))*((x)*(9)))*((x)*((x)*(x)))),((((x)+(7))*((0)-(5)))*((2)-((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddRandomSubTreeR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,38,38,39,39,2
39,x*x*x*x,25,-10,-0.03349145334994774,0.004892697240675458,-0.006511876005986248,0.01150484530500215,NaN,NaN,64614.376800000005,244.1784,0.2910306129339655,0.2883283230950204,0.6212328493179531,0.001191311732829912,192560.22,6112,690670.16,6098.4,((((x)*(x))*((x)*(3)))-((x)*((x)*(x)))),((((6)-(2))*((x)*((3)-(0))))*((x)*((x)+((5)-(7))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|MutateTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,39,39,40,40,2
40,x*x*x*x,25,-10,-0.02253290272616756,0.011567873947383163,0.01854444778046896,0.012609929607707676,11722.6328,243.63830000000002,41345.604799999994,234.70879999999997,0.7212543554006969,0.34408667401086696,0.7347124032588046,0.02911529647835827,554368.72,5994.820000000001,1756669.6,5620.6,((((x)*(x))*((8)*(9)))*((x)*((4)*(x)))),((((3)+(x))+((1)-((1)-(0))))*((1)*((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,40,40,41,41,2
41,x*x*x*x,25,-10,-0.039196014479067315,0.004501530512625907,-0.010977454204336162,0.014541049722725323,NaN,NaN,14522.872800000001,218.16080000000002,0.22243445801364573,0.30031555165524587,0.6010153027563149,0.007244164085376415,165015.11999999997,6088.77,629739.84,5995.68,((((x)*(0))+((9)*(x)))*((x)*((x)*(x)))),((((x)*(7))-((x)-((7)*(x))))-(((2)+(6))*((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,41,41,42,42,2
42,x*x*x*x,25,-10,-0.035064927959022885,0.012363813320387627,-0.02463994575872435,0.015538818455103907,2416.527115873016,236.81780000000003,7521.265600000001,209.6108,-0.26249999999999996,0.44278992475306683,0.3374891436306572,0.07702032456384844,117730.56,5763.38,361127.2,4774.8,((((2)*(6))*((x)*(5)))*((x)*((x)*(x)))),((((7)*(2))*((x)*(x)))*((x)-((2)+((2)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,42,42,43,43,2
43,x*x*x*x,25,-10,-0.038360428273264933,-0.005709404816363874,-0.02694903689060254,0.011506455738745638,NaN,NaN,6390.586799999999,244.16459999999998,-0.22500000000000006,0.2859581847377561,0.359741660778954,0.00043664429798790034,127006.59999999999,6122.8,379489.6,6118.71,((((1)*(9))*((x)*(x)))*((7)*((x)*(x)))),((((x)*(6))/((8)*(8)))+((8)-((0)*((3)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,ReplaceBranchR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,ReplaceBranchR,43,43,44,44,2
44,x*x*x*x,25,-10,-0.03862174831449048,0.00022338349795545165,-0.026959401276521588,0.013980432063035645,1899.0402333333334,376.14880000000005,6385.511733333334,222.9648,-0.3125,0.4110480422727188,0.3280239079314953,0.06292407688737547,97231.14,5855.55,336644,5046.8,(((7)*((8)*(x)))*((x)*((x)*(x)))),((((x)-(0))*((x)*(x)))+((9)*((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,ReplaceBranchXR,44,44,45,45,2
45,x*x*x*x,25,-10,-0.029147300031354382,0.011188383404596974,-0.0015535016636396292,0.012057154060160204,7973.427371428572,246.8902,23542.075999999997,239.4456,0.3807899197681463,0.3450202587897007,0.785547329755215,0.02951400703693089,393311.42000000004,5991.950000000001,790788.16,5612.6,((((7)+(x))*((8)*(x)))*((x)*((x)*(x)))),((((4)-(x))+((7)*(4)))-((2)*((x)*((x)+(x))))),AddTreeWithSub|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,45,45,46,46,2
46,x*x*x*x,25,-10,-0.03513744186489784,0.005488163700979023,-0.023481357012155275,0.012027652781149058,NaN,NaN,9080.1544,239.6984,0.36,0.3226749071083146,1.0290134838766691,0.01722763932486614,NaN,5977.9,765100,5804.08,((((3)*(7))*((x)*(x)))*((6)*((x)*(x)))),((((x)+(1))*((8)-(3)))*((9)*((4)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DivXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,46,46,47,47,2
47,x*x*x*x,25,-10,-0.03137528638295342,0.005958379234584963,-0.0073954687139685315,0.01242087868999384,6891.607666666667,309.35583333333335,26638.8488,236.3288,0.7452229299363057,0.3579177325092892,0.8666315492788541,0.035938873035372014,484875.32666666666,5964,1921931.2,5502.08,((((x)*(9))*((5)*(x)))*((7)*((x)*(x)))),(((6)+((7)*(x)))*((x)-((3)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,47,47,48,48,2
48,x*x*x*x,25,-10,-0.020290426666507756,0.002571970085435551,0.008564989018743583,0.01171527531415128,33473.149,2346.2206,118923.88239999999,242.3752,0.9353948274486277,0.2931922997927442,0.9514975806942614,0.0036734218113516795,1907091.96,6102.36,7579331.2,6056.72,((((x)*(9))*((x)*(x)))*((x)*((x)*(x)))),(((x)-((0)*(6)))*((2)*((3)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,48,48,49,49,2
49,x*x*x*x,25,-10,-0.03463752300897486,-0.0029605780256455843,-0.025269822572212785,0.013394420897361693,2625.8119333333334,1233.1157,7212.837600000002,227.9864,-0.2892353940661351,0.3816307858916669,0.33702575647153604,0.05002932973338936,137383.72,5937.33,348035.84,5298.88,(((x)*((x)*(x)))*((5)*((x)*(x)))),((((x)*(9))*((0)*((6)-(x))))-((x)*((x)+((0)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,49,49,50,50,2
50,x*x*x*x,25,-10,-0.030901122984967014,0.010461603393276413,-0.012168200312449508,0.012424052878241876,6116.6712,253.33632,14692.864000000001,236.3016,0.3700787401574803,0.3346714715163285,1.1369910354904127,0.023911730875681794,373299.12,6008.5,777341.6,5701.28,((((8)*(x))*((x)*(7)))+((9)*((x)*(x)))),((((7)+(6))*((x)*((x)-(8))))+((8)*((x)*((0)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,50,50,51,51,2
51,x*x*x*x,25,-10,-0.03473657538197515,0.007616897266316507,-0.021094512546068183,0.011644229512482032,3469.6994000000004,377.25950000000006,12826.895999999999,242.984,0.5638599138678909,0.2951434919805068,0.7761153499159966,0.0196920058356755,284951.98000000004,6201.74,1122721.84,6040,((((x)*(8))*((2)*(x)))*((x)*((x)*(x)))),((x)*((6)*(8))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,SkipD,51,51,52,52,2
52,x*x*x*x,25,-10,-0.026021958443030808,0.0008024530511970496,0.009920338362238278,0.017687883936740298,12408.921600000001,581.6838499999999,46701.704,191.1952,0.7771587743732591,0.5946188173348022,0.8821728104406705,0.0007564677562387607,554086.9,6116.26,2197367.2,3473.76,((((5)*(9))*((8)*(x)))*((x)*((x)*(x)))),(((x)*((x)*(x)))*((1)*((9)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,52,52,53,53,2
53,x*x*x*x,25,-10,-0.03602121919724046,0.004471835262547701,-0.012532490546267127,0.018770002053886518,9535.694685714285,694.5989999999999,34006.2864,181.92239999999998,0.8342256218861613,0.9983662266370409,0.9116862042573735,0.3550425389711006,742436.7885714285,4577.53,2953797.84,14,((((x)*(x))*((6)*(x)))*((7)*((x)*(x)))),((((x)*(1))*((x)*(x)))*((x)+((5)*(1)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MutateTerminalR,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MutateTerminalR,AddXD,53,53,54,54,2
54,x*x*x*x,25,-10,-0.0351693820165836,0.005925485930877384,-0.018184428308132862,0.013200608697275802,NaN,NaN,11315.1648,229.6472,0.30064568702751904,0.30030621580745753,0.6079384851377264,0.007522972571778992,225170.66,6091.740000000001,700165.84,5995.76,((((x)*(x))*((8)+(2)))*((x)*((x)*(x)))),((((x)*(x))+((5)+(5)))*((3)+((4)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|AddTreeWithMult|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,DeleteTerminalR,54,54,55,55,2
55,x*x*x*x,25,-10,-0.031485698595078555,0.006101011539107869,-0.008871923742489095,0.014417349739529848,6290.3639,308.1336,23727.1664,219.22080000000003,0.7084429506480342,0.43402823160371196,0.8482305118309453,0.0738700805229552,424270.63,5799.360000000001,1679479.2,4849.88,((((x)*(2))*((x)*(x)))*((x)*((x)-((x)*(x))))),((((4)-(3))+((0)*((8)-(4))))*((x)*((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,55,55,56,56,2
56,x*x*x*x,25,-10,-0.038284630798987786,-0.0032895571599755175,-0.025540154881714808,0.01146946244188435,NaN,NaN,7080.4656,244.48160000000004,-0.2126143641354071,0.2872080213604198,0.3740183391043066,0.0006780551116723242,114523.48000000001,6116.6,385554.4,6108,((((8)*(8))*((x)*(x)))*((x)-((x)*(x)))),((((8)/(8))*((7)*(2)))+((4)*((0)*((7)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|AddTreeWithSub|SkipD|AddRandomSubTreeR,MultXD,ReplaceBranchXR,56,56,57,57,2
57,x*x*x*x,25,-10,-0.04093977662924964,-0.02026795300283557,-0.015041300021115705,0.011683626790148815,NaN,NaN,14173.0264,242.64640000000003,0.4627452429544342,0.29656254084433414,1.0133134166358357,0.633480666092354,NaN,97318.82,911418.64,6027.84,((((x)*(x))*((6)+(7)))*((x)*((x)-((x)*(x))))),((x)*((8)*(7))),AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,SubXD,ReplaceBranchXR,57,57,58,58,2
58,x*x*x*x,25,-10,-0.03581889200796378,-0.006171811747199878,-0.022405519399868023,0.015186045941706972,NaN,NaN,17105.190199999997,212.63375,0.7095886053667464,0.34873125828556495,0.7792449551185546,0.029446341931416424,523760.93999999994,5943.09,1686104.64,5580.8,((((x)*(x))*((6)*(4)))*((x)*((x)-((x)*(x))))),((((x)*(0))-((x)+((5)-(1))))*((0)-((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,58,58,59,59,2
59,x*x*x*x,25,-10,-0.025098885507462275,-0.017148190245906227,-0.00019299328792721226,-0.011372789738036109,NaN,NaN,50270.43520000001,510.816,0.871103219391258,0.2859476819089942,0.8102497418022612,0.00013475135584276854,1227665.0066666668,6119.8,3798884.64,6118.8,((((9)*(6))*((x)*(x)))*((x)*((x)-((x)*(x))))),((((0)*(4))*((x)*((3)/(5))))+(((3)*(7))+((0)-((2)+(x))))),AddTreeWithDiv|ReplaceBranchR|AddTreeWithAdd|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,AddTreeWithAdd,AddRandomSubTreeR,59,59,60,60,2
60,x*x*x*x,25,-10,-0.03120847191703193,0.0060830428067985935,-0.010904314736484793,0.012478994342476244,6216.340266666666,2326.1266,16996.25146666667,235.83079999999998,0.4627452429544342,0.3377989805254216,0.6088291857510799,0.00021204828898720545,364028.46,6118.6900000000005,911418.64,5674.48,((((x)*(4))+((9)*(x)))*((x)*((x)-((x)*(x))))),((((x)*(4))+((0)*(2)))*((3)*((x)*((2)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,60,60,61,61,2
61,x*x*x*x,25,-10,-0.02612160463509695,0.0012694374558784524,-0.0005862469941846915,0.022041936628265212,7073.698200000001,1407.8528,20411.2864,153.88479999999998,0.36454035954632036,0.7202139776313087,0.6172578626616841,0.059886811721885806,298773.32,6373.05,770566.64,2397.52,((((6)+(5))*((x)*(x)))*((x)*((x)-((x)*(x))))),((((x)*(x))*((7)-(0)))*((7)+((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|SkipD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,61,61,62,62,2
62,x*x*x*x,25,-10,-0.026442754679618298,0.008768563297704406,0.0032568700832811158,0.015326194521724523,7250.2815644444445,2552.5818,23628.478400000004,211.4328,0.4494516013377657,0.44866217301193134,0.6493610954994219,0.08138308298998291,295774.43999999994,5770.53,889411.36,4724.48,((((x)*(1))+((x)*(x)))*((x)*((x)-((x)*(x))))),((((x)*(1))+((7)-((4)*(x))))*(((x)*(x))-((x)*((0)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,62,62,63,63,2
63,x*x*x*x,25,-10,-0.02829908453059657,0.007612403755198049,-0.009398184368349957,0.011481318968575538,6397.282000000001,776.8607999999999,17022.9312,244.38,0.4627452429544342,0.2879222137162276,0.7931983384660957,0.0005578169053531978,405978.22000000003,6116.41,911418.64,6101.88,((((6)+(7))*((x)*(x)))*((x)*((x)-((x)*(x))))),((3)*((9)-(0))),AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,AddTreeWithDiv,AddXD,63,63,64,64,2
64,x*x*x*x,25,-10,-0.027684021665635487,0.008379700112612775,-0.005200865413322541,0.01596243254849973,8641.750955555555,396.7268,27484.122400000004,205.98080000000002,0.7419265942055842,0.511501764475232,0.8134907043692517,0.11250941734773734,519221.61999999994,5632.16,1897382.64,4186,((((x)*(x))*((9)*(3)))*((x)*((x)-((x)*(x))))),((((6)*(3))*((x)*((2)*(6))))+((x)-((x)*((0)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,64,64,65,65,2
65,x*x*x*x,25,-10,-0.028337757071444827,-0.000028022778739802966,0.002293294351784412,0.017799867430961413,NaN,NaN,93596.1312,190.2356,0.9353858427307373,0.29353305823701853,0.882371939022719,0.0036786132942405302,1967781.78,6100.3,7578277.28,6053.8,((((x)*(x))*((9)*(x)))*((x)*((x)-((x)*(x))))),((((5)+(4))-((1)*(x)))-((x)*((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,65,65,66,66,2
66,x*x*x*x,25,-10,-0.037630701052150044,-0.023701290818594286,-0.03364346654032153,-0.011362226893109874,1160.1604000000002,651.8241714285714,3112.5656,510.72548571428575,-0.5769371650764605,0.2891592135481824,0.18820704615012854,0.0012913504430717274,71042.42000000001,6107.17,207158.64,6091.28,((((x)*(x))*((x)*(9)))-((6)*((x)-((x)*(x))))),(((x)*((3)*(5)))-((0)*((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,66,66,67,67,2
67,x*x*x*x,25,-10,-0.02582728084156073,0.011081476277610771,0.0079985368524649,0.011797104020016061,12192.700866666666,247.80630000000002,44514.4776,241.67399999999998,0.8057897918814625,0.3076068487779376,0.8792979485158574,0.010671842548501651,649143,6068.08,2521309.28,5933.2,((((x)*(x))*((3)*(x)))*((x)*((x)-((x)*(x))))),((((x)+(4))*((2)/((6)*(x))))*(((x)-(0))*((x)+((x)-(0))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,67,67,68,68,2
68,x*x*x*x,25,-10,-0.03390861371946256,0.0032654758652112246,-0.007637384233490033,0.01609971619022724,4971.7186,430.59520000000003,18906.111999999997,204.80440000000002,0.5326504100151227,0.5964673151968931,1.042646853110845,0.13916803692904298,270401.12,4392.41,1047746.72,3457.92,((((x)*(x))+((4)*(x)))*((x)*((x)-((x)*(x))))),((((7)-(0))*((0)-((2)-(7))))*((x)-((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,68,68,69,69,2
69,x*x*x*x,25,-10,-0.034957747501554406,0.00601081013254964,-0.012161430328264658,0.014471217581268556,5980.5296,7203.1056499999995,17865.773599999997,218.7592,0.589594578475185,0.28916388147207656,0.7881068825786848,0.00136414618472958,431420.12,6107.945,1193122.64,6091.24,((((x)*(x))*((9)+(8)))*((x)*((x)-((x)*(x))))),(((5)+((2)+(6)))*((x)*((2)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|ReplaceBranchXR|SkipD|AddRandomSubTreeR,MultXD,ReplaceBranchXR,69,69,70,70,2
70,x*x*x*x,25,-10,-0.029798014194713333,-0.0034551407804994617,-0.007457212205159265,0.012030873648636036,NaN,NaN,20674.836799999997,239.6708,-0.1454617043523722,0.29932128386578793,0.3706511937558589,0.006806324464618385,246619.02000000002,6090.82,418436.64,6004.2,((((x)*(3))*((2)*(x)))*((x)*((x)-((x)*(x))))),((((x)-(2))*((2)*((x)*(x))))*(((2)-(1))-((0)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,ReplaceBranchXR,70,70,71,71,2
71,x*x*x*x,25,-10,-0.01821573434751007,0.005364005874693146,0.02103260180187221,0.011633446608286501,24908.871199999998,345.49620000000004,86541.5928,243.0764,0.8895341573044212,0.2859476819089942,0.9384836976304941,0.0002234598436610399,1112794.7799999998,6120.3,4432718.64,6118.8,((((x)*(x))*((x)*(7)))*((9)*((x)-((x)*(x))))),(((x)*((0)*(2)))*((9)+(x))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,SkipD,71,71,72,72,2
72,x*x*x*x,25,-10,-0.03043013517425743,0.0025399787857746923,-0.007523423217833097,0.0115028847769666,17231.63808666667,2452.8437,66085.08968,244.1952,0.9169162473204919,0.28794555333569843,0.9284091159339144,0.0005787472688846874,1496158.5066666668,6116.04,5893619.2,6101.68,((((7)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((4)*((6)+(x))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,72,72,73,73,2
73,x*x*x*x,25,-10,-0.027268969824458807,0.011160898915602234,-0.004606723305154524,0.019078038351662715,10181.453200000002,248.19765000000004,33120.9176,179.28280000000004,0.8010135474182395,0.6610993894355547,0.8663012503792601,0.18094847690652105,641058.18,5209.41,2460790.64,2904.08,((((x)*(7))*((5)*(x)))*((x)*((x)-((x)*(x))))),((((x)+(5))*((1)+((9)*(x))))*((x)-((x)*((0)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,SkipD,73,73,74,74,2
74,x*x*x*x,25,-10,-0.02576311284612702,0.006876407389970029,-0.0023287649382918974,0.016506712474559815,8486.229800000001,1876.5381,24506.002399999998,201.3168,0.5945870401913087,0.5352895046399164,0.7401439163318896,0.11893553554387887,348232.9,5448.93,1207815.36,3982.16,((((x)*(x))*((x)*(x)))+((7)*((x)-((x)*(x))))),((((x)*(x))*((x)*((2)*(3))))-(((5)*(0))-((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,74,74,75,75,2
75,x*x*x*x,25,-10,-0.02943245631777902,0.007213984289446815,-0.002912031845420093,0.01925957391190694,9404.287799999998,616.4058,35079.6112,177.7272,0.7084429506480342,0.8769068469107679,0.8276980481421047,0.29256282294972064,441304.89999999997,4814.96,1679479.2,1054.8,((((x)+(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((((x)*(x))*((x)-(1)))*((x)+((3)+(x)))),AddTreeWithAdd|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,75,75,76,76,2
76,x*x*x*x,25,-10,-0.021871330098152564,0.007875369382505892,0.009805950356311455,0.01359448811546577,21631.662,1044.0061,75407.0008,226.27199999999996,0.9169162473204919,0.33553970536064387,0.8988065885407811,0.02591808096715579,1545777.52,6025.639999999999,5893619.2,5693.84,((((x)*(x))*((7)*(x)))*((x)*((x)-((x)*(x))))),((((x)+(4))*((x)*((6)-(5))))-(((4)*(x))-((x)*((x)+(0))))),AddTreeWithAdd|ReplaceBranchR|MultXD|SubXD|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|SkipD|AddRandomSubTreeR,MultXD,AddXD,76,76,77,77,2
