gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.046384560095646406,0.00000010886175210089519,-0.038372034597038404,0.0000007004982056868938,5891.70338,8451.105,8598.839999999998,8450.98,-0.96,0.00003237437653305268,0.007787745300619821,0.0000174803538701765,187480.7,211276.85,211278.2,211271.36,((((x)*(0))*((0)*(3)))*((7)-((7)/((9)+(1))))),(((4)-(0))-((x)-(1))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,11,11,12,12,2
12,x*x*x*x*3*x+1,25,-10,-0.046199999428873074,-0.00000006389115337018684,-0.038399997463060546,0.0000004884555055876656,6866.544516666667,8451.1415,8451.141399999999,8451.0248,-0.9599997652384391,0.000004354448305659579,0.00000012216890003230737,0.000003511418021414402,211278.47666666668,211278.4,211279.44,211277.28,((5)/((4)-(5))),(((7)-(3))-((3)-(6))),AddTreeWithSub|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,12,12,13,13,2
13,x*x*x*x*3*x+1,25,-10,-0.043589894530844484,-0.00000009844206856331535,-0.03835290650273746,0.0000005603985645506171,7448.113633333334,8451.1488,8699.873733333334,8451.0096,-0.96,0.00000530106750258402,0,0.0000015688386711548178,211278.2,211277.52,211278.2,211277.08,((((x)*(x))*((6)/(3)))*((4)-((4)*(0)))),(((8)-(1))-((5)-(6))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,13,13,14,14,2
14,x*x*x*x*3*x+1,25,-10,-0.04103559384735387,-0.0000002437429656374373,-0.038399983642420275,0.0000002499074679748284,7734.9274,8451.1795,8451.214399999999,8451.0752,-0.9599998182491142,0.0000030291814300480114,0.00000009087544289299032,0.000004835150829002201,211278.44,211278.19,211279.16,211277.56,((4)/((5)-(6))),(((7)-(1))-((4)-(4))),AddTreeWithSub|FellTreeD|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|MultXD|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,14,14,15,15,2
15,x*x*x*x*3*x+1,25,-10,-0.04100000098718858,0.00000010603347946726897,-0.0384,0.0000011151174139161058,7922.927285714287,8451.1056,8451.128,8450.892399999999,-0.96,0.000021393593849335266,0,0.000009275580122655656,211278.2,211276.58000000002,211278.2,211273.68,((((0)*(0))*((3)-((7)*(7))))*((1)*((x)+((4)-(2))))),(((x)-(8))-((7)-(8))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,15,15,16,16,2
16,x*x*x*x*3*x+1,25,-10,-0.03826036105949407,-0.00000018883814505625917,-0.03779810316445331,0.0000004335515921690785,9188.694599999999,8451.1679,11630.32,8451.0364,-0.9074577121539278,0.00003029181429992911,0.026270989943256936,0.000016248418745985214,280660.92000000004,211276.86,488804.2,211271.8,((((1)-(3))*((x)*((x)*(x))))*((3)*((x)+((8)*(x))))),(((x)-(1))-((7)-(8))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,16,16,17,17,2
17,x*x*x*x*3*x+1,25,-10,-0.0383474368865316,0.0000000705258973201971,-0.03818656122590973,0.0000008633167075485307,8728.764000000001,8451.1131,9578.502,8450.9456,-0.9387689217344715,0.00003237437653305268,0.01054487963957389,0.0000182809333990808,239889.30000000002,211275.97999999998,323419.8,211271.36,((((x)*(x))*((x)*((4)-(0))))*((3)*((x)+((9)*(8))))),(((8)-(3))-((x)-(2))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,17,17,18,18,2
18,x*x*x*x*3*x+1,25,-10,-0.03830418134951926,0.00000014199640393558908,-0.03801622315979595,0.0000011397295130342128,8957.2378,8451.098,10478.22,8450.8872,-0.9216282834670118,0.00002934519510300467,0.019185858266494105,0.00001590658175780236,261947.62000000002,211275.3,413955.88,211272,((((x)*(x))*((2)*((8)*(x))))*((3)*((x)+((x)-(1))))),(((8)-(6))-((x)-(3))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,18,18,19,19,2
19,x*x*x*x*3*x+1,25,-10,-0.03836351651992491,0.0000001845940276614739,-0.038253750060346974,0.00000099584339510831,8643.8321,8451.089,9223.6136,8450.9176,-0.9459924592314777,0.00004600569296785548,0.007003770384261143,0.000021334592897197574,229775,211274.96,285265.4,211268.48,((((7)*(3))-((9)*(x)))*((x)*((3)*((x)+(1))))),(((x)-(2))-((9)-(x))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,19,19,20,20,2
20,x*x*x*x*3*x+1,25,-10,-0.038360580107176225,-0.00000003642755305716255,-0.038309951523630925,0.0000010128825406526743,8659.3421,8451.135699999999,8926.76,8450.914,-0.9509951523630927,0.000031806405014815366,0.004642996468635608,0.00001124951144293734,232100.18,211274.68,258841.4,211271.48,((((0)-(x))*((3)*((9)-(0))))*((x)*((3)*((x)+(1))))),(((x)-(5))-((9)-(2))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,20,20,21,21,2
