gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.038400014824056625,0.0000006834608186674545,-0.03839999530476878,0.000005441167143608717,8451.0497,8450.9836,8451.1528,8449.9784,-0.9599996592170891,0.00026808255655346347,0.00000019458954360405687,0.00013872332419849178,211278.51,211265.33000000002,211280,211221.56,((0)-(7)),((9)*(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,11,11,12,12,4
12,x*x*x*x*3*x+1,25,-10,-0.03840011196611861,0.0000006044165986075505,-0.038400014237152724,0.000002186690344770106,8450.5366,8451.0003,8451.0528,8450.666000000001,-0.96,0.000209013518668767,0.0000005866310494730294,0.0001006461597816931,211276.44,211265.85,211278.2,211234.04,((0)*(4)),((7)*(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|AddRandomSubTreeR,DeleteMaliciousR,AddTreeWithAdd,12,12,13,13,4
13,x*x*x*x*3*x+1,25,-10,-0.03840000556612088,0.0000007800162007687348,-0.038399983415231674,0.0000029572383710230725,8451.098600000001,8450.9632,8451.215600000001,8450.503200000001,-0.9599987883274281,0.00026808255655346347,0.0000009930584320550703,0.00012830629684001845,211278.54,211262.03,211284.6,211221.56,((0)-(x)),((x)*(9)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,13,13,14,14,4
14,x*x*x*x*3*x+1,25,-10,-0.038400005357864656,0.00000011832758895278911,-0.038399995531957394,0.000000713750874441632,8451.099699999999,8451.103000000001,8451.1516,8450.9772,-0.96,0.0000312384334967158,0.00000006801619770898089,0.000013982967984897386,211277.96000000002,211276.03,211278.2,211271.6,((0)+((0)*(5))),((x)+(1)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddRandomSubTreeR,AddTreeWithAdd,14,14,15,15,4
15,x*x*x*x*3*x+1,25,-10,-0.03839999907231318,0.0000008401282828579843,-0.038399990988185244,0.000002514220586887504,8451.132899999999,8450.9505,8451.1756,8450.5968,-0.9599996592170891,0.000209013518668767,0.00000018273428703844943,0.00009946693271252122,211278.57,211260.44,211280,211234.04,((0)+((0)-(7))),((x)*(7)),AddRandomSubTreeR|DeleteNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,15,15,16,16,4
16,x*x*x*x*3*x+1,25,-10,-0.03840000819772225,0.0000003138042896606415,-0.0384,0.0000018175088579929918,8451.0847,8451.0617,8451.128,8450.744,-0.96,0.00006058362859972047,0.00000006074119364688991,0.00003086554240035887,211277.97999999998,211275.17,211278.2,211265.4,((0)+((x)*(0))),((x)+(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,16,16,17,17,4
17,x*x*x*x*3*x+1,25,-10,-0.0384000219237006,0.0000001514590827017584,-0.03839999833395022,0.0000007307900199859965,8451.0122,8451.096,8451.1368,8450.9736,-0.9599998712597893,0.00003294234805115225,0.00000011507816657821786,0.000016403483092766557,211278.29,211276.35,211278.88,211271.24,((0)+((0)-(3))),((x)+(6)),AddRandomSubTreeR|FellTreeD|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddRandomSubTreeR,AddTreeWithAdd,17,17,18,18,4
18,x*x*x*x*3*x+1,25,-10,-0.03840000238548038,0.000000044019945444175096,-0.03839999591060507,0.00000025748042155132596,8451.1154,8451.118699999999,8451.1496,8451.0736,-0.959999606206414,0.000009844839647518286,0.0000002244798534621953,0.0000035250180520456894,211278.56,211277.16,211280.28,211276.12,((0)+((0)-(8))),((7)*(6)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|MultXD|MutateTerminalR|ReplaceBranchR,AddRandomSubTreeR,AddTreeWithAdd,18,18,19,19,4
19,x*x*x*x*3*x+1,25,-10,-0.038400000416512446,0.00000004827959312535281,-0.03839998296085446,0.0000004108327314437184,8451.125800000002,8451.1178,8451.218,8451.0412,-0.9599987883274281,0.00003029181429992911,0.0000006058362859162614,0.000013694715198353324,211279.80000000002,211276.14,211284.6,211271.8,((0)+((0)-(x))),(x),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR,DeleteMaliciousR,DeleteNonTerminalR,19,19,20,20,4
20,x*x*x*x*3*x+1,25,-10,-0.038405584277033784,0.0000009092277385946825,-0.038399998712597895,0.000005664569274068561,8421.6321,8450.935899999999,8451.1348,8449.931199999999,-0.9599998712597893,0.00026808255655346347,0.00000012960964945545648,0.00013120401600888495,211277.87,211263.12,211278.88,211221.56,((0)+((0)-(3))),((9)*(x)),AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,20,20,21,21,4
21,x*x*x*x*3*x+1,25,-10,-0.03840000268839852,-0.000000048747065486220024,-0.038399999242704645,0.00000070428468247101,8451.113800000001,8451.1383,8451.132,8450.9792,-0.9599999242704643,0.000031806405014815366,0.00000008144593335735675,0.000016000099190599584,211278.14,211276.41,211278.6,211271.48,((0)+((7)-(9))),((2)+(x)),AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,21,21,22,22,4
22,x*x*x*x*3*x+1,25,-10,-0.03839999937523133,0.00000020541866187796827,-0.0383999928056941,0.0000010848255996156256,8451.131300000001,8451.0846,8451.166000000001,8450.8988,-0.9599997652384391,0.00003029181429992911,0.0000001613590101377559,0.000012106367645154933,211278.6,211275.54,211279.44,211271.8,((0)+((0)-(5))),((0)+(x)),AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,FellTreeD,22,22,23,23,4
23,x*x*x*x*3*x+1,25,-10,-0.03840002807672538,0.0000007113860577351994,-0.03839999515330971,0.000002237807781401822,8450.9797,8450.9777,8451.153600000001,8450.655200000001,-0.9599999621352321,0.00012040996184179118,0.00000006194873527374944,0.00006330580041775484,211278.11,211271.3,211278.4,211252.76,((0)+((0)-(1))),((4)*(x)),AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,23,23,24,24,4
24,x*x*x*x*3*x+1,25,-10,-0.03840002762234816,0.0000001268530119328412,-0.038399997198007185,0.0000010715729308595103,8450.9821,8451.1012,8451.1428,8450.9016,-0.9599995531957392,0.0000904967952208247,0.0000002893208565484405,0.000055724027924535646,211278.27000000002,211276.13,211280.56,211259.08,((0)+((0)-(9))),((x)*(3)),AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,24,24,25,25,4
25,x*x*x*x*3*x+1,25,-10,-0.03839999859900359,0.00000017938617016870553,-0.038399984399715634,0.0000008576369923661575,8451.135400000001,8451.0901,8451.2104,8450.9468,-0.9599988716299173,0.00003029181429992911,0.0000005641850413518057,0.000013910686391580893,211279.69,211276.16,211284.16,211271.8,((0)+((3)-(x))),((1)*(x)),AddTreeWithAdd|FellTreeD|MultXD|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|DeleteTerminalR|ReplaceBranchR,AddRandomSubTreeR,AddXD,25,25,26,26,4
26,x*x*x*x*3*x+1,25,-10,-0.03840000691032014,0.00000020257653402856283,-0.038399992124128285,0.0000005376797038238795,8451.091499999999,8451.0852,8451.1696,8451.0144,-0.9599995531957392,0.00002934519510300467,0.0000002913701473747117,0.000013502188120636687,211278.26,211276.27000000002,211280.56,211272,((0)+((0)-(9))),((x)-(1)),AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,AddTreeWithAdd,AddTreeWithAdd,26,26,27,27,4
27,x*x*x*x*3*x+1,25,-10,-0.03701280414164831,-0.004999779437569596,-0.032851199527447694,0.0000010337081629852875,15778.234100000001,8004.8034,37759.642400000004,8450.909599999999,-0.4051200284743054,0.00003029181429992911,0.2774399857628473,1.0000061215522464,943990.9600000001,166648.46,3142129.24,211271.8,((((x)*(x))*((0)+((5)*(x))))*(((7)+(2))*((x)+((1)*(x))))),(((0)+((0)-(x)))*((0)/((5)+(x)))),AddTreeWithAdd|MultXD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|DivXD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,27,27,28,28,4
28,x*x*x*x*3*x+1,25,-10,-0.03841889658279936,0.00000033794839821642157,-0.03839996364982284,0.000003275302421171226,8351.3171,8451.0566,8451.32,8450.436,-0.9599963649822839,0.0001499444807842083,0.00000181750885802634,0.00007279616513950618,211283,211269.59,211297.4,211246.52,((0)-((3)*(x))),((x)*(5)),AddTreeWithAdd|MultXD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,28,28,29,29,4
29,x*x*x*x*3*x+1,25,-10,-0.03839999950775802,0.0000006654754998035466,-0.03839999818249114,0.000004195416280528335,8451.1306,8450.9874,8451.1376,8450.2416,-0.9599998182491142,0.0000904967952208247,0.00000010447748779146507,0.00003757156118377976,211278.46,211269.89,211279.16,211259.08,((0)+((4)-(8))),((x)*(3)),AddTreeWithSub|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddXD,29,29,30,30,4
30,x*x*x*x*3*x+1,25,-10,-0.03842916546998223,0.000000011361343463243712,-0.038399995531957394,0.00000022150889206985018,8297.077299999999,8451.125600000001,8451.1516,8451.0812,-0.96,0.000003597152948147576,0,0.0000017377618467776199,211278.2,211277.65000000002,211278.2,211277.44,((((0)*(1))-((1)*((x)*(0))))*((0)*((2)*((2)+(1))))),((6)+(3)),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,30,30,31,31,4
31,x*x*x*x*3*x+1,25,-10,-0.03843057189998779,0.000000044966434362851815,-0.0384,0.0000003748612019636202,8289.6486,8451.1185,8451.128,8451.0488,-0.96,0.000018743060098112132,0,0.000007393130269200745,211278.2,211276.38999999998,211278.2,211274.24,((((1)*(0))*((0)*(0)))-((4)*((0)*((x)+(1))))),((x)-(9)),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddXD,31,31,32,32,4
