gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.0384,0.01154499544743782,-0.0384,0.011884501098551574,8451.128,8416.690999999999,8451.128,8316.2688,-0.96,0.30281103979762897,0,0.007320221318656754,211278.2,209309.02000000002,211278.2,206221.16,(0),(((9)*(x))*((x)*(x))),DeleteNonTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithSub|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,11,11,12,12,4
12,x*x*x*x*3*x+1,25,-10,-0.0384,0.011542019006220232,-0.0384,0.011627475054217613,8451.128,8417.5714,8451.128,8392.294399999999,-0.96,0.29311414320752716,0,0.002473575314323356,211278.2,210107.3,211278.2,209089.4,(0),(((7)*(9))*((6)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,12,12,13,13,4
13,x*x*x*x*3*x+1,25,-10,-0.0384,0.011529466159513176,-0.0384,0.011833810992872363,8451.128,8421.2844,8451.128,8331.2624,-0.96,0.29956954520492074,0,0.006295234902867816,211278.2,209908.76,211278.2,207179.96,(0),(((9)*(9))*((9)*(x))),DeleteNonTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,13,13,14,14,4
14,x*x*x*x*3*x+1,25,-10,-0.0384,-0.005692809629335027,-0.0384,0.011476078189122885,8451.128,7105.9416,8451.128,8437.076,-0.96,0.28571428571428564,0,1.1428571428571428,211278.2,77394.8,211278.2,211278.2,(0),(((0)*(3))/((8)*(x))),DeleteNonTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithDiv|AddTreeWithMult|MultXD|SkipD,SubXD,SkipD,14,14,15,15,4
15,x*x*x*x*3*x+1,25,-10,-0.0384,0.011500710572938562,-0.0384,0.011820579961126405,8451.128,8429.79,8451.128,8335.176,-0.96,0.30341985117252984,0,0.008972923753741738,211278.2,209949.32,211278.2,206041.08,(0),(((x)*((9)*(3)))*((8)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,15,15,16,16,4
16,x*x*x*x*3*x+1,25,-10,-0.0384,0.011686813202416798,-0.0384,0.012467440018488823,8451.128,8374.7428,8451.128,8143.841600000001,-0.96,0.33125099648574374,0,0.021717005572655074,211278.2,207412.62,211278.2,197808.92,(0),(((3)*((x)*(x)))*((8)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,16,16,17,17,4
17,x*x*x*x*3*x+1,25,-10,-0.0384,0.00022276181019013853,-0.0384,0.012989549188835247,8451.128,7492.681400000001,8451.128,7989.4072,-0.96,0.28609753125770393,0,1.3198013441817846,211278.2,121985.82,211278.2,211164.84,(0),(((9)/((4)*(2)))*((x)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|MultXD|SkipD,SubXD,ReplaceBranchXR,17,17,18,18,4
18,x*x*x*x*3*x+1,25,-10,-0.0384,0.011660458647819385,-0.0384,0.012760653962405964,8451.128,8382.538199999999,8451.128,8057.111999999999,-0.96,0.32917762998197225,0,0.020616873753868396,211278.2,207389.44,211278.2,198422.2,(0),(((x)*((9)*(9)))*((7)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,18,18,19,19,4
19,x*x*x*x*3*x+1,25,-10,-0.0384,0.011686913949745607,-0.0384,0.013235023774341128,8451.128,8374.713,8451.128,7916.798400000001,-0.96,0.3707858710864226,0,0.04147607862504367,211278.2,204459.64,211278.2,186114.92,(0),(((9)*((x)*(5)))*((x)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,FellTreeD|AddTreeWithMult|AddTreeWithMult|MultXD|DeleteMaliciousR,SubXD,AddTreeWithMult,19,19,20,20,4
20,x*x*x*x*3*x+1,25,-10,-0.0384,-0.005395337927501684,-0.0384,0.012793174388757843,8451.128,7017.9526000000005,8451.128,8047.492799999999,-0.96,0.31588709645792673,0,1.1428693136753882,211278.2,77393,211278.2,202353.4,(0),(((x)*((9)*(7)))*((6)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|DivXD|AddTreeWithMult|MultXD|SkipD,SubXD,MultXD,20,20,21,21,4
