A,P,AFinal,PFinal,AGen,PGen,count,run
ReplaceBranchR,ReplaceBranchXR,ReplaceBranchR,DeleteTerminalR,0,0,0,0
AddToLeafR,AddTreeWithAdd,AddToLeafR,DeleteMaliciousR,0,0,1,0
AddTreeWithAdd,AddXD,AddTreeWithAdd,ReplaceBranchXR,0,0,2,0
ReplaceBranchXR,AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,0,0,3,0
ReplaceBranchXR,AddTreeWithAdd,SkipD,AddTreeWithAdd,0,0,4,0
AddTreeWithSub,,AddTreeWithSub,,0,0,5,0
DeleteTerminalR,,DeleteTerminalR,,0,0,6,0
SkipD,,SkipD,,0,0,7,0
MutateNonTerminalR,,FellTreeD,,0,0,8,0
MutateTerminalR,,MultXD,,0,0,9,0
AddTreeWithMult,,AddTreeWithMult,,0,0,10,0
DivXD,,DivXD,,0,0,11,0
ReplaceBranchXR,,AddXD,,0,0,12,0
ReplaceBranchXR,,AddXD,,0,0,13,0
AddTreeWithAdd,,AddToLeafR,,0,0,14,0
FellTreeD,,FellTreeD,,0,0,15,0
ReplaceBranchXR,,ReplaceBranchXR,,0,0,16,0
AddRandomSubTreeR,,DeleteMaliciousR,,0,0,17,0
AddToLeafR,,DeleteMaliciousR,,0,0,18,0
AddToLeafR,,SubXD,,0,0,19,0
