gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.06960000006182003,-0.034283932866713177,-0.048800000247280116,0.011436078118802602,NaN,NaN,6338.344693877551,8448.9076,-0.96,0.2864120792936923,0.6004442799572108,1.1429634638215809,NaN,NaN,211278.2,211071.8,(((0)/((1)/(6)))-((3)*((0)*(x)))),(((3)*(8))+((9)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,SkipD,DeleteMaliciousR,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.06440000281909958,-0.05142581005021995,-0.03839999409525992,0.011445792325000875,NaN,NaN,8451.15918857143,8446.034239999999,-0.96,0.28635301025580756,0.6004442799572108,1.3198421677994103,NaN,NaN,211278.2,211089.272,(((0)*((x)-(8)))/((9)/((6)*(x)))),((((1)/(9))-((4)-(5)))*((6)/((5)-((6)*(x))))),AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,SkipD,ReplaceBranchXR,1,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.06439999385229996,-0.0685699640162997,-0.04879997644811438,-0.034273868022622035,NaN,NaN,NaN,NaN,-0.9599983263772599,0.2863065988688982,0.6004447930817027,1.319826893047041,NaN,NaN,211287.04,211103,(((3)+((4)/(7)))/((6)*((1)-(6)))),(((2)*(2))*((x)*(7))),AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,AddTreeWithDiv,AddToLeafR,2,2,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.056600057955813715,-0.0685715266141311,-0.03839996269058206,0.011427787086951165,NaN,NaN,8451.325066666666,8451.36,-0.9599959610914267,0.28571428571428564,0.5200009340002659,1.1428571428571428,NaN,NaN,211299.53333333335,211278.2,((((0)-(8))/((6)*((4)/(1))))/((5)*((8)-((0)*(x))))),((0)*((5)+(6))),AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|MultXD|AddToLeafR,AddTreeWithDiv,DeleteTerminalR,3,3,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.06700003048871109,-0.03428223748028789,-0.03839999591060508,0.01144250025389679,NaN,NaN,8451.149599999999,8447.008,-0.9599997595587241,0.28684860597476286,0.6004407108057525,1.1430462768161882,NaN,NaN,211279.47,210942.68,(((1)/((5)+(0)))*((1)/((4)-(x)))),(((6)*(3))*((3)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithMult|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,AddTreeWithMult,DeleteTerminalR,4,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.06960000849590729,-0.06285757115641757,-0.0488000298185047,-0.011428683486914453,NaN,NaN,NaN,NaN,-0.96,0.28572363503968673,0.6004441597204483,1.3196112713293209,NaN,NaN,211278.2,211275.43456790128,((((3)*(0))/((4)/(2)))-((0)/((6)*(x)))),((((5)/((9)-(0)))*((0)*((5)/(3))))-(((3)/(0))+((7)*((x)*(2))))),AddTreeWithMult|MutateTerminalR|AddTreeWithMult|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,SkipD,DeleteTerminalR,5,5,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.06699998867482825,-0.051422846561157094,-0.03839995469931295,-0.011391320610861481,NaN,NaN,8451.367276190478,NaN,-0.9599982971672962,0.2874490330082057,0.6004447715230733,1.3201585531473703,NaN,NaN,211287.1942857143,210765.08,(((6)+((6)/(1)))*((3)-((x)/(7)))),(((7)*(2))*((6)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithMult|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,AddTreeWithAdd|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,AddTreeWithMult,AddTreeWithAdd,6,6,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.05920001167497009,-0.033886480356135146,-0.03839999853589564,0.01462411973349617,NaN,NaN,8451.135733333334,7505.918428571428,-0.96,0.2857421047274182,0.6004442799572108,1.1428329334688498,NaN,NaN,211278.2,211269.9714285714,((((0)*((x)*(0)))+(((0)*(6))*((8)*(6))))/(((8)*((3)*(x)))/((4)/((1)*((5)-(5)))))),((((5)/(5))*((6)+(1)))*((1)+((8)*(x)))),AddTreeWithMult|MutateTerminalR|AddTreeWithMult|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR,AddTreeWithMult,ReplaceBranchR,7,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.06258415939368443,-0.0685638143723029,-0.031136604794667243,-0.034255257489211585,NaN,NaN,NaN,NaN,0.8063476288946682,0.28875996536455584,1.164715976407406,1.1443799826822778,NaN,NaN,27275447.08,210377.32,(((((7)-(0))*((2)*(6)))*(((7)+(5))*((4)/(9))))*(((x)*((9)*(9)))*(((9)/(2))/((3)+((0)*(x)))))),(((9)*(x))*((x)*(4))),AddTreeWithMult|MutateTerminalR|AddTreeWithMult|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,SkipD,DeleteTerminalR,8,8,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.06440004122008215,-0.057119240726546464,-0.038400020609252225,-0.03419004280792317,NaN,NaN,8451.019142857143,NaN,-0.9600000540925256,0.29533191985056395,0.5199975865094876,1.3224420320654937,NaN,NaN,211277.91428571424,208433.405,(((2)/((7)+(0)))*((7)-((1)/(1)))),((((x)*((9)/(6)))*(((9)/(8))*((x)*(3))))-(((7)*(0))-((0)*((5)-((2)*(x)))))),AddTreeWithMult|MutateTerminalR|AddTreeWithMult|MultXD|SkipD|ReplaceBranchXR|AddTreeWithMult|SkipD|DeleteMaliciousR|DivXD|AddRandomSubTreeR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|SkipD|DeleteTerminalR|AddTreeWithDiv|MultXD|AddTreeWithSub|AddTreeWithDiv,AddXD|DeleteMaliciousR|ReplaceBranchR|MultXD|AddToLeafR,SkipD,AddXD,9,9,10,10,1
