gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.0394987848810613,-0.0005701342707541537,-0.039495262057247425,0.0003659652333028362,245.42700000000002,249.46280000000002,247.15200000000002,242.592,-0.9870384590249641,0.009149130832570905,0.0002307704875179617,0.0045227300782021,6177.3,6106.3,6346.8,6064.8,(((0)-((x)*(4)))*((x)-(x))),((x)-((0)*(x))),AddTreeWithMult|MutateNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,ReplaceBranchXR,DeleteMaliciousR,11,11,12,12,3
12,x*x*x*x,25,-10,-0.039497922248725656,-0.00012257439953481758,-0.03949337504901321,0.000009802640177754542,245.84939999999997,245.622,248.076,244.77200000000002,-0.9868456737681348,0.0003267546725918181,0.00030276949889450274,0.00016337733629590904,6221.54,6120.3,6441.2,6118.8,(((x)*((x)*(0)))-((x)-((2)/(5)))),((x)+(0)),AddTreeWithMult|MutateNonTerminalR|SubXD|AddTreeWithDiv|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,AddTreeWithMult,DeleteMaliciousR,12,12,13,13,3
13,x*x*x*x,25,-10,-0.042030913034243896,-0.005003118863309988,-0.03949873382564371,0.00009149130832570905,229.695,311.4679,245.452,244.27200000000002,-0.9873856358645929,0.009149130832570905,0.00005718206770355394,0.004646301950238074,6134.8,6106.84,6176.8,6064.8,(((0)-((x)*(x)))-((1)-(x))),((x)-((0)*(x))),AddTreeWithMult|MutateNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,SubXD,DeleteMaliciousR,13,13,14,14,3
14,x*x*x*x,25,-10,-0.03949860026467128,0.000023784385764637822,-0.03949334073977258,0.00019840543719775274,245.51739999999998,244.68770000000004,248.09279999999998,243.6176,-0.9868422428440726,0.009149130832570905,0.0003282034868932598,0.004574565416285452,6201.82,6106.8,6442.88,6064.8,(((x)*((x)*(0)))-((x)-(x))),(((x)+(0))-((0)*(x))),AddTreeWithMult|MutateNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,SubXD,DeleteMaliciousR,14,14,15,15,3
15,x*x*x*x,25,-10,-0.039500017971507,-0.00004885413536952318,-0.039499877466997776,0.000010978956999086988,244.82319999999999,245.1336,244.892,244.7648,-0.9874959155665927,0.00027447392497717473,0.000002358148727238434,0.00013723696248858736,6121.8,6120.38,6122.8,6119.12,((0)-(x)),((0)+(2)),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,15,15,16,16,3
16,x*x*x*x,25,-10,-0.039499938733498885,0.0000018134884328847984,-0.039499877466997776,0.0000072539537315391935,244.862,244.8209,244.892,244.7876,-0.9874959155665927,0.00039864070056210124,0.000002042216703690425,0.00019932035028105062,6122.3,6120.1900000000005,6122.8,6118.36,(((x)+((8)*(x)))*((0)-(x))),((0)+(3)),AddTreeWithMult|MutateNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,ReplaceBranchXR,DeleteMaliciousR,16,16,17,17,3
17,x*x*x*x,25,-10,-0.03949990810024834,-0.000019610301653514718,-0.03949983662266371,0.000015488171480852946,244.877,244.95329999999998,244.912,244.73719999999997,-0.9874959155665927,0.0008953078029016587,0.000002042216703690425,0.00044765390145082935,6122.3,6119.43,6122.8,6115.32,((0)-(x)),((0)+(7)),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,17,17,18,18,3
18,x*x*x*x,25,-10,-0.03949994894458241,-0.000029380245791189295,-0.039499877466997776,0.000009802640177754542,244.857,245.01319999999998,244.892,244.77200000000002,-0.9874959155665927,0.0003267546725918181,0.000002358148727238434,0.00016337733629590904,6121.8,6120.3,6122.8,6118.8,(((0)*(x))-((1)-(x))),((x)+(0)),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03949990810024834,0.000020802200080454776,-0.03949983662266371,0.00009475885505162723,244.877,244.70469999999997,244.912,244.252,-0.9874959155665927,0.009149130832570905,0.000002042216703690425,0.004550065953205634,6122.3,6106.57,6122.8,6064.8,((0)-(x)),(((x)+(0))-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,19,19,20,20,3
20,x*x*x*x,25,-10,-0.03949994894458241,0.000047248725656777,-0.03949983662266371,0.00027774147170304535,244.857,244.5428,244.912,243.132,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.0045306676943680626,6121.8,6106.38,6122.8,6064.8,((0)-(x)),((x)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,20,20,21,21,3
