gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
10,x*x*x*x,25,-10,-0.0395,0,-0.0395,0,244.832,244.832,244.832,244.832,-0.9875,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|ReplaceBranchR,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchR,SkipD,10,10,11,11,1
11,x*x*x*x,25,-10,-0.0395,0.0000035658911012368273,-0.0395,0.000013919749052412162,244.832,244.8102,244.832,244.7468,-0.9875,0.0013919749052412162,0,0.0011619987307951685,6120.8,6118.62,6120.8,6112.28,(0),((2)+(9)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,SkipD,11,11,12,12,1
12,x*x*x*x,25,-10,-0.0395,0.00001874444719006251,-0.0395,0.00013508038164945953,244.832,244.7173,244.832,244.0052,-0.9875,0.005933864854267517,0,0.0030749419082659046,6120.8,6111.78,6120.8,6084.48,(0),((7)*(8)),AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|FellTreeD,SkipD|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,SkipD,12,12,13,13,1
13,x*x*x*x,25,-10,-0.0395,0.00007914537355699042,-0.0395,0.0002226506339040659,244.832,244.34760000000003,244.832,243.46919999999997,-0.9875,0.006227944059600034,0,0.0027423861260951862,6120.8,6101.1,6120.8,6082.68,(0),(((6)*(9))-((3)-(8))),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|AddTreeWithMult|SubXD|AddTreeWithSub|ReplaceBranchR,ReplaceBranchR,SkipD,13,13,14,14,1
14,x*x*x*x,25,-10,-0.0395,0.00001218769493398758,-0.0395,0.0000614952293817807,244.832,244.75779999999997,244.832,244.4556,-0.9875,0.0024702653247941266,0,0.0009829524266883496,6120.8,6112.93,6120.8,6105.68,(0),(((3)+((x)*(4)))/((1)-(x))),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR,FellTreeD,AddTreeWithSub,14,14,15,15,1
15,x*x*x*x,25,-10,-0.0395,-0.004979631147821329,-0.0395,0.00010645667233041557,244.832,311.32283666666666,244.832,244.18040000000002,-0.9875,0.00452881976212264,0,0.002137299293689905,6120.8,6110.8,6120.8,6093.08,(0),(((3)*(3))*((5)-(x))),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|AddTreeWithMult|SubXD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,SkipD,15,15,16,16,1
16,x*x*x*x,25,-10,-0.0395,0.00002373675013543124,-0.0395,0.0001176316821330545,244.832,244.68685833333333,244.832,244.112,-0.9875,0.0022088615867207613,0,0.0007840909411247993,6120.8,6112.85,6120.8,6107.28,(0),((9)*(2)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,ReplaceBranchR,AddTreeWithMult,16,16,17,17,1
17,x*x*x*x,25,-10,-0.0395,0.00004221677041834846,-0.0395,0.0000815579662789179,244.832,244.5736,244.832,244.33280000000002,-0.9875,0.0028100901842896056,0,0.0004862683364517578,6120.8,6109.48,6120.8,6103.6,(0),((x)*(9)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|DivXD|AddTreeWithSub|ReplaceBranchR,FellTreeD,AddTreeWithDiv,17,17,18,18,1
18,x*x*x*x,25,-10,-0.0395,0.000019071535808202112,-0.0395,0.0000669193569468044,244.832,244.71530000000007,244.832,244.4224,-0.9875,0.0018951771010326042,0,0.000650780692993948,6120.8,6114.4800000000005,6120.8,6109.2,(0),((6)*(x)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,18,18,19,19,1
19,x*x*x*x,25,-10,-0.0395,0.00005715279273016387,-0.0395,0.0002628414586328586,244.832,244.4822,244.832,243.2232,-0.9875,0.006718076068487761,0,0.003036343949874375,6120.8,6101.9,6120.8,6079.68,(0),((8)*(8)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,19,19,20,20,1
20,x*x*x*x,25,-10,-0.0395,0.00004692232759392909,-0.0395,0.00009038034243889937,244.832,244.5448,244.832,244.27880000000002,-0.9875,0.00436544242582673,0,0.0021195038661575814,6120.8,6107.46,6120.8,6094.08,(0),((8)*(5)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,20,20,21,21,1
21,x*x*x*x,25,-10,-0.0395,0.00006231211606326097,-0.0395,0.00011769703306757428,244.832,244.45060000000004,244.832,244.1116,-0.9875,0.006718076068487761,0,0.0037214818246404705,6120.8,6099.68,6120.8,6079.68,(0),((8)*(8)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,21,21,22,22,1
22,x*x*x*x,25,-10,-0.0395,0.00003633565326091323,-0.0395,0.0000729969938570141,244.832,244.6096,244.832,244.3852,-0.9875,0.002502940792053427,0,0.0009396360745551117,6120.8,6112.57,6120.8,6105.48,(0),((3)*(7)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|AddXD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,22,22,23,23,1
23,x*x*x*x,25,-10,-0.0395,0.000024964657374202118,-0.0395,0.00006685400601228906,244.832,244.6792,244.832,244.4228,-0.9875,0.0018886420075807737,0,0.0004692049950320969,6120.8,6113.11,6120.8,6109.24,(0),((7)+(8)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,23,23,24,24,1
24,x*x*x*x,25,-10,-0.0395,0.00004048543760282889,-0.0395,0.00010854790223500428,244.832,244.58419999999998,244.832,244.1676,-0.9875,0.005933864854267517,0,0.0028081562203125634,6120.8,6109.93,6120.8,6084.48,(0),((7)*(8)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchR,ReplaceBranchR,AddTreeWithSub,24,24,25,25,1
