gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
56,x*x*x*x,25,-10,-0.03953822110671808,0.000004906811403867962,-0.039495686021435106,0.00011946150829956998,226.1165,244.80540000000002,246.94439999999997,244.1008,-0.9874918311331853,0.0039733368187166085,0.000013553591871664026,0.0016516460218201283,6117.92,6110.53,6124.8,6096.48,((4)-((6)*(2))),((9)*(4)),AddTreeWithMult|SkipD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,56,56,57,57,2
57,x*x*x*x,25,-10,-0.03938673233074108,0.00003618972534238128,-0.039059758528296955,0.00018023787740164933,300.29510000000005,244.6114,460.40240000000006,243.72879999999998,-0.9557322572212783,0.006620049666710305,0.015870303330658368,0.002814845001445786,10019.68,6104.27,21676.32,6080.28,(((x)*((x)+(8)))*((3)*((x)*(x)))),((7)*(9)),ReplaceBranchR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|AddToLeafR,MultXD|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,57,57,58,58,2
58,x*x*x*x,25,-10,-0.039499265210430005,0.000023687594975440987,-0.039481425630636516,0.00031361913475362705,245.19179999999997,244.6879,253.92719999999997,242.91240000000002,-0.9856361913475362,0.01409619657561099,0.0009377952660044399,0.006964776676658641,6344.709999999999,6098.4400000000005,7033.44,6034.52,(((7)-((x)*(4)))*((x)*(x))),(((6)+((9)*(7)))+((4)-(x))),ReplaceBranchR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|AddToLeafR,MultXD|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,57,57,59,59,2
59,x*x*x*x,25,-10,-0.03950309252875441,-0.00039366858596791136,-0.039488460658737415,0.0001339694157626469,243.31770000000003,247.7818,250.4824,244.01200000000006,-0.9863277676120769,0.004855574434714458,0.0005864862719543775,0.0019647386492730543,6264.08,6108.780000000001,6694.8,6091.08,(((8)+((8)*(9)))*((3)-((7)+(x)))),((9)*(5)),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,58,59,60,60,2
60,x*x*x*x,25,-10,-0.03950270062736897,0.00005408453965535309,-0.03949933995556136,0.0001721997124558905,243.50959999999998,244.5013,245.1552,243.778,-0.9874387334988891,0.007763691020781669,0.00008543265291114432,0.003793964047839762,6099.360000000001,6100.12,6150.8,6073.28,((3)-((8)*(6))),(((9)-((3)*(9)))+((4)-(x))),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,60,59,61,61,2
61,x*x*x*x,25,-10,-0.03949485708567507,0.00021096247987067947,-0.039469509704613784,0.0008300875702522574,247.35029999999998,243.54080000000002,259.762,239.75119999999998,-0.9844162527774147,0.05331329238008113,0.0015429658689601103,0.026369808342334166,6497.5,6036.4400000000005,7630.8,5794.48,(((x)*((3)-(6)))*((9)*((x)+(x)))),(((x)+((6)*(x)))*((5)-(x))),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,58,61,62,62,2
62,x*x*x*x,25,-10,-0.039502639156646195,-0.00003199602716945731,-0.039494286694549734,0.00008423735459417134,243.5397,245.0302,247.62959999999998,244.31640000000004,-0.9871706312900275,0.0030910992027186105,0.00018990364087943085,0.001567977529303749,6143.889999999999,6116.110000000001,6282.08,6101.88,(((x)*((x)*(0)))+((6)-((9)+(8)))),((9)*(3)),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,58,61,63,63,2
63,x*x*x*x,25,-10,-0.03950423923343353,0.0000324858393589455,-0.03949953029015815,0.0001780812965625423,242.75619999999998,244.6342,245.062,243.74200000000002,-0.9874877466997778,0.013880538491700437,0.00005233366423897661,0.006621600377958177,6106.389999999999,6094.320000000001,6126.8,6035.84,((6)-((3)-(9))),((((9)+(x))+((0)*(6)))*((4)-((x)-(x)))),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|AddTreeWithMult|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,62,63,64,64,2
64,x*x*x*x,25,-10,-0.039491823168540066,0.0002030300392089697,-0.03936308734152398,0.0010752842765651561,248.8359,243.59169999999997,311.8732,238.2504,-0.9750040844334075,0.04573258397595087,0.007460634095159308,0.021473365353028188,6926.92,6012.65,12239.6,5840.88,((((x)*(0))-((x)-(0)))*((x)*((x)+(x)))),((((2)+(9))*((3)*(9)))*((2)*((2)-(x)))),AddTreeWithMult|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|AddTreeWithMult|SubXD|ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,63,64,65,65,2
65,x*x*x*x,25,-10,-0.03951052252156581,-0.0011277636799691309,-0.03950102600967194,0.0001925238530911009,239.67950000000005,257.5172,244.3296,243.65359999999998,-0.9875018788393674,0.007175532610116336,0.000008437955705611101,0.003737853693612277,6115.58,6110.450000000001,6119.88,6076.88,((9)-((8)*(1))),((8)*((9)-(x))),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|AddTreeWithMult|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,65,64,66,66,2
66,x*x*x*x,25,-10,-0.03937117921676905,0.0014617058466693293,-0.038945869820938436,0.011411776238400211,307.91089999999997,235.8852,516.1696000000001,174.9828,-0.9320940073193047,0.5685662004966672,0.027301664019432247,0.28337337090648157,13218.670000000002,5242.41,33251.12,2640.72,((((x)*(5))+((x)*(x)))*((6)*((9)+(x)))),((((0)*(9))+((x)*(x)))*((6)*((9)+((8)-(x))))),AddTreeWithMult|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,66,66,67,67,2
67,x*x*x*x,25,-10,-0.03951176561887335,-0.000010355021887057579,-0.03949845363351196,0.00014906548163638855,239.07080000000002,244.90130000000002,245.58919999999998,243.9196,-0.9874979577832963,0.006620049666710305,0.00012449412657265508,0.003353311546379441,6079.55,6110.68,6121.8,6080.28,(((4)-(5))+((4)*(0))),((7)*(9)),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,67,67,68,68,2
68,x*x*x*x,25,-10,-0.03951622112305581,0.00001818736537437874,-0.03950018870082342,0.00008031629852307014,236.88910000000004,244.72069999999997,244.7396,244.34039999999996,-0.9875040844334074,0.0022088615867207613,0.00006751815510065117,0.0011607077141352143,6097.450000000001,6116.1,6118.8,6107.28,(((3)*(4))*((0)+(x))),((8)*((x)-(x))),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,67,68,69,69,2
69,x*x*x*x,25,-10,-0.039498363775977,0.000027703782447380842,-0.03948762498366227,0.0001432492484642535,245.6332,244.66379999999998,250.8916,243.9552,-0.9863904228205463,0.009475885505162724,0.0006042759325255956,0.004660379967943579,6223.33,6105.18,6664.12,6062.8,(((5)*((5)*(9)))-((x)*((9)+(x)))),(((5)*((x)*(8)))-((2)*((6)-(x)))),ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,67,69,70,70,2
70,x*x*x*x,25,-10,-0.03950214065154882,0.00014137756832072732,-0.03949673653770749,0.0005205201934387666,243.7838,243.96710000000002,246.43,241.646,-0.9871211279571298,0.037419945105215,0.00024974563459147854,0.0173502001296698,6133.08,6046.6,6306.32,5891.76,(((4)*((x)*(2)))-((x)+((5)*(6)))),(((8)*((6)*(7)))+((6)-(x))),SubXD|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,SubXD,ReplaceBranchR,69,70,71,71,2
71,x*x*x*x,25,-10,-0.03946132511273036,-0.0001478556488071923,-0.039313204156319434,0.00021297869559534798,263.7697,245.84300000000002,336.29920000000004,243.5284,-0.9688369167429094,0.009639262841458633,0.009335356180873642,0.004907480716653438,8402.66,6106.84,15259.44,6061.8,((((6)*(x))*((8)*(9)))*((7)-((x)+(x)))),((((5)-(6))-((4)-(4)))*((3)-((7)*((4)-(x))))),SubXD|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|SubXD|ReplaceBranchR,SubXD,ReplaceBranchR,69,71,72,72,2
72,x*x*x*x,25,-10,-0.03944808746405698,0.0004748292341885546,-0.03924589024310547,0.0021236439681087457,270.2517,241.93150000000003,369.2604,231.83359999999996,-0.9638963860933211,0.056789962096458035,0.0119577287156952,0.028049558695118163,8903.55,6030.64,17678.64,5773.2,((((9)*(9))*((6)*(7)))*((x)-((x)+(x)))),((((x)*(5))*((2)+((x)+(7))))-((x)+((6)*((0)-(x))))),SubXD|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,AddRandomSubTreeR|SkipD|AddToLeafR|SubXD|ReplaceBranchR,AddTreeWithMult,AddRandomSubTreeR,69,72,73,73,2
73,x*x*x*x,25,-10,-0.039536488081623314,-0.0004913194715688986,-0.03948879068095674,0.00023611292641484844,226.9651,248.5241,250.3208,243.38680000000005,-0.987229447131094,0.022696379558227692,0.0010319076072293203,0.008138499736484704,5888.780000000001,6042.5599999999995,6253.28,5981.88,((((3)-(6))*((x)*(x)))-((x)+((6)*(9)))),((((9)+(7))*((x)*(3)))*((2)-((9)-((4)-(x))))),SubXD|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,AddRandomSubTreeR|SkipD|AddToLeafR|SubXD|ReplaceBranchR,SubXD,AddRandomSubTreeR,73,72,74,74,2
74,x*x*x*x,25,-10,-0.03948532789831395,-0.00023125558744595812,-0.03943235769834009,0.0005102600967193855,252.01640000000003,246.41,277.95399999999995,241.70879999999997,-0.9813795582276826,0.04473924977127175,0.003075923623343402,0.02157503712929102,6858.570000000001,6042.700000000001,9117.76,5846.96,((((3)*(8))*((8)*(6)))*((9)-((x)+(x)))),((((9)*(x))*((8)*((2)+(0))))*((9)-((6)+((1)-(x))))),SubXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddTreeWithDiv|SubXD|ReplaceBranchR,AddXD,ReplaceBranchR,74,74,75,75,2
75,x*x*x*x,25,-10,-0.03955631575937786,-0.00015261725349079305,-0.039499125931250816,0.0015479022350019624,217.25619999999998,247.30159999999995,245.26,235.3576,-0.9874346490654816,0.1469481113579925,0.00005501315861167356,0.06751109135127105,6119.66,5811.969999999999,6152.8,5221.36,(((6)-(8))*((5)+(x))),((((4)+(2))*((5)+(x)))*((x)*((9)+((6)-(x))))),SubXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|SubXD|ReplaceBranchR,AddXD,ReplaceBranchR,75,75,76,76,2
76,x*x*x*x,25,-10,-0.03944402672036335,0.0003009203875474845,-0.03930524032806169,0.0012634949679780445,272.2400999999999,242.99243750000002,340.19879999999995,237.0984,-0.9685841720036596,0.0660175140504509,0.009464051902515341,0.03282728490299284,10002.619999999999,6018.07,15383.2,5716.72,((((x)*(4))+((8)*(x)))*((8)*((4)-((x)+(x))))),((((x)*(0))+((x)*((5)+(2))))-(((4)*(0))+((0)-((8)-(x))))),SubXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult,DeleteNonTerminalR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,ReplaceBranchR,DeleteNonTerminalR,75,76,77,77,2
77,x*x*x*x,25,-10,-0.039395827342831,0.00018358741549108476,-0.039063842961704356,0.003918964841197229,295.84159999999997,244.0036,458.40240000000006,220.8448,-0.944088517840805,0.18580577702261136,0.02192299057375528,0.12971056046544074,11277.25,6063.45,27377.84,4983.52,((((x)*(x))*((x)*(8)))+((6)*((8)-((x)+(x))))),((((x)*(x))*((x)*((3)+(3))))+((6)*((8)-((1)+(x))))),SubXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult,DeleteNonTerminalR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,SubXD,AddToLeafR,76,76,78,78,2
78,x*x*x*x,25,-10,-0.039540300695987456,0.00039999119199697625,-0.039499307280094105,0.0014758855051627247,225.0982,242.38379999999998,245.1712,235.79840000000004,-0.9873438112665011,0.04230165991373678,0.0003249216484975921,0.019823360851037773,6063.34,6039.9,6197.28,5861.88,((((5)-(7))*((x)*(3)))*((6)+((x)+(x)))),((((8)-(3))*((9)*(1)))*((1)+((x)+((x)-(x))))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|SubXD|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,76,77,79,79,2
79,x*x*x*x,25,-10,-0.039500396802705534,0.0003047728619394817,-0.039494045712978695,0.0021584106652725132,244.63770000000005,242.9752,247.74759999999998,231.62080000000003,-0.9870507123251863,0.09298130963272773,0.00031961521425093425,0.04633378559275208,6125.24,5976.889999999999,6340.8,5551.68,((((x)*(x))*((2)-(6)))*((1)+((x)+(x)))),((((5)*(6))*((8)-(4)))*((4)+((x)+((5)+(x))))),AddXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult,DeleteNonTerminalR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,AddXD,DeleteNonTerminalR,79,76,80,80,2
80,x*x*x*x,25,-10,-0.0395016803359038,0.00022629683858488704,-0.03949292984577179,0.000895569206639656,244.0092,243.44819999999999,248.294,239.3504,-0.9869806234479153,0.044118415893347265,0.0002694433820496531,0.02253479095916084,6177.679999999999,6050.38,6375.12,5850.76,((((x)*(x))*((1)-(x)))+((x)*((4)+(x)))),(((5)*(7))*((3)*(9))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,76,80,81,81,2
81,x*x*x*x,25,-10,-0.03953719203372109,0.0000496234039745132,-0.03950120899228859,0.0003065612338256457,226.62040000000002,244.53119999999998,244.24,242.95559999999998,-0.9875361880799896,0.014775846294602095,0.00004256883028925076,0.007235539108365478,6085.73,6072.88,6103.08,6030.36,(((2)*((5)+(0)))+((5)*(3))),((((x)+(2))+((3)+(8)))*((x)*((2)*(2)))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,76,81,82,82,2
82,x*x*x*x,25,-10,-0.0395050459090315,0.0005653974460210584,-0.03949882041563194,0.0022525160109789573,242.36120000000003,241.3725,245.40960000000004,231.0448,-0.9873754247810744,0.17042216703698862,0.00006081780319363714,0.08411493202799548,6138.38,5849.87,6181.8,5077.68,((3)-((8)*(8))),(((9)*((x)*(5)))+((x)+(x))),DeleteNonTerminalR|AddRandomSubTreeR|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,82,82,83,83,2
83,x*x*x*x,25,-10,-0.03950158087995033,0.00013111624444541286,-0.03949995262057247,0.0004686315514311856,244.05789999999996,244.02949999999998,244.8552,241.9636,-0.9875,0.031211606325970455,0.000025406915886879542,0.015223682192899084,6108.59,6069.24,6120.8,5929.76,((2)*((0)*(1))),(((4)*(8))*((9)+(6))),DeleteNonTerminalR|AddRandomSubTreeR|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,82,83,84,84,2
84,x*x*x*x,25,-10,-0.039501189999673246,0.000023881686852531455,-0.039498713403476673,0.00010011763168213561,244.2493,244.68589999999998,245.46200000000002,244.21919999999997,-0.9873733825643707,0.0031891256044962154,0.00007742444037793129,0.0015734873110045185,6126.38,6113.42,6182.8,6101.28,((1)-((7)*(9))),((4)*((1)+(6))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,SubXD|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,AddXD,SubXD,82,84,85,85,2
85,x*x*x*x,25,-10,-0.03950157761240361,0.00010270929716263923,-0.03949987256567769,0.00027944059600052275,244.05950000000004,244.20339999999996,244.89440000000002,243.1216,-0.9874673245327409,0.00903149915043781,0.000028174144136605488,0.003063838670835699,6117.78,6089.49,6136.8,6065.52,((4)-((5)*(4))),(((2)*((9)*(3)))-((1)-(3))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,AddXD,ReplaceBranchR,85,84,86,86,2
86,x*x*x*x,25,-10,-0.039502198854724876,0.00008687033721934618,-0.039498784472617954,0.0003566854006012297,243.75529999999998,244.301,245.42719999999997,242.64880000000002,-0.9874060580316298,0.018350542412756604,0.000056712231617241,0.009027868929882917,6126.6900000000005,6091.31,6166.8,6008.48,((x)-((6)*(8))),(((8)+(6))*((5)*(x))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|AddTreeWithSub|AddToLeafR|MutateTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,86,86,87,87,2
87,x*x*x*x,25,-10,-0.039502585242125215,0.00015769374154438605,-0.03949771271729186,0.0012815971768396313,243.5661,243.86879999999996,245.952,236.9876,-0.9874183113318521,0.06203110704483079,0.00005981490149737442,0.032435383514266426,6121.89,6035.48,6160.8,5741.12,((2)-((7)*(6))),(((x)*((6)-(4)))*((8)+(x))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,87,87,88,88,2
88,x*x*x*x,25,-10,-0.03950203833649196,0.00012430774494051394,-0.03949939632074239,0.0003764213828257753,243.8339,244.07129999999998,245.12759999999997,242.52800000000002,-0.9875040844334074,0.023663573389099486,0.000015689966967556755,0.01068376373872976,6108.0599999999995,6073.57,6118.8,5975.96,(((0)*((7)*(9)))-((9)+(x))),((7)*((5)*(9))),DeleteNonTerminalR|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,MutateTerminalR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchXR,DeleteNonTerminalR,MutateTerminalR,88,88,89,89,2
89,x*x*x*x,25,-10,-0.039501255350607764,0.00005841945965375441,-0.03949915615605803,0.0002360475754803316,244.2173,244.47490000000002,245.2452,243.38719999999998,-0.9874366912821854,0.0076329891517449115,0.0000498855425131493,0.0033727962777161478,6119.280000000001,6102.04,6151.8,6074.08,((4)-((5)*(7))),(((5)*(2))*((4)+(x))),MutateTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,MutateTerminalR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchXR,MutateTerminalR,MutateTerminalR,88,88,90,90,2
90,x*x*x*x,25,-10,-0.039501665836165205,0.00009107705551824847,-0.03950016827865638,0.0002887204287021323,244.01629999999997,244.27479999999997,244.7496,243.0648,-0.987512743432231,0.02096457979349115,0.000016159290507108592,0.009247287896807375,6107.58,6075.7699999999995,6114.56,5992.48,((1)*((2)*(4))),(((8)*((8)*(0)))+((4)*(1))),DeleteNonTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,90,90,91,91,2
91,x*x*x*x,25,-10,-0.03950232710593387,0.00005719552516387297,-0.03950004002744739,0.000316952032414065,243.6925,244.48770000000002,244.81239999999997,242.89199999999997,-0.9874918311331853,0.027395111750098074,0.00002700724845068945,0.011988400500838806,6110.79,6061.599999999999,6124.8,5953.12,((0)*((7)-(4))),((3)*((x)*(x))),MutateTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,88,91,92,92,2
92,x*x*x*x,25,-10,-0.03951437250849563,0.00012990900712325182,-0.039482120801202454,0.0010836491961835064,237.7943,244.0441,253.5868,238.19920000000002,-0.9856865115671154,0.04817670892693767,0.0009241874502474509,0.023700123081691643,6330.9,6043.47,7008.8,5825.92,(((4)*((8)*(7)))*((1)-((5)+(8)))),((((8)*(8))*((3)+(6)))*((9)-((7)*(1)))),MutateTerminalR|AddXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,88,91,93,93,2
93,x*x*x*x,25,-10,-0.03950173853907986,0.000009805774402456466,-0.03950015765912952,0.00012004966671023619,243.98069999999998,244.7731,244.7548,244.09720000000002,-0.9875040844334074,0.00436544242582673,0.000009987504583905855,0.002320412455246384,6114.71,6111.84,6118.8,6094.08,((x)+((0)*(4))),((5)*(8)),DeleteNonTerminalR|SubXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,92,91,94,94,2
94,x*x*x*x,25,-10,-0.04203186729403564,0.00002004583819280087,-0.0394987311026881,0.00020703176055417784,229.22773333333333,244.71589999999998,245.45333333333332,243.5648,-0.9874448601490001,0.011704352372238977,0.000029421938522689454,0.0050746441296712205,6126.99,6089.76,6147.8,6049.16,(((9)+((3)*(0)))-((9)*(3))),(((7)*((5)-(6)))*((1)+(x))),DeleteNonTerminalR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,94,91,95,95,2
95,x*x*x*x,25,-10,-0.03950214330643053,0.00003901311697588877,-0.039499361194615085,0.00025094758855051833,243.7825,244.59730000000002,245.1448,243.296,-0.9874973859626193,0.012913344660828644,0.000033666634551444856,0.005082735539547166,6107.4400000000005,6087.209999999999,6122.08,6041.76,(((x)-((4)*(x)))-((3)-(9))),(((9)-(5))*((4)*(9))),DeleteNonTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,94,95,96,96,2
96,x*x*x*x,25,-10,-0.03950120245719514,0.0002347946907746319,-0.03949941755979611,0.0009460854790223528,244.24320000000003,243.39509999999999,245.11720000000003,239.0412,-0.9874918311331853,0.07416024049143903,0.000009879573781664444,0.03648180477030483,6119.75,6000.389999999999,6124.8,5666.88,((3)-(7)),(((6)+(x))*((x)*(7))),DeleteNonTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR,ReplaceBranchR|SkipD|AddToLeafR|MutateTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,94,96,97,97,2
97,x*x*x*x,25,-10,-0.03950444161710887,0.0001237026716441493,-0.03949565743040125,0.0007745392759116484,242.65709999999999,244.0764,246.9584,240.0912,-0.9870740752842766,0.03583191739641887,0.00019938514804469112,0.015704371200357257,6184.83,6043.24,6329.36,5901.48,(((8)-((x)*(x)))*((3)+((1)-(x)))),(((8)*((8)*(9)))+((6)-(1))),DeleteNonTerminalR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|ReplaceBranchR,SubXD,ReplaceBranchR,97,95,98,98,2
98,x*x*x*x,25,-10,-0.039502161482159195,0.00019272771261140967,-0.03949963076721997,0.0013334204679126909,243.77360000000002,243.6545,245.0128,236.6704,-0.9874916677558488,0.054764083126388675,0.000012446446592451422,0.02681785383213452,6119.51,6031.82,6124.88,5785.6,(((0)*((7)*(0)))+((2)-((x)-(x)))),((((6)*(x))*((x)-(x)))+((6)-((x)*(4)))),DeleteNonTerminalR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|ReplaceBranchR,SubXD,ReplaceBranchR,97,95,99,99,2
99,x*x*x*x,25,-10,-0.0395039851816756,0.0003034614269820021,-0.03949959155665926,0.0011394588942621887,242.8806,242.97459999999998,245.032,237.8576,-0.9874938733498889,0.054764083126388675,0.00003522000714255217,0.02681785383213452,6104.54,6031.82,6123.8,5785.6,((0)-((7)-(4))),((((6)*(x))*((x)-(x)))+((6)-((x)*(4)))),DeleteNonTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR,ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|ReplaceBranchR,DeleteNonTerminalR,AddToLeafR,98,95,99,99,2
