gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
32,x*x*x*x,25,-10,-0.03951341450463992,0.00005827709613007119,-0.03949755097372892,0.00016095935171873027,238.2634,244.47529999999998,246.0312,243.8468,-0.9872794405960006,0.006502417984577209,0.00013903641696192046,0.0029729524838817785,6134.200000000001,6107.67,6228.8,6081,(((6)*(x))-((8)*(3))),(((8)+((8)*(7)))-((0)*((x)+(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,DeleteMaliciousR|SkipD|AddXD|MutateNonTerminalR|ReplaceBranchR,ReplaceBranchR,DeleteMaliciousR,32,28,33,33,2
33,x*x*x*x,25,-10,-0.03949973553293687,0.00008970374799970478,-0.03947697686576918,0.0002827081427264409,244.9615,244.283,256.1056,243.10160000000005,-0.9853651483466214,0.021605018951770975,0.001073343467228993,0.010437201004947964,6377.84,6084.24,7166.16,5988.56,(((8)*((2)*(8)))*((x)*((5)+(5)))),(((2)*((3)*(3)))+((9)*((4)*(7)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,DeleteMaliciousR|SkipD|AddToLeafR|MutateNonTerminalR|ReplaceBranchR,ReplaceBranchR,AddToLeafR,32,33,34,34,2
34,x*x*x*x,25,-10,-0.03950616238890341,-0.0022322806764779202,-0.03946214138674683,0.0004554306626584749,241.81450000000004,495.70910000000003,263.37,242.04440000000002,-0.9861276303751144,0.02389883675336553,0.0006875995340977186,0.01000315265075237,6287.8,6061,6792.8,5974.52,(((x)*((x)*(4)))-((8)-(8))),(((7)+((3)*(4)))*((8)+((x)-(7)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,DeleteMaliciousR|SkipD|AddToLeafR|MutateNonTerminalR|ReplaceBranchR,AddToLeafR,DeleteMaliciousR,34,34,35,35,2
35,x*x*x*x,25,-10,-0.03951341797640831,-0.00014965168420601034,-0.039487446902365705,0.0001754019082472889,238.2617,245.84470000000002,250.97879999999998,243.7584,-0.9872024898706052,0.0075022872827081545,0.00016360933077561846,0.002957822931102991,6151.84,6097.45,6266.48,6074.88,(((5)-((7)*(x)))+((0)+((8)*(x)))),((9)*(8)),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithSub|SkipD|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,34,34,36,36,2
36,x*x*x*x,25,-10,-0.03950586830969808,0.00008710098710774559,-0.03949831639654947,0.00040589465429355723,241.9585,244.2997,245.6564,242.34759999999997,-0.9873336818716508,0.0233433538099595,0.00010561714839179412,0.012955682376935845,6127.610000000001,6092.38,6202.24,5977.92,(((1)*((4)*(6)))*((0)-((9)*(x)))),(((7)*(4))*((8)+(3))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,DeleteMaliciousR|SkipD|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,34,36,37,37,2
37,x*x*x*x,25,-10,-0.03942799205169259,-0.001970733281635364,-0.03922883364919619,0.0015414978434191645,280.0917,469.3182,377.6124,235.3968,-0.9603935760031368,0.05480329368709981,0.013081089181303995,0.02468152935224758,9955.029999999999,6009.54,19393.84,5785.36,(((x)*((5)*(8)))*((x)*((x)+(1)))),(((7)+(x))*((x)*(5))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithSub|SkipD|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,37,36,38,38,2
38,x*x*x*x,25,-10,-0.039495518559665405,-0.000023955184872781512,-0.03946968941968371,0.00023506731146255555,247.0264,244.9987,259.674,243.3932,-0.9845925369232781,0.011188079989543928,0.0015516524304432548,0.005581787264929132,6415.1900000000005,6102.8099999999995,7544.48,6052.32,(((3)-((7)*(8)))*((x)*((2)+(6)))),(((9)-((3)+(6)))*((2)*(5))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,37,38,39,39,2
39,x*x*x*x,25,-10,-0.039260516803359034,0.000057664023309901144,-0.038512708306103774,0.0003243366880146393,362.0983,244.4792,728.2732000000001,242.8468,-0.8897884263494967,0.014638609332113509,0.04925893043579091,0.0074455803171226565,17795.71,6099.48,53966.64,6031.2,(((x)*((6)*(7)))*((9)*((8)*(3)))),(((7)-((6)*(2)))*((6)*((2)*(7)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|MutateTerminalR,AddTreeWithSub|SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,39,39,40,40,2
40,x*x*x*x,25,-10,-0.03948333571591949,0.00016176693530959625,-0.039354639916350805,0.0008374746269698289,252.9919,243.84220000000002,316.0096,239.706,-0.9736869363481898,0.041733106783427086,0.007260170177467909,0.019528743532984446,7569.25,6042.93,12884.56,5865.36,(((1)-((x)-(x)))*((x)*((8)*(x)))),(((4)*((6)*(7)))*((5)-(x))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|MutateTerminalR,AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,39,40,41,41,2
41,x*x*x*x,25,-10,-0.03950291608123121,-0.000182902673122721,-0.03949864805254215,0.00004940530649588402,243.40409999999997,246.02550000000002,245.49399999999997,244.5296,-0.9874173310678342,0.0014377205594040291,0.00005815530878717435,0.0007646245851888466,6128.71,6118.1,6161.28,6112,(((x)+((0)*(9)))+((8)-((9)-(x)))),(((6)-((3)+(8)))+((3)-(x))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|MutateTerminalR,AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,39,41,42,42,2
42,x*x*x*x,25,-10,-0.03947354532904195,-0.001318264795277168,-0.03936629443863548,0.00017997647366357314,257.7859,262.3516,310.3028,243.7304,-0.9741355705136583,0.008018559665403203,0.006795776041005316,0.0035876698498100916,7674.88,6103.549999999999,12664.88,6071.72,(((6)*((2)*(x)))*((6)*((9)*(4)))),((9)*((9)-(x))),ReplaceBranchR|SkipD|AddToLeafR|DivXD|AddToLeafR,AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,42,41,43,43,2
43,x*x*x*x,25,-10,-0.04447955128414586,0.00007493865851968574,-0.03911590233302836,0.001300222193177364,254.845,244.59149999999997,432.9108,236.8736,-0.9490747941445563,0.0713436152136976,0.01921905023323481,0.03470817477278278,10819.93,6000.9,24936.24,5684.12,(((6)*((9)*(7)))*((8)+((4)*(x)))),((((9)-(1))*((1)*(5)))*((8)+((4)*((x)-(x))))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,43,43,44,44,2
44,x*x*x*x,25,-10,-0.03949789774212521,-0.000524512839095503,-0.03946644883021827,0.0003051235132662401,245.8614,248.458,261.26079999999996,242.9644,-0.9842020650895308,0.020115017644752303,0.0016830052413072862,0.0088021403926504,6500.56,6072.96,7735.68,5997.68,((((x)*(x))*((x)*(5)))-((9)-((1)-(x)))),((((x)*(5))*((8)-(6)))*((5)+((3)-(x)))),SubXD|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,44,43,45,45,2
45,x*x*x*x,25,-10,-0.03940904804110574,-0.0009631628071677656,-0.039116207848647236,0.0002715331329238035,289.3679,252.9889,432.76120000000003,243.17,-0.9490747941445563,0.004522284668670809,0.01908646935630815,0.0029153004843942257,10918.83,6115.18,24936.24,6093.12,(((5)+((3)*(x)))*((9)*((9)*(7)))),(((8)-((x)+(2)))*((3)+((4)-(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,45,44,46,46,2
