gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.044580989617370274,-0.040002584970210864,-0.039501960528035555,-0.039986537707489216,NaN,NaN,243.872,NaN,-0.9875,0.0003267546725918181,0,0.00008495621487386973,6120.8,6119.0599999999995,6120.8,6118.8,(((x)*((0)*(x)))*((0)-((x)+(x)))),((((x)*(1))+((8)*(6)))-((5)*((0)-((0)+(x))))),DivXD|DeleteMaliciousR|DeleteTerminalR|SubXD|AddXD,MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|AddTreeWithSub,DivXD,MutateTerminalR,0,0,1,1,0
1,x*x*x*x,25,-10,-0.05975004084433408,-0.014994469518017917,-0.05975004084433408,0.000045941706966409445,NaN,NaN,122.396,244.5508,-0.9875,0.0006861848124427882,0,0.00039132468224310546,6120.8,6118.68,6120.8,6116.6,(((7)*((0)*(x)))*((0)-((x)+(x)))),((((4)-(5))*((0)*(0)))-((x)+((x)+(x)))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|SubXD|AddXD,DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddXD|AddTreeWithSub,MutateTerminalR,DeleteTerminalR,1,1,2,2,0
2,x*x*x*x,25,-10,-0.0395001633773363,0.000006999214605514915,-0.0395001633773363,0.00003862240230035343,244.752,244.7892,244.752,244.5956,-0.9875040844334074,0.0013462292510782548,0,0.0006910767486459926,6118.8,6118.24,6118.8,6112.56,((0)+(x)),((9)-((1)+(x))),FellTreeD|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddXD|AddTreeWithSub,FellTreeD,DeleteNonTerminalR,1,2,3,3,0
3,x*x*x*x,25,-10,-0.0395001633773363,-0.0000059215950786844944,-0.0395001633773363,0.000028493007450007367,244.752,244.8683,244.752,244.65759999999997,-0.9875040844334074,0.0008168866814795452,0,0.0007845505287781229,6118.8,6120.75,6118.8,6115.8,((0)+(x)),((0)+((9)-(x))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddXD|AddTreeWithSub,MutateTerminalR,DeleteTerminalR,2,3,4,4,0
4,x*x*x*x,25,-10,-0.0395001633773363,0.000003081294150942789,-0.0395001633773363,0.000038164945758725305,244.752,244.8132,244.752,244.5984,-0.9875040844334074,0.0013462292510782548,0,0.000819378055884125,6118.8,6116.51,6118.8,6112.56,((0)+(x)),((9)-((1)+(x))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|AddXD|AddTreeWithSub,FellTreeD,AddXD,3,4,5,5,0
5,x*x*x*x,25,-10,-0.0395001633773363,0.00001003390283029207,-0.0395001633773363,0.000051365834531433135,244.752,244.77059999999997,244.752,244.51760000000002,-0.9875040844334074,0.0013462292510782548,0,0.0006021040415740678,6118.8,6117.88,6118.8,6112.56,((0)+(x)),((8)-((0)+(x))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|AddXD|AddTreeWithSub,AddXD,AddXD,4,4,6,6,0
6,x*x*x*x,25,-10,-0.0395001633773363,0.0000027323357002467276,-0.0395001633773363,0.000027643445301269413,244.752,244.81529999999998,244.752,244.66279999999998,-0.9875040844334074,0.0003267546725918181,0,0.00022117688089011653,6118.8,6119.83,6118.8,6118.8,((0)+(x)),((6)-((6)+(x))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|AddXD|AddTreeWithSub,MutateTerminalR,DeleteTerminalR,4,6,7,7,0
7,x*x*x*x,25,-10,-0.0395001633773363,-0.0000018901620227923618,-0.0395001633773363,0.000019409227551955658,244.752,244.84360000000004,244.752,244.7132,-0.9875040844334074,0.0006469742517318057,0,0.0004881598004293415,6118.8,6119.7,6118.8,6116.84,((0)+(x)),((0)+((6)-(1))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddXD|AddTreeWithSub,MutateTerminalR,ReplaceBranchR,6,7,8,8,0
8,x*x*x*x,25,-10,-0.0395001633773363,0.000005298357864707598,-0.0395001633773363,0.000019343876617435865,244.752,244.7996,244.752,244.71359999999996,-0.9875040844334074,0.0007253953731539193,0,0.00012461025531265526,6118.8,6116.95,6118.8,6116.36,((0)+(x)),((4)-((1)+(x))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddXD|AddTreeWithSub,MutateTerminalR,ReplaceBranchR,6,8,9,9,0
9,x*x*x*x,25,-10,-0.0395001633773363,-0.000004154123150348376,-0.0395001633773363,0.000038949156972944946,244.752,244.8575,244.752,244.5936,-0.9875040844334074,0.0008495621487386972,0,0.0007630898864967335,6118.8,6119.820000000001,6118.8,6115.6,((0)+(x)),((5)-((1)+(x))),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddXD|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,8,9,10,10,0
10,x*x*x*x,25,-10,-0.0395001633773363,0.000010606323786577241,-0.0395001633773363,0.00003907985884198304,244.752,244.7671,244.752,244.5928,-0.9875040844334074,0.0013919749052412162,0,0.0005705776582481774,6118.8,6116.5,6118.8,6112.28,((0)+(x)),((6)+(5)),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddXD|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,8,9,11,11,0
11,x*x*x*x,25,-10,-0.0395001633773363,0.000034331845130627414,-0.0395001633773363,0.00011246895830610551,244.752,244.6219,244.752,244.1436,-0.9875040844334074,0.0052476800418245805,0,0.0026083573057859204,6118.8,6111.79,6118.8,6088.68,((0)+(x)),((7)*(7)),MutateTerminalR|DeleteMaliciousR|DeleteTerminalR|FellTreeD|AddXD,DeleteTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddXD|AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,9,11,12,12,0
