gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
72,x*x*x*x,25,-10,-0.03917780927329761,0.000815383609985624,-0.03815910011763169,0.0020465298653770756,402.59719999999993,239.8412,901.4224,232.30559999999997,-0.8534181806299831,0.0635733890994641,0.06745493195182861,0.026627072866732538,22233.05,5959.84,71775.84,5731.68,(((x)*((x)*(x)))*((5)*((9)*(3)))),((x)*((7)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,ReplaceBranchR,72,72,73,73,1
73,x*x*x*x,25,-10,-0.03905613869918965,0.0008266893216573009,-0.037698610475754804,0.0012089922885897284,462.1749,239.77200000000005,1126.9076,237.43199999999996,-0.8075091491308326,0.0635733890994641,0.09000102226146453,0.007363516414065206,28150.45,5786.88,94255.84,5731.68,(((x)*((5)*(x)))*((5)*((7)*(x)))),((x)*((7)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,AddTreeWithAdd,72,72,74,74,1
74,x*x*x*x,25,-10,-0.03954553265096066,0.0009579139981701746,-0.03949881224676512,0.0023811266501110977,222.5363,238.96880000000002,245.4136,230.2576,-0.9874938733498889,0.08161024702653255,0.000009127954796014048,0.0323531033433181,6119.68,5869.76,6123.8,5621.28,((x)-(5)),((x)*((9)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,MultXD,72,72,75,75,1
75,x*x*x*x,25,-10,-0.03952414145209777,0.000595281662527775,-0.03946706557966279,0.001292902888511308,233.01080000000002,241.18839999999997,260.9588,236.9184,-0.9875,0.045536531172395804,0.000008226492331011202,0.018866234165987015,6117.37,5967.76,6120.8,5842.08,(((x)-(6))*((x)*(0))),((x)*((5)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|AddTreeWithMult|MultXD,AddTreeWithMult,AddTreeWithAdd,75,75,76,76,1
76,x*x*x*x,25,-10,-0.03949985990393413,0.0010449614429486353,-0.039498570448307416,0.002993857012155276,244.90060000000005,238.43600000000004,245.532,226.50719999999998,-0.9873897202980003,0.08161024702653255,0.0000644646440840699,0.03647503969675752,6128.700000000001,5865.84,6174.8,5621.28,(((3)-((4)*(x)))*((x)-(1))),((x)*((9)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,FellTreeD,75,76,77,77,1
77,x*x*x*x,25,-10,-0.039508227682655855,0.0004977247122330175,-0.03946753528950464,0.0013366880146386106,240.8032,241.78820000000005,260.7288,236.65040000000002,-0.9856701738334859,0.054554960135929954,0.0014543030324913114,0.023487416797585012,6132.8,6002.2,7016.8,5786.88,(((x)*((1)-(5)))*((x)*(4))),((x)*((6)*(x))),AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,MultXD,76,76,78,78,1
78,x*x*x*x,25,-10,-0.039526192858776635,0.0011849431446869696,-0.03949985704483074,0.00272330414324925,232.00629999999998,237.5792,244.90200000000002,228.1632,-0.9875,0.08161024702653255,0.00000400274473921769,0.034458208627652906,6119.82,5896.8,6120.8,5621.28,(((0)*((x)-(0)))-((5)*((x)*(x)))),((x)*((9)*(x))),AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,ReplaceBranchXR,76,76,79,79,1
79,x*x*x*x,25,-10,-0.03926718300712326,0.0006848124428179329,-0.03855123676643576,0.0020907070971114905,358.8341,240.6404,709.4072,232.0352,-0.8928932492484642,0.05228074761469089,0.04731121973580058,0.022774445950389452,17696.42,5964.84,52446.32,5800.8,(((8)*((x)*(x)))*((9)*((x)+(8)))),((x)*((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,AddToLeafR,79,79,80,80,1
80,x*x*x*x,25,-10,-0.0395126047657169,0.0011489347797673521,-0.03950015275780944,0.0027005620180368607,238.65990000000002,237.7996,244.75719999999998,228.30239999999998,-0.9875,0.0725918180629984,0.000011489969267103915,0.02729568270005453,6116.4,5874.4,6120.8,5676.48,(((5)*((4)*(0)))*((x)*(0))),((x)*((8)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,ReplaceBranchR,79,76,81,81,1
81,x*x*x*x,25,-10,-0.05215940236570383,0.0007005620180368594,-0.03950020912299046,0.002089922885897268,166.7784,240.54399999999998,244.72960000000003,232.04,-0.9875,0.0635733890994641,0.00007112731674199645,0.02624348048796367,6095.9400000000005,5968.76,6120.8,5731.68,((x)+((3)*(0))),((x)*((7)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,AddToLeafR|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR,MutateNonTerminalR,AddToLeafR,81,81,82,82,1
